Date,US Dollar,Pound Sterling,Euro,Japanese Yen
1999-01-04,42.5098,70.7814,50.4872,37.4703
1999-01-05,42.5604,70.4473,50.2412,38.208
1999-01-06,42.5098,70.3235,49.9276,37.7229
1999-01-07,42.5206,70.3087,49.5148,38.0322
1999-01-08,42.5206,70.0427,49.7265,38.0799
1999-01-11,42.5206,69.7107,49.2465,38.384
1999-01-12,42.5007,69.2569,48.7948,38.1563
1999-01-13,42.5007,69.4734,49.1884,37.899
1999-01-14,42.5206,70.1066,49.5025,37.5813
1999-01-15,42.4701,70.4275,49.8033,37.7273
1999-01-18,42.5007,70.2593,49.3097,37.3329
1999-01-19,42.5007,70.1115,49.1666,37.0741
1999-01-21,42.5098,70.0771,49.2053,37.5612
1999-01-22,42.5098,70.2445,49.334,37.3533
1999-01-25,42.5098,70.3977,49.2902,37.1428
1999-01-27,42.4899,70.4176,48.9932,37.3949
1999-01-28,42.5007,69.9839,48.6808,36.7647
1999-01-29,42.5007,70.0084,48.5296,36.6221
1999-02-01,42.5007,69.891,48.2393,36.7485
1999-02-02,42.5007,69.8617,48.1464,37.407
1999-02-03,42.4809,69.4782,48.1835,37.8
1999-02-04,42.4592,69.541,48.0423,37.3357
1999-02-05,42.4701,69.8275,48.223,37.9564
1999-02-08,42.4701,69.3963,47.7555,37.4169
1999-02-09,42.4394,69.5846,48.0885,37.1142
1999-02-10,42.4394,69.3433,47.9478,36.8212
1999-02-11,42.4592,69.0703,48.0885,37.1804
1999-02-12,42.4502,68.88,47.7076,37.1293
1999-02-15,42.4196,69.2521,47.8606,37.1237
1999-02-16,42.4899,69.1133,47.6236,36.3782
1999-02-17,42.4899,69.5797,47.7259,35.9932
1999-02-18,42.4502,69.4927,47.8263,35.8076
1999-02-19,42.4394,69.43,47.5308,35.3814
1999-02-22,42.3998,68.7758,46.7771,34.7398
1999-02-23,42.4394,68.9417,46.7968,35.2638
1999-02-24,42.4899,68.4744,46.7333,35.0014
1999-03-01,42.5098,68.1106,46.7596,35.6403
1999-03-03,42.5496,68.686,46.4835,35.126
1999-03-04,42.5297,68.573,46.2642,34.7837
1999-03-05,42.5297,68.4416,46.0575,34.6364
1999-03-08,42.5007,68.1338,46.0426,34.8819
1999-03-09,42.4701,68.4322,46.322,35.0398
1999-03-10,42.4394,68.6106,46.2171,35.0122
1999-03-11,42.4502,69.0417,46.5246,35.4429
1999-03-12,42.4304,69.3049,46.7355,35.4174
1999-03-15,42.4196,69.056,46.2813,35.85
1999-03-16,42.4106,68.7238,45.9876,36.0412
1999-03-17,42.4196,69.0608,46.5571,35.7283
1999-03-19,42.3998,69.0894,46.5636,36.1468
1999-03-22,42.3908,68.9322,46.0596,36.0581
1999-03-23,42.3908,68.9988,46.2235,35.7871
1999-03-24,42.3998,69.3866,46.2792,36.0498
1999-03-26,42.3998,68.956,46.0363,35.7052
1999-03-30,42.4304,68.6059,45.5726,35.3245
1999-03-31,42.4304,68.3527,45.5208,35.326
1999-04-05,42.4394,68.0874,45.6704,34.9626
