"Index Name","Date","Open","High","Low","Close"
"NIFTY 50 ARBITRAGE","28 Jun 2024","-","-","-","2342.78"
"NIFTY 50 ARBITRAGE","27 Jun 2024","-","-","-","2346.94"
"NIFTY 50 ARBITRAGE","26 Jun 2024","-","-","-","2346.79"
"NIFTY 50 ARBITRAGE","25 Jun 2024","-","-","-","2345.96"
"NIFTY 50 ARBITRAGE","24 Jun 2024","-","-","-","2346.11"
"NIFTY 50 ARBITRAGE","21 Jun 2024","-","-","-","2346.95"
"NIFTY 50 ARBITRAGE","20 Jun 2024","-","-","-","2344.73"
"NIFTY 50 ARBITRAGE","19 Jun 2024","-","-","-","2345.91"
"NIFTY 50 ARBITRAGE","18 Jun 2024","-","-","-","2344.25"
"NIFTY 50 ARBITRAGE","14 Jun 2024","-","-","-","2344.30"
"NIFTY 50 ARBITRAGE","13 Jun 2024","-","-","-","2343.69"
"NIFTY 50 ARBITRAGE","12 Jun 2024","-","-","-","2341.48"
"NIFTY 50 ARBITRAGE","11 Jun 2024","-","-","-","2340.50"
"NIFTY 50 ARBITRAGE","10 Jun 2024","-","-","-","2343.75"
"NIFTY 50 ARBITRAGE","07 Jun 2024","-","-","-","2340.27"
"NIFTY 50 ARBITRAGE","06 Jun 2024","-","-","-","2337.22"
"NIFTY 50 ARBITRAGE","05 Jun 2024","-","-","-","2340.77"
"NIFTY 50 ARBITRAGE","04 Jun 2024","-","-","-","2340.50"
"NIFTY 50 ARBITRAGE","03 Jun 2024","-","-","-","2331.61"
"NIFTY 50 ARBITRAGE","31 May 2024","-","-","-","2329.16"
"NIFTY 50 ARBITRAGE","30 May 2024","-","-","-","2329.58"
"NIFTY 50 ARBITRAGE","29 May 2024","-","-","-","2326.84"
"NIFTY 50 ARBITRAGE","28 May 2024","-","-","-","2326.07"
"NIFTY 50 ARBITRAGE","27 May 2024","-","-","-","2325.94"
"NIFTY 50 ARBITRAGE","24 May 2024","-","-","-","2324.66"
"NIFTY 50 ARBITRAGE","23 May 2024","-","-","-","2326.25"
"NIFTY 50 ARBITRAGE","22 May 2024","-","-","-","2324.41"
"NIFTY 50 ARBITRAGE","21 May 2024","-","-","-","2322.35"
"NIFTY 50 ARBITRAGE","18 May 2024","-","-","-","2324.27"
"NIFTY 50 ARBITRAGE","17 May 2024","-","-","-","2324.83"
"NIFTY 50 ARBITRAGE","16 May 2024","-","-","-","2323.55"
"NIFTY 50 ARBITRAGE","15 May 2024","-","-","-","2320.38"
"NIFTY 50 ARBITRAGE","14 May 2024","-","-","-","2319.95"
"NIFTY 50 ARBITRAGE","13 May 2024","-","-","-","2319.36"
