"Index Name","Date","Open","High","Low","Close"
"NIFTY 50 FUTURES PR","28 Jun 2024","-","-","-","6755.35"
"NIFTY 50 FUTURES PR","27 Jun 2024","-","-","-","6745.16"
"NIFTY 50 FUTURES PR","26 Jun 2024","-","-","-","6706.14"
"NIFTY 50 FUTURES PR","25 Jun 2024","-","-","-","6667.18"
"NIFTY 50 FUTURES PR","24 Jun 2024","-","-","-","6617.38"
"NIFTY 50 FUTURES PR","21 Jun 2024","-","-","-","6601.58"
"NIFTY 50 FUTURES PR","20 Jun 2024","-","-","-","6628.34"
"NIFTY 50 FUTURES PR","19 Jun 2024","-","-","-","6606.16"
"NIFTY 50 FUTURES PR","18 Jun 2024","-","-","-","6624.29"
"NIFTY 50 FUTURES PR","14 Jun 2024","-","-","-","6595.77"
"NIFTY 50 FUTURES PR","13 Jun 2024","-","-","-","6576.83"
"NIFTY 50 FUTURES PR","12 Jun 2024","-","-","-","6564.42"
"NIFTY 50 FUTURES PR","11 Jun 2024","-","-","-","6551.69"
"NIFTY 50 FUTURES PR","10 Jun 2024","-","-","-","6534.08"
"NIFTY 50 FUTURES PR","07 Jun 2024","-","-","-","6556.00"
"NIFTY 50 FUTURES PR","06 Jun 2024","-","-","-","6436.36"
"NIFTY 50 FUTURES PR","05 Jun 2024","-","-","-","6364.24"
"NIFTY 50 FUTURES PR","04 Jun 2024","-","-","-","6157.73"
"NIFTY 50 FUTURES PR","03 Jun 2024","-","-","-","6579.26"
"NIFTY 50 FUTURES PR","31 May 2024","-","-","-","6380.49"
"NIFTY 50 FUTURES PR","30 May 2024","-","-","-","6359.87"
"NIFTY 50 FUTURES PR","29 May 2024","-","-","-","6427.87"
"NIFTY 50 FUTURES PR","28 May 2024","-","-","-","6480.46"
"NIFTY 50 FUTURES PR","27 May 2024","-","-","-","6494.32"
"NIFTY 50 FUTURES PR","24 May 2024","-","-","-","6502.99"
"NIFTY 50 FUTURES PR","23 May 2024","-","-","-","6498.22"
"NIFTY 50 FUTURES PR","22 May 2024","-","-","-","6400.83"
"NIFTY 50 FUTURES PR","21 May 2024","-","-","-","6386.12"
"NIFTY 50 FUTURES PR","18 May 2024","-","-","-","6368.61"
"NIFTY 50 FUTURES PR","17 May 2024","-","-","-","6355.56"
"NIFTY 50 FUTURES PR","16 May 2024","-","-","-","6342.75"
"NIFTY 50 FUTURES PR","15 May 2024","-","-","-","6296.05"
"NIFTY 50 FUTURES PR","14 May 2024","-","-","-","6302.17"
"NIFTY 50 FUTURES PR","13 May 2024","-","-","-","6271.77"
"NIFTY 50 FUTURES PR","10 May 2024","-","-","-","6254.68"
"NIFTY 50 FUTURES PR","09 May 2024","-","-","-","6236.37"
"NIFTY 50 FUTURES PR","08 May 2024","-","-","-","6326.22"
"NIFTY 50 FUTURES PR","07 May 2024","-","-","-","6322.82"
"NIFTY 50 FUTURES PR","06 May 2024","-","-","-","6370.38"
"NIFTY 50 FUTURES PR","03 May 2024","-","-","-","6377.45"
"NIFTY 50 FUTURES PR","02 May 2024","-","-","-","6433.60"
"NIFTY 50 FUTURES PR","30 Apr 2024","-","-","-","6417.88"
"NIFTY 50 FUTURES PR","29 Apr 2024","-","-","-","6426.99"
"NIFTY 50 FUTURES PR","26 Apr 2024","-","-","-","6372.03"
"NIFTY 50 FUTURES PR","25 Apr 2024","-","-","-","6399.70"
"NIFTY 50 FUTURES PR","24 Apr 2024","-","-","-","6357.95"
"NIFTY 50 FUTURES PR","23 Apr 2024","-","-","-","6348.64"
"NIFTY 50 FUTURES PR","22 Apr 2024","-","-","-","6347.69"
"NIFTY 50 FUTURES PR","19 Apr 2024","-","-","-","6283.23"
"NIFTY 50 FUTURES PR","18 Apr 2024","-","-","-","6262.36"
"NIFTY 50 FUTURES PR","16 Apr 2024","-","-","-","6303.69"
"NIFTY 50 FUTURES PR","15 Apr 2024","-","-","-","6348.14"
"NIFTY 50 FUTURES PR","12 Apr 2024","-","-","-","6417.46"
"NIFTY 50 FUTURES PR","10 Apr 2024","-","-","-","6477.36"
"NIFTY 50 FUTURES PR","09 Apr 2024","-","-","-","6455.48"
"NIFTY 50 FUTURES PR","08 Apr 2024","-","-","-","6459.21"
"NIFTY 50 FUTURES PR","05 Apr 2024","-","-","-","6415.77"
"NIFTY 50 FUTURES PR","04 Apr 2024","-","-","-","6420.53"
"NIFTY 50 FUTURES PR","03 Apr 2024","-","-","-","6400.75"
"NIFTY 50 FUTURES PR","02 Apr 2024","-","-","-","6410.66"
"NIFTY 50 FUTURES PR","01 Apr 2024","-","-","-","6417.79"
"NIFTY 50 FUTURES PR","28 Mar 2024","-","-","-","6385.30"
"NIFTY 50 FUTURES PR","27 Mar 2024","-","-","-","6340.51"
"NIFTY 50 FUTURES PR","26 Mar 2024","-","-","-","6319.28"
"NIFTY 50 FUTURES PR","22 Mar 2024","-","-","-","6340.97"
"NIFTY 50 FUTURES PR","21 Mar 2024","-","-","-","6322.58"
"NIFTY 50 FUTURES PR","20 Mar 2024","-","-","-","6267.53"
"NIFTY 50 FUTURES PR","19 Mar 2024","-","-","-","6260.79"
"NIFTY 50 FUTURES PR","18 Mar 2024","-","-","-","6332.01"
