"Index Name","Date","Open","High","Low","Close"
"NIFTY 50 FUTURES TR","28 Jun 2024","-","-","-","25700.90"
"NIFTY 50 FUTURES TR","27 Jun 2024","-","-","-","25657.14"
"NIFTY 50 FUTURES TR","26 Jun 2024","-","-","-","25503.77"
"NIFTY 50 FUTURES TR","25 Jun 2024","-","-","-","25350.71"
"NIFTY 50 FUTURES TR","24 Jun 2024","-","-","-","25156.48"
"NIFTY 50 FUTURES TR","21 Jun 2024","-","-","-","25081.80"
"NIFTY 50 FUTURES TR","20 Jun 2024","-","-","-","25178.55"
"NIFTY 50 FUTURES TR","19 Jun 2024","-","-","-","25089.45"
"NIFTY 50 FUTURES TR","18 Jun 2024","-","-","-","25153.41"
"NIFTY 50 FUTURES TR","14 Jun 2024","-","-","-","25025.80"
"NIFTY 50 FUTURES TR","13 Jun 2024","-","-","-","24949.10"
"NIFTY 50 FUTURES TR","12 Jun 2024","-","-","-","24897.20"
"NIFTY 50 FUTURES TR","11 Jun 2024","-","-","-","24844.11"
"NIFTY 50 FUTURES TR","10 Jun 2024","-","-","-","24772.55"
"NIFTY 50 FUTURES TR","07 Jun 2024","-","-","-","24841.18"
"NIFTY 50 FUTURES TR","06 Jun 2024","-","-","-","24383.23"
"NIFTY 50 FUTURES TR","05 Jun 2024","-","-","-","24105.39"
"NIFTY 50 FUTURES TR","04 Jun 2024","-","-","-","23318.81"
"NIFTY 50 FUTURES TR","03 Jun 2024","-","-","-","24909.97"
"NIFTY 50 FUTURES TR","31 May 2024","-","-","-","24143.77"
"NIFTY 50 FUTURES TR","30 May 2024","-","-","-","24061.10"
"NIFTY 50 FUTURES TR","29 May 2024","-","-","-","24313.62"
"NIFTY 50 FUTURES TR","28 May 2024","-","-","-","24507.74"
"NIFTY 50 FUTURES TR","27 May 2024","-","-","-","24555.37"
"NIFTY 50 FUTURES TR","24 May 2024","-","-","-","24573.89"
"NIFTY 50 FUTURES TR","23 May 2024","-","-","-","24551.09"
"NIFTY 50 FUTURES TR","22 May 2024","-","-","-","24178.51"
"NIFTY 50 FUTURES TR","21 May 2024","-","-","-","24118.30"
"NIFTY 50 FUTURES TR","18 May 2024","-","-","-","24038.22"
"NIFTY 50 FUTURES TR","17 May 2024","-","-","-","23984.32"
"NIFTY 50 FUTURES TR","16 May 2024","-","-","-","23931.34"
"NIFTY 50 FUTURES TR","15 May 2024","-","-","-","23750.58"
"NIFTY 50 FUTURES TR","14 May 2024","-","-","-","23769.02"
"NIFTY 50 FUTURES TR","13 May 2024","-","-","-","23649.82"
"NIFTY 50 FUTURES TR","10 May 2024","-","-","-","23571.71"
"NIFTY 50 FUTURES TR","09 May 2024","-","-","-","23498.18"
"NIFTY 50 FUTURES TR","08 May 2024","-","-","-","23832.05"
"NIFTY 50 FUTURES TR","07 May 2024","-","-","-","23814.63"
"NIFTY 50 FUTURES TR","06 May 2024","-","-","-","23989.11"
"NIFTY 50 FUTURES TR","03 May 2024","-","-","-","24001.85"
"NIFTY 50 FUTURES TR","02 May 2024","-","-","-","24208.44"
"NIFTY 50 FUTURES TR","30 Apr 2024","-","-","-","24139.97"
"NIFTY 50 FUTURES TR","29 Apr 2024","-","-","-","24169.56"
"NIFTY 50 FUTURES TR","26 Apr 2024","-","-","-","23949.12"
"NIFTY 50 FUTURES TR","25 Apr 2024","-","-","-","24048.45"
"NIFTY 50 FUTURES TR","24 Apr 2024","-","-","-","23886.97"
"NIFTY 50 FUTURES TR","23 Apr 2024","-","-","-","23847.43"
"NIFTY 50 FUTURES TR","22 Apr 2024","-","-","-","23839.25"
"NIFTY 50 FUTURES TR","19 Apr 2024","-","-","-","23583.67"
"NIFTY 50 FUTURES TR","18 Apr 2024","-","-","-","23500.83"
"NIFTY 50 FUTURES TR","16 Apr 2024","-","-","-","23646.75"
"NIFTY 50 FUTURES TR","15 Apr 2024","-","-","-","23808.86"
"NIFTY 50 FUTURES TR","12 Apr 2024","-","-","-","24054.67"
"NIFTY 50 FUTURES TR","10 Apr 2024","-","-","-","24269.66"
"NIFTY 50 FUTURES TR","09 Apr 2024","-","-","-","24183.00"
"NIFTY 50 FUTURES TR","08 Apr 2024","-","-","-","24192.27"
"NIFTY 50 FUTURES TR","05 Apr 2024","-","-","-","24015.56"
"NIFTY 50 FUTURES TR","04 Apr 2024","-","-","-","24028.65"
"NIFTY 50 FUTURES TR","03 Apr 2024","-","-","-","23949.95"
"NIFTY 50 FUTURES TR","02 Apr 2024","-","-","-","23982.26"
"NIFTY 50 FUTURES TR","01 Apr 2024","-","-","-","24004.07"
"NIFTY 50 FUTURES TR","28 Mar 2024","-","-","-","23863.37"
"NIFTY 50 FUTURES TR","27 Mar 2024","-","-","-","23691.22"
"NIFTY 50 FUTURES TR","26 Mar 2024","-","-","-","23607.19"
"NIFTY 50 FUTURES TR","22 Mar 2024","-","-","-","23669.20"
"NIFTY 50 FUTURES TR","21 Mar 2024","-","-","-","23595.89"
"NIFTY 50 FUTURES TR","20 Mar 2024","-","-","-","23385.86"
"NIFTY 50 FUTURES TR","19 Mar 2024","-","-","-","23356.13"
"NIFTY 50 FUTURES TR","18 Mar 2024","-","-","-","23617.11"
"NIFTY 50 FUTURES TR","15 Mar 2024","-","-","-","23600.82"
"NIFTY 50 FUTURES TR","14 Mar 2024","-","-","-","23736.21"
"NIFTY 50 FUTURES TR","13 Mar 2024","-","-","-","23559.67"
"NIFTY 50 FUTURES TR","12 Mar 2024","-","-","-","23921.37"
"NIFTY 50 FUTURES TR","11 Mar 2024","-","-","-","23889.29"
"NIFTY 50 FUTURES TR","07 Mar 2024","-","-","-","24009.92"
"NIFTY 50 FUTURES TR","06 Mar 2024","-","-","-","24048.54"
"NIFTY 50 FUTURES TR","05 Mar 2024","-","-","-","23873.81"
"NIFTY 50 FUTURES TR","04 Mar 2024","-","-","-","23937.96"
"NIFTY 50 FUTURES TR","02 Mar 2024","-","-","-","23932.88"
"NIFTY 50 FUTURES TR","01 Mar 2024","-","-","-","23865.67"
"NIFTY 50 FUTURES TR","29 Feb 2024","-","-","-","23560.49"
"NIFTY 50 FUTURES TR","28 Feb 2024","-","-","-","23473.01"
"NIFTY 50 FUTURES TR","27 Feb 2024","-","-","-","23763.76"
"NIFTY 50 FUTURES TR","26 Feb 2024","-","-","-","23695.43"
"NIFTY 50 FUTURES TR","23 Feb 2024","-","-","-","23773.29"
"NIFTY 50 FUTURES TR","22 Feb 2024","-","-","-","23784.04"
"NIFTY 50 FUTURES TR","21 Feb 2024","-","-","-","23594.36"
"NIFTY 50 FUTURES TR","20 Feb 2024","-","-","-","23746.88"
"NIFTY 50 FUTURES TR","19 Feb 2024","-","-","-","23693.29"
"NIFTY 50 FUTURES TR","16 Feb 2024","-","-","-","23600.82"
"NIFTY 50 FUTURES TR","15 Feb 2024","-","-","-","23497.17"
"NIFTY 50 FUTURES TR","14 Feb 2024","-","-","-","23398.40"
"NIFTY 50 FUTURES TR","13 Feb 2024","-","-","-","23294.45"
"NIFTY 50 FUTURES TR","12 Feb 2024","-","-","-","23155.53"
"NIFTY 50 FUTURES TR","09 Feb 2024","-","-","-","23296.17"
"NIFTY 50 FUTURES TR","08 Feb 2024","-","-","-","23261.74"
"NIFTY 50 FUTURES TR","07 Feb 2024","-","-","-","23458.75"
"NIFTY 50 FUTURES TR","06 Feb 2024","-","-","-","23428.41"
"NIFTY 50 FUTURES TR","05 Feb 2024","-","-","-","23236.19"
"NIFTY 50 FUTURES TR","02 Feb 2024","-","-","-","23380.05"
"NIFTY 50 FUTURES TR","01 Feb 2024","-","-","-","23162.58"
"NIFTY 50 FUTURES TR","31 Jan 2024","-","-","-","23218.88"
"NIFTY 50 FUTURES TR","30 Jan 2024","-","-","-","23024.79"
"NIFTY 50 FUTURES TR","29 Jan 2024","-","-","-","23259.42"
"NIFTY 50 FUTURES TR","25 Jan 2024","-","-","-","22851.56"
"NIFTY 50 FUTURES TR","24 Jan 2024","-","-","-","22979.32"
"NIFTY 50 FUTURES TR","23 Jan 2024","-","-","-","22686.47"
"NIFTY 50 FUTURES TR","20 Jan 2024","-","-","-","23105.51"
"NIFTY 50 FUTURES TR","19 Jan 2024","-","-","-","23172.38"
"NIFTY 50 FUTURES TR","18 Jan 2024","-","-","-","23013.19"
"NIFTY 50 FUTURES TR","17 Jan 2024","-","-","-","23075.05"
"NIFTY 50 FUTURES TR","16 Jan 2024","-","-","-","23540.57"
"NIFTY 50 FUTURES TR","15 Jan 2024","-","-","-","23646.84"
"NIFTY 50 FUTURES TR","12 Jan 2024","-","-","-","23434.17"
"NIFTY 50 FUTURES TR","11 Jan 2024","-","-","-","23142.95"
"NIFTY 50 FUTURES TR","10 Jan 2024","-","-","-","23171.13"
"NIFTY 50 FUTURES TR","09 Jan 2024","-","-","-","23068.17"
"NIFTY 50 FUTURES TR","08 Jan 2024","-","-","-","23023.87"
"NIFTY 50 FUTURES TR","05 Jan 2024","-","-","-","23238.74"
"NIFTY 50 FUTURES TR","04 Jan 2024","-","-","-","23225.78"
"NIFTY 50 FUTURES TR","03 Jan 2024","-","-","-","23023.07"
"NIFTY 50 FUTURES TR","02 Jan 2024","-","-","-","23185.58"
"NIFTY 50 FUTURES TR","01 Jan 2024","-","-","-","23321.82"
"NIFTY 50 FUTURES TR","29 Dec 2023","-","-","-","23304.98"
"NIFTY 50 FUTURES TR","28 Dec 2023","-","-","-","23360.40"
"NIFTY 50 FUTURES TR","27 Dec 2023","-","-","-","23258.97"
"NIFTY 50 FUTURES TR","26 Dec 2023","-","-","-","23024.00"
"NIFTY 50 FUTURES TR","22 Dec 2023","-","-","-","22930.68"
"NIFTY 50 FUTURES TR","21 Dec 2023","-","-","-","22867.82"
"NIFTY 50 FUTURES TR","20 Dec 2023","-","-","-","22720.58"
"NIFTY 50 FUTURES TR","19 Dec 2023","-","-","-","23048.74"
"NIFTY 50 FUTURES TR","18 Dec 2023","-","-","-","22990.20"
"NIFTY 50 FUTURES TR","15 Dec 2023","-","-","-","23062.17"
"NIFTY 50 FUTURES TR","14 Dec 2023","-","-","-","22812.31"
"NIFTY 50 FUTURES TR","13 Dec 2023","-","-","-","22493.84"
"NIFTY 50 FUTURES TR","12 Dec 2023","-","-","-","22477.70"
"NIFTY 50 FUTURES TR","11 Dec 2023","-","-","-","22539.05"
"NIFTY 50 FUTURES TR","08 Dec 2023","-","-","-","22515.82"
"NIFTY 50 FUTURES TR","07 Dec 2023","-","-","-","22464.24"
"NIFTY 50 FUTURES TR","06 Dec 2023","-","-","-","22468.95"
"NIFTY 50 FUTURES TR","05 Dec 2023","-","-","-","22361.36"
"NIFTY 50 FUTURES TR","04 Dec 2023","-","-","-","22203.64"
"NIFTY 50 FUTURES TR","01 Dec 2023","-","-","-","21738.87"
"NIFTY 50 FUTURES TR","30 Nov 2023","-","-","-","21623.14"
"NIFTY 50 FUTURES TR","29 Nov 2023","-","-","-","21604.93"
"NIFTY 50 FUTURES TR","28 Nov 2023","-","-","-","21389.72"
"NIFTY 50 FUTURES TR","24 Nov 2023","-","-","-","21253.42"
"NIFTY 50 FUTURES TR","23 Nov 2023","-","-","-","21294.14"
"NIFTY 50 FUTURES TR","22 Nov 2023","-","-","-","21306.43"
"NIFTY 50 FUTURES TR","21 Nov 2023","-","-","-","21256.43"
"NIFTY 50 FUTURES TR","20 Nov 2023","-","-","-","21155.79"
"NIFTY 50 FUTURES TR","17 Nov 2023","-","-","-","21202.58"
"NIFTY 50 FUTURES TR","16 Nov 2023","-","-","-","21223.27"
