"Index Name","Date","Open","High","Low","Close"
"NIFTY ALPHA LOW-VOLATILITY 30","28 Jun 2024","28079.55","28181.55","28000.3","28040.30"
"NIFTY ALPHA LOW-VOLATILITY 30","27 Jun 2024","27870.25","28048.1","27777.5","27977.35"
"NIFTY ALPHA LOW-VOLATILITY 30","26 Jun 2024","27778.65","27894.2","27647.35","27834.25"
"NIFTY ALPHA LOW-VOLATILITY 30","25 Jun 2024","27793.4","27813.85","27642.1","27734.15"
"NIFTY ALPHA LOW-VOLATILITY 30","24 Jun 2024","27469.5","27729.35","27359.75","27702.15"
"NIFTY ALPHA LOW-VOLATILITY 30","21 Jun 2024","27707.95","27770.25","27462.95","27529.85"
"NIFTY ALPHA LOW-VOLATILITY 30","20 Jun 2024","27703.45","27725.7","27501","27639.55"
"NIFTY ALPHA LOW-VOLATILITY 30","19 Jun 2024","28097.4","28111.55","27652.95","27675.20"
"NIFTY ALPHA LOW-VOLATILITY 30","18 Jun 2024","28149.2","28150.35","27948.3","28028.95"
"NIFTY ALPHA LOW-VOLATILITY 30","14 Jun 2024","27944.95","28065.2","27889.9","28031.50"
"NIFTY ALPHA LOW-VOLATILITY 30","13 Jun 2024","27967.45","27967.6","27735.45","27887.25"
"NIFTY ALPHA LOW-VOLATILITY 30","12 Jun 2024","27763","27880.05","27706.05","27798.05"
"NIFTY ALPHA LOW-VOLATILITY 30","11 Jun 2024","27665.9","27820.95","27593.55","27682.60"
"NIFTY ALPHA LOW-VOLATILITY 30","10 Jun 2024","27531.8","27649.3","27430.45","27566.70"
"NIFTY ALPHA LOW-VOLATILITY 30","07 Jun 2024","26959.2","27456.35","26933.95","27441.15"
"NIFTY ALPHA LOW-VOLATILITY 30","06 Jun 2024","27006.2","27134.85","26772.45","27006.40"
"NIFTY ALPHA LOW-VOLATILITY 30","05 Jun 2024","26171.5","26861.3","25708.25","26812.60"
"NIFTY ALPHA LOW-VOLATILITY 30","04 Jun 2024","27249.45","27249.45","24821","25876.90"
"NIFTY ALPHA LOW-VOLATILITY 30","03 Jun 2024","27278.65","27290.95","27031.55","27206.20"
"NIFTY ALPHA LOW-VOLATILITY 30","31 May 2024","26717.65","26731.05","26368.2","26493.95"
"NIFTY ALPHA LOW-VOLATILITY 30","30 May 2024","26968.2","27007.2","26505.5","26595.35"
"NIFTY ALPHA LOW-VOLATILITY 30","29 May 2024","27026.85","27157.55","26974.2","27030.20"
"NIFTY ALPHA LOW-VOLATILITY 30","28 May 2024","27256.25","27265.75","27063.1","27153.60"
"NIFTY ALPHA LOW-VOLATILITY 30","27 May 2024","27432.1","27440.65","27170.35","27214.85"
