"Index Name","Date","Open","High","Low","Close"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","28 Jun 2024","-","-","-","23391.15"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","27 Jun 2024","-","-","-","23388.09"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","26 Jun 2024","-","-","-","23344.14"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","25 Jun 2024","-","-","-","23402.59"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","24 Jun 2024","-","-","-","23427.54"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","21 Jun 2024","-","-","-","23244.63"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","20 Jun 2024","-","-","-","23350.42"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","19 Jun 2024","-","-","-","23421.69"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","18 Jun 2024","-","-","-","23711.17"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","14 Jun 2024","-","-","-","23618.35"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","13 Jun 2024","-","-","-","23519.82"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","12 Jun 2024","-","-","-","23322.24"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","11 Jun 2024","-","-","-","23249.06"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","10 Jun 2024","-","-","-","23180.38"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","07 Jun 2024","-","-","-","23099.02"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","06 Jun 2024","-","-","-","22762.00"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","05 Jun 2024","-","-","-","22551.26"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","04 Jun 2024","-","-","-","21721.80"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","03 Jun 2024","-","-","-","22582.61"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","31 May 2024","-","-","-","22100.70"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","30 May 2024","-","-","-","22224.85"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","29 May 2024","-","-","-","22600.67"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","28 May 2024","-","-","-","22640.37"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","27 May 2024","-","-","-","22673.64"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","24 May 2024","-","-","-","22576.34"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","23 May 2024","-","-","-","22559.73"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","22 May 2024","-","-","-","22385.36"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","21 May 2024","-","-","-","22253.45"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","18 May 2024","-","-","-","22243.58"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","17 May 2024","-","-","-","22057.41"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","16 May 2024","-","-","-","22003.63"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","15 May 2024","-","-","-","21745.50"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","14 May 2024","-","-","-","21754.03"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","13 May 2024","-","-","-","21651.69"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","10 May 2024","-","-","-","21463.01"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","09 May 2024","-","-","-","21209.60"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","08 May 2024","-","-","-","21554.06"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","07 May 2024","-","-","-","21397.51"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","06 May 2024","-","-","-","21434.78"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","03 May 2024","-","-","-","21498.96"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","02 May 2024","-","-","-","21463.71"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","30 Apr 2024","-","-","-","21218.64"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","29 Apr 2024","-","-","-","21185.60"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","26 Apr 2024","-","-","-","21153.05"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","25 Apr 2024","-","-","-","21118.00"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","24 Apr 2024","-","-","-","20973.85"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","23 Apr 2024","-","-","-","20888.45"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","22 Apr 2024","-","-","-","20810.27"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","19 Apr 2024","-","-","-","20588.40"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","18 Apr 2024","-","-","-","20651.55"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","16 Apr 2024","-","-","-","20841.92"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","15 Apr 2024","-","-","-","20795.53"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","12 Apr 2024","-","-","-","20982.10"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","10 Apr 2024","-","-","-","21135.85"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","09 Apr 2024","-","-","-","21023.54"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","08 Apr 2024","-","-","-","21197.88"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","05 Apr 2024","-","-","-","21189.22"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","04 Apr 2024","-","-","-","21107.93"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","03 Apr 2024","-","-","-","21190.76"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","02 Apr 2024","-","-","-","21277.56"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","01 Apr 2024","-","-","-","21178.80"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","28 Mar 2024","-","-","-","21047.91"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","27 Mar 2024","-","-","-","20881.25"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","26 Mar 2024","-","-","-","20951.58"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","22 Mar 2024","-","-","-","20795.26"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","21 Mar 2024","-","-","-","20658.37"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","20 Mar 2024","-","-","-","20336.47"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","19 Mar 2024","-","-","-","20290.87"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","18 Mar 2024","-","-","-","20685.05"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","15 Mar 2024","-","-","-","20661.03"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","14 Mar 2024","-","-","-","20809.78"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","13 Mar 2024","-","-","-","20424.30"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","12 Mar 2024","-","-","-","20880.65"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","11 Mar 2024","-","-","-","21055.86"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","07 Mar 2024","-","-","-","21043.55"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","06 Mar 2024","-","-","-","20903.24"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","05 Mar 2024","-","-","-","20757.03"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","04 Mar 2024","-","-","-","20780.86"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","02 Mar 2024","-","-","-","20707.12"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","01 Mar 2024","-","-","-","20668.29"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","29 Feb 2024","-","-","-","20533.24"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","28 Feb 2024","-","-","-","20408.92"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","27 Feb 2024","-","-","-","20670.02"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","26 Feb 2024","-","-","-","20632.60"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","23 Feb 2024","-","-","-","20761.67"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","22 Feb 2024","-","-","-","20723.51"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","21 Feb 2024","-","-","-","20492.90"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","20 Feb 2024","-","-","-","20658.90"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","19 Feb 2024","-","-","-","20785.93"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","16 Feb 2024","-","-","-","20731.00"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","15 Feb 2024","-","-","-","20528.91"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","14 Feb 2024","-","-","-","20421.22"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","13 Feb 2024","-","-","-","20211.30"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","12 Feb 2024","-","-","-","20025.93"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","09 Feb 2024","-","-","-","20164.23"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","08 Feb 2024","-","-","-","20191.86"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","07 Feb 2024","-","-","-","20200.48"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","06 Feb 2024","-","-","-","20081.97"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","05 Feb 2024","-","-","-","19843.18"
