"Index Name","Date","Open","High","Low","Close"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","28 Jun 2024","-","-","-","20647.43"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","27 Jun 2024","-","-","-","20567.52"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","26 Jun 2024","-","-","-","20443.98"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","25 Jun 2024","-","-","-","20570.50"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","24 Jun 2024","-","-","-","20575.35"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","21 Jun 2024","-","-","-","20428.95"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","20 Jun 2024","-","-","-","20524.61"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","19 Jun 2024","-","-","-","20533.58"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","18 Jun 2024","-","-","-","20775.31"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","14 Jun 2024","-","-","-","20708.40"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","13 Jun 2024","-","-","-","20601.56"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","12 Jun 2024","-","-","-","20435.09"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","11 Jun 2024","-","-","-","20278.87"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","10 Jun 2024","-","-","-","20187.94"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","07 Jun 2024","-","-","-","20164.17"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","06 Jun 2024","-","-","-","19797.83"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","05 Jun 2024","-","-","-","19415.27"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","04 Jun 2024","-","-","-","18735.41"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","03 Jun 2024","-","-","-","20272.87"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","31 May 2024","-","-","-","19568.02"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","30 May 2024","-","-","-","19600.65"
