"Index Name","Date","Open","High","Low","Close"
"NIFTY COMMODITIES","28 Jun 2024","9225.55","9302.9","9219.45","9266.70"
"NIFTY COMMODITIES","27 Jun 2024","9105.9","9228.15","9098.9","9207.00"
"NIFTY COMMODITIES","26 Jun 2024","9053.1","9098","9016","9085.55"
"NIFTY COMMODITIES","25 Jun 2024","9133.35","9145.7","9039.35","9055.45"
"NIFTY COMMODITIES","24 Jun 2024","9090.25","9124.05","9009.75","9110.40"
"NIFTY COMMODITIES","21 Jun 2024","9195.75","9203.35","9093.1","9125.25"
"NIFTY COMMODITIES","20 Jun 2024","9108.4","9210.7","9048.1","9171.75"
"NIFTY COMMODITIES","19 Jun 2024","9225.85","9228.55","9062.15","9081.00"
"NIFTY COMMODITIES","18 Jun 2024","9255.7","9255.7","9173.85","9199.80"
"NIFTY COMMODITIES","14 Jun 2024","9195.8","9227","9144.2","9201.00"
"NIFTY COMMODITIES","13 Jun 2024","9233.65","9233.7","9114.4","9168.15"
"NIFTY COMMODITIES","12 Jun 2024","9142.65","9192.3","9129.6","9159.30"
"NIFTY COMMODITIES","11 Jun 2024","9124.95","9161.55","9058.95","9106.10"
"NIFTY COMMODITIES","10 Jun 2024","9073.45","9129.4","9020.9","9078.95"
"NIFTY COMMODITIES","07 Jun 2024","8807.55","9023.2","8762.3","9011.55"
"NIFTY COMMODITIES","06 Jun 2024","8801.65","8943.35","8757.35","8817.80"
"NIFTY COMMODITIES","05 Jun 2024","8521.75","8704.95","8160.3","8693.70"
"NIFTY COMMODITIES","04 Jun 2024","9352.7","9353.1","8073.25","8370.70"
"NIFTY COMMODITIES","03 Jun 2024","9348.55","9390.65","9191.85","9364.05"
"NIFTY COMMODITIES","31 May 2024","8881.95","8953.55","8820.1","8885.60"
"NIFTY COMMODITIES","30 May 2024","8956.6","8962.45","8793.1","8825.80"
"NIFTY COMMODITIES","29 May 2024","8994.7","9030.55","8951.35","8974.75"
"NIFTY COMMODITIES","28 May 2024","9135.85","9152.8","9000.95","9028.80"
"NIFTY COMMODITIES","27 May 2024","9194.7","9204.75","9074.8","9101.20"
"NIFTY COMMODITIES","24 May 2024","9146.5","9209.6","9123.8","9141.85"
"NIFTY COMMODITIES","23 May 2024","9098.6","9150.25","9023.9","9140.95"
"NIFTY COMMODITIES","22 May 2024","9123.15","9141.35","9025.95","9094.00"
"NIFTY COMMODITIES","21 May 2024","8896.5","9082.9","8877.5","9066.35"
"NIFTY COMMODITIES","18 May 2024","8896","8901.75","8874.15","8883.95"
"NIFTY COMMODITIES","17 May 2024","8794.3","8872.1","8782","8863.85"
"NIFTY COMMODITIES","16 May 2024","8806.8","8807.4","8659.95","8783.30"
"NIFTY COMMODITIES","15 May 2024","8724.95","8787.5","8710.95","8753.50"
"NIFTY COMMODITIES","14 May 2024","8561.15","8693.2","8553.5","8683.20"
