"Index Name","Date","Open","High","Low","Close"
"NIFTY CONSUMER DURABLES","28 Jun 2024","38300.05","38559.65","38238.2","38357.90"
"NIFTY CONSUMER DURABLES","27 Jun 2024","38369.2","38448.45","38021.35","38254.35"
"NIFTY CONSUMER DURABLES","26 Jun 2024","38377.65","38515.45","38197.55","38239.30"
"NIFTY CONSUMER DURABLES","25 Jun 2024","38513.95","38704.8","38384.95","38423.45"
"NIFTY CONSUMER DURABLES","24 Jun 2024","38066.4","38555.65","37951.25","38449.85"
"NIFTY CONSUMER DURABLES","21 Jun 2024","37947.4","38475.1","37851.05","38161.90"
"NIFTY CONSUMER DURABLES","20 Jun 2024","37950.75","38002.15","37725.75","37879.35"
"NIFTY CONSUMER DURABLES","19 Jun 2024","38719.2","38727.4","37778.1","37827.55"
"NIFTY CONSUMER DURABLES","18 Jun 2024","38121.45","38671","38084.75","38582.85"
"NIFTY CONSUMER DURABLES","14 Jun 2024","37762.1","38039","37629.25","37978.95"
"NIFTY CONSUMER DURABLES","13 Jun 2024","37201.95","37567.3","37020.65","37529.90"
"NIFTY CONSUMER DURABLES","12 Jun 2024","36830.9","36961.9","36701.5","36892.50"
"NIFTY CONSUMER DURABLES","11 Jun 2024","36732.55","36850.8","36639.75","36735.45"
"NIFTY CONSUMER DURABLES","10 Jun 2024","36537.75","36767.75","36441.25","36642.65"
"NIFTY CONSUMER DURABLES","07 Jun 2024","35841.25","36439.6","35793.25","36384.90"
"NIFTY CONSUMER DURABLES","06 Jun 2024","35608.2","35995.5","35496.55","35730.40"
"NIFTY CONSUMER DURABLES","05 Jun 2024","34490.25","35462.45","33838.7","35381.35"
"NIFTY CONSUMER DURABLES","04 Jun 2024","35558.05","35604.05","32654.4","34214.80"
"NIFTY CONSUMER DURABLES","03 Jun 2024","36099.65","36208.35","35522.9","35582.45"
"NIFTY CONSUMER DURABLES","31 May 2024","35061.9","35279.5","34874.3","35130.20"
"NIFTY CONSUMER DURABLES","30 May 2024","35414","35460.9","34812.55","34911.55"
"NIFTY CONSUMER DURABLES","29 May 2024","35483.95","35721.35","35377.95","35503.00"
"NIFTY CONSUMER DURABLES","28 May 2024","35692.25","35811.9","35376.8","35511.45"
"NIFTY CONSUMER DURABLES","27 May 2024","35681.05","35911.35","35462.2","35644.55"
"NIFTY CONSUMER DURABLES","24 May 2024","35615.1","35839.75","35489.15","35553.35"
"NIFTY CONSUMER DURABLES","23 May 2024","35324.85","35637.3","35174.6","35599.30"
"NIFTY CONSUMER DURABLES","22 May 2024","35443.35","35571.35","35084.55","35250.55"
"NIFTY CONSUMER DURABLES","21 May 2024","35233.35","35358.85","35141.5","35309.40"
"NIFTY CONSUMER DURABLES","18 May 2024","35178.55","35316.3","35095.8","35231.95"
"NIFTY CONSUMER DURABLES","17 May 2024","34340.7","35121.1","34294.95","35063.35"
"NIFTY CONSUMER DURABLES","16 May 2024","33596.55","34245.9","33545.95","34115.05"
"NIFTY CONSUMER DURABLES","15 May 2024","33519.8","33648.65","33399.4","33537.60"
"NIFTY CONSUMER DURABLES","14 May 2024","33157.8","33496.35","33063.45","33373.30"
"NIFTY CONSUMER DURABLES","13 May 2024","33299.75","33334","32705.55","33080.10"
"NIFTY CONSUMER DURABLES","10 May 2024","32982.6","33290.25","32824.2","33216.05"
"NIFTY CONSUMER DURABLES","09 May 2024","33341.65","33543.45","32820.5","32868.80"
"NIFTY CONSUMER DURABLES","08 May 2024","33038.25","33348.65","32748.6","33277.25"
"NIFTY CONSUMER DURABLES","07 May 2024","33794.85","33800.75","33093.1","33297.85"
"NIFTY CONSUMER DURABLES","06 May 2024","34445.05","34478.5","33543.2","33598.20"
"NIFTY CONSUMER DURABLES","03 May 2024","34854.85","34857.95","34208.4","34477.55"
"NIFTY CONSUMER DURABLES","02 May 2024","34768.45","34878.4","34579.05","34626.90"
"NIFTY CONSUMER DURABLES","30 Apr 2024","34582.7","34778.5","34570.9","34630.10"
"NIFTY CONSUMER DURABLES","29 Apr 2024","34636.35","34734.95","34443.4","34550.65"
"NIFTY CONSUMER DURABLES","26 Apr 2024","34060.95","34537.9","33999.8","34495.55"
"NIFTY CONSUMER DURABLES","25 Apr 2024","34032.15","34035.45","33750.4","33913.40"
"NIFTY CONSUMER DURABLES","24 Apr 2024","33906.05","34088.85","33836.7","34060.00"
"NIFTY CONSUMER DURABLES","23 Apr 2024","33744.9","33866.6","33630.5","33755.80"
"NIFTY CONSUMER DURABLES","22 Apr 2024","33171","33614.35","33030.95","33538.90"
