"Index Name","Date","Open","High","Low","Close"
"NIFTY CORE HOUSING","01 Jul 2024","-","-","-","17282.66"
"NIFTY CORE HOUSING","28 Jun 2024","-","-","-","17074.90"
"NIFTY CORE HOUSING","27 Jun 2024","-","-","-","17062.68"
"NIFTY CORE HOUSING","26 Jun 2024","-","-","-","16892.14"
"NIFTY CORE HOUSING","25 Jun 2024","-","-","-","16887.36"
"NIFTY CORE HOUSING","24 Jun 2024","-","-","-","16962.04"
"NIFTY CORE HOUSING","21 Jun 2024","-","-","-","16846.84"
"NIFTY CORE HOUSING","20 Jun 2024","-","-","-","16938.53"
"NIFTY CORE HOUSING","19 Jun 2024","-","-","-","16810.70"
"NIFTY CORE HOUSING","18 Jun 2024","-","-","-","17094.22"
"NIFTY CORE HOUSING","14 Jun 2024","-","-","-","17007.43"
"NIFTY CORE HOUSING","13 Jun 2024","-","-","-","16872.50"
"NIFTY CORE HOUSING","12 Jun 2024","-","-","-","16690.94"
"NIFTY CORE HOUSING","11 Jun 2024","-","-","-","16555.87"
"NIFTY CORE HOUSING","10 Jun 2024","-","-","-","16487.57"
"NIFTY CORE HOUSING","07 Jun 2024","-","-","-","16161.10"
"NIFTY CORE HOUSING","06 Jun 2024","-","-","-","15876.54"
"NIFTY CORE HOUSING","05 Jun 2024","-","-","-","15620.35"
"NIFTY CORE HOUSING","04 Jun 2024","-","-","-","15146.83"
"NIFTY CORE HOUSING","03 Jun 2024","-","-","-","16187.59"
"NIFTY CORE HOUSING","31 May 2024","-","-","-","15646.41"
"NIFTY CORE HOUSING","30 May 2024","-","-","-","15532.05"
"NIFTY CORE HOUSING","29 May 2024","-","-","-","15713.98"
"NIFTY CORE HOUSING","28 May 2024","-","-","-","15805.81"
"NIFTY CORE HOUSING","27 May 2024","-","-","-","15857.27"
"NIFTY CORE HOUSING","24 May 2024","-","-","-","15838.24"
"NIFTY CORE HOUSING","23 May 2024","-","-","-","15866.79"
"NIFTY CORE HOUSING","22 May 2024","-","-","-","15699.89"
"NIFTY CORE HOUSING","21 May 2024","-","-","-","15607.74"
"NIFTY CORE HOUSING","18 May 2024","-","-","-","15552.99"
"NIFTY CORE HOUSING","17 May 2024","-","-","-","15494.17"
"NIFTY CORE HOUSING","16 May 2024","-","-","-","15245.58"
"NIFTY CORE HOUSING","15 May 2024","-","-","-","15084.37"
"NIFTY CORE HOUSING","14 May 2024","-","-","-","15078.85"
"NIFTY CORE HOUSING","13 May 2024","-","-","-","14974.48"
"NIFTY CORE HOUSING","10 May 2024","-","-","-","14796.21"
"NIFTY CORE HOUSING","09 May 2024","-","-","-","14668.42"
"NIFTY CORE HOUSING","08 May 2024","-","-","-","14984.48"
"NIFTY CORE HOUSING","07 May 2024","-","-","-","15060.64"
"NIFTY CORE HOUSING","06 May 2024","-","-","-","15296.51"
"NIFTY CORE HOUSING","03 May 2024","-","-","-","15292.60"
"NIFTY CORE HOUSING","02 May 2024","-","-","-","15366.27"
"NIFTY CORE HOUSING","30 Apr 2024","-","-","-","15256.45"
"NIFTY CORE HOUSING","29 Apr 2024","-","-","-","15157.06"
"NIFTY CORE HOUSING","26 Apr 2024","-","-","-","15082.32"
"NIFTY CORE HOUSING","25 Apr 2024","-","-","-","15022.48"
