"Index Name","Date","Open","High","Low","Close"
"NIFTY CPSE","01 Jul 2024","6849.15","6862.75","6748.3","6773.85"
"NIFTY CPSE","28 Jun 2024","6784.5","6879.6","6776.95","6806.75"
"NIFTY CPSE","27 Jun 2024","6710.05","6773.7","6670.05","6753.05"
"NIFTY CPSE","26 Jun 2024","6700.75","6732.85","6669.85","6701.55"
"NIFTY CPSE","25 Jun 2024","6772.15","6783.25","6684.85","6695.00"
"NIFTY CPSE","24 Jun 2024","6686.05","6763.8","6637.25","6745.40"
"NIFTY CPSE","21 Jun 2024","6752.35","6801.5","6692.1","6708.40"
"NIFTY CPSE","20 Jun 2024","6754.65","6770.5","6655.85","6732.05"
"NIFTY CPSE","19 Jun 2024","6887.1","6898.5","6721.35","6743.20"
"NIFTY CPSE","18 Jun 2024","6830.35","6870.9","6813.4","6865.20"
"NIFTY CPSE","14 Jun 2024","6770.85","6782.85","6703.9","6774.85"
"NIFTY CPSE","13 Jun 2024","6773.3","6773.3","6646.9","6735.70"
"NIFTY CPSE","12 Jun 2024","6661.8","6744.6","6616.6","6708.35"
"NIFTY CPSE","11 Jun 2024","6577.9","6649","6540.75","6602.30"
"NIFTY CPSE","10 Jun 2024","6560.7","6601.7","6477.5","6502.55"
"NIFTY CPSE","07 Jun 2024","6317.75","6482.8","6262.8","6474.90"
"NIFTY CPSE","06 Jun 2024","6262.35","6458","6236.4","6309.00"
"NIFTY CPSE","05 Jun 2024","6138","6165.5","5732.8","6128.25"
"NIFTY CPSE","04 Jun 2024","7028.7","7028.7","5679.55","5997.85"
"NIFTY CPSE","03 Jun 2024","7062.5","7105.55","6877.85","7059.80"
"NIFTY CPSE","31 May 2024","6565.25","6612.65","6476.55","6587.90"
"NIFTY CPSE","30 May 2024","6617.85","6633.95","6484.7","6513.65"
"NIFTY CPSE","29 May 2024","6549.75","6648.45","6524.15","6627.10"
"NIFTY CPSE","28 May 2024","6744.9","6744.9","6576.8","6602.35"
"NIFTY CPSE","27 May 2024","6844.15","6844.75","6656.15","6710.10"
"NIFTY CPSE","24 May 2024","6735.35","6823.7","6720.3","6774.15"
"NIFTY CPSE","23 May 2024","6729.45","6750","6673.35","6741.70"
"NIFTY CPSE","22 May 2024","6733.15","6753.3","6604.9","6726.90"
"NIFTY CPSE","21 May 2024","6540","6685.2","6509.05","6669.10"
"NIFTY CPSE","18 May 2024","6441.75","6486.95","6426.95","6462.15"
"NIFTY CPSE","17 May 2024","6359.3","6423.4","6331.5","6398.90"
"NIFTY CPSE","16 May 2024","6318.85","6345.1","6191.05","6323.70"
"NIFTY CPSE","15 May 2024","6223.2","6305.85","6215.4","6291.50"
"NIFTY CPSE","14 May 2024","6098.85","6205.9","6096.85","6199.30"
"NIFTY CPSE","13 May 2024","6140.8","6141.95","5953.2","6073.70"
"NIFTY CPSE","10 May 2024","6050.05","6133.1","5987.2","6123.55"
"NIFTY CPSE","09 May 2024","6242.6","6267.1","5999.15","6017.60"
"NIFTY CPSE","08 May 2024","6083.6","6268.95","6066.3","6221.80"
"NIFTY CPSE","07 May 2024","6288.45","6295.95","6086.7","6108.45"
"NIFTY CPSE","06 May 2024","6408.85","6410.9","6183.85","6267.35"
"NIFTY CPSE","03 May 2024","6368.55","6444.4","6292.75","6368.30"
"NIFTY CPSE","02 May 2024","6264.9","6375.15","6233.2","6336.60"
"NIFTY CPSE","30 Apr 2024","6249.8","6292.9","6221.1","6253.95"
"NIFTY CPSE","29 Apr 2024","6243.05","6252.85","6191","6223.50"
"NIFTY CPSE","26 Apr 2024","6210.5","6245.2","6184.9","6206.65"
"NIFTY CPSE","25 Apr 2024","6106.5","6196.5","6082.15","6185.55"
"NIFTY CPSE","24 Apr 2024","6057.45","6136.7","6046.4","6104.75"
"NIFTY CPSE","23 Apr 2024","6020.4","6048.95","5991.5","6035.95"
"NIFTY CPSE","22 Apr 2024","6048.5","6048.5","5980.5","5995.15"
"NIFTY CPSE","19 Apr 2024","5936.5","6014.05","5882.35","5982.80"
"NIFTY CPSE","18 Apr 2024","6160.7","6173.25","5961","5984.60"
"NIFTY CPSE","16 Apr 2024","6022.8","6127.05","5981.9","6077.30"
"NIFTY CPSE","15 Apr 2024","5953.35","6109.9","5895.5","6056.60"
"NIFTY CPSE","12 Apr 2024","6090.55","6160.65","6031.55","6038.60"
"NIFTY CPSE","10 Apr 2024","6046.70","6118.05","6040.30","6093.55"
"NIFTY CPSE","09 Apr 2024","6064.60","6071.30","5988.25","6032.30"
"NIFTY CPSE","08 Apr 2024","6026.35","6057.70","5998.30","6046.35"
"NIFTY CPSE","05 Apr 2024","5992.35","6017.25","5930.85","5999.65"
"NIFTY CPSE","04 Apr 2024","6060.10","6077.15","5923.85","5979.20"
"NIFTY CPSE","03 Apr 2024","5957.95","6019.30","5928.80","6000.85"
"NIFTY CPSE","02 Apr 2024","5880.15","5953.95","5869.00","5945.90"
"NIFTY CPSE","01 Apr 2024","5813.00","5872.95","5790.25","5867.10"
"NIFTY CPSE","28 Mar 2024","5697.60","5803.80","5692.40","5759.35"
"NIFTY CPSE","27 Mar 2024","5712.05","5745.75","5656.55","5671.90"
"NIFTY CPSE","26 Mar 2024","5622.10","5707.30","5595.10","5686.50"
"NIFTY CPSE","22 Mar 2024","5640.80","5703.00","5588.50","5660.30"
"NIFTY CPSE","21 Mar 2024","5549.65","5657.95","5543.75","5647.55"
"NIFTY CPSE","20 Mar 2024","5462.15","5500.80","5378.90","5492.60"
"NIFTY CPSE","19 Mar 2024","5478.50","5515.50","5404.40","5435.05"
"NIFTY CPSE","18 Mar 2024","5499.35","5547.55","5456.65","5509.10"
"NIFTY CPSE","15 Mar 2024","5600.35","5635.15","5295.45","5486.65"
"NIFTY CPSE","14 Mar 2024","5437.60","5600.05","5402.10","5582.15"
"NIFTY CPSE","13 Mar 2024","5850.50","5853.45","5396.45","5457.45"
"NIFTY CPSE","12 Mar 2024","5943.00","5949.65","5840.05","5859.55"
"NIFTY CPSE","11 Mar 2024","6041.10","6055.85","5936.20","5950.85"
"NIFTY CPSE","07 Mar 2024","6050.10","6098.75","6022.45","6039.70"
"NIFTY CPSE","06 Mar 2024","6091.15","6113.90","5914.00","6045.70"
"NIFTY CPSE","05 Mar 2024","6036.30","6100.90","6008.75","6091.80"
"NIFTY CPSE","04 Mar 2024","5943.85","6054.55","5938.30","6031.40"
"NIFTY CPSE","02 Mar 2024","5908.55","5914.70","5877.95","5898.90"
"NIFTY CPSE","01 Mar 2024","5807.40","5895.75","5807.10","5887.05"
"NIFTY CPSE","29 Feb 2024","5779.20","5801.40","5667.50","5776.15"
"NIFTY CPSE","28 Feb 2024","5871.00","5887.55","5740.10","5757.35"
"NIFTY CPSE","27 Feb 2024","5832.05","5886.30","5824.75","5868.45"
"NIFTY CPSE","26 Feb 2024","5863.45","5890.05","5836.60","5858.55"
"NIFTY CPSE","23 Feb 2024","5875.05","5881.15","5822.65","5861.55"
"NIFTY CPSE","22 Feb 2024","5796.80","5871.75","5679.75","5855.90"
"NIFTY CPSE","21 Feb 2024","5916.10","5935.00","5741.80","5762.15"
"NIFTY CPSE","20 Feb 2024","5863.40","5921.15","5828.75","5897.70"
"NIFTY CPSE","19 Feb 2024","5885.70","5934.60","5830.90","5850.15"
"NIFTY CPSE","16 Feb 2024","5915.25","5932.50","5841.40","5854.70"
"NIFTY CPSE","15 Feb 2024","5737.00","5907.45","5727.80","5885.40"
"NIFTY CPSE","14 Feb 2024","5524.85","5714.65","5483.05","5695.65"
"NIFTY CPSE","13 Feb 2024","5478.55","5561.55","5399.15","5542.60"
"NIFTY CPSE","12 Feb 2024","5685.10","5698.65","5420.50","5453.50"
"NIFTY CPSE","09 Feb 2024","5856.60","5865.25","5565.75","5711.50"
"NIFTY CPSE","08 Feb 2024","5786.15","5883.80","5763.05","5818.00"
"NIFTY CPSE","07 Feb 2024","5812.35","5824.10","5703.00","5740.85"
"NIFTY CPSE","06 Feb 2024","5797.75","5798.75","5655.75","5775.25"
"NIFTY CPSE","05 Feb 2024","5716.25","5880.90","5672.75","5758.75"
"NIFTY CPSE","02 Feb 2024","5473.25","5662.35","5469.30","5647.80"
"NIFTY CPSE","01 Feb 2024","5445.30","5494.90","5386.30","5435.60"
"NIFTY CPSE","31 Jan 2024","5383.50","5421.80","5341.95","5410.40"
"NIFTY CPSE","30 Jan 2024","5455.35","5463.50","5345.80","5353.00"
"NIFTY CPSE","29 Jan 2024","5248.15","5442.95","5238.95","5420.00"
"NIFTY CPSE","25 Jan 2024","5158.35","5219.65","5150.15","5188.65"
"NIFTY CPSE","24 Jan 2024","5023.20","5147.10","4969.60","5135.55"
"NIFTY CPSE","23 Jan 2024","5261.00","5270.55","4987.35","5012.45"
"NIFTY CPSE","20 Jan 2024","5143.20","5243.95","5137.70","5187.35"
"NIFTY CPSE","19 Jan 2024","5031.40","5116.75","5021.75","5105.50"
"NIFTY CPSE","18 Jan 2024","4963.05","5001.30","4863.75","4980.65"
"NIFTY CPSE","17 Jan 2024","5027.30","5095.05","4996.80","5030.60"
"NIFTY CPSE","16 Jan 2024","5107.95","5118.45","5007.90","5054.70"
"NIFTY CPSE","15 Jan 2024","5024.25","5098.30","4978.25","5093.20"
"NIFTY CPSE","12 Jan 2024","4984.10","4990.10","4934.55","4980.75"
"NIFTY CPSE","11 Jan 2024","4976.65","4984.55","4941.25","4958.05"
"NIFTY CPSE","10 Jan 2024","4985.35","4988.95","4892.05","4944.10"
"NIFTY CPSE","09 Jan 2024","5004.80","5024.45","4974.55","4995.40"
"NIFTY CPSE","08 Jan 2024","5011.40","5018.10","4963.15","4970.25"
"NIFTY CPSE","05 Jan 2024","5019.05","5045.55","4956.35","4983.65"
"NIFTY CPSE","04 Jan 2024","4923.15","5000.45","4906.90","4982.95"
"NIFTY CPSE","03 Jan 2024","4894.85","4909.10","4851.30","4883.05"
"NIFTY CPSE","02 Jan 2024","4914.25","4918.85","4834.20","4897.80"
"NIFTY CPSE","01 Jan 2024","4880.65","4917.60","4868.50","4885.80"
"NIFTY CPSE","29 Dec 2023","4899.75","4899.75","4829.70","4860.45"
"NIFTY CPSE","28 Dec 2023","4825.70","4909.15","4810.95","4901.00"
"NIFTY CPSE","27 Dec 2023","4858.35","4867.70","4778.65","4797.20"
"NIFTY CPSE","26 Dec 2023","4764.10","4841.00","4757.50","4819.65"
"NIFTY CPSE","22 Dec 2023","4721.60","4753.10","4685.60","4732.15"
"NIFTY CPSE","21 Dec 2023","4581.75","4695.35","4555.90","4687.80"
"NIFTY CPSE","20 Dec 2023","4772.70","4841.00","4592.80","4609.15"
"NIFTY CPSE","19 Dec 2023","4674.45","4752.50","4652.30","4738.70"
"NIFTY CPSE","18 Dec 2023","4696.35","4696.35","4639.35","4653.35"
"NIFTY CPSE","15 Dec 2023","4628.20","4692.50","4593.50","4682.30"
"NIFTY CPSE","14 Dec 2023","4610.80","4612.70","4569.70","4586.75"
"NIFTY CPSE","13 Dec 2023","4515.50","4574.30","4500.30","4569.00"
"NIFTY CPSE","12 Dec 2023","4552.90","4565.40","4484.05","4508.20"
"NIFTY CPSE","11 Dec 2023","4520.15","4572.15","4511.80","4550.80"
"NIFTY CPSE","08 Dec 2023","4561.70","4593.45","4459.90","4507.75"
"NIFTY CPSE","07 Dec 2023","4512.50","4560.85","4477.40","4535.50"
"NIFTY CPSE","06 Dec 2023","4512.45","4519.20","4451.60","4484.45"
"NIFTY CPSE","05 Dec 2023","4419.75","4485.15","4368.65","4477.70"
"NIFTY CPSE","04 Dec 2023","4367.65","4439.80","4359.55","4409.50"
"NIFTY CPSE","01 Dec 2023","4272.15","4340.15","4268.60","4291.65"
"NIFTY CPSE","30 Nov 2023","4214.15","4254.65","4193.65","4242.50"
"NIFTY CPSE","29 Nov 2023","4219.85","4221.70","4187.45","4207.30"
"NIFTY CPSE","28 Nov 2023","4171.75","4204.85","4141.80","4199.50"
"NIFTY CPSE","24 Nov 2023","4156.70","4176.75","4135.70","4141.35"
"NIFTY CPSE","23 Nov 2023","4161.90","4173.75","4133.30","4147.85"
"NIFTY CPSE","22 Nov 2023","4153.75","4169.05","4127.40","4157.70"
"NIFTY CPSE","21 Nov 2023","4171.40","4174.20","4119.85","4147.45"
"NIFTY CPSE","20 Nov 2023","4165.60","4184.10","4140.45","4150.50"
"NIFTY CPSE","17 Nov 2023","4158.25","4158.35","4124.95","4148.90"
"NIFTY CPSE","16 Nov 2023","4158.75","4182.20","4144.60","4151.65"
"NIFTY CPSE","15 Nov 2023","4197.60","4197.70","4142.65","4148.15"
"NIFTY CPSE","13 Nov 2023","4072.15","4149.55","4057.55","4134.35"
"NIFTY CPSE","12 Nov 2023","4090.20","4099.00","4067.00","4074.35"
"NIFTY CPSE","10 Nov 2023","3999.45","4039.65","3985.15","4036.10"
"NIFTY CPSE","09 Nov 2023","4002.55","4009.95","3974.65","3997.70"
"NIFTY CPSE","08 Nov 2023","3990.15","4003.10","3985.00","3994.30"
"NIFTY CPSE","07 Nov 2023","3969.20","3999.05","3952.75","3976.35"
"NIFTY CPSE","06 Nov 2023","3927.30","3971.50","3926.95","3967.25"
"NIFTY CPSE","03 Nov 2023","3890.80","3924.60","3887.90","3912.05"
"NIFTY CPSE","02 Nov 2023","3872.45","3890.75","3865.60","3884.55"
"NIFTY CPSE","01 Nov 2023","3886.90","3895.15","3845.25","3848.60"
"NIFTY CPSE","31 Oct 2023","3897.80","3902.45","3862.40","3882.45"
"NIFTY CPSE","30 Oct 2023","3884.05","3890.70","3835.00","3884.70"
"NIFTY CPSE","27 Oct 2023","3801.05","3878.50","3801.05","3871.15"
"NIFTY CPSE","26 Oct 2023","3810.35","3813.90","3753.80","3791.85"
"NIFTY CPSE","25 Oct 2023","3845.10","3869.60","3784.25","3829.00"
"NIFTY CPSE","23 Oct 2023","3918.10","3924.90","3832.05","3847.55"
"NIFTY CPSE","20 Oct 2023","3940.95","3948.15","3903.65","3920.00"
"NIFTY CPSE","19 Oct 2023","3935.95","3955.45","3913.80","3946.85"
"NIFTY CPSE","18 Oct 2023","4002.00","4004.60","3952.00","3962.15"
"NIFTY CPSE","17 Oct 2023","3956.10","3991.95","3945.90","3986.75"
"NIFTY CPSE","16 Oct 2023","3920.60","3951.65","3911.85","3941.30"
"NIFTY CPSE","13 Oct 2023","3888.40","3925.35","3883.30","3912.30"
"NIFTY CPSE","12 Oct 2023","3867.00","3916.75","3865.10","3905.10"
"NIFTY CPSE","11 Oct 2023","3877.90","3883.75","3860.30","3866.30"
"NIFTY CPSE","10 Oct 2023","3808.35","3876.65","3804.30","3869.70"
"NIFTY CPSE","09 Oct 2023","3793.95","3807.40","3758.45","3792.85"
"NIFTY CPSE","06 Oct 2023","3822.40","3825.90","3793.80","3813.70"
"NIFTY CPSE","05 Oct 2023","3821.05","3837.35","3781.35","3808.55"
"NIFTY CPSE","04 Oct 2023","3848.65","3849.45","3783.35","3817.20"
"NIFTY CPSE","03 Oct 2023","3894.30","3894.30","3849.50","3859.50"
"NIFTY CPSE","29 Sep 2023","3864.20","3922.15","3857.90","3909.90"
