"Index Name","Date","Open","High","Low","Close"
"NIFTY DIVIDEND OPPORTUNITIES 50","01 Jul 2024","6255","6297.3","6247.25","6292.85"
"NIFTY DIVIDEND OPPORTUNITIES 50","28 Jun 2024","6242.2","6289.4","6237.85","6246.05"
"NIFTY DIVIDEND OPPORTUNITIES 50","27 Jun 2024","6175.35","6242.95","6165.55","6230.15"
"NIFTY DIVIDEND OPPORTUNITIES 50","26 Jun 2024","6186.85","6197.3","6164.35","6180.55"
"NIFTY DIVIDEND OPPORTUNITIES 50","25 Jun 2024","6199.05","6206.65","6165.3","6188.55"
"NIFTY DIVIDEND OPPORTUNITIES 50","24 Jun 2024","6149.6","6200.75","6121.35","6186.00"
"NIFTY DIVIDEND OPPORTUNITIES 50","21 Jun 2024","6225.9","6243.85","6162.5","6176.70"
"NIFTY DIVIDEND OPPORTUNITIES 50","20 Jun 2024","6196.9","6205.95","6146.8","6189.25"
"NIFTY DIVIDEND OPPORTUNITIES 50","19 Jun 2024","6257.7","6258.95","6174.7","6187.35"
"NIFTY DIVIDEND OPPORTUNITIES 50","18 Jun 2024","6244.9","6254.3","6231.45","6237.95"
"NIFTY DIVIDEND OPPORTUNITIES 50","14 Jun 2024","6228.05","6229.65","6195.2","6219.60"
"NIFTY DIVIDEND OPPORTUNITIES 50","13 Jun 2024","6225.65","6225.7","6186.4","6211.95"
"NIFTY DIVIDEND OPPORTUNITIES 50","12 Jun 2024","6186.6","6209.9","6172.25","6186.15"
"NIFTY DIVIDEND OPPORTUNITIES 50","11 Jun 2024","6145.15","6183.45","6126.5","6149.95"
"NIFTY DIVIDEND OPPORTUNITIES 50","10 Jun 2024","6169","6182.05","6114","6125.75"
"NIFTY DIVIDEND OPPORTUNITIES 50","07 Jun 2024","6030.9","6151.95","6015.95","6143.20"
"NIFTY DIVIDEND OPPORTUNITIES 50","06 Jun 2024","5962.5","6057.2","5944.3","6020.60"
"NIFTY DIVIDEND OPPORTUNITIES 50","05 Jun 2024","5793.7","5900.4","5634.55","5887.65"
"NIFTY DIVIDEND OPPORTUNITIES 50","04 Jun 2024","6180.65","6181.7","5490.1","5705.35"
"NIFTY DIVIDEND OPPORTUNITIES 50","03 Jun 2024","6183.1","6207.9","6116.4","6196.05"
"NIFTY DIVIDEND OPPORTUNITIES 50","31 May 2024","5956.8","5971.6","5904.05","5944.45"
"NIFTY DIVIDEND OPPORTUNITIES 50","30 May 2024","6017.15","6033.7","5910.4","5932.35"
"NIFTY DIVIDEND OPPORTUNITIES 50","29 May 2024","6041.8","6068.3","6029.65","6036.95"
"NIFTY DIVIDEND OPPORTUNITIES 50","28 May 2024","6115.3","6118.4","6046.25","6068.80"
"NIFTY DIVIDEND OPPORTUNITIES 50","27 May 2024","6127.3","6131.45","6073.2","6097.80"
"NIFTY DIVIDEND OPPORTUNITIES 50","24 May 2024","6095.5","6126.25","6085.2","6093.65"
"NIFTY DIVIDEND OPPORTUNITIES 50","23 May 2024","6065.6","6106.3","6045.15","6100.85"
"NIFTY DIVIDEND OPPORTUNITIES 50","22 May 2024","6064.5","6064.6","6005.85","6053.95"
"NIFTY DIVIDEND OPPORTUNITIES 50","21 May 2024","5993.75","6045.65","5990.35","6039.70"
"NIFTY DIVIDEND OPPORTUNITIES 50","18 May 2024","5988.25","6002.9","5983.65","5994.95"
"NIFTY DIVIDEND OPPORTUNITIES 50","17 May 2024","5969.3","5971.95","5940.85","5964.80"
"NIFTY DIVIDEND OPPORTUNITIES 50","16 May 2024","5948.95","5955.25","5863.4","5948.40"
"NIFTY DIVIDEND OPPORTUNITIES 50","15 May 2024","5901.25","5934.25","5893.05","5910.15"
"NIFTY DIVIDEND OPPORTUNITIES 50","14 May 2024","5851.65","5893.5","5835.8","5883.70"
"NIFTY DIVIDEND OPPORTUNITIES 50","13 May 2024","5853.35","5857.6","5747.25","5837.30"
