"Index Name","Date","Open","High","Low","Close"
"NIFTY ENERGY","01 Jul 2024","41854.3","41921.15","41480.9","41569.80"
"NIFTY ENERGY","28 Jun 2024","41438.35","42029.95","41437.8","41789.20"
"NIFTY ENERGY","27 Jun 2024","40861.35","41479","40729.15","41342.35"
"NIFTY ENERGY","26 Jun 2024","40225.75","40883.6","40145.55","40822.60"
"NIFTY ENERGY","25 Jun 2024","40562.8","40606.05","40135.75","40255.20"
"NIFTY ENERGY","24 Jun 2024","40297.95","40590.8","40089.7","40464.15"
"NIFTY ENERGY","21 Jun 2024","40856.05","40876.05","40361.55","40457.55"
"NIFTY ENERGY","20 Jun 2024","40686.2","40915.85","40282.75","40753.95"
"NIFTY ENERGY","19 Jun 2024","41432.15","41458.25","40556.8","40600.90"
"NIFTY ENERGY","18 Jun 2024","41353.5","41355.6","41091.6","41307.25"
"NIFTY ENERGY","14 Jun 2024","41085.95","41097.85","40727.15","41040.00"
"NIFTY ENERGY","13 Jun 2024","41357.7","41357.7","40803.45","40943.25"
"NIFTY ENERGY","12 Jun 2024","40892.9","41266.05","40705.5","40995.65"
"NIFTY ENERGY","11 Jun 2024","40737.35","40877.35","40394.4","40620.80"
"NIFTY ENERGY","10 Jun 2024","40671.1","41019.95","40388.05","40510.05"
"NIFTY ENERGY","07 Jun 2024","39298.2","40350.75","39106","40283.30"
"NIFTY ENERGY","06 Jun 2024","39407.25","40061.65","39048.6","39339.65"
"NIFTY ENERGY","05 Jun 2024","38514","38799.9","36522.05","38712.35"
"NIFTY ENERGY","04 Jun 2024","42881.6","42881.6","36244","37624.10"
"NIFTY ENERGY","03 Jun 2024","42628.3","43084.75","41894.55","42981.90"
"NIFTY ENERGY","31 May 2024","40210.25","40476.7","39922.25","40255.50"
"NIFTY ENERGY","30 May 2024","40471.2","40558","39801.9","39986.85"
"NIFTY ENERGY","29 May 2024","40471.15","40834","40410.6","40572.20"
"NIFTY ENERGY","28 May 2024","41445.75","41508.35","40705.45","40794.85"
"NIFTY ENERGY","27 May 2024","41842.65","41854.3","41114.2","41292.65"
"NIFTY ENERGY","24 May 2024","41536.6","41876.95","41413.25","41634.65"
"NIFTY ENERGY","23 May 2024","41318.45","41625.9","41088.5","41559.25"
"NIFTY ENERGY","22 May 2024","41204.4","41397.9","40946.9","41331.55"
"NIFTY ENERGY","21 May 2024","40307.7","41190.55","40305.4","40971.05"
"NIFTY ENERGY","18 May 2024","40480.1","40502.75","40397.75","40432.85"
"NIFTY ENERGY","17 May 2024","40118.85","40368.2","39976.05","40302.50"
"NIFTY ENERGY","16 May 2024","40122.6","40146.55","39422.85","40076.60"
"NIFTY ENERGY","15 May 2024","39617.2","40075.3","39563.95","39949.55"
"NIFTY ENERGY","14 May 2024","38939.5","39543.95","38924.2","39494.20"
"NIFTY ENERGY","13 May 2024","39092.9","39148.8","38132.75","38868.15"
"NIFTY ENERGY","10 May 2024","38687.25","39137.6","38504.4","39089.45"
"NIFTY ENERGY","09 May 2024","39622.1","39742.9","38367.65","38458.00"
"NIFTY ENERGY","08 May 2024","38911.4","39918.5","38911.4","39635.10"
"NIFTY ENERGY","07 May 2024","39976.1","40021.35","38916.85","39035.25"
"NIFTY ENERGY","06 May 2024","40689.9","40736.8","39702.65","39882.10"
"NIFTY ENERGY","03 May 2024","40973.75","41244.55","40122.15","40571.05"
"NIFTY ENERGY","02 May 2024","40490.75","40971.1","40383.85","40801.10"
"NIFTY ENERGY","30 Apr 2024","40537.2","40771.35","40311.35","40366.70"
"NIFTY ENERGY","29 Apr 2024","40116.35","40387.3","40059.6","40352.10"
"NIFTY ENERGY","26 Apr 2024","40111.2","40208.35","39902.85","39968.30"
"NIFTY ENERGY","25 Apr 2024","39520.35","40059.2","39459.05","39989.25"
"NIFTY ENERGY","24 Apr 2024","39585.25","39770.35","39498","39561.85"
"NIFTY ENERGY","23 Apr 2024","39721.55","39853","39392.05","39446.60"
"NIFTY ENERGY","22 Apr 2024","39712.25","39727.9","39458.6","39570.05"
"NIFTY ENERGY","19 Apr 2024","38987.55","39501.9","38726.85","39357.85"
"NIFTY ENERGY","18 Apr 2024","40094.95","40275.55","39244.5","39359.55"
"NIFTY ENERGY","16 Apr 2024","39426.7","39900.2","39298.25","39712.75"
"NIFTY ENERGY","15 Apr 2024","39232.9","40017","38876.9","39629.25"
"NIFTY ENERGY","12 Apr 2024","40058.6","40437.75","39714.3","39756.00"
"NIFTY ENERGY","10 Apr 2024","39785.70","40248.30","39785.70","40120.10"
"NIFTY ENERGY","09 Apr 2024","40065.80","40092.65","39602.65","39693.45"
"NIFTY ENERGY","08 Apr 2024","39649.20","40025.30","39637.45","39951.25"
"NIFTY ENERGY","05 Apr 2024","39534.55","39581.35","39157.40","39451.55"
"NIFTY ENERGY","04 Apr 2024","40023.80","40099.25","39270.70","39530.35"
"NIFTY ENERGY","03 Apr 2024","39679.80","39826.05","39562.35","39704.55"
"NIFTY ENERGY","02 Apr 2024","39503.50","39807.25","39405.70","39693.75"
"NIFTY ENERGY","01 Apr 2024","39322.55","39557.30","39227.85","39489.70"
"NIFTY ENERGY","28 Mar 2024","38803.30","39401.00","38803.30","39020.60"
"NIFTY ENERGY","27 Mar 2024","38629.90","39050.75","38599.80","38690.15"
"NIFTY ENERGY","26 Mar 2024","38096.45","38557.25","38058.90","38428.50"
"NIFTY ENERGY","22 Mar 2024","38314.05","38618.05","38107.95","38411.55"
"NIFTY ENERGY","21 Mar 2024","37984.05","38381.60","37961.40","38328.35"
"NIFTY ENERGY","20 Mar 2024","37391.50","37670.30","37058.90","37630.70"
"NIFTY ENERGY","19 Mar 2024","37592.40","37742.20","37053.85","37232.10"
"NIFTY ENERGY","18 Mar 2024","37497.25","37935.60","37284.50","37825.40"
"NIFTY ENERGY","15 Mar 2024","38042.80","38280.65","36854.95","37583.10"
