"Index Name","Date","Open","High","Low","Close"
"NIFTY EV & NEW AGE AUTOMOTIVE","01 Jul 2024","-","-","-","3315.16"
"NIFTY EV & NEW AGE AUTOMOTIVE","28 Jun 2024","-","-","-","3278.27"
"NIFTY EV & NEW AGE AUTOMOTIVE","27 Jun 2024","-","-","-","3263.38"
"NIFTY EV & NEW AGE AUTOMOTIVE","26 Jun 2024","-","-","-","3257.81"
"NIFTY EV & NEW AGE AUTOMOTIVE","25 Jun 2024","-","-","-","3269.11"
"NIFTY EV & NEW AGE AUTOMOTIVE","24 Jun 2024","-","-","-","3246.83"
"NIFTY EV & NEW AGE AUTOMOTIVE","21 Jun 2024","-","-","-","3230.36"
"NIFTY EV & NEW AGE AUTOMOTIVE","20 Jun 2024","-","-","-","3242.66"
"NIFTY EV & NEW AGE AUTOMOTIVE","19 Jun 2024","-","-","-","3230.89"
"NIFTY EV & NEW AGE AUTOMOTIVE","18 Jun 2024","-","-","-","3258.69"
"NIFTY EV & NEW AGE AUTOMOTIVE","14 Jun 2024","-","-","-","3232.56"
"NIFTY EV & NEW AGE AUTOMOTIVE","13 Jun 2024","-","-","-","3194.64"
"NIFTY EV & NEW AGE AUTOMOTIVE","12 Jun 2024","-","-","-","3168.47"
"NIFTY EV & NEW AGE AUTOMOTIVE","11 Jun 2024","-","-","-","3153.09"
"NIFTY EV & NEW AGE AUTOMOTIVE","10 Jun 2024","-","-","-","3126.67"
"NIFTY EV & NEW AGE AUTOMOTIVE","07 Jun 2024","-","-","-","3119.50"
"NIFTY EV & NEW AGE AUTOMOTIVE","06 Jun 2024","-","-","-","3060.99"
"NIFTY EV & NEW AGE AUTOMOTIVE","05 Jun 2024","-","-","-","2997.75"
"NIFTY EV & NEW AGE AUTOMOTIVE","04 Jun 2024","-","-","-","2883.32"
"NIFTY EV & NEW AGE AUTOMOTIVE","03 Jun 2024","-","-","-","3023.54"
"NIFTY EV & NEW AGE AUTOMOTIVE","31 May 2024","-","-","-","2953.12"
"NIFTY EV & NEW AGE AUTOMOTIVE","30 May 2024","-","-","-","2968.08"
"NIFTY EV & NEW AGE AUTOMOTIVE","29 May 2024","-","-","-","2998.51"
"NIFTY EV & NEW AGE AUTOMOTIVE","28 May 2024","-","-","-","3003.83"
"NIFTY EV & NEW AGE AUTOMOTIVE","27 May 2024","-","-","-","3021.81"
"NIFTY EV & NEW AGE AUTOMOTIVE","24 May 2024","-","-","-","3012.80"
"NIFTY EV & NEW AGE AUTOMOTIVE","23 May 2024","-","-","-","2988.91"
"NIFTY EV & NEW AGE AUTOMOTIVE","22 May 2024","-","-","-","2945.75"
"NIFTY EV & NEW AGE AUTOMOTIVE","21 May 2024","-","-","-","2941.98"
"NIFTY EV & NEW AGE AUTOMOTIVE","18 May 2024","-","-","-","2945.97"
"NIFTY EV & NEW AGE AUTOMOTIVE","17 May 2024","-","-","-","2939.60"
"NIFTY EV & NEW AGE AUTOMOTIVE","16 May 2024","-","-","-","2902.79"
"NIFTY EV & NEW AGE AUTOMOTIVE","15 May 2024","-","-","-","2882.13"
"NIFTY EV & NEW AGE AUTOMOTIVE","14 May 2024","-","-","-","2874.47"
"NIFTY EV & NEW AGE AUTOMOTIVE","13 May 2024","-","-","-","2823.58"
"NIFTY EV & NEW AGE AUTOMOTIVE","10 May 2024","-","-","-","2850.16"
"NIFTY EV & NEW AGE AUTOMOTIVE","09 May 2024","-","-","-","2838.19"
"NIFTY EV & NEW AGE AUTOMOTIVE","08 May 2024","-","-","-","2853.63"
"NIFTY EV & NEW AGE AUTOMOTIVE","07 May 2024","-","-","-","2832.23"
"NIFTY EV & NEW AGE AUTOMOTIVE","06 May 2024","-","-","-","2865.16"
"NIFTY EV & NEW AGE AUTOMOTIVE","03 May 2024","-","-","-","2877.17"
"NIFTY EV & NEW AGE AUTOMOTIVE","02 May 2024","-","-","-","2887.86"
"NIFTY EV & NEW AGE AUTOMOTIVE","30 Apr 2024","-","-","-","2867.05"
"NIFTY EV & NEW AGE AUTOMOTIVE","29 Apr 2024","-","-","-","2843.90"
"NIFTY EV & NEW AGE AUTOMOTIVE","26 Apr 2024","-","-","-","2842.12"
"NIFTY EV & NEW AGE AUTOMOTIVE","25 Apr 2024","-","-","-","2836.87"
