"Index Name","Date","Open","High","Low","Close"
"NIFTY FINANCIAL SERVICES 25/50","01 Jul 2024","25266.7","25538.45","25197.85","25513.15"
"NIFTY FINANCIAL SERVICES 25/50","28 Jun 2024","25431.85","25519.3","25213.8","25247.55"
"NIFTY FINANCIAL SERVICES 25/50","27 Jun 2024","25419.6","25572.55","25294.05","25427.25"
"NIFTY FINANCIAL SERVICES 25/50","26 Jun 2024","25326.5","25420.45","25222.05","25370.80"
"NIFTY FINANCIAL SERVICES 25/50","25 Jun 2024","24923.6","25380.3","24904.1","25314.95"
"NIFTY FINANCIAL SERVICES 25/50","24 Jun 2024","24623.05","24908.65","24554.1","24883.40"
"NIFTY FINANCIAL SERVICES 25/50","21 Jun 2024","24882.95","24884.95","24629.85","24752.65"
"NIFTY FINANCIAL SERVICES 25/50","20 Jun 2024","24878.2","24879.85","24584.05","24803.30"
"NIFTY FINANCIAL SERVICES 25/50","19 Jun 2024","24651.55","24987","24501.65","24772.85"
"NIFTY FINANCIAL SERVICES 25/50","18 Jun 2024","24478.65","24615.05","24334.35","24576.50"
"NIFTY FINANCIAL SERVICES 25/50","14 Jun 2024","24306.4","24435.6","24208.05","24399.90"
"NIFTY FINANCIAL SERVICES 25/50","13 Jun 2024","24186.15","24263.8","24126.05","24220.25"
"NIFTY FINANCIAL SERVICES 25/50","12 Jun 2024","23935.5","24144.7","23875.6","24050.15"
"NIFTY FINANCIAL SERVICES 25/50","11 Jun 2024","23923","23994","23758.95","23876.70"
"NIFTY FINANCIAL SERVICES 25/50","10 Jun 2024","23905.4","24101.25","23798.05","23918.55"
"NIFTY FINANCIAL SERVICES 25/50","07 Jun 2024","23618.15","23902.5","23470.25","23854.90"
"NIFTY FINANCIAL SERVICES 25/50","06 Jun 2024","23414.55","23761.05","23311.2","23563.50"
"NIFTY FINANCIAL SERVICES 25/50","05 Jun 2024","22535.9","23325.95","22089.65","23232.20"
"NIFTY FINANCIAL SERVICES 25/50","04 Jun 2024","24319.05","24319.05","21863.35","22287.65"
"NIFTY FINANCIAL SERVICES 25/50","03 Jun 2024","24366.9","24488.8","24069.8","24418.75"
"NIFTY FINANCIAL SERVICES 25/50","31 May 2024","23411.1","23510.9","23220.95","23395.70"
"NIFTY FINANCIAL SERVICES 25/50","30 May 2024","23384.75","23547.55","23217.4","23291.45"
"NIFTY FINANCIAL SERVICES 25/50","29 May 2024","23738.8","23816.9","23452.15","23472.55"
"NIFTY FINANCIAL SERVICES 25/50","28 May 2024","23873.05","23934.75","23751.35","23892.50"
"NIFTY FINANCIAL SERVICES 25/50","27 May 2024","23745.65","23993.35","23726.05","23814.40"
"NIFTY FINANCIAL SERVICES 25/50","24 May 2024","23524.2","23741.15","23503","23678.65"
"NIFTY FINANCIAL SERVICES 25/50","23 May 2024","23225.05","23586.15","23199.05","23559.00"
"NIFTY FINANCIAL SERVICES 25/50","22 May 2024","23350.65","23350.75","23066","23171.35"
"NIFTY FINANCIAL SERVICES 25/50","21 May 2024","23282.4","23373","23264.45","23314.55"
"NIFTY FINANCIAL SERVICES 25/50","18 May 2024","23366.25","23392","23352.25","23378.60"
"NIFTY FINANCIAL SERVICES 25/50","17 May 2024","23261.1","23394.9","23200.05","23360.60"
"NIFTY FINANCIAL SERVICES 25/50","16 May 2024","23119.75","23322.55","22938.35","23293.40"
"NIFTY FINANCIAL SERVICES 25/50","15 May 2024","23058","23102.65","22926.75","22981.00"
"NIFTY FINANCIAL SERVICES 25/50","14 May 2024","23043.3","23119","22945.45","23019.70"
"NIFTY FINANCIAL SERVICES 25/50","13 May 2024","22861.7","23059.6","22659.7","23019.50"
"NIFTY FINANCIAL SERVICES 25/50","10 May 2024","22855.85","23028.6","22774.4","22868.75"
"NIFTY FINANCIAL SERVICES 25/50","09 May 2024","23203.45","23277.8","22763.45","22789.15"
"NIFTY FINANCIAL SERVICES 25/50","08 May 2024","23216","23378.95","23182.45","23242.80"
"NIFTY FINANCIAL SERVICES 25/50","07 May 2024","23599.2","23638.95","23243.6","23298.55"
