"Index Name","Date","Open","High","Low","Close"
"NIFTY FMCG","01 Jul 2024","56745.5","57234.4","56672.8","57154.70"
"NIFTY FMCG","28 Jun 2024","56709.1","57007.45","56560.35","56756.85"
"NIFTY FMCG","27 Jun 2024","56427.7","56787.6","56230.75","56670.60"
"NIFTY FMCG","26 Jun 2024","56257.7","56609.8","56089.8","56465.20"
"NIFTY FMCG","25 Jun 2024","56457.65","56544.05","56084.55","56246.35"
"NIFTY FMCG","24 Jun 2024","55958.1","56463","55837.4","56392.70"
"NIFTY FMCG","21 Jun 2024","56737.55","56761.3","55906.65","55990.10"
"NIFTY FMCG","20 Jun 2024","56705.1","56895.2","56352.2","56669.65"
"NIFTY FMCG","19 Jun 2024","57373.3","57409.8","56555.85","56646.55"
"NIFTY FMCG","18 Jun 2024","57370.85","57490.65","57039","57167.40"
"NIFTY FMCG","14 Jun 2024","57162.05","57401.25","57051.45","57225.85"
"NIFTY FMCG","13 Jun 2024","57676.25","57679.25","57059.25","57117.00"
"NIFTY FMCG","12 Jun 2024","57886.25","57945.4","57446.75","57495.55"
"NIFTY FMCG","11 Jun 2024","58081.15","58233.65","57725.15","57792.85"
"NIFTY FMCG","10 Jun 2024","58038.15","58266.05","57769.2","57991.75"
"NIFTY FMCG","07 Jun 2024","57282.6","58075.45","57201.55","57953.35"
"NIFTY FMCG","06 Jun 2024","57851.65","57862","56736.8","57373.60"
"NIFTY FMCG","05 Jun 2024","55799","58832.65","55646.95","57567.40"
"NIFTY FMCG","04 Jun 2024","54633.8","55446.3","53057.65","55172.50"
"NIFTY FMCG","03 Jun 2024","55139","55184.85","54552.15","54653.60"
"NIFTY FMCG","31 May 2024","54510.8","54588.7","53897.7","54107.35"
"NIFTY FMCG","30 May 2024","54776.5","54933.05","54095.25","54280.10"
"NIFTY FMCG","29 May 2024","54920.7","55254.7","54918.25","54974.25"
"NIFTY FMCG","28 May 2024","55328.7","55461.3","55136.55","55271.95"
"NIFTY FMCG","27 May 2024","55649.6","55708.7","55194.55","55260.50"
"NIFTY FMCG","24 May 2024","55847.25","55894.55","55369.55","55449.15"
"NIFTY FMCG","23 May 2024","55925.3","56062","55400.6","55899.00"
"NIFTY FMCG","22 May 2024","55154.9","55898.45","55067.8","55753.90"
"NIFTY FMCG","21 May 2024","54998.65","55139.55","54764.55","54969.25"
"NIFTY FMCG","18 May 2024","55212.1","55278.5","55114.05","55217.85"
"NIFTY FMCG","17 May 2024","55094.95","55136.6","54735.45","55064.70"
"NIFTY FMCG","16 May 2024","54757.3","55066.2","54159.35","54997.00"
"NIFTY FMCG","15 May 2024","55172","55292.35","54507.7","54555.95"
"NIFTY FMCG","14 May 2024","55320.35","55504.45","55011.75","55054.30"
"NIFTY FMCG","13 May 2024","55386.95","55525.9","54816.85","55340.70"
"NIFTY FMCG","10 May 2024","54739.25","55407.1","54601.75","55276.50"
"NIFTY FMCG","09 May 2024","55924.6","56020.35","54533.45","54625.10"
"NIFTY FMCG","08 May 2024","55704.3","56124.3","55569.7","56008.80"
"NIFTY FMCG","07 May 2024","54942.6","56222.75","54855.8","55765.55"
"NIFTY FMCG","06 May 2024","54544.15","54697.7","54149.5","54660.15"
"NIFTY FMCG","03 May 2024","54688.85","54702.55","53913.3","54273.90"
"NIFTY FMCG","02 May 2024","54155.15","54757.35","54154.9","54490.55"
"NIFTY FMCG","30 Apr 2024","54519.5","54670.3","54181.95","54240.60"
"NIFTY FMCG","29 Apr 2024","54527.15","54557.25","54125.5","54332.15"
"NIFTY FMCG","26 Apr 2024","54441.5","54601.6","54119.75","54300.75"
"NIFTY FMCG","25 Apr 2024","53998.45","54358.2","53642.05","54291.65"
"NIFTY FMCG","24 Apr 2024","53755.35","54033.95","53731.6","53932.50"
"NIFTY FMCG","23 Apr 2024","53622","54037.95","53523.45","53905.30"
"NIFTY FMCG","22 Apr 2024","53318.9","53594.6","53128.2","53499.45"
"NIFTY FMCG","19 Apr 2024","52530","53229.75","52398.75","53055.45"
"NIFTY FMCG","18 Apr 2024","53482.9","53571.75","52719.7","52825.50"
"NIFTY FMCG","16 Apr 2024","52996.55","53526.75","52937.25","53402.25"
"NIFTY FMCG","15 Apr 2024","53299.05","53475.15","52778.75","53174.95"
"NIFTY FMCG","12 Apr 2024","54244.45","54275.6","53653.45","53701.40"
"NIFTY FMCG","10 Apr 2024","53869.60","54370.50","53601.35","54290.90"
"NIFTY FMCG","09 Apr 2024","54081.10","54091.35","53552.65","53629.35"
"NIFTY FMCG","08 Apr 2024","54100.25","54228.90","53902.45","53966.05"
"NIFTY FMCG","05 Apr 2024","53718.20","54094.50","53569.65","53925.95"
"NIFTY FMCG","04 Apr 2024","54072.95","54116.00","53502.90","53634.45"
"NIFTY FMCG","03 Apr 2024","54056.20","54101.60","53522.90","53866.70"
"NIFTY FMCG","02 Apr 2024","54141.65","54141.65","53823.55","54096.95"
"NIFTY FMCG","01 Apr 2024","54078.20","54369.10","53828.10","53889.15"
"NIFTY FMCG","28 Mar 2024","53683.20","54251.00","53534.45","53949.20"
"NIFTY FMCG","27 Mar 2024","53737.95","53819.95","53491.10","53543.55"
"NIFTY FMCG","26 Mar 2024","53325.40","53784.00","53325.10","53687.70"
"NIFTY FMCG","22 Mar 2024","53312.90","53849.60","53305.05","53775.70"
"NIFTY FMCG","21 Mar 2024","53210.60","53423.60","52967.55","53338.35"
"NIFTY FMCG","20 Mar 2024","52726.50","53033.70","52562.60","52993.50"
"NIFTY FMCG","19 Mar 2024","53859.55","53915.10","52626.95","52740.90"
"NIFTY FMCG","18 Mar 2024","54144.30","54189.10","53805.85","53907.85"
"NIFTY FMCG","15 Mar 2024","54013.95","54464.95","53886.70","54155.45"
"NIFTY FMCG","14 Mar 2024","53504.40","54252.45","53280.20","54145.80"
"NIFTY FMCG","13 Mar 2024","54844.50","54962.50","53470.25","53664.15"
"NIFTY FMCG","12 Mar 2024","53944.05","53950.25","53382.35","53636.10"
"NIFTY FMCG","11 Mar 2024","54570.85","54628.60","53970.25","54087.45"
"NIFTY FMCG","07 Mar 2024","53914.00","54461.05","53637.10","54406.30"
"NIFTY FMCG","06 Mar 2024","53657.35","53946.90","53171.75","53879.60"
"NIFTY FMCG","05 Mar 2024","54224.55","54364.95","53580.10","53653.10"
"NIFTY FMCG","04 Mar 2024","54492.85","54588.55","54102.55","54221.75"
"NIFTY FMCG","02 Mar 2024","54433.05","54570.75","54344.60","54466.10"
"NIFTY FMCG","01 Mar 2024","54272.85","54559.65","54062.60","54225.15"
"NIFTY FMCG","29 Feb 2024","53836.75","54113.30","53453.50","54015.60"
"NIFTY FMCG","28 Feb 2024","54406.30","54439.15","53742.65","53824.90"
"NIFTY FMCG","27 Feb 2024","54342.80","54456.65","54128.40","54306.45"
"NIFTY FMCG","26 Feb 2024","54312.60","54433.25","54074.55","54317.30"
"NIFTY FMCG","23 Feb 2024","54528.50","54561.55","54268.75","54337.75"
"NIFTY FMCG","22 Feb 2024","54189.30","54479.80","53581.80","54419.20"
"NIFTY FMCG","21 Feb 2024","53975.55","54226.85","53651.25","53892.35"
"NIFTY FMCG","20 Feb 2024","53981.40","54027.15","53552.55","53882.50"
"NIFTY FMCG","19 Feb 2024","53645.55","54121.60","53576.00","53943.30"
"NIFTY FMCG","16 Feb 2024","53465.00","53643.90","53186.70","53518.60"
"NIFTY FMCG","15 Feb 2024","53902.00","53997.65","53265.40","53321.35"
"NIFTY FMCG","14 Feb 2024","53224.35","53951.70","53138.40","53839.05"
"NIFTY FMCG","13 Feb 2024","53345.40","53534.80","53232.65","53432.05"
"NIFTY FMCG","12 Feb 2024","54005.55","54036.00","53231.50","53292.95"
"NIFTY FMCG","09 Feb 2024","53536.85","54007.80","53452.75","53867.10"
"NIFTY FMCG","08 Feb 2024","54774.60","54775.60","53317.25","53646.20"
"NIFTY FMCG","07 Feb 2024","55041.35","55041.35","54523.10","54772.60"
"NIFTY FMCG","06 Feb 2024","54860.15","54956.70","54372.60","54608.80"
"NIFTY FMCG","05 Feb 2024","55340.40","55387.90","54590.60","54698.40"
"NIFTY FMCG","02 Feb 2024","55347.40","55557.50","54992.90","55118.40"
"NIFTY FMCG","01 Feb 2024","55205.85","55792.00","55114.20","55215.80"
"NIFTY FMCG","31 Jan 2024","54634.25","55124.95","54501.35","55071.40"
"NIFTY FMCG","30 Jan 2024","55187.20","55501.40","54507.40","54574.35"
"NIFTY FMCG","29 Jan 2024","55058.15","55470.50","55047.70","55139.10"
"NIFTY FMCG","25 Jan 2024","55932.30","55981.60","54981.05","55214.10"
"NIFTY FMCG","24 Jan 2024","55130.30","55918.60","54859.90","55858.70"
"NIFTY FMCG","23 Jan 2024","56212.70","56284.40","54816.10","54973.90"
"NIFTY FMCG","20 Jan 2024","56632.80","56650.35","55933.65","55976.65"
"NIFTY FMCG","19 Jan 2024","56296.30","56813.95","56085.30","56640.50"
"NIFTY FMCG","18 Jan 2024","56175.60","56228.20","55206.70","55953.60"
"NIFTY FMCG","17 Jan 2024","56477.65","56839.60","56191.70","56259.50"
"NIFTY FMCG","16 Jan 2024","56705.20","56872.50","56425.05","56755.85"
"NIFTY FMCG","15 Jan 2024","56795.40","56818.60","56317.45","56657.30"
"NIFTY FMCG","12 Jan 2024","56279.10","56559.90","56008.00","56485.75"
"NIFTY FMCG","11 Jan 2024","56476.40","56688.00","56123.80","56228.55"
"NIFTY FMCG","10 Jan 2024","56575.60","56794.85","56134.65","56348.95"
"NIFTY FMCG","09 Jan 2024","56868.30","56996.25","56487.65","56573.10"
"NIFTY FMCG","08 Jan 2024","57718.85","57748.35","56636.45","56672.85"
