"Index Name","Date","Open","High","Low","Close"
"NIFTY GROWTH SECTORS 15","01 Jul 2024","11076.1","11216.75","11075.8","11198.75"
"NIFTY GROWTH SECTORS 15","28 Jun 2024","11103.15","11139.75","11080.5","11093.40"
"NIFTY GROWTH SECTORS 15","27 Jun 2024","10984.9","11120.5","10934.85","11099.60"
"NIFTY GROWTH SECTORS 15","26 Jun 2024","10996.85","11034.2","10963.15","11001.95"
"NIFTY GROWTH SECTORS 15","25 Jun 2024","10978.6","11001.6","10952.15","10994.15"
"NIFTY GROWTH SECTORS 15","24 Jun 2024","10917.75","10999.3","10892.8","10972.45"
"NIFTY GROWTH SECTORS 15","21 Jun 2024","11041.65","11074.4","10922.4","10946.35"
"NIFTY GROWTH SECTORS 15","20 Jun 2024","11006.65","11011.75","10942.65","10967.65"
"NIFTY GROWTH SECTORS 15","19 Jun 2024","11131.75","11133.1","10987.3","11003.15"
"NIFTY GROWTH SECTORS 15","18 Jun 2024","11120.5","11146.1","11093.15","11098.75"
"NIFTY GROWTH SECTORS 15","14 Jun 2024","11115.4","11120.75","11061.9","11089.55"
"NIFTY GROWTH SECTORS 15","13 Jun 2024","11127.9","11128.1","11075.25","11095.20"
"NIFTY GROWTH SECTORS 15","12 Jun 2024","11152.55","11157.6","11062.2","11073.05"
"NIFTY GROWTH SECTORS 15","11 Jun 2024","11129.1","11165.25","11089.15","11103.50"
"NIFTY GROWTH SECTORS 15","10 Jun 2024","11191.7","11207.65","11073.55","11115.50"
"NIFTY GROWTH SECTORS 15","07 Jun 2024","10972.2","11206.4","10971.45","11180.75"
"NIFTY GROWTH SECTORS 15","06 Jun 2024","10920.8","10983.9","10824.15","10963.60"
"NIFTY GROWTH SECTORS 15","05 Jun 2024","10628.05","10968.35","10610.35","10854.00"
"NIFTY GROWTH SECTORS 15","04 Jun 2024","10604","10616.15","10168.35","10532.25"
"NIFTY GROWTH SECTORS 15","03 Jun 2024","10770.1","10770.15","10576.8","10588.60"
"NIFTY GROWTH SECTORS 15","31 May 2024","10620.4","10646.3","10506","10535.55"
"NIFTY GROWTH SECTORS 15","30 May 2024","10727.95","10752.35","10563.25","10612.40"
"NIFTY GROWTH SECTORS 15","29 May 2024","10805.15","10827.3","10768.4","10777.65"
"NIFTY GROWTH SECTORS 15","28 May 2024","10854","10874.15","10813.65","10831.50"
"NIFTY GROWTH SECTORS 15","27 May 2024","10895.85","10919.2","10817.05","10834.40"
"NIFTY GROWTH SECTORS 15","24 May 2024","10923.25","10927.8","10855.15","10865.25"
"NIFTY GROWTH SECTORS 15","23 May 2024","10837.05","10950.75","10795.25","10940.35"
"NIFTY GROWTH SECTORS 15","22 May 2024","10764.15","10847.5","10747.45","10835.05"
"NIFTY GROWTH SECTORS 15","21 May 2024","10711.9","10763.6","10706.1","10740.90"
"NIFTY GROWTH SECTORS 15","18 May 2024","10771.7","10788.3","10748.45","10768.35"
"NIFTY GROWTH SECTORS 15","17 May 2024","10809.4","10811.95","10719.65","10751.50"
"NIFTY GROWTH SECTORS 15","16 May 2024","10734.8","10798.8","10620.6","10789.60"
"NIFTY GROWTH SECTORS 15","15 May 2024","10747.45","10769.15","10674.4","10682.30"
"NIFTY GROWTH SECTORS 15","14 May 2024","10722.9","10767","10692.7","10726.90"
"NIFTY GROWTH SECTORS 15","13 May 2024","10701.1","10740.6","10620.65","10724.00"
"NIFTY GROWTH SECTORS 15","10 May 2024","10657.35","10736.65","10619.05","10683.75"
"NIFTY GROWTH SECTORS 15","09 May 2024","10740.2","10772.85","10629.3","10647.50"
"NIFTY GROWTH SECTORS 15","08 May 2024","10738.35","10771.5","10703","10748.80"
"NIFTY GROWTH SECTORS 15","07 May 2024","10703.8","10769.85","10676.65","10758.05"
"NIFTY GROWTH SECTORS 15","06 May 2024","10676.35","10728.25","10655.8","10675.40"
"NIFTY GROWTH SECTORS 15","03 May 2024","10752.05","10755.95","10585","10645.45"
"NIFTY GROWTH SECTORS 15","02 May 2024","10640.25","10740.5","10640.25","10701.05"
"NIFTY GROWTH SECTORS 15","30 Apr 2024","10740.1","10774.75","10662.4","10674.90"
"NIFTY GROWTH SECTORS 15","29 Apr 2024","10753.1","10768.9","10693.8","10723.40"
"NIFTY GROWTH SECTORS 15","26 Apr 2024","10821.7","10840.05","10720.8","10742.30"
"NIFTY GROWTH SECTORS 15","25 Apr 2024","10699.9","10814.95","10674","10788.10"
"NIFTY GROWTH SECTORS 15","24 Apr 2024","10758.6","10773.6","10703.2","10714.70"
"NIFTY GROWTH SECTORS 15","23 Apr 2024","10764.9","10781.7","10738.35","10758.95"
"NIFTY GROWTH SECTORS 15","22 Apr 2024","10644.65","10734.05","10618.35","10709.90"
"NIFTY GROWTH SECTORS 15","19 Apr 2024","10486.55","10627.45","10462.95","10595.60"
"NIFTY GROWTH SECTORS 15","18 Apr 2024","10686.85","10737.05","10549.2","10567.65"
"NIFTY GROWTH SECTORS 15","16 Apr 2024","10660.6","10723.3","10639.6","10664.05"
"NIFTY GROWTH SECTORS 15","15 Apr 2024","10789.45","10820.75","10720.9","10743.45"
"NIFTY GROWTH SECTORS 15","12 Apr 2024","10978.15","10978.15","10843.15","10848.95"
"NIFTY GROWTH SECTORS 15","10 Apr 2024","10975.00","11018.40","10907.40","11006.90"
"NIFTY GROWTH SECTORS 15","09 Apr 2024","11005.40","11036.35","10922.35","10940.05"
"NIFTY GROWTH SECTORS 15","08 Apr 2024","10960.45","11017.90","10946.40","10967.90"
"NIFTY GROWTH SECTORS 15","05 Apr 2024","10905.40","10957.95","10886.10","10923.85"
"NIFTY GROWTH SECTORS 15","04 Apr 2024","10945.80","10982.30","10797.85","10941.70"
"NIFTY GROWTH SECTORS 15","03 Apr 2024","10868.75","10950.55","10840.75","10896.50"
"NIFTY GROWTH SECTORS 15","02 Apr 2024","10950.50","10957.45","10886.45","10905.45"
"NIFTY GROWTH SECTORS 15","01 Apr 2024","11011.40","11028.65","10940.15","10950.30"
"NIFTY GROWTH SECTORS 15","28 Mar 2024","10877.80","11027.30","10864.80","10941.75"
"NIFTY GROWTH SECTORS 15","27 Mar 2024","10884.20","10920.80","10830.70","10846.55"
"NIFTY GROWTH SECTORS 15","26 Mar 2024","10830.05","10916.85","10829.25","10857.20"
"NIFTY GROWTH SECTORS 15","22 Mar 2024","10814.60","10948.35","10769.80","10914.60"
"NIFTY GROWTH SECTORS 15","21 Mar 2024","10910.60","10927.15","10846.95","10905.40"
"NIFTY GROWTH SECTORS 15","20 Mar 2024","10846.90","10901.65","10822.85","10841.40"
"NIFTY GROWTH SECTORS 15","19 Mar 2024","11000.15","11005.70","10816.75","10825.95"
