"Index Name","Date","Open","High","Low","Close"
"NIFTY HIGH BETA 50","01 Jul 2024","-","-","-","4216.00"
"NIFTY HIGH BETA 50","28 Jun 2024","-","-","-","4184.62"
"NIFTY HIGH BETA 50","27 Jun 2024","-","-","-","4171.35"
"NIFTY HIGH BETA 50","26 Jun 2024","-","-","-","4171.59"
"NIFTY HIGH BETA 50","25 Jun 2024","-","-","-","4170.44"
"NIFTY HIGH BETA 50","24 Jun 2024","-","-","-","4194.09"
"NIFTY HIGH BETA 50","21 Jun 2024","-","-","-","4212.12"
"NIFTY HIGH BETA 50","20 Jun 2024","-","-","-","4213.78"
"NIFTY HIGH BETA 50","19 Jun 2024","-","-","-","4176.70"
"NIFTY HIGH BETA 50","18 Jun 2024","-","-","-","4212.38"
"NIFTY HIGH BETA 50","14 Jun 2024","-","-","-","4189.42"
"NIFTY HIGH BETA 50","13 Jun 2024","-","-","-","4150.32"
"NIFTY HIGH BETA 50","12 Jun 2024","-","-","-","4135.53"
"NIFTY HIGH BETA 50","11 Jun 2024","-","-","-","4082.58"
"NIFTY HIGH BETA 50","10 Jun 2024","-","-","-","4057.09"
"NIFTY HIGH BETA 50","07 Jun 2024","-","-","-","4044.19"
"NIFTY HIGH BETA 50","06 Jun 2024","-","-","-","3972.78"
"NIFTY HIGH BETA 50","05 Jun 2024","-","-","-","3870.58"
"NIFTY HIGH BETA 50","04 Jun 2024","-","-","-","3665.77"
"NIFTY HIGH BETA 50","03 Jun 2024","-","-","-","4225.70"
"NIFTY HIGH BETA 50","31 May 2024","-","-","-","4016.03"
"NIFTY HIGH BETA 50","30 May 2024","-","-","-","3961.78"
"NIFTY HIGH BETA 50","29 May 2024","-","-","-","4034.55"
"NIFTY HIGH BETA 50","28 May 2024","-","-","-","4035.36"
"NIFTY HIGH BETA 50","27 May 2024","-","-","-","4078.20"
"NIFTY HIGH BETA 50","24 May 2024","-","-","-","4068.87"
"NIFTY HIGH BETA 50","23 May 2024","-","-","-","4066.52"
"NIFTY HIGH BETA 50","22 May 2024","-","-","-","4026.77"
"NIFTY HIGH BETA 50","21 May 2024","-","-","-","4026.11"
"NIFTY HIGH BETA 50","18 May 2024","-","-","-","3966.12"
"NIFTY HIGH BETA 50","17 May 2024","-","-","-","3939.93"
"NIFTY HIGH BETA 50","16 May 2024","-","-","-","3903.04"
"NIFTY HIGH BETA 50","15 May 2024","-","-","-","3896.18"
"NIFTY HIGH BETA 50","14 May 2024","-","-","-","3874.19"
"NIFTY HIGH BETA 50","13 May 2024","-","-","-","3788.25"
"NIFTY HIGH BETA 50","10 May 2024","-","-","-","3789.38"
"NIFTY HIGH BETA 50","09 May 2024","-","-","-","3749.35"
"NIFTY HIGH BETA 50","08 May 2024","-","-","-","3851.78"
"NIFTY HIGH BETA 50","07 May 2024","-","-","-","3832.56"
"NIFTY HIGH BETA 50","06 May 2024","-","-","-","3934.93"
"NIFTY HIGH BETA 50","03 May 2024","-","-","-","4018.39"
