"Index Name","Date","Open","High","Low","Close"
"NIFTY HOUSING","01 Jul 2024","-","-","-","11810.17"
"NIFTY HOUSING","28 Jun 2024","-","-","-","11762.09"
"NIFTY HOUSING","27 Jun 2024","-","-","-","11789.18"
"NIFTY HOUSING","26 Jun 2024","-","-","-","11686.15"
"NIFTY HOUSING","25 Jun 2024","-","-","-","11678.18"
"NIFTY HOUSING","24 Jun 2024","-","-","-","11667.07"
"NIFTY HOUSING","21 Jun 2024","-","-","-","11636.59"
"NIFTY HOUSING","20 Jun 2024","-","-","-","11685.44"
"NIFTY HOUSING","19 Jun 2024","-","-","-","11618.47"
"NIFTY HOUSING","18 Jun 2024","-","-","-","11699.87"
"NIFTY HOUSING","14 Jun 2024","-","-","-","11653.99"
"NIFTY HOUSING","13 Jun 2024","-","-","-","11610.80"
"NIFTY HOUSING","12 Jun 2024","-","-","-","11554.26"
"NIFTY HOUSING","11 Jun 2024","-","-","-","11485.09"
"NIFTY HOUSING","10 Jun 2024","-","-","-","11457.72"
"NIFTY HOUSING","07 Jun 2024","-","-","-","11362.79"
"NIFTY HOUSING","06 Jun 2024","-","-","-","11165.76"
"NIFTY HOUSING","05 Jun 2024","-","-","-","10998.59"
"NIFTY HOUSING","04 Jun 2024","-","-","-","10609.06"
"NIFTY HOUSING","03 Jun 2024","-","-","-","11752.08"
"NIFTY HOUSING","31 May 2024","-","-","-","11197.83"
"NIFTY HOUSING","30 May 2024","-","-","-","11082.34"
"NIFTY HOUSING","29 May 2024","-","-","-","11172.59"
"NIFTY HOUSING","28 May 2024","-","-","-","11261.27"
"NIFTY HOUSING","27 May 2024","-","-","-","11312.61"
"NIFTY HOUSING","24 May 2024","-","-","-","11304.88"
"NIFTY HOUSING","23 May 2024","-","-","-","11285.42"
"NIFTY HOUSING","22 May 2024","-","-","-","11128.06"
"NIFTY HOUSING","21 May 2024","-","-","-","11103.27"
"NIFTY HOUSING","18 May 2024","-","-","-","11008.80"
"NIFTY HOUSING","17 May 2024","-","-","-","10982.56"
"NIFTY HOUSING","16 May 2024","-","-","-","10886.82"
"NIFTY HOUSING","15 May 2024","-","-","-","10813.21"
"NIFTY HOUSING","14 May 2024","-","-","-","10789.85"
"NIFTY HOUSING","13 May 2024","-","-","-","10645.34"
"NIFTY HOUSING","10 May 2024","-","-","-","10572.46"
"NIFTY HOUSING","09 May 2024","-","-","-","10510.02"
"NIFTY HOUSING","08 May 2024","-","-","-","10767.33"
"NIFTY HOUSING","07 May 2024","-","-","-","10759.26"
"NIFTY HOUSING","06 May 2024","-","-","-","10947.64"
"NIFTY HOUSING","03 May 2024","-","-","-","11009.46"
"NIFTY HOUSING","02 May 2024","-","-","-","11094.59"
"NIFTY HOUSING","30 Apr 2024","-","-","-","11036.41"
"NIFTY HOUSING","29 Apr 2024","-","-","-","11043.45"
"NIFTY HOUSING","26 Apr 2024","-","-","-","10909.19"
"NIFTY HOUSING","25 Apr 2024","-","-","-","10934.83"
"NIFTY HOUSING","24 Apr 2024","-","-","-","10884.52"
"NIFTY HOUSING","23 Apr 2024","-","-","-","10794.03"
"NIFTY HOUSING","22 Apr 2024","-","-","-","10724.37"
"NIFTY HOUSING","19 Apr 2024","-","-","-","10647.08"
"NIFTY HOUSING","18 Apr 2024","-","-","-","10610.11"
"NIFTY HOUSING","16 Apr 2024","-","-","-","10691.54"
"NIFTY HOUSING","15 Apr 2024","-","-","-","10740.86"
"NIFTY HOUSING","12 Apr 2024","-","-","-","10892.40"
"NIFTY HOUSING","10 Apr 2024","-","-","-","11004.06"
"NIFTY HOUSING","09 Apr 2024","-","-","-","10979.59"
"NIFTY HOUSING","08 Apr 2024","-","-","-","10973.43"
"NIFTY HOUSING","05 Apr 2024","-","-","-","10873.20"
"NIFTY HOUSING","04 Apr 2024","-","-","-","10868.99"
"NIFTY HOUSING","03 Apr 2024","-","-","-","10829.82"
"NIFTY HOUSING","02 Apr 2024","-","-","-","10828.41"
"NIFTY HOUSING","01 Apr 2024","-","-","-","10751.69"
"NIFTY HOUSING","28 Mar 2024","-","-","-","10513.90"
"NIFTY HOUSING","27 Mar 2024","-","-","-","10396.61"
"NIFTY HOUSING","26 Mar 2024","-","-","-","10370.62"
"NIFTY HOUSING","22 Mar 2024","-","-","-","10332.84"
"NIFTY HOUSING","21 Mar 2024","-","-","-","10269.66"
"NIFTY HOUSING","20 Mar 2024","-","-","-","10096.60"
"NIFTY HOUSING","19 Mar 2024","-","-","-","10116.73"
"NIFTY HOUSING","18 Mar 2024","-","-","-","10221.00"
"NIFTY HOUSING","15 Mar 2024","-","-","-","10166.84"
"NIFTY HOUSING","14 Mar 2024","-","-","-","10220.77"
"NIFTY HOUSING","13 Mar 2024","-","-","-","10089.30"
"NIFTY HOUSING","12 Mar 2024","-","-","-","10423.13"
"NIFTY HOUSING","11 Mar 2024","-","-","-","10539.41"
"NIFTY HOUSING","07 Mar 2024","-","-","-","10621.30"
"NIFTY HOUSING","06 Mar 2024","-","-","-","10549.89"
"NIFTY HOUSING","05 Mar 2024","-","-","-","10587.98"
"NIFTY HOUSING","04 Mar 2024","-","-","-","10606.15"
"NIFTY HOUSING","02 Mar 2024","-","-","-","10589.35"
"NIFTY HOUSING","01 Mar 2024","-","-","-","10530.98"
"NIFTY HOUSING","29 Feb 2024","-","-","-","10272.52"
"NIFTY HOUSING","28 Feb 2024","-","-","-","10221.28"
"NIFTY HOUSING","27 Feb 2024","-","-","-","10391.92"
"NIFTY HOUSING","26 Feb 2024","-","-","-","10366.16"
"NIFTY HOUSING","23 Feb 2024","-","-","-","10383.63"
"NIFTY HOUSING","22 Feb 2024","-","-","-","10379.03"
"NIFTY HOUSING","21 Feb 2024","-","-","-","10315.77"
"NIFTY HOUSING","20 Feb 2024","-","-","-","10347.05"
"NIFTY HOUSING","19 Feb 2024","-","-","-","10292.19"
"NIFTY HOUSING","16 Feb 2024","-","-","-","10259.32"
"NIFTY HOUSING","15 Feb 2024","-","-","-","10197.22"
"NIFTY HOUSING","14 Feb 2024","-","-","-","10117.04"
"NIFTY HOUSING","13 Feb 2024","-","-","-","10039.46"
"NIFTY HOUSING","12 Feb 2024","-","-","-","9999.96"
"NIFTY HOUSING","09 Feb 2024","-","-","-","10173.16"
"NIFTY HOUSING","08 Feb 2024","-","-","-","10158.43"
"NIFTY HOUSING","07 Feb 2024","-","-","-","10278.33"
"NIFTY HOUSING","06 Feb 2024","-","-","-","10195.00"
"NIFTY HOUSING","05 Feb 2024","-","-","-","10116.70"
"NIFTY HOUSING","02 Feb 2024","-","-","-","10151.10"
"NIFTY HOUSING","01 Feb 2024","-","-","-","10094.73"
"NIFTY HOUSING","31 Jan 2024","-","-","-","10147.44"
"NIFTY HOUSING","30 Jan 2024","-","-","-","10084.22"
"NIFTY HOUSING","29 Jan 2024","-","-","-","10163.86"
"NIFTY HOUSING","25 Jan 2024","-","-","-","9967.01"
"NIFTY HOUSING","24 Jan 2024","-","-","-","9939.95"
"NIFTY HOUSING","23 Jan 2024","-","-","-","9853.00"
"NIFTY HOUSING","20 Jan 2024","-","-","-","10092.81"
"NIFTY HOUSING","19 Jan 2024","-","-","-","10069.73"
"NIFTY HOUSING","18 Jan 2024","-","-","-","9980.69"
"NIFTY HOUSING","17 Jan 2024","-","-","-","10055.91"
"NIFTY HOUSING","16 Jan 2024","-","-","-","10300.13"
"NIFTY HOUSING","15 Jan 2024","-","-","-","10305.02"
"NIFTY HOUSING","12 Jan 2024","-","-","-","10269.01"
"NIFTY HOUSING","11 Jan 2024","-","-","-","10225.33"
"NIFTY HOUSING","10 Jan 2024","-","-","-","10224.18"
"NIFTY HOUSING","09 Jan 2024","-","-","-","10211.62"
"NIFTY HOUSING","08 Jan 2024","-","-","-","10180.53"
"NIFTY HOUSING","05 Jan 2024","-","-","-","10276.15"
"NIFTY HOUSING","04 Jan 2024","-","-","-","10286.41"
"NIFTY HOUSING","03 Jan 2024","-","-","-","10157.61"
"NIFTY HOUSING","02 Jan 2024","-","-","-","10164.96"
"NIFTY HOUSING","01 Jan 2024","-","-","-","10256.90"
"NIFTY HOUSING","29 Dec 2023","-","-","-","10257.04"
"NIFTY HOUSING","28 Dec 2023","-","-","-","10229.09"
"NIFTY HOUSING","27 Dec 2023","-","-","-","10196.79"
"NIFTY HOUSING","26 Dec 2023","-","-","-","10084.96"
"NIFTY HOUSING","22 Dec 2023","-","-","-","10007.36"
