"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA CONSUMPTION","01 Jul 2024","11118.2","11200.05","11117.55","11190.85"
"NIFTY INDIA CONSUMPTION","28 Jun 2024","11179.75","11196.05","11116.7","11131.60"
"NIFTY INDIA CONSUMPTION","27 Jun 2024","11094.35","11170.1","11043.95","11139.55"
"NIFTY INDIA CONSUMPTION","26 Jun 2024","11081.85","11116.5","11018.3","11091.30"
"NIFTY INDIA CONSUMPTION","25 Jun 2024","11152.8","11166.25","11068.65","11087.60"
"NIFTY INDIA CONSUMPTION","24 Jun 2024","11000.1","11133.7","10968.15","11123.75"
"NIFTY INDIA CONSUMPTION","21 Jun 2024","11118.45","11134.95","11001.05","11030.95"
"NIFTY INDIA CONSUMPTION","20 Jun 2024","11143.95","11148.95","11067.9","11089.30"
"NIFTY INDIA CONSUMPTION","19 Jun 2024","11288.45","11290.1","11102","11117.65"
"NIFTY INDIA CONSUMPTION","18 Jun 2024","11268.7","11286.6","11230.7","11249.55"
"NIFTY INDIA CONSUMPTION","14 Jun 2024","11152.4","11231.1","11139.1","11221.90"
"NIFTY INDIA CONSUMPTION","13 Jun 2024","11204.8","11205","11093.15","11127.25"
"NIFTY INDIA CONSUMPTION","12 Jun 2024","11122.4","11139.6","11090.1","11099.50"
"NIFTY INDIA CONSUMPTION","11 Jun 2024","11123.95","11158.5","11086.2","11102.60"
"NIFTY INDIA CONSUMPTION","10 Jun 2024","11139.55","11181.55","11082.7","11105.70"
"NIFTY INDIA CONSUMPTION","07 Jun 2024","10887.3","11127.7","10883.75","11119.30"
"NIFTY INDIA CONSUMPTION","06 Jun 2024","10954.1","10957.75","10832.95","10917.45"
"NIFTY INDIA CONSUMPTION","05 Jun 2024","10545.7","10940.5","10467.4","10902.30"
"NIFTY INDIA CONSUMPTION","04 Jun 2024","10642.3","10642.3","9990.35","10436.90"
"NIFTY INDIA CONSUMPTION","03 Jun 2024","10758","10759.7","10611.5","10627.00"
"NIFTY INDIA CONSUMPTION","31 May 2024","10541.95","10557.65","10406.7","10470.90"
"NIFTY INDIA CONSUMPTION","30 May 2024","10597.35","10620.35","10466.7","10504.55"
"NIFTY INDIA CONSUMPTION","29 May 2024","10604.75","10671.55","10603.2","10630.20"
"NIFTY INDIA CONSUMPTION","28 May 2024","10717.8","10731.95","10650.25","10664.70"
"NIFTY INDIA CONSUMPTION","27 May 2024","10778.5","10783.4","10687.2","10703.65"
"NIFTY INDIA CONSUMPTION","24 May 2024","10785.95","10787.55","10731.2","10741.40"
"NIFTY INDIA CONSUMPTION","23 May 2024","10698.35","10804.5","10655.85","10796.70"
"NIFTY INDIA CONSUMPTION","22 May 2024","10636","10686","10606.2","10674.80"
"NIFTY INDIA CONSUMPTION","21 May 2024","10606.55","10634.55","10587.65","10614.65"
"NIFTY INDIA CONSUMPTION","18 May 2024","10643.35","10644","10606.45","10625.80"
"NIFTY INDIA CONSUMPTION","17 May 2024","10577.3","10635.7","10554.95","10609.35"
"NIFTY INDIA CONSUMPTION","16 May 2024","10473.85","10548.4","10380.3","10534.05"
"NIFTY INDIA CONSUMPTION","15 May 2024","10457.85","10472.25","10392.75","10421.90"
"NIFTY INDIA CONSUMPTION","14 May 2024","10394.95","10471.45","10374.8","10436.85"
"NIFTY INDIA CONSUMPTION","13 May 2024","10433.05","10445.65","10279.65","10392.10"
"NIFTY INDIA CONSUMPTION","10 May 2024","10305.45","10417.4","10296.65","10405.45"
"NIFTY INDIA CONSUMPTION","09 May 2024","10418.1","10466","10272.7","10286.00"
"NIFTY INDIA CONSUMPTION","08 May 2024","10372.8","10439.05","10330.7","10427.05"
"NIFTY INDIA CONSUMPTION","07 May 2024","10432.65","10479.2","10339.7","10390.65"
"NIFTY INDIA CONSUMPTION","06 May 2024","10422.75","10434.5","10341.75","10388.85"
"NIFTY INDIA CONSUMPTION","03 May 2024","10512.15","10514.75","10306.6","10387.85"
"NIFTY INDIA CONSUMPTION","02 May 2024","10399.1","10482.1","10394.95","10462.90"
"NIFTY INDIA CONSUMPTION","30 Apr 2024","10383","10481.6","10381.1","10405.35"
"NIFTY INDIA CONSUMPTION","29 Apr 2024","10347.7","10368","10278.1","10352.20"
