"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","01 Jul 2024","16756.95","16909","16753.75","16897.10"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","28 Jun 2024","16702.1","16866.85","16699.4","16784.05"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","27 Jun 2024","16540","16735.25","16499.8","16697.90"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","26 Jun 2024","16628.7","16665.6","16545.35","16561.25"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","25 Jun 2024","16699.7","16729.45","16573.9","16620.30"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","24 Jun 2024","16560.55","16725.4","16484.8","16674.25"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","21 Jun 2024","16769.65","16815.7","16578.85","16617.75"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","20 Jun 2024","16725.1","16771.1","16675.15","16710.25"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","19 Jun 2024","16949.7","16957.15","16670.95","16684.65"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","18 Jun 2024","16901","16943.45","16852.1","16888.20"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14 Jun 2024","16774.45","16852.05","16735.3","16837.55"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","13 Jun 2024","16791.5","16791.5","16641.95","16719.65"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","12 Jun 2024","16674.3","16739.1","16592.5","16603.15"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","11 Jun 2024","16569.8","16701.1","16543.55","16592.60"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","10 Jun 2024","16659.7","16684.35","16502.5","16574.85"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","07 Jun 2024","16195.95","16595.95","16173.7","16581.75"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","06 Jun 2024","16146","16219.95","16032.8","16191.40"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","05 Jun 2024","15648.5","16058.95","15329.1","16019.80"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","04 Jun 2024","16008.2","16017.05","14751.45","15410.90"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","03 Jun 2024","16133","16133","15891.6","15993.80"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","31 May 2024","15797.2","15827.35","15599.8","15649.35"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","30 May 2024","16023.8","16030.45","15666.45","15718.10"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","29 May 2024","16189.8","16206.8","16071.45","16088.40"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","28 May 2024","16326.85","16364.25","16168.8","16192.15"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","27 May 2024","16381.8","16425.1","16262.7","16292.55"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","24 May 2024","16364.85","16408","16284.65","16299.65"
