"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA MANUFACTURING","01 Jul 2024","14647.6","14715.7","14645.9","14706.25"
"NIFTY INDIA MANUFACTURING","28 Jun 2024","14614.45","14674","14595.75","14622.10"
"NIFTY INDIA MANUFACTURING","27 Jun 2024","14521.2","14617.75","14467.05","14591.70"
"NIFTY INDIA MANUFACTURING","26 Jun 2024","14582.85","14599.3","14496.75","14512.25"
"NIFTY INDIA MANUFACTURING","25 Jun 2024","14676.35","14739.3","14565.2","14585.50"
"NIFTY INDIA MANUFACTURING","24 Jun 2024","14499.7","14645.2","14411.25","14631.40"
"NIFTY INDIA MANUFACTURING","21 Jun 2024","14635.55","14638.75","14501.6","14528.85"
"NIFTY INDIA MANUFACTURING","20 Jun 2024","14564.4","14626.25","14464.65","14581.20"
"NIFTY INDIA MANUFACTURING","19 Jun 2024","14789.65","14790.5","14518","14531.45"
"NIFTY INDIA MANUFACTURING","18 Jun 2024","14767.3","14788.75","14711.5","14732.05"
"NIFTY INDIA MANUFACTURING","14 Jun 2024","14539.35","14694.35","14490.5","14683.35"
"NIFTY INDIA MANUFACTURING","13 Jun 2024","14471.05","14503.6","14366.75","14494.00"
"NIFTY INDIA MANUFACTURING","12 Jun 2024","14340.1","14418.45","14319.8","14358.55"
"NIFTY INDIA MANUFACTURING","11 Jun 2024","14253.15","14356.1","14222.9","14283.50"
"NIFTY INDIA MANUFACTURING","10 Jun 2024","14232.1","14270.35","14158.75","14214.00"
"NIFTY INDIA MANUFACTURING","07 Jun 2024","13915.85","14182.7","13862.15","14174.65"
"NIFTY INDIA MANUFACTURING","06 Jun 2024","13843.1","14003.9","13812.1","13915.60"
"NIFTY INDIA MANUFACTURING","05 Jun 2024","13379.4","13763.1","13047.9","13739.15"
"NIFTY INDIA MANUFACTURING","04 Jun 2024","14103","14103","12672.65","13243.25"
"NIFTY INDIA MANUFACTURING","03 Jun 2024","14201.5","14201.5","14002.65","14103.95"
"NIFTY INDIA MANUFACTURING","31 May 2024","13769.1","13804.15","13646.2","13684.95"
"NIFTY INDIA MANUFACTURING","30 May 2024","13872.1","13883.8","13655.1","13695.90"
"NIFTY INDIA MANUFACTURING","29 May 2024","13834.65","13937.3","13783.3","13892.90"
"NIFTY INDIA MANUFACTURING","28 May 2024","13982.15","14007.8","13837.95","13886.00"
"NIFTY INDIA MANUFACTURING","27 May 2024","14045.45","14049.9","13907.3","13953.30"
"NIFTY INDIA MANUFACTURING","24 May 2024","13948.05","14067.2","13915.25","13972.25"
"NIFTY INDIA MANUFACTURING","23 May 2024","13841.4","13965.85","13748.45","13953.40"
"NIFTY INDIA MANUFACTURING","22 May 2024","13854.55","13856.1","13680.9","13833.65"
"NIFTY INDIA MANUFACTURING","21 May 2024","13693.5","13811.9","13650.2","13792.55"
"NIFTY INDIA MANUFACTURING","18 May 2024","13661.55","13665.4","13639.45","13650.15"
"NIFTY INDIA MANUFACTURING","17 May 2024","13442.2","13578.25","13424.7","13565.55"
"NIFTY INDIA MANUFACTURING","16 May 2024","13300.85","13406.65","13178.6","13388.15"
"NIFTY INDIA MANUFACTURING","15 May 2024","13217.6","13270.15","13165.95","13244.55"
"NIFTY INDIA MANUFACTURING","14 May 2024","13032.7","13170.2","12980.4","13152.20"
"NIFTY INDIA MANUFACTURING","13 May 2024","12953.25","13016.95","12745.5","13003.75"
"NIFTY INDIA MANUFACTURING","10 May 2024","12848.15","12953.7","12791.9","12940.95"
"NIFTY INDIA MANUFACTURING","09 May 2024","12967.1","13026.95","12777.75","12793.90"
"NIFTY INDIA MANUFACTURING","08 May 2024","12764.2","12958.7","12696.3","12938.30"
"NIFTY INDIA MANUFACTURING","07 May 2024","13051.9","13054.75","12724.3","12796.00"
"NIFTY INDIA MANUFACTURING","06 May 2024","13077.75","13089.65","12938.15","13021.00"
"NIFTY INDIA MANUFACTURING","03 May 2024","13157.6","13161.7","12930.65","13017.15"
"NIFTY INDIA MANUFACTURING","02 May 2024","13011.65","13107.4","12981.35","13076.25"
"NIFTY INDIA MANUFACTURING","30 Apr 2024","12995.25","13080.25","12959.9","12970.00"
"NIFTY INDIA MANUFACTURING","29 Apr 2024","12958.1","12963.7","12906.95","12948.25"
"NIFTY INDIA MANUFACTURING","26 Apr 2024","12888.6","12934.85","12868.6","12887.35"
"NIFTY INDIA MANUFACTURING","25 Apr 2024","12739.05","12858.8","12699.95","12850.10"
"NIFTY INDIA MANUFACTURING","24 Apr 2024","12657.85","12755.2","12650","12723.20"
"NIFTY INDIA MANUFACTURING","23 Apr 2024","12679","12679","12602.3","12613.15"
"NIFTY INDIA MANUFACTURING","22 Apr 2024","12580.15","12628.2","12529.1","12612.65"
"NIFTY INDIA MANUFACTURING","19 Apr 2024","12394.9","12491.1","12271.45","12473.30"
"NIFTY INDIA MANUFACTURING","18 Apr 2024","12576.65","12660.65","12430.75","12462.55"
"NIFTY INDIA MANUFACTURING","16 Apr 2024","12423.65","12567.75","12383.75","12510.50"
"NIFTY INDIA MANUFACTURING","15 Apr 2024","12475.4","12584.15","12369.25","12481.35"
"NIFTY INDIA MANUFACTURING","12 Apr 2024","12674.55","12718.2","12592.95","12602.55"
"NIFTY INDIA MANUFACTURING","10 Apr 2024","12651.25","12681.55","12628.15","12662.15"
"NIFTY INDIA MANUFACTURING","09 Apr 2024","12680.00","12683.15","12565.90","12604.95"
"NIFTY INDIA MANUFACTURING","08 Apr 2024","12576.75","12652.95","12549.60","12625.20"
"NIFTY INDIA MANUFACTURING","05 Apr 2024","12471.75","12519.15","12445.35","12502.80"
"NIFTY INDIA MANUFACTURING","04 Apr 2024","12589.80","12593.35","12419.00","12489.90"
"NIFTY INDIA MANUFACTURING","03 Apr 2024","12503.20","12562.65","12462.45","12512.35"
"NIFTY INDIA MANUFACTURING","02 Apr 2024","12420.95","12524.30","12371.00","12517.80"
"NIFTY INDIA MANUFACTURING","01 Apr 2024","12334.15","12390.95","12320.40","12374.65"
"NIFTY INDIA MANUFACTURING","28 Mar 2024","12152.95","12306.90","12113.45","12240.00"
"NIFTY INDIA MANUFACTURING","27 Mar 2024","12114.65","12188.90","12099.80","12111.30"
"NIFTY INDIA MANUFACTURING","26 Mar 2024","11990.70","12087.95","11989.60","12062.00"
"NIFTY INDIA MANUFACTURING","22 Mar 2024","11890.30","12063.65","11873.05","12029.00"
"NIFTY INDIA MANUFACTURING","21 Mar 2024","11753.45","11907.20","11745.20","11892.75"
"NIFTY INDIA MANUFACTURING","20 Mar 2024","11693.30","11726.25","11544.25","11651.00"
"NIFTY INDIA MANUFACTURING","19 Mar 2024","11766.65","11772.25","11622.05","11651.30"
"NIFTY INDIA MANUFACTURING","18 Mar 2024","11669.70","11791.65","11635.50","11783.65"
"NIFTY INDIA MANUFACTURING","15 Mar 2024","11745.30","11776.85","11551.95","11658.90"
"NIFTY INDIA MANUFACTURING","14 Mar 2024","11579.80","11790.55","11525.50","11767.75"
"NIFTY INDIA MANUFACTURING","13 Mar 2024","11989.25","12013.95","11536.65","11602.55"
"NIFTY INDIA MANUFACTURING","12 Mar 2024","12096.90","12115.25","11947.55","11979.10"
"NIFTY INDIA MANUFACTURING","11 Mar 2024","12187.70","12187.85","12076.75","12093.35"
"NIFTY INDIA MANUFACTURING","07 Mar 2024","12102.70","12181.05","12093.75","12135.10"
"NIFTY INDIA MANUFACTURING","06 Mar 2024","12072.20","12103.75","11899.10","12088.95"
"NIFTY INDIA MANUFACTURING","05 Mar 2024","12041.40","12096.10","11983.70","12061.05"
"NIFTY INDIA MANUFACTURING","04 Mar 2024","12016.30","12042.80","11964.50","12002.40"
"NIFTY INDIA MANUFACTURING","02 Mar 2024","11985.95","12012.50","11940.05","11998.55"
"NIFTY INDIA MANUFACTURING","01 Mar 2024","11811.90","11938.80","11808.70","11928.35"
"NIFTY INDIA MANUFACTURING","29 Feb 2024","11699.50","11783.65","11626.45","11748.25"
"NIFTY INDIA MANUFACTURING","28 Feb 2024","11894.80","11904.30","11680.05","11709.05"
"NIFTY INDIA MANUFACTURING","27 Feb 2024","11809.65","11886.65","11793.15","11875.25"
"NIFTY INDIA MANUFACTURING","26 Feb 2024","11857.00","11865.05","11773.60","11812.50"
"NIFTY INDIA MANUFACTURING","23 Feb 2024","11837.90","11880.75","11802.15","11845.80"
"NIFTY INDIA MANUFACTURING","22 Feb 2024","11720.85","11810.75","11623.35","11795.30"
"NIFTY INDIA MANUFACTURING","21 Feb 2024","11757.95","11790.55","11632.70","11673.50"
"NIFTY INDIA MANUFACTURING","20 Feb 2024","11748.40","11754.25","11657.35","11714.90"
"NIFTY INDIA MANUFACTURING","19 Feb 2024","11746.70","11769.80","11692.35","11743.00"
"NIFTY INDIA MANUFACTURING","16 Feb 2024","11637.55","11724.95","11627.45","11698.15"
"NIFTY INDIA MANUFACTURING","15 Feb 2024","11552.05","11593.00","11531.05","11574.85"
"NIFTY INDIA MANUFACTURING","14 Feb 2024","11316.15","11512.30","11287.10","11490.65"
"NIFTY INDIA MANUFACTURING","13 Feb 2024","11385.05","11391.75","11248.40","11379.25"
"NIFTY INDIA MANUFACTURING","12 Feb 2024","11523.70","11550.10","11348.85","11377.55"
"NIFTY INDIA MANUFACTURING","09 Feb 2024","11576.35","11578.05","11348.85","11483.90"
"NIFTY INDIA MANUFACTURING","08 Feb 2024","11641.95","11641.95","11522.70","11542.80"
"NIFTY INDIA MANUFACTURING","07 Feb 2024","11618.05","11621.95","11516.15","11577.75"
"NIFTY INDIA MANUFACTURING","06 Feb 2024","11453.75","11559.50","11405.10","11552.75"
"NIFTY INDIA MANUFACTURING","05 Feb 2024","11445.35","11518.40","11377.65","11412.70"
"NIFTY INDIA MANUFACTURING","02 Feb 2024","11290.35","11413.55","11278.60","11365.40"
"NIFTY INDIA MANUFACTURING","01 Feb 2024","11339.15","11346.95","11232.90","11249.65"
"NIFTY INDIA MANUFACTURING","31 Jan 2024","11103.45","11293.35","11103.30","11282.45"
"NIFTY INDIA MANUFACTURING","30 Jan 2024","11225.75","11246.20","11094.90","11104.95"
"NIFTY INDIA MANUFACTURING","29 Jan 2024","11032.40","11191.65","11008.45","11179.80"
"NIFTY INDIA MANUFACTURING","25 Jan 2024","11093.40","11093.45","10947.05","11012.70"
"NIFTY INDIA MANUFACTURING","24 Jan 2024","10892.30","11066.25","10795.70","11051.90"
"NIFTY INDIA MANUFACTURING","23 Jan 2024","11089.25","11113.20","10824.30","10867.15"
