"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA TOURISM","01 Jul 2024","-","-","-","8526.17"
"NIFTY INDIA TOURISM","28 Jun 2024","-","-","-","8487.88"
"NIFTY INDIA TOURISM","27 Jun 2024","-","-","-","8499.69"
"NIFTY INDIA TOURISM","26 Jun 2024","-","-","-","8606.90"
"NIFTY INDIA TOURISM","25 Jun 2024","-","-","-","8637.20"
"NIFTY INDIA TOURISM","24 Jun 2024","-","-","-","8686.17"
"NIFTY INDIA TOURISM","21 Jun 2024","-","-","-","8648.22"
"NIFTY INDIA TOURISM","20 Jun 2024","-","-","-","8578.34"
"NIFTY INDIA TOURISM","19 Jun 2024","-","-","-","8513.47"
"NIFTY INDIA TOURISM","14 Jun 2024","-","-","-","8472.96"
"NIFTY INDIA TOURISM","13 Jun 2024","-","-","-","8370.56"
"NIFTY INDIA TOURISM","12 Jun 2024","-","-","-","8357.35"
"NIFTY INDIA TOURISM","11 Jun 2024","-","-","-","8363.27"
"NIFTY INDIA TOURISM","10 Jun 2024","-","-","-","8345.28"
"NIFTY INDIA TOURISM","07 Jun 2024","-","-","-","8248.54"
"NIFTY INDIA TOURISM","06 Jun 2024","-","-","-","8144.65"
"NIFTY INDIA TOURISM","05 Jun 2024","-","-","-","8026.94"
"NIFTY INDIA TOURISM","04 Jun 2024","-","-","-","7614.86"
"NIFTY INDIA TOURISM","03 Jun 2024","-","-","-","8187.68"
"NIFTY INDIA TOURISM","31 May 2024","-","-","-","8022.54"
"NIFTY INDIA TOURISM","30 May 2024","-","-","-","7976.61"
"NIFTY INDIA TOURISM","29 May 2024","-","-","-","8053.97"
"NIFTY INDIA TOURISM","28 May 2024","-","-","-","8179.20"
"NIFTY INDIA TOURISM","27 May 2024","-","-","-","8270.89"
"NIFTY INDIA TOURISM","24 May 2024","-","-","-","8225.21"
"NIFTY INDIA TOURISM","23 May 2024","-","-","-","8342.48"
"NIFTY INDIA TOURISM","22 May 2024","-","-","-","8352.99"
"NIFTY INDIA TOURISM","21 May 2024","-","-","-","8288.85"
"NIFTY INDIA TOURISM","18 May 2024","-","-","-","8291.64"
"NIFTY INDIA TOURISM","17 May 2024","-","-","-","8272.78"
"NIFTY INDIA TOURISM","16 May 2024","-","-","-","8127.61"
"NIFTY INDIA TOURISM","15 May 2024","-","-","-","8096.91"
"NIFTY INDIA TOURISM","14 May 2024","-","-","-","8054.32"
"NIFTY INDIA TOURISM","13 May 2024","-","-","-","7941.05"
"NIFTY INDIA TOURISM","10 May 2024","-","-","-","7893.93"
"NIFTY INDIA TOURISM","09 May 2024","-","-","-","7874.94"
"NIFTY INDIA TOURISM","08 May 2024","-","-","-","8038.62"
"NIFTY INDIA TOURISM","07 May 2024","-","-","-","7974.55"
"NIFTY INDIA TOURISM","06 May 2024","-","-","-","8082.27"
"NIFTY INDIA TOURISM","03 May 2024","-","-","-","8139.34"
"NIFTY INDIA TOURISM","02 May 2024","-","-","-","8199.80"
"NIFTY INDIA TOURISM","30 Apr 2024","-","-","-","8122.08"
"NIFTY INDIA TOURISM","29 Apr 2024","-","-","-","8093.90"
"NIFTY INDIA TOURISM","26 Apr 2024","-","-","-","8083.27"
"NIFTY INDIA TOURISM","25 Apr 2024","-","-","-","7948.90"
"NIFTY INDIA TOURISM","24 Apr 2024","-","-","-","7965.98"
"NIFTY INDIA TOURISM","23 Apr 2024","-","-","-","7938.16"
"NIFTY INDIA TOURISM","22 Apr 2024","-","-","-","7864.46"
"NIFTY INDIA TOURISM","19 Apr 2024","-","-","-","7770.01"
