"Index Name","Date","Open","High","Low","Close"
"NIFTY LOW VOLATILITY 50","01 Jul 2024","-","-","-","23851.23"
"NIFTY LOW VOLATILITY 50","28 Jun 2024","-","-","-","23710.09"
"NIFTY LOW VOLATILITY 50","27 Jun 2024","-","-","-","23695.12"
"NIFTY LOW VOLATILITY 50","26 Jun 2024","-","-","-","23506.96"
"NIFTY LOW VOLATILITY 50","25 Jun 2024","-","-","-","23442.76"
"NIFTY LOW VOLATILITY 50","24 Jun 2024","-","-","-","23393.07"
"NIFTY LOW VOLATILITY 50","21 Jun 2024","-","-","-","23295.71"
"NIFTY LOW VOLATILITY 50","20 Jun 2024","-","-","-","23399.83"
"NIFTY LOW VOLATILITY 50","19 Jun 2024","-","-","-","23371.73"
"NIFTY LOW VOLATILITY 50","18 Jun 2024","-","-","-","23536.26"
"NIFTY LOW VOLATILITY 50","14 Jun 2024","-","-","-","23448.01"
"NIFTY LOW VOLATILITY 50","13 Jun 2024","-","-","-","23370.82"
"NIFTY LOW VOLATILITY 50","12 Jun 2024","-","-","-","23326.07"
"NIFTY LOW VOLATILITY 50","11 Jun 2024","-","-","-","23279.66"
"NIFTY LOW VOLATILITY 50","10 Jun 2024","-","-","-","23274.48"
"NIFTY LOW VOLATILITY 50","07 Jun 2024","-","-","-","23176.91"
"NIFTY LOW VOLATILITY 50","06 Jun 2024","-","-","-","22807.58"
"NIFTY LOW VOLATILITY 50","05 Jun 2024","-","-","-","22678.92"
"NIFTY LOW VOLATILITY 50","04 Jun 2024","-","-","-","21873.91"
"NIFTY LOW VOLATILITY 50","03 Jun 2024","-","-","-","22555.21"
"NIFTY LOW VOLATILITY 50","31 May 2024","-","-","-","22093.62"
"NIFTY LOW VOLATILITY 50","30 May 2024","-","-","-","22220.66"
"NIFTY LOW VOLATILITY 50","29 May 2024","-","-","-","22499.39"
"NIFTY LOW VOLATILITY 50","28 May 2024","-","-","-","22678.64"
"NIFTY LOW VOLATILITY 50","27 May 2024","-","-","-","22647.62"
"NIFTY LOW VOLATILITY 50","24 May 2024","-","-","-","22694.90"
"NIFTY LOW VOLATILITY 50","23 May 2024","-","-","-","22774.07"
"NIFTY LOW VOLATILITY 50","22 May 2024","-","-","-","22593.88"
"NIFTY LOW VOLATILITY 50","21 May 2024","-","-","-","22486.06"
"NIFTY LOW VOLATILITY 50","18 May 2024","-","-","-","22493.02"
"NIFTY LOW VOLATILITY 50","17 May 2024","-","-","-","22448.05"
"NIFTY LOW VOLATILITY 50","16 May 2024","-","-","-","22421.66"
"NIFTY LOW VOLATILITY 50","15 May 2024","-","-","-","22235.64"
"NIFTY LOW VOLATILITY 50","14 May 2024","-","-","-","22273.86"
"NIFTY LOW VOLATILITY 50","13 May 2024","-","-","-","22229.74"
"NIFTY LOW VOLATILITY 50","10 May 2024","-","-","-","22068.15"
"NIFTY LOW VOLATILITY 50","09 May 2024","-","-","-","21900.61"
"NIFTY LOW VOLATILITY 50","08 May 2024","-","-","-","22248.86"
"NIFTY LOW VOLATILITY 50","07 May 2024","-","-","-","22200.85"
"NIFTY LOW VOLATILITY 50","06 May 2024","-","-","-","22225.06"
"NIFTY LOW VOLATILITY 50","03 May 2024","-","-","-","22194.39"
"NIFTY LOW VOLATILITY 50","02 May 2024","-","-","-","22333.52"
"NIFTY LOW VOLATILITY 50","30 Apr 2024","-","-","-","22262.48"
"NIFTY LOW VOLATILITY 50","29 Apr 2024","-","-","-","22224.10"
"NIFTY LOW VOLATILITY 50","26 Apr 2024","-","-","-","22167.33"
"NIFTY LOW VOLATILITY 50","25 Apr 2024","-","-","-","22181.19"
"NIFTY LOW VOLATILITY 50","24 Apr 2024","-","-","-","22089.91"
"NIFTY LOW VOLATILITY 50","23 Apr 2024","-","-","-","22069.57"
"NIFTY LOW VOLATILITY 50","22 Apr 2024","-","-","-","21995.45"
"NIFTY LOW VOLATILITY 50","19 Apr 2024","-","-","-","21760.16"
"NIFTY LOW VOLATILITY 50","18 Apr 2024","-","-","-","21727.80"
"NIFTY LOW VOLATILITY 50","16 Apr 2024","-","-","-","21881.33"
"NIFTY LOW VOLATILITY 50","15 Apr 2024","-","-","-","21868.59"
"NIFTY LOW VOLATILITY 50","12 Apr 2024","-","-","-","22072.74"
"NIFTY LOW VOLATILITY 50","10 Apr 2024","-","-","-","22303.33"
"NIFTY LOW VOLATILITY 50","09 Apr 2024","-","-","-","22208.37"
"NIFTY LOW VOLATILITY 50","08 Apr 2024","-","-","-","22240.92"
"NIFTY LOW VOLATILITY 50","05 Apr 2024","-","-","-","22038.89"
"NIFTY LOW VOLATILITY 50","04 Apr 2024","-","-","-","22001.14"
"NIFTY LOW VOLATILITY 50","03 Apr 2024","-","-","-","22042.09"
"NIFTY LOW VOLATILITY 50","02 Apr 2024","-","-","-","22092.86"
"NIFTY LOW VOLATILITY 50","01 Apr 2024","-","-","-","22086.17"
