"Index Name","Date","Open","High","Low","Close"
"NIFTY MEDIA","01 Jul 2024","1999.05","2049","1998.05","2040.60"
"NIFTY MEDIA","28 Jun 2024","2007.85","2013.9","1986.25","1992.35"
"NIFTY MEDIA","27 Jun 2024","2035.65","2044.4","1987.9","1996.20"
"NIFTY MEDIA","26 Jun 2024","2002.9","2039.15","1994.65","2023.45"
"NIFTY MEDIA","25 Jun 2024","2016.8","2024.45","1989.35","1991.50"
"NIFTY MEDIA","24 Jun 2024","2035.9","2036.2","1999.35","2001.60"
"NIFTY MEDIA","21 Jun 2024","2024.4","2059","2019.55","2039.65"
"NIFTY MEDIA","20 Jun 2024","2024.55","2036.6","2016.95","2020.50"
"NIFTY MEDIA","19 Jun 2024","2055.55","2057.7","2002.25","2018.20"
"NIFTY MEDIA","18 Jun 2024","2067.8","2071.1","2037.6","2044.60"
"NIFTY MEDIA","14 Jun 2024","2064.35","2067.6","2049.95","2057.85"
"NIFTY MEDIA","13 Jun 2024","2089.4","2091.15","2048.65","2058.55"
"NIFTY MEDIA","12 Jun 2024","2051.4","2093.3","2050.9","2081.20"
"NIFTY MEDIA","11 Jun 2024","2018.55","2047.05","2010.45","2042.55"
"NIFTY MEDIA","10 Jun 2024","1980.95","2011.5","1964.45","2007.40"
"NIFTY MEDIA","07 Jun 2024","1949.55","1978.1","1938.9","1970.65"
"NIFTY MEDIA","06 Jun 2024","1901.8","1954.55","1900.45","1942.35"
"NIFTY MEDIA","05 Jun 2024","1836.8","1885.25","1796.6","1873.40"
"NIFTY MEDIA","04 Jun 2024","1934.3","1935.65","1717.4","1802.00"
"NIFTY MEDIA","03 Jun 2024","1948.85","1950","1903.25","1929.05"
"NIFTY MEDIA","31 May 2024","1908.35","1912.4","1864.85","1870.40"
"NIFTY MEDIA","30 May 2024","1882.55","1918.5","1880.25","1896.85"
"NIFTY MEDIA","29 May 2024","1879.45","1907","1870.3","1887.75"
"NIFTY MEDIA","28 May 2024","1882.15","1898.4","1851.85","1884.45"
"NIFTY MEDIA","27 May 2024","1901.35","1906.5","1870.15","1878.60"
"NIFTY MEDIA","24 May 2024","1883.75","1906.15","1872.6","1897.00"
"NIFTY MEDIA","23 May 2024","1877.2","1886.2","1855.55","1877.40"
"NIFTY MEDIA","22 May 2024","1868.85","1875.5","1835.65","1870.90"
"NIFTY MEDIA","21 May 2024","1836.75","1864.6","1820.35","1857.35"
"NIFTY MEDIA","18 May 2024","1832.2","1842.8","1830.1","1834.35"
"NIFTY MEDIA","17 May 2024","1797.6","1815.3","1795.95","1811.80"
"NIFTY MEDIA","16 May 2024","1781.05","1798.5","1778.15","1794.15"
"NIFTY MEDIA","15 May 2024","1789.5","1795.7","1767.5","1772.45"
"NIFTY MEDIA","14 May 2024","1776.5","1801.2","1774.2","1781.50"
"NIFTY MEDIA","13 May 2024","1779.45","1782.15","1742.95","1768.55"
"NIFTY MEDIA","10 May 2024","1773.95","1785.6","1748.65","1772.40"
"NIFTY MEDIA","09 May 2024","1804.6","1808.65","1760.95","1768.40"
"NIFTY MEDIA","08 May 2024","1785.45","1810.4","1774.8","1800.60"
"NIFTY MEDIA","07 May 2024","1813.35","1828.65","1772.3","1784.95"
"NIFTY MEDIA","06 May 2024","1864.05","1865.05","1806.65","1811.15"
"NIFTY MEDIA","03 May 2024","1873.9","1881.4","1833.65","1851.10"
"NIFTY MEDIA","02 May 2024","1896.05","1900.65","1860.45","1862.95"
"NIFTY MEDIA","30 Apr 2024","1920.85","1931.6","1887.05","1892.80"
"NIFTY MEDIA","29 Apr 2024","1921","1937.95","1909.05","1912.35"
"NIFTY MEDIA","26 Apr 2024","1896.55","1927.1","1894.15","1910.95"
"NIFTY MEDIA","25 Apr 2024","1889.65","1898.85","1875.8","1888.60"
"NIFTY MEDIA","24 Apr 2024","1894.5","1901.8","1872.7","1879.60"
"NIFTY MEDIA","23 Apr 2024","1879.5","1891.6","1875.45","1885.00"
"NIFTY MEDIA","22 Apr 2024","1887.2","1894.3","1870.05","1875.10"
