"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP LIQUID 15","01 Jul 2024","12868.1","12988.15","12843.55","12968.20"
"NIFTY MIDCAP LIQUID 15","28 Jun 2024","12714.8","12885.45","12695.85","12830.05"
"NIFTY MIDCAP LIQUID 15","27 Jun 2024","12666.15","12772.3","12625.5","12722.00"
"NIFTY MIDCAP LIQUID 15","26 Jun 2024","12766.3","12793.1","12656.05","12673.80"
"NIFTY MIDCAP LIQUID 15","25 Jun 2024","12763.95","12815.25","12707.35","12751.55"
"NIFTY MIDCAP LIQUID 15","24 Jun 2024","12575.6","12762.4","12507.15","12737.25"
"NIFTY MIDCAP LIQUID 15","21 Jun 2024","12658.6","12712.6","12595.4","12639.15"
"NIFTY MIDCAP LIQUID 15","20 Jun 2024","12517.5","12607.9","12461.5","12595.60"
"NIFTY MIDCAP LIQUID 15","19 Jun 2024","12608.1","12613","12402.1","12487.50"
"NIFTY MIDCAP LIQUID 15","18 Jun 2024","12470","12581.45","12418.85","12575.00"
"NIFTY MIDCAP LIQUID 15","14 Jun 2024","12433.55","12474.15","12398.25","12455.50"
"NIFTY MIDCAP LIQUID 15","13 Jun 2024","12394","12425.65","12345.7","12418.10"
"NIFTY MIDCAP LIQUID 15","12 Jun 2024","12229.1","12349.2","12217.55","12321.20"
"NIFTY MIDCAP LIQUID 15","11 Jun 2024","12174.35","12245.65","12073.75","12203.90"
"NIFTY MIDCAP LIQUID 15","10 Jun 2024","12261.35","12290.4","12013.4","12127.90"
"NIFTY MIDCAP LIQUID 15","07 Jun 2024","12073.25","12220.8","12040.3","12184.70"
"NIFTY MIDCAP LIQUID 15","06 Jun 2024","11993","12056.3","11918.9","11995.00"
"NIFTY MIDCAP LIQUID 15","05 Jun 2024","11371.65","11921.8","11178.45","11879.75"
"NIFTY MIDCAP LIQUID 15","04 Jun 2024","12001.65","12006.7","10871.65","11216.10"
"NIFTY MIDCAP LIQUID 15","03 Jun 2024","12005.3","12034.65","11880.85","11996.55"
"NIFTY MIDCAP LIQUID 15","31 May 2024","11692.95","11717.6","11593.65","11652.55"
"NIFTY MIDCAP LIQUID 15","30 May 2024","11781.45","11789.9","11621.85","11649.15"
"NIFTY MIDCAP LIQUID 15","29 May 2024","11792.45","11837.85","11745.85","11789.05"
"NIFTY MIDCAP LIQUID 15","28 May 2024","11961.25","11983.4","11784.35","11831.00"
"NIFTY MIDCAP LIQUID 15","27 May 2024","11722.25","12001.4","11669.3","11911.55"
"NIFTY MIDCAP LIQUID 15","24 May 2024","11691","11741.15","11647.1","11665.15"
"NIFTY MIDCAP LIQUID 15","23 May 2024","11725","11727.25","11579.75","11696.35"
"NIFTY MIDCAP LIQUID 15","22 May 2024","11683.6","11706","11568","11673.35"
"NIFTY MIDCAP LIQUID 15","21 May 2024","11552.85","11637.05","11496.3","11629.10"
"NIFTY MIDCAP LIQUID 15","18 May 2024","11559.5","11580.6","11534.6","11567.60"
"NIFTY MIDCAP LIQUID 15","17 May 2024","11495.75","11562.4","11472.45","11514.60"
"NIFTY MIDCAP LIQUID 15","16 May 2024","11399.5","11466.9","11361.55","11454.10"
