"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP SELECT","01 Jul 2024","12262.55","12311.1","12217.65","12277.10"
"NIFTY MIDCAP SELECT","28 Jun 2024","12280.8","12303.95","12210.55","12250.80"
"NIFTY MIDCAP SELECT","27 Jun 2024","12267.95","12324.95","12135.35","12256.85"
"NIFTY MIDCAP SELECT","26 Jun 2024","12297.15","12342.55","12223.6","12251.05"
"NIFTY MIDCAP SELECT","25 Jun 2024","12326","12377.4","12238.4","12282.10"
"NIFTY MIDCAP SELECT","24 Jun 2024","12107.95","12301.75","12009.5","12275.90"
"NIFTY MIDCAP SELECT","21 Jun 2024","12212.5","12254.4","12135.5","12164.80"
"NIFTY MIDCAP SELECT","20 Jun 2024","12035.7","12156.05","11993","12139.05"
"NIFTY MIDCAP SELECT","19 Jun 2024","12158.9","12158.9","11936.25","12003.85"
"NIFTY MIDCAP SELECT","18 Jun 2024","12083","12123.15","12036.95","12115.65"
"NIFTY MIDCAP SELECT","14 Jun 2024","11976.2","12064.85","11950","12053.20"
"NIFTY MIDCAP SELECT","13 Jun 2024","11971.45","11996.4","11904.9","11947.45"
"NIFTY MIDCAP SELECT","12 Jun 2024","11804.25","11921.65","11798.55","11892.30"
"NIFTY MIDCAP SELECT","11 Jun 2024","11727.65","11816.45","11660.95","11769.60"
"NIFTY MIDCAP SELECT","10 Jun 2024","11812.8","11834.25","11578.3","11691.80"
"NIFTY MIDCAP SELECT","07 Jun 2024","11616.8","11766.55","11588.35","11756.25"
"NIFTY MIDCAP SELECT","06 Jun 2024","11572.65","11678.85","11520","11589.60"
"NIFTY MIDCAP SELECT","05 Jun 2024","10970.8","11504.7","10755.7","11455.80"
"NIFTY MIDCAP SELECT","04 Jun 2024","11726.85","11728.05","10454.15","10841.00"
"NIFTY MIDCAP SELECT","03 Jun 2024","11756.75","11766.55","11602.5","11723.55"
"NIFTY MIDCAP SELECT","31 May 2024","11390.6","11414.75","11295.3","11358.10"
"NIFTY MIDCAP SELECT","30 May 2024","11523.6","11531.6","11318.45","11338.55"
"NIFTY MIDCAP SELECT","29 May 2024","11551.35","11589.4","11490.4","11525.80"
"NIFTY MIDCAP SELECT","28 May 2024","11717.35","11740.45","11538.05","11582.70"
"NIFTY MIDCAP SELECT","27 May 2024","11514.15","11785.15","11459.2","11673.05"
"NIFTY MIDCAP SELECT","24 May 2024","11426.4","11516.9","11386.15","11458.25"
"NIFTY MIDCAP SELECT","23 May 2024","11401.3","11432.1","11302.6","11420.10"
"NIFTY MIDCAP SELECT","22 May 2024","11385.15","11402.95","11268.5","11355.60"
"NIFTY MIDCAP SELECT","21 May 2024","11340.35","11349.9","11240.75","11339.35"
"NIFTY MIDCAP SELECT","18 May 2024","11342","11347.9","11316","11336.85"
"NIFTY MIDCAP SELECT","17 May 2024","11319.2","11324.5","11262.15","11301.20"
"NIFTY MIDCAP SELECT","16 May 2024","11214.45","11290.3","11181.95","11276.75"
"NIFTY MIDCAP SELECT","15 May 2024","11166.85","11183.95","11108.35","11167.45"
"NIFTY MIDCAP SELECT","14 May 2024","11115.4","11151.65","11020.85","11132.60"
"NIFTY MIDCAP SELECT","13 May 2024","10903.6","11115.75","10761.75","11096.20"
"NIFTY MIDCAP SELECT","10 May 2024","10787.75","10888.3","10691.25","10877.60"
"NIFTY MIDCAP SELECT","09 May 2024","10942.15","10975.15","10739.5","10753.50"
"NIFTY MIDCAP SELECT","08 May 2024","10811.65","10965","10747.4","10925.80"
"NIFTY MIDCAP SELECT","07 May 2024","11077.75","11085.2","10754.65","10843.20"
"NIFTY MIDCAP SELECT","06 May 2024","11140.8","11143.05","11031.3","11044.70"
"NIFTY MIDCAP SELECT","03 May 2024","11139.05","11158.4","11009.25","11063.95"
"NIFTY MIDCAP SELECT","02 May 2024","11125.8","11156.45","11090.65","11129.65"
"NIFTY MIDCAP SELECT","30 Apr 2024","11078.65","11153.2","11044.05","11059.75"
"NIFTY MIDCAP SELECT","29 Apr 2024","11042.3","11050.2","10999.05","11040.10"
"NIFTY MIDCAP SELECT","26 Apr 2024","10914.65","10999.5","10892.8","10973.75"
"NIFTY MIDCAP SELECT","25 Apr 2024","10809.5","10892.5","10807.95","10882.60"
"NIFTY MIDCAP SELECT","24 Apr 2024","10822.8","10854.2","10803.5","10836.20"
"NIFTY MIDCAP SELECT","23 Apr 2024","10758.5","10807.55","10730.3","10781.65"
"NIFTY MIDCAP SELECT","22 Apr 2024","10767.55","10767.55","10681.15","10701.25"
"NIFTY MIDCAP SELECT","19 Apr 2024","10659.6","10720.9","10532.4","10667.60"
"NIFTY MIDCAP SELECT","18 Apr 2024","10833.6","10908.1","10719.85","10746.10"
"NIFTY MIDCAP SELECT","16 Apr 2024","10735","10858.25","10704.5","10758.90"
"NIFTY MIDCAP SELECT","15 Apr 2024","10810.1","10867.75","10778.55","10801.10"
"NIFTY MIDCAP SELECT","12 Apr 2024","10986.3","11029.35","10928.55","10939.30"
"NIFTY MIDCAP SELECT","10 Apr 2024","10903.90","10991.35","10889.70","10979.20"
"NIFTY MIDCAP SELECT","09 Apr 2024","10933.15","10952.30","10848.10","10873.90"
"NIFTY MIDCAP SELECT","08 Apr 2024","10964.60","10968.60","10695.50","10866.50"
"NIFTY MIDCAP SELECT","05 Apr 2024","10829.65","10874.65","10779.95","10864.95"
"NIFTY MIDCAP SELECT","04 Apr 2024","10890.85","10909.40","10808.50","10818.75"
"NIFTY MIDCAP SELECT","03 Apr 2024","10745.65","10828.35","10697.65","10814.60"
"NIFTY MIDCAP SELECT","02 Apr 2024","10732.85","10802.25","10674.30","10777.20"
"NIFTY MIDCAP SELECT","01 Apr 2024","10629.60","10702.95","10593.25","10689.45"
"NIFTY MIDCAP SELECT","28 Mar 2024","10534.10","10570.25","10463.80","10525.30"
"NIFTY MIDCAP SELECT","27 Mar 2024","10536.40","10567.30","10473.20","10494.85"
"NIFTY MIDCAP SELECT","26 Mar 2024","10363.70","10522.85","10361.80","10498.75"
"NIFTY MIDCAP SELECT","22 Mar 2024","10383.50","10422.45","10353.85","10402.10"
"NIFTY MIDCAP SELECT","21 Mar 2024","10249.35","10438.35","10247.85","10425.05"
"NIFTY MIDCAP SELECT","20 Mar 2024","10182.05","10231.35","10053.75","10146.45"
"NIFTY MIDCAP SELECT","19 Mar 2024","10322.50","10326.90","10128.80","10154.55"
"NIFTY MIDCAP SELECT","18 Mar 2024","10480.15","10492.85","10272.75","10320.35"
"NIFTY MIDCAP SELECT","15 Mar 2024","10499.60","10524.00","10323.20","10486.45"
"NIFTY MIDCAP SELECT","14 Mar 2024","10315.90","10542.95","10235.90","10516.55"
"NIFTY MIDCAP SELECT","13 Mar 2024","10742.85","10791.30","10316.75","10378.50"
"NIFTY MIDCAP SELECT","12 Mar 2024","10854.85","10872.75","10675.15","10715.35"
"NIFTY MIDCAP SELECT","11 Mar 2024","10917.00","10929.50","10832.25","10851.45"
"NIFTY MIDCAP SELECT","07 Mar 2024","10901.85","10934.10","10870.05","10890.40"
"NIFTY MIDCAP SELECT","06 Mar 2024","10932.85","10936.80","10720.75","10882.55"
"NIFTY MIDCAP SELECT","05 Mar 2024","10995.40","11018.15","10903.85","10913.20"
"NIFTY MIDCAP SELECT","04 Mar 2024","10981.10","11012.25","10913.75","10992.15"
"NIFTY MIDCAP SELECT","02 Mar 2024","10952.95","11029.70","10911.25","10966.95"
"NIFTY MIDCAP SELECT","01 Mar 2024","10870.05","10925.45","10860.75","10908.90"
"NIFTY MIDCAP SELECT","29 Feb 2024","10746.50","10860.00","10652.55","10826.55"
"NIFTY MIDCAP SELECT","28 Feb 2024","11026.75","11027.65","10716.95","10751.15"
"NIFTY MIDCAP SELECT","27 Feb 2024","11012.60","11088.00","10935.40","11005.45"
"NIFTY MIDCAP SELECT","26 Feb 2024","11067.70","11076.30","10844.80","11004.35"
"NIFTY MIDCAP SELECT","23 Feb 2024","11030.95","11119.85","11012.45","11066.55"
"NIFTY MIDCAP SELECT","22 Feb 2024","10902.85","10996.30","10784.80","10980.10"
"NIFTY MIDCAP SELECT","21 Feb 2024","11011.70","11031.65","10833.20","10863.95"
"NIFTY MIDCAP SELECT","20 Feb 2024","10983.25","11010.95","10932.65","10981.05"
"NIFTY MIDCAP SELECT","19 Feb 2024","11062.95","11063.95","11001.10","11021.20"
"NIFTY MIDCAP SELECT","16 Feb 2024","10951.25","11041.65","10920.65","11021.30"
"NIFTY MIDCAP SELECT","15 Feb 2024","10823.00","10909.60","10801.10","10901.00"
"NIFTY MIDCAP SELECT","14 Feb 2024","10588.45","10804.20","10544.35","10763.90"
"NIFTY MIDCAP SELECT","13 Feb 2024","10702.25","10702.25","10539.05","10679.15"
"NIFTY MIDCAP SELECT","12 Feb 2024","10808.20","10812.65","10635.80","10671.05"
"NIFTY MIDCAP SELECT","09 Feb 2024","10875.70","10878.25","10591.35","10746.75"
"NIFTY MIDCAP SELECT","08 Feb 2024","10946.20","10946.20","10822.95","10846.00"
"NIFTY MIDCAP SELECT","07 Feb 2024","10849.80","10873.55","10782.80","10854.75"
"NIFTY MIDCAP SELECT","06 Feb 2024","10804.10","10819.40","10731.75","10802.00"
"NIFTY MIDCAP SELECT","05 Feb 2024","10775.30","10822.30","10657.00","10741.35"
