"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDSMALL FINANCIAL SERVICES","01 Jul 2024","-","-","-","14745.08"
"NIFTY MIDSMALL FINANCIAL SERVICES","28 Jun 2024","-","-","-","14522.11"
"NIFTY MIDSMALL FINANCIAL SERVICES","27 Jun 2024","-","-","-","14356.83"
"NIFTY MIDSMALL FINANCIAL SERVICES","26 Jun 2024","-","-","-","14406.10"
"NIFTY MIDSMALL FINANCIAL SERVICES","25 Jun 2024","-","-","-","14398.76"
"NIFTY MIDSMALL FINANCIAL SERVICES","24 Jun 2024","-","-","-","14257.21"
"NIFTY MIDSMALL FINANCIAL SERVICES","21 Jun 2024","-","-","-","14316.83"
"NIFTY MIDSMALL FINANCIAL SERVICES","20 Jun 2024","-","-","-","14389.43"
"NIFTY MIDSMALL FINANCIAL SERVICES","19 Jun 2024","-","-","-","14304.16"
"NIFTY MIDSMALL FINANCIAL SERVICES","18 Jun 2024","-","-","-","14370.85"
"NIFTY MIDSMALL FINANCIAL SERVICES","14 Jun 2024","-","-","-","14280.92"
"NIFTY MIDSMALL FINANCIAL SERVICES","13 Jun 2024","-","-","-","14187.80"
"NIFTY MIDSMALL FINANCIAL SERVICES","12 Jun 2024","-","-","-","14119.39"
"NIFTY MIDSMALL FINANCIAL SERVICES","11 Jun 2024","-","-","-","13887.98"
"NIFTY MIDSMALL FINANCIAL SERVICES","10 Jun 2024","-","-","-","13847.14"
"NIFTY MIDSMALL FINANCIAL SERVICES","07 Jun 2024","-","-","-","13798.08"
"NIFTY MIDSMALL FINANCIAL SERVICES","06 Jun 2024","-","-","-","13567.05"
"NIFTY MIDSMALL FINANCIAL SERVICES","05 Jun 2024","-","-","-","13423.22"
"NIFTY MIDSMALL FINANCIAL SERVICES","04 Jun 2024","-","-","-","12795.38"
"NIFTY MIDSMALL FINANCIAL SERVICES","03 Jun 2024","-","-","-","13850.36"
"NIFTY MIDSMALL FINANCIAL SERVICES","31 May 2024","-","-","-","13515.30"
"NIFTY MIDSMALL FINANCIAL SERVICES","30 May 2024","-","-","-","13277.05"
"NIFTY MIDSMALL FINANCIAL SERVICES","29 May 2024","-","-","-","13484.68"
"NIFTY MIDSMALL FINANCIAL SERVICES","28 May 2024","-","-","-","13572.87"
"NIFTY MIDSMALL FINANCIAL SERVICES","27 May 2024","-","-","-","13668.34"
"NIFTY MIDSMALL FINANCIAL SERVICES","24 May 2024","-","-","-","13605.42"
"NIFTY MIDSMALL FINANCIAL SERVICES","23 May 2024","-","-","-","13605.13"
"NIFTY MIDSMALL FINANCIAL SERVICES","22 May 2024","-","-","-","13545.88"
"NIFTY MIDSMALL FINANCIAL SERVICES","21 May 2024","-","-","-","13615.36"
"NIFTY MIDSMALL FINANCIAL SERVICES","18 May 2024","-","-","-","13731.64"
"NIFTY MIDSMALL FINANCIAL SERVICES","17 May 2024","-","-","-","13665.92"
"NIFTY MIDSMALL FINANCIAL SERVICES","16 May 2024","-","-","-","13632.30"
"NIFTY MIDSMALL FINANCIAL SERVICES","15 May 2024","-","-","-","13548.70"
"NIFTY MIDSMALL FINANCIAL SERVICES","14 May 2024","-","-","-","13399.39"
"NIFTY MIDSMALL FINANCIAL SERVICES","13 May 2024","-","-","-","13319.06"
"NIFTY MIDSMALL FINANCIAL SERVICES","10 May 2024","-","-","-","13286.10"
"NIFTY MIDSMALL FINANCIAL SERVICES","09 May 2024","-","-","-","13158.34"
"NIFTY MIDSMALL FINANCIAL SERVICES","08 May 2024","-","-","-","13443.41"
"NIFTY MIDSMALL FINANCIAL SERVICES","07 May 2024","-","-","-","13485.69"
"NIFTY MIDSMALL FINANCIAL SERVICES","06 May 2024","-","-","-","13854.40"
"NIFTY MIDSMALL FINANCIAL SERVICES","03 May 2024","-","-","-","14075.00"
"NIFTY MIDSMALL FINANCIAL SERVICES","02 May 2024","-","-","-","14186.53"
"NIFTY MIDSMALL FINANCIAL SERVICES","30 Apr 2024","-","-","-","14062.07"
"NIFTY MIDSMALL FINANCIAL SERVICES","29 Apr 2024","-","-","-","14043.06"
"NIFTY MIDSMALL FINANCIAL SERVICES","26 Apr 2024","-","-","-","14091.18"
"NIFTY MIDSMALL FINANCIAL SERVICES","25 Apr 2024","-","-","-","14052.89"
"NIFTY MIDSMALL FINANCIAL SERVICES","24 Apr 2024","-","-","-","13889.86"
"NIFTY MIDSMALL FINANCIAL SERVICES","23 Apr 2024","-","-","-","13899.92"
"NIFTY MIDSMALL FINANCIAL SERVICES","22 Apr 2024","-","-","-","13702.93"
"NIFTY MIDSMALL FINANCIAL SERVICES","19 Apr 2024","-","-","-","13489.93"
"NIFTY MIDSMALL FINANCIAL SERVICES","18 Apr 2024","-","-","-","13564.01"
"NIFTY MIDSMALL FINANCIAL SERVICES","16 Apr 2024","-","-","-","13565.08"
"NIFTY MIDSMALL FINANCIAL SERVICES","15 Apr 2024","-","-","-","13594.45"
"NIFTY MIDSMALL FINANCIAL SERVICES","12 Apr 2024","-","-","-","13798.31"
"NIFTY MIDSMALL FINANCIAL SERVICES","10 Apr 2024","-","-","-","13890.50"
"NIFTY MIDSMALL FINANCIAL SERVICES","09 Apr 2024","-","-","-","13755.86"
"NIFTY MIDSMALL FINANCIAL SERVICES","08 Apr 2024","-","-","-","13771.52"
"NIFTY MIDSMALL FINANCIAL SERVICES","05 Apr 2024","-","-","-","13773.94"
"NIFTY MIDSMALL FINANCIAL SERVICES","04 Apr 2024","-","-","-","13668.56"
"NIFTY MIDSMALL FINANCIAL SERVICES","03 Apr 2024","-","-","-","13582.60"
"NIFTY MIDSMALL FINANCIAL SERVICES","02 Apr 2024","-","-","-","13440.59"
"NIFTY MIDSMALL FINANCIAL SERVICES","01 Apr 2024","-","-","-","13269.13"
"NIFTY MIDSMALL FINANCIAL SERVICES","28 Mar 2024","-","-","-","12833.33"
"NIFTY MIDSMALL FINANCIAL SERVICES","27 Mar 2024","-","-","-","12811.67"
"NIFTY MIDSMALL FINANCIAL SERVICES","26 Mar 2024","-","-","-","12937.00"
"NIFTY MIDSMALL FINANCIAL SERVICES","22 Mar 2024","-","-","-","12895.05"
"NIFTY MIDSMALL FINANCIAL SERVICES","21 Mar 2024","-","-","-","12768.37"
"NIFTY MIDSMALL FINANCIAL SERVICES","20 Mar 2024","-","-","-","12407.93"
"NIFTY MIDSMALL FINANCIAL SERVICES","19 Mar 2024","-","-","-","12425.02"
"NIFTY MIDSMALL FINANCIAL SERVICES","18 Mar 2024","-","-","-","12591.25"
"NIFTY MIDSMALL FINANCIAL SERVICES","15 Mar 2024","-","-","-","12680.92"
"NIFTY MIDSMALL FINANCIAL SERVICES","14 Mar 2024","-","-","-","12767.25"
"NIFTY MIDSMALL FINANCIAL SERVICES","13 Mar 2024","-","-","-","12509.16"
