"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDSMALL HEALTHCARE","01 Jul 2024","35801.8","35995.2","35679.7","35960.10"
"NIFTY MIDSMALL HEALTHCARE","28 Jun 2024","35172.35","35752.35","35170.25","35665.10"
"NIFTY MIDSMALL HEALTHCARE","27 Jun 2024","35279.55","35694.65","35173.15","35280.40"
"NIFTY MIDSMALL HEALTHCARE","26 Jun 2024","35193.3","35312.35","35005.55","35208.25"
"NIFTY MIDSMALL HEALTHCARE","25 Jun 2024","35462.3","35595.25","35160.25","35259.30"
"NIFTY MIDSMALL HEALTHCARE","24 Jun 2024","35577.6","35612.2","35274.45","35325.90"
"NIFTY MIDSMALL HEALTHCARE","21 Jun 2024","35837.3","36080.35","35574.75","35663.30"
"NIFTY MIDSMALL HEALTHCARE","20 Jun 2024","35555.9","35754.9","35351.55","35702.70"
"NIFTY MIDSMALL HEALTHCARE","19 Jun 2024","35929.4","35930.65","35485","35526.75"
"NIFTY MIDSMALL HEALTHCARE","18 Jun 2024","36150.3","36164.3","35687.4","35791.55"
"NIFTY MIDSMALL HEALTHCARE","14 Jun 2024","35725.85","36107.55","35669.75","36052.75"
"NIFTY MIDSMALL HEALTHCARE","13 Jun 2024","35653","35702.25","35459.65","35611.45"
"NIFTY MIDSMALL HEALTHCARE","12 Jun 2024","35105.65","35334.35","34995.1","35309.55"
"NIFTY MIDSMALL HEALTHCARE","11 Jun 2024","35029.2","35110.45","34828.9","34942.20"
"NIFTY MIDSMALL HEALTHCARE","10 Jun 2024","34980.45","35222.05","34862.95","34954.40"
"NIFTY MIDSMALL HEALTHCARE","07 Jun 2024","34380.55","34793.55","34338.95","34762.25"
"NIFTY MIDSMALL HEALTHCARE","06 Jun 2024","34247.1","34352.75","34042.85","34302.70"
"NIFTY MIDSMALL HEALTHCARE","05 Jun 2024","33045","34228.05","32564.05","34030.85"
"NIFTY MIDSMALL HEALTHCARE","04 Jun 2024","33559.05","33588.85","31279.6","32765.60"
"NIFTY MIDSMALL HEALTHCARE","03 Jun 2024","33910","34013.65","33308.55","33449.10"
"NIFTY MIDSMALL HEALTHCARE","31 May 2024","33592.2","33694.1","33144.15","33353.75"
"NIFTY MIDSMALL HEALTHCARE","30 May 2024","34064.9","34133.05","33521.15","33589.35"
"NIFTY MIDSMALL HEALTHCARE","29 May 2024","34227.5","34299.85","33987.35","34172.85"
"NIFTY MIDSMALL HEALTHCARE","28 May 2024","34307","34402.95","33995.55","34244.60"
"NIFTY MIDSMALL HEALTHCARE","27 May 2024","34120.6","34326.1","33961.5","34148.20"
"NIFTY MIDSMALL HEALTHCARE","24 May 2024","34288.9","34321.3","33996.55","34040.40"
"NIFTY MIDSMALL HEALTHCARE","23 May 2024","34685.8","34713.4","34083.2","34262.90"
"NIFTY MIDSMALL HEALTHCARE","22 May 2024","34592.75","34690.75","34280.5","34498.95"
"NIFTY MIDSMALL HEALTHCARE","21 May 2024","34247.75","34532.05","34206.05","34473.95"
"NIFTY MIDSMALL HEALTHCARE","18 May 2024","34470.4","34618.65","34452.7","34540.45"
"NIFTY MIDSMALL HEALTHCARE","17 May 2024","34220.15","34291.65","34100.1","34269.75"
"NIFTY MIDSMALL HEALTHCARE","16 May 2024","33992.95","34171.65","33829.55","34128.40"
"NIFTY MIDSMALL HEALTHCARE","15 May 2024","33938.3","34031.8","33816.7","33878.20"
"NIFTY MIDSMALL HEALTHCARE","14 May 2024","33985.6","34057.2","33677.55","33852.25"
"NIFTY MIDSMALL HEALTHCARE","13 May 2024","33574.05","33953.25","33291.85","33867.90"
"NIFTY MIDSMALL HEALTHCARE","10 May 2024","33169.95","33583.8","32905.05","33553.45"
"NIFTY MIDSMALL HEALTHCARE","09 May 2024","33723.4","33762.8","33067.75","33121.60"
"NIFTY MIDSMALL HEALTHCARE","08 May 2024","33542.85","33729.75","33290.5","33679.60"
"NIFTY MIDSMALL HEALTHCARE","07 May 2024","34378","34399.65","33312.8","33584.50"
"NIFTY MIDSMALL HEALTHCARE","06 May 2024","34199.95","34410.55","33951.45","34341.10"
"NIFTY MIDSMALL HEALTHCARE","03 May 2024","34237.4","34296.8","33932.95","34075.85"
"NIFTY MIDSMALL HEALTHCARE","02 May 2024","34126.95","34166.95","33871.5","33964.85"
"NIFTY MIDSMALL HEALTHCARE","30 Apr 2024","34227.5","34378.15","34047.05","34088.65"
"NIFTY MIDSMALL HEALTHCARE","29 Apr 2024","33746.7","34153.45","33634.55","34102.80"
"NIFTY MIDSMALL HEALTHCARE","26 Apr 2024","33511.55","33910.1","33511.45","33793.40"
"NIFTY MIDSMALL HEALTHCARE","25 Apr 2024","33422.3","33541.05","33344.3","33485.60"
"NIFTY MIDSMALL HEALTHCARE","24 Apr 2024","33113.35","33490.45","33047.7","33414.40"
"NIFTY MIDSMALL HEALTHCARE","23 Apr 2024","33044.75","33055.45","32862.05","32935.80"
"NIFTY MIDSMALL HEALTHCARE","22 Apr 2024","32780.7","33021.05","32767.6","32859.05"
"NIFTY MIDSMALL HEALTHCARE","19 Apr 2024","32744.8","32828.5","32363.7","32630.25"
"NIFTY MIDSMALL HEALTHCARE","18 Apr 2024","33458.25","33481.9","32887.85","32965.90"
"NIFTY MIDSMALL HEALTHCARE","16 Apr 2024","33087.65","33415.75","33005.05","33283.80"
"NIFTY MIDSMALL HEALTHCARE","15 Apr 2024","33349.45","33496.4","33099.8","33234.55"
"NIFTY MIDSMALL HEALTHCARE","12 Apr 2024","33750.85","34125.6","33604.15","33653.10"
"NIFTY MIDSMALL HEALTHCARE","10 Apr 2024","33706.40","33896.85","33612.50","33797.05"
"NIFTY MIDSMALL HEALTHCARE","09 Apr 2024","33724.05","33743.60","33464.90","33586.30"
"NIFTY MIDSMALL HEALTHCARE","08 Apr 2024","33543.70","33693.55","33435.75","33562.05"
"NIFTY MIDSMALL HEALTHCARE","05 Apr 2024","-","-","-","33340.04"
"NIFTY MIDSMALL HEALTHCARE","04 Apr 2024","-","-","-","33259.37"
"NIFTY MIDSMALL HEALTHCARE","03 Apr 2024","-","-","-","33263.73"
"NIFTY MIDSMALL HEALTHCARE","02 Apr 2024","-","-","-","33176.57"
"NIFTY MIDSMALL HEALTHCARE","01 Apr 2024","-","-","-","33108.52"
"NIFTY MIDSMALL HEALTHCARE","28 Mar 2024","-","-","-","32787.78"
"NIFTY MIDSMALL HEALTHCARE","27 Mar 2024","-","-","-","32455.02"
"NIFTY MIDSMALL HEALTHCARE","26 Mar 2024","-","-","-","32131.75"
"NIFTY MIDSMALL HEALTHCARE","22 Mar 2024","-","-","-","31611.69"
"NIFTY MIDSMALL HEALTHCARE","21 Mar 2024","-","-","-","31476.93"
"NIFTY MIDSMALL HEALTHCARE","20 Mar 2024","-","-","-","31219.18"
"NIFTY MIDSMALL HEALTHCARE","19 Mar 2024","-","-","-","31029.88"
"NIFTY MIDSMALL HEALTHCARE","18 Mar 2024","-","-","-","31354.89"
"NIFTY MIDSMALL HEALTHCARE","15 Mar 2024","-","-","-","31187.50"
"NIFTY MIDSMALL HEALTHCARE","14 Mar 2024","-","-","-","31407.95"
"NIFTY MIDSMALL HEALTHCARE","13 Mar 2024","-","-","-","30944.90"
"NIFTY MIDSMALL HEALTHCARE","12 Mar 2024","-","-","-","31969.52"
"NIFTY MIDSMALL HEALTHCARE","11 Mar 2024","-","-","-","32310.97"
"NIFTY MIDSMALL HEALTHCARE","07 Mar 2024","-","-","-","32290.99"
"NIFTY MIDSMALL HEALTHCARE","06 Mar 2024","-","-","-","32244.20"
"NIFTY MIDSMALL HEALTHCARE","05 Mar 2024","-","-","-","32246.59"
"NIFTY MIDSMALL HEALTHCARE","04 Mar 2024","-","-","-","32469.52"
"NIFTY MIDSMALL HEALTHCARE","02 Mar 2024","-","-","-","32822.62"
"NIFTY MIDSMALL HEALTHCARE","01 Mar 2024","-","-","-","32387.06"
"NIFTY MIDSMALL HEALTHCARE","29 Feb 2024","-","-","-","32814.44"
"NIFTY MIDSMALL HEALTHCARE","28 Feb 2024","-","-","-","33187.70"
"NIFTY MIDSMALL HEALTHCARE","27 Feb 2024","-","-","-","33450.42"
"NIFTY MIDSMALL HEALTHCARE","26 Feb 2024","-","-","-","33363.08"
"NIFTY MIDSMALL HEALTHCARE","23 Feb 2024","-","-","-","33770.99"
"NIFTY MIDSMALL HEALTHCARE","22 Feb 2024","-","-","-","33841.89"
"NIFTY MIDSMALL HEALTHCARE","21 Feb 2024","-","-","-","33821.51"
"NIFTY MIDSMALL HEALTHCARE","20 Feb 2024","-","-","-","33953.58"
"NIFTY MIDSMALL HEALTHCARE","19 Feb 2024","-","-","-","33855.93"
"NIFTY MIDSMALL HEALTHCARE","16 Feb 2024","-","-","-","33981.13"
"NIFTY MIDSMALL HEALTHCARE","15 Feb 2024","-","-","-","33306.65"
"NIFTY MIDSMALL HEALTHCARE","14 Feb 2024","-","-","-","33252.65"
"NIFTY MIDSMALL HEALTHCARE","13 Feb 2024","-","-","-","33482.08"
"NIFTY MIDSMALL HEALTHCARE","12 Feb 2024","-","-","-","33166.85"
"NIFTY MIDSMALL HEALTHCARE","09 Feb 2024","-","-","-","33344.39"
"NIFTY MIDSMALL HEALTHCARE","08 Feb 2024","-","-","-","33431.12"
"NIFTY MIDSMALL HEALTHCARE","07 Feb 2024","-","-","-","33391.02"
"NIFTY MIDSMALL HEALTHCARE","06 Feb 2024","-","-","-","33366.60"
"NIFTY MIDSMALL HEALTHCARE","05 Feb 2024","-","-","-","32600.92"
"NIFTY MIDSMALL HEALTHCARE","02 Feb 2024","-","-","-","32309.76"
"NIFTY MIDSMALL HEALTHCARE","01 Feb 2024","-","-","-","32357.68"
"NIFTY MIDSMALL HEALTHCARE","31 Jan 2024","-","-","-","32385.42"
"NIFTY MIDSMALL HEALTHCARE","30 Jan 2024","-","-","-","31586.29"
"NIFTY MIDSMALL HEALTHCARE","29 Jan 2024","-","-","-","31670.49"
"NIFTY MIDSMALL HEALTHCARE","25 Jan 2024","-","-","-","31592.45"
"NIFTY MIDSMALL HEALTHCARE","24 Jan 2024","-","-","-","31835.50"
"NIFTY MIDSMALL HEALTHCARE","23 Jan 2024","-","-","-","31660.58"
"NIFTY MIDSMALL HEALTHCARE","20 Jan 2024","-","-","-","31628.71"
"NIFTY MIDSMALL HEALTHCARE","19 Jan 2024","-","-","-","31789.11"
"NIFTY MIDSMALL HEALTHCARE","18 Jan 2024","-","-","-","31458.75"
"NIFTY MIDSMALL HEALTHCARE","17 Jan 2024","-","-","-","31525.91"
"NIFTY MIDSMALL HEALTHCARE","16 Jan 2024","-","-","-","31630.55"
"NIFTY MIDSMALL HEALTHCARE","15 Jan 2024","-","-","-","31903.70"
"NIFTY MIDSMALL HEALTHCARE","12 Jan 2024","-","-","-","31713.79"
"NIFTY MIDSMALL HEALTHCARE","11 Jan 2024","-","-","-","31929.18"
"NIFTY MIDSMALL HEALTHCARE","10 Jan 2024","-","-","-","31668.30"
"NIFTY MIDSMALL HEALTHCARE","09 Jan 2024","-","-","-","31558.92"
"NIFTY MIDSMALL HEALTHCARE","08 Jan 2024","-","-","-","31349.60"
"NIFTY MIDSMALL HEALTHCARE","05 Jan 2024","-","-","-","31753.35"
"NIFTY MIDSMALL HEALTHCARE","04 Jan 2024","-","-","-","31777.22"
"NIFTY MIDSMALL HEALTHCARE","03 Jan 2024","-","-","-","31422.57"
"NIFTY MIDSMALL HEALTHCARE","02 Jan 2024","-","-","-","31142.12"
"NIFTY MIDSMALL HEALTHCARE","01 Jan 2024","-","-","-","30711.92"
"NIFTY MIDSMALL HEALTHCARE","29 Dec 2023","-","-","-","30598.71"
"NIFTY MIDSMALL HEALTHCARE","28 Dec 2023","-","-","-","30415.38"
"NIFTY MIDSMALL HEALTHCARE","27 Dec 2023","-","-","-","30160.00"
"NIFTY MIDSMALL HEALTHCARE","26 Dec 2023","-","-","-","29988.14"
"NIFTY MIDSMALL HEALTHCARE","22 Dec 2023","-","-","-","29664.18"
"NIFTY MIDSMALL HEALTHCARE","21 Dec 2023","-","-","-","29329.12"
"NIFTY MIDSMALL HEALTHCARE","20 Dec 2023","-","-","-","28885.37"
"NIFTY MIDSMALL HEALTHCARE","19 Dec 2023","-","-","-","29554.29"
"NIFTY MIDSMALL HEALTHCARE","18 Dec 2023","-","-","-","29521.95"
"NIFTY MIDSMALL HEALTHCARE","15 Dec 2023","-","-","-","29448.70"
"NIFTY MIDSMALL HEALTHCARE","14 Dec 2023","-","-","-","29534.52"
"NIFTY MIDSMALL HEALTHCARE","13 Dec 2023","-","-","-","29559.15"
"NIFTY MIDSMALL HEALTHCARE","12 Dec 2023","-","-","-","29223.91"
"NIFTY MIDSMALL HEALTHCARE","11 Dec 2023","-","-","-","29216.91"
"NIFTY MIDSMALL HEALTHCARE","08 Dec 2023","-","-","-","29213.05"
"NIFTY MIDSMALL HEALTHCARE","07 Dec 2023","-","-","-","29471.47"
"NIFTY MIDSMALL HEALTHCARE","06 Dec 2023","-","-","-","29224.69"
"NIFTY MIDSMALL HEALTHCARE","05 Dec 2023","-","-","-","29469.22"
"NIFTY MIDSMALL HEALTHCARE","04 Dec 2023","-","-","-","29528.05"
"NIFTY MIDSMALL HEALTHCARE","01 Dec 2023","-","-","-","29382.64"
"NIFTY MIDSMALL HEALTHCARE","30 Nov 2023","-","-","-","29194.69"
"NIFTY MIDSMALL HEALTHCARE","29 Nov 2023","-","-","-","28682.97"
"NIFTY MIDSMALL HEALTHCARE","28 Nov 2023","-","-","-","28464.22"
"NIFTY MIDSMALL HEALTHCARE","24 Nov 2023","-","-","-","28592.11"
"NIFTY MIDSMALL HEALTHCARE","23 Nov 2023","-","-","-","28393.16"
"NIFTY MIDSMALL HEALTHCARE","22 Nov 2023","-","-","-","28566.49"
"NIFTY MIDSMALL HEALTHCARE","21 Nov 2023","-","-","-","28364.56"
"NIFTY MIDSMALL HEALTHCARE","20 Nov 2023","-","-","-","28253.27"
"NIFTY MIDSMALL HEALTHCARE","17 Nov 2023","-","-","-","28067.90"
"NIFTY MIDSMALL HEALTHCARE","16 Nov 2023","-","-","-","27875.70"
"NIFTY MIDSMALL HEALTHCARE","15 Nov 2023","-","-","-","27584.67"
"NIFTY MIDSMALL HEALTHCARE","13 Nov 2023","-","-","-","27489.44"
"NIFTY MIDSMALL HEALTHCARE","12 Nov 2023","-","-","-","27671.05"
"NIFTY MIDSMALL HEALTHCARE","10 Nov 2023","-","-","-","27531.92"
"NIFTY MIDSMALL HEALTHCARE","09 Nov 2023","-","-","-","27393.31"
"NIFTY MIDSMALL HEALTHCARE","08 Nov 2023","-","-","-","27259.31"
"NIFTY MIDSMALL HEALTHCARE","07 Nov 2023","-","-","-","26941.22"
"NIFTY MIDSMALL HEALTHCARE","06 Nov 2023","-","-","-","26606.48"
"NIFTY MIDSMALL HEALTHCARE","03 Nov 2023","-","-","-","26234.26"
"NIFTY MIDSMALL HEALTHCARE","02 Nov 2023","-","-","-","26114.29"
"NIFTY MIDSMALL HEALTHCARE","01 Nov 2023","-","-","-","25896.90"
"NIFTY MIDSMALL HEALTHCARE","31 Oct 2023","-","-","-","25881.95"
"NIFTY MIDSMALL HEALTHCARE","30 Oct 2023","-","-","-","25906.28"
