"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDSMALL INDIA CONSUMPTION","01 Jul 2024","-","-","-","18670.63"
"NIFTY MIDSMALL INDIA CONSUMPTION","28 Jun 2024","-","-","-","18561.53"
"NIFTY MIDSMALL INDIA CONSUMPTION","27 Jun 2024","-","-","-","18494.48"
"NIFTY MIDSMALL INDIA CONSUMPTION","26 Jun 2024","-","-","-","18430.41"
"NIFTY MIDSMALL INDIA CONSUMPTION","25 Jun 2024","-","-","-","18617.61"
"NIFTY MIDSMALL INDIA CONSUMPTION","24 Jun 2024","-","-","-","18679.20"
"NIFTY MIDSMALL INDIA CONSUMPTION","21 Jun 2024","-","-","-","18631.01"
"NIFTY MIDSMALL INDIA CONSUMPTION","20 Jun 2024","-","-","-","18693.10"
"NIFTY MIDSMALL INDIA CONSUMPTION","19 Jun 2024","-","-","-","18463.97"
"NIFTY MIDSMALL INDIA CONSUMPTION","18 Jun 2024","-","-","-","18756.41"
"NIFTY MIDSMALL INDIA CONSUMPTION","14 Jun 2024","-","-","-","18562.87"
"NIFTY MIDSMALL INDIA CONSUMPTION","13 Jun 2024","-","-","-","18322.99"
"NIFTY MIDSMALL INDIA CONSUMPTION","12 Jun 2024","-","-","-","18086.41"
"NIFTY MIDSMALL INDIA CONSUMPTION","11 Jun 2024","-","-","-","17900.55"
"NIFTY MIDSMALL INDIA CONSUMPTION","10 Jun 2024","-","-","-","17804.89"
"NIFTY MIDSMALL INDIA CONSUMPTION","07 Jun 2024","-","-","-","17620.71"
"NIFTY MIDSMALL INDIA CONSUMPTION","06 Jun 2024","-","-","-","17445.50"
"NIFTY MIDSMALL INDIA CONSUMPTION","05 Jun 2024","-","-","-","17154.71"
"NIFTY MIDSMALL INDIA CONSUMPTION","04 Jun 2024","-","-","-","16381.10"
"NIFTY MIDSMALL INDIA CONSUMPTION","03 Jun 2024","-","-","-","17204.03"
"NIFTY MIDSMALL INDIA CONSUMPTION","31 May 2024","-","-","-","16794.70"
"NIFTY MIDSMALL INDIA CONSUMPTION","30 May 2024","-","-","-","16774.37"
"NIFTY MIDSMALL INDIA CONSUMPTION","29 May 2024","-","-","-","16868.90"
"NIFTY MIDSMALL INDIA CONSUMPTION","28 May 2024","-","-","-","16946.45"
"NIFTY MIDSMALL INDIA CONSUMPTION","27 May 2024","-","-","-","17040.80"
"NIFTY MIDSMALL INDIA CONSUMPTION","24 May 2024","-","-","-","16927.41"
"NIFTY MIDSMALL INDIA CONSUMPTION","23 May 2024","-","-","-","17018.20"
"NIFTY MIDSMALL INDIA CONSUMPTION","22 May 2024","-","-","-","17054.89"
"NIFTY MIDSMALL INDIA CONSUMPTION","21 May 2024","-","-","-","16882.11"
"NIFTY MIDSMALL INDIA CONSUMPTION","18 May 2024","-","-","-","16891.53"
"NIFTY MIDSMALL INDIA CONSUMPTION","17 May 2024","-","-","-","16785.38"
"NIFTY MIDSMALL INDIA CONSUMPTION","16 May 2024","-","-","-","16539.72"
"NIFTY MIDSMALL INDIA CONSUMPTION","15 May 2024","-","-","-","16335.45"
