"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDSMALLCAP 400","01 Jul 2024","19602.1","19763.9","19570.85","19753.35"
"NIFTY MIDSMALLCAP 400","28 Jun 2024","19490.6","19584.4","19483.7","19529.65"
"NIFTY MIDSMALLCAP 400","27 Jun 2024","19481.8","19582.4","19297.25","19418.75"
"NIFTY MIDSMALLCAP 400","26 Jun 2024","19484.7","19513.35","19395.95","19431.85"
"NIFTY MIDSMALLCAP 400","25 Jun 2024","19558.4","19624.95","19428.85","19449.90"
"NIFTY MIDSMALLCAP 400","24 Jun 2024","19406.35","19522.25","19267.9","19475.20"
"NIFTY MIDSMALLCAP 400","21 Jun 2024","19549.65","19586.7","19411.05","19445.05"
"NIFTY MIDSMALLCAP 400","20 Jun 2024","19390.95","19483.2","19286.85","19467.10"
"NIFTY MIDSMALLCAP 400","19 Jun 2024","19553.5","19553.55","19214.9","19316.15"
"NIFTY MIDSMALLCAP 400","18 Jun 2024","19442.3","19491.45","19369.3","19474.50"
"NIFTY MIDSMALLCAP 400","14 Jun 2024","19220.4","19355.15","19164.75","19341.45"
"NIFTY MIDSMALLCAP 400","13 Jun 2024","19136.8","19171.65","19041.3","19151.15"
"NIFTY MIDSMALLCAP 400","12 Jun 2024","18897.8","19015.1","18889.05","19000.85"
"NIFTY MIDSMALLCAP 400","11 Jun 2024","18756.45","18895.85","18695.7","18816.45"
"NIFTY MIDSMALLCAP 400","10 Jun 2024","18670.9","18760.65","18597.15","18676.95"
"NIFTY MIDSMALLCAP 400","07 Jun 2024","18304.05","18558.6","18237.55","18547.25"
"NIFTY MIDSMALLCAP 400","06 Jun 2024","17990.7","18320.55","17983.4","18236.45"
"NIFTY MIDSMALLCAP 400","05 Jun 2024","17337.35","17822.15","16860.65","17783.30"
"NIFTY MIDSMALLCAP 400","04 Jun 2024","18508.55","18508.55","16462.35","17153.65"
"NIFTY MIDSMALLCAP 400","03 Jun 2024","18690.8","18690.8","18359.5","18489.60"
"NIFTY MIDSMALLCAP 400","31 May 2024","17998.8","18059.25","17829.1","18007.50"
"NIFTY MIDSMALLCAP 400","30 May 2024","18129.5","18148.15","17882.3","17909.40"
"NIFTY MIDSMALLCAP 400","29 May 2024","18122.05","18202.5","18036.8","18140.15"
"NIFTY MIDSMALLCAP 400","28 May 2024","18374.1","18395.1","18093.35","18167.30"
"NIFTY MIDSMALLCAP 400","27 May 2024","18340.5","18403.1","18217.9","18324.40"
"NIFTY MIDSMALLCAP 400","24 May 2024","18287.45","18362.8","18236.35","18252.10"
"NIFTY MIDSMALLCAP 400","23 May 2024","18268.2","18291","18163.55","18266.00"
"NIFTY MIDSMALLCAP 400","22 May 2024","18248.45","18274.8","18047.35","18193.90"
"NIFTY MIDSMALLCAP 400","21 May 2024","18185.25","18185.25","18022.65","18168.40"
"NIFTY MIDSMALLCAP 400","18 May 2024","18124.65","18179.1","18119.35","18159.20"
"NIFTY MIDSMALLCAP 400","17 May 2024","17888","18046.9","17860.4","18038.90"
"NIFTY MIDSMALLCAP 400","16 May 2024","17732.95","17833.2","17709.55","17817.55"
"NIFTY MIDSMALLCAP 400","15 May 2024","17576","17692.55","17573.45","17660.10"
"NIFTY MIDSMALLCAP 400","14 May 2024","17353.4","17519.05","17314.65","17507.35"
"NIFTY MIDSMALLCAP 400","13 May 2024","17278.8","17323.35","16934.3","17295.20"
"NIFTY MIDSMALLCAP 400","10 May 2024","17169.65","17277.25","16940.9","17260.70"
"NIFTY MIDSMALLCAP 400","09 May 2024","17506.35","17523.2","17081.75","17113.20"
"NIFTY MIDSMALLCAP 400","08 May 2024","17359.95","17531.1","17254.05","17474.30"
"NIFTY MIDSMALLCAP 400","07 May 2024","17746.2","17750.75","17280.35","17385.10"
"NIFTY MIDSMALLCAP 400","06 May 2024","17943.4","17944.45","17599.15","17709.00"
"NIFTY MIDSMALLCAP 400","03 May 2024","17979.4","17987.45","17729.55","17832.65"
"NIFTY MIDSMALLCAP 400","02 May 2024","17911.1","17931","17833.85","17895.80"
"NIFTY MIDSMALLCAP 400","30 Apr 2024","17883.3","17944.05","17826.25","17839.95"
"NIFTY MIDSMALLCAP 400","29 Apr 2024","17840.1","17853","17746.35","17808.55"
"NIFTY MIDSMALLCAP 400","26 Apr 2024","17712.75","17808.05","17693.05","17765.45"
"NIFTY MIDSMALLCAP 400","25 Apr 2024","17569.35","17666.9","17531.6","17650.65"
"NIFTY MIDSMALLCAP 400","24 Apr 2024","17509.4","17577.3","17493.4","17552.75"
"NIFTY MIDSMALLCAP 400","23 Apr 2024","17346.65","17429.1","17317.05","17411.85"
"NIFTY MIDSMALLCAP 400","22 Apr 2024","17237.45","17279.8","17190.05","17240.90"
"NIFTY MIDSMALLCAP 400","19 Apr 2024","16999.05","17157.5","16805.3","17095.30"
"NIFTY MIDSMALLCAP 400","18 Apr 2024","17291.85","17381","17123.9","17153.80"
"NIFTY MIDSMALLCAP 400","16 Apr 2024","17072.75","17291.3","17031.5","17194.35"
"NIFTY MIDSMALLCAP 400","15 Apr 2024","17089.55","17278.8","16916.4","17168.80"
"NIFTY MIDSMALLCAP 400","12 Apr 2024","17492.3","17582.2","17398.4","17416.30"
"NIFTY MIDSMALLCAP 400","10 Apr 2024","17424.25","17515.00","17364.45","17496.40"
"NIFTY MIDSMALLCAP 400","09 Apr 2024","17477.20","17489.80","17298.65","17362.80"
"NIFTY MIDSMALLCAP 400","08 Apr 2024","17465.20","17470.55","17342.10","17387.65"
"NIFTY MIDSMALLCAP 400","05 Apr 2024","17272.35","17368.50","17238.45","17349.20"
"NIFTY MIDSMALLCAP 400","04 Apr 2024","17343.85","17363.30","17197.90","17260.35"
"NIFTY MIDSMALLCAP 400","03 Apr 2024","17093.80","17230.50","17055.55","17217.95"
"NIFTY MIDSMALLCAP 400","02 Apr 2024","16982.35","17112.65","16925.60","17098.55"
"NIFTY MIDSMALLCAP 400","01 Apr 2024","16684.50","16928.70","16677.50","16917.40"
"NIFTY MIDSMALLCAP 400","28 Mar 2024","16579.45","16596.65","16508.85","16549.90"
"NIFTY MIDSMALLCAP 400","27 Mar 2024","16480.25","16566.55","16470.95","16482.45"
"NIFTY MIDSMALLCAP 400","26 Mar 2024","16298.15","16454.95","16252.25","16422.75"
"NIFTY MIDSMALLCAP 400","22 Mar 2024","16206.35","16340.20","16181.50","16322.15"
"NIFTY MIDSMALLCAP 400","21 Mar 2024","16012.35","16221.45","16011.40","16211.60"
