"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","01 Jul 2024","-","-","-","52606.99"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","28 Jun 2024","-","-","-","51948.14"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","27 Jun 2024","-","-","-","51624.60"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","26 Jun 2024","-","-","-","51651.25"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","25 Jun 2024","-","-","-","51967.27"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","24 Jun 2024","-","-","-","52018.12"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","21 Jun 2024","-","-","-","51816.22"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","20 Jun 2024","-","-","-","51886.75"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","19 Jun 2024","-","-","-","51814.30"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","18 Jun 2024","-","-","-","52308.08"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","14 Jun 2024","-","-","-","52013.25"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","13 Jun 2024","-","-","-","51524.28"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","12 Jun 2024","-","-","-","50959.74"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","11 Jun 2024","-","-","-","50484.34"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","10 Jun 2024","-","-","-","49993.44"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","07 Jun 2024","-","-","-","49658.50"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","06 Jun 2024","-","-","-","48709.27"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","05 Jun 2024","-","-","-","47160.09"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","04 Jun 2024","-","-","-","45687.94"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","03 Jun 2024","-","-","-","50356.81"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","31 May 2024","-","-","-","48416.58"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","30 May 2024","-","-","-","48543.12"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","29 May 2024","-","-","-","49262.87"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","28 May 2024","-","-","-","49426.58"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","27 May 2024","-","-","-","49775.05"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","24 May 2024","-","-","-","49407.54"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","23 May 2024","-","-","-","49150.69"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","22 May 2024","-","-","-","48779.63"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","21 May 2024","-","-","-","48961.68"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","18 May 2024","-","-","-","48895.61"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","17 May 2024","-","-","-","48656.90"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","16 May 2024","-","-","-","47908.16"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","15 May 2024","-","-","-","47248.09"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","14 May 2024","-","-","-","46718.58"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","13 May 2024","-","-","-","46090.52"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","10 May 2024","-","-","-","45948.93"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","09 May 2024","-","-","-","45589.49"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","08 May 2024","-","-","-","46647.39"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","07 May 2024","-","-","-","46171.21"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","06 May 2024","-","-","-","46909.08"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","03 May 2024","-","-","-","47367.50"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","02 May 2024","-","-","-","47362.06"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","30 Apr 2024","-","-","-","46866.62"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","29 Apr 2024","-","-","-","46444.20"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","26 Apr 2024","-","-","-","46075.79"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","25 Apr 2024","-","-","-","45613.77"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","24 Apr 2024","-","-","-","45213.31"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","23 Apr 2024","-","-","-","44830.81"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","22 Apr 2024","-","-","-","44486.32"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","19 Apr 2024","-","-","-","44224.96"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","18 Apr 2024","-","-","-","44409.17"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","16 Apr 2024","-","-","-","44565.88"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","15 Apr 2024","-","-","-","44454.42"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","12 Apr 2024","-","-","-","45106.01"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","10 Apr 2024","-","-","-","45386.09"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","09 Apr 2024","-","-","-","45167.60"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","08 Apr 2024","-","-","-","45243.04"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","05 Apr 2024","-","-","-","45418.09"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","04 Apr 2024","-","-","-","45206.67"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","03 Apr 2024","-","-","-","45222.34"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","02 Apr 2024","-","-","-","44826.11"
