"Index Name","Date","Open","High","Low","Close"
"NIFTY MNC","01 Jul 2024","30396.05","30698.25","30384.75","30667.10"
"NIFTY MNC","28 Jun 2024","30465.85","30505.55","30327.25","30362.40"
"NIFTY MNC","27 Jun 2024","30126.05","30446.25","30068.65","30381.55"
"NIFTY MNC","26 Jun 2024","30136.55","30294.75","29991.75","30136.40"
"NIFTY MNC","25 Jun 2024","30373.25","30453.4","30131.65","30157.45"
"NIFTY MNC","24 Jun 2024","30008.3","30301.4","29861.25","30268.25"
"NIFTY MNC","21 Jun 2024","30361.9","30395.55","30047","30114.70"
"NIFTY MNC","20 Jun 2024","30236.45","30403.8","30043.55","30274.30"
"NIFTY MNC","19 Jun 2024","30698.45","30712.8","30157.4","30194.60"
"NIFTY MNC","18 Jun 2024","30794.55","30814.75","30564.1","30591.00"
"NIFTY MNC","14 Jun 2024","30386.55","30729.6","30350.35","30670.65"
"NIFTY MNC","13 Jun 2024","30241.8","30341.15","30135.95","30266.00"
"NIFTY MNC","12 Jun 2024","30054.65","30189.85","30012.6","30076.90"
"NIFTY MNC","11 Jun 2024","29848.55","30133.2","29834.45","29923.50"
"NIFTY MNC","10 Jun 2024","29784.7","29857.15","29631.2","29746.25"
"NIFTY MNC","07 Jun 2024","29436.95","29780.45","29424.65","29737.85"
"NIFTY MNC","06 Jun 2024","29271.45","29475.55","29070.4","29406.25"
"NIFTY MNC","05 Jun 2024","28340.75","29177.9","27975.95","29106.60"
"NIFTY MNC","04 Jun 2024","29215.85","29225.8","26688.3","28058.45"
"NIFTY MNC","03 Jun 2024","29314.85","29314.85","28975.85","29101.75"
"NIFTY MNC","31 May 2024","28793.35","28798.1","28484.6","28550.80"
"NIFTY MNC","30 May 2024","29025.3","29059.6","28597.85","28666.15"
"NIFTY MNC","29 May 2024","29016.3","29204.6","28964.95","29077.15"
"NIFTY MNC","28 May 2024","29245.55","29285","29023.1","29140.00"
"NIFTY MNC","27 May 2024","29273.45","29334.3","29037","29176.55"
"NIFTY MNC","24 May 2024","29267.25","29323.1","29128.85","29159.45"
"NIFTY MNC","23 May 2024","29179.45","29274.1","28924.75","29254.40"
"NIFTY MNC","22 May 2024","29175.25","29209.6","28964.85","29094.15"
"NIFTY MNC","21 May 2024","29016.7","29097.95","28869.55","29077.35"
"NIFTY MNC","18 May 2024","28930.3","29053.05","28926.75","29035.45"
"NIFTY MNC","17 May 2024","28728.95","28826.1","28634.5","28791.90"
"NIFTY MNC","16 May 2024","28492.9","28696.25","28383.35","28653.15"
"NIFTY MNC","15 May 2024","28433.4","28559.6","28347.55","28382.50"
"NIFTY MNC","14 May 2024","28090.6","28313.8","27980.55","28283.05"
"NIFTY MNC","13 May 2024","27697.5","28054.55","27426.45","28024.70"
"NIFTY MNC","10 May 2024","27289","27611.75","27229.65","27585.85"
"NIFTY MNC","09 May 2024","27734.6","27760.1","27194.1","27225.90"
"NIFTY MNC","08 May 2024","27366.35","27707.55","27280.65","27662.90"
"NIFTY MNC","07 May 2024","27514.75","27740.7","27269.55","27413.95"
"NIFTY MNC","06 May 2024","27352","27475.45","27176","27428.50"
"NIFTY MNC","03 May 2024","27407.85","27425.4","27010.4","27189.80"
"NIFTY MNC","02 May 2024","27057","27355.85","27054.2","27295.80"
"NIFTY MNC","30 Apr 2024","27086","27240.9","27024.85","27071.40"
"NIFTY MNC","29 Apr 2024","27025.05","27064.5","26909.9","26988.25"
"NIFTY MNC","26 Apr 2024","26923.9","27054.65","26851.35","26876.85"
"NIFTY MNC","25 Apr 2024","26727.95","26879.05","26598.65","26838.50"
"NIFTY MNC","24 Apr 2024","26630","26784.3","26595.25","26753.65"
"NIFTY MNC","23 Apr 2024","26478.8","26603.95","26374.35","26543.10"
"NIFTY MNC","22 Apr 2024","26301.9","26434.8","26235.5","26386.45"
"NIFTY MNC","19 Apr 2024","26126","26254.4","25874.5","26155.15"
"NIFTY MNC","18 Apr 2024","26488.45","26515.7","26183.85","26234.45"
"NIFTY MNC","16 Apr 2024","26157.35","26423.45","26065.05","26380.45"
"NIFTY MNC","15 Apr 2024","26245.15","26394.7","26049.35","26247.90"
"NIFTY MNC","12 Apr 2024","26543.2","26625.65","26398.8","26419.70"
"NIFTY MNC","10 Apr 2024","26403.65","26545.95","26352.75","26510.10"
"NIFTY MNC","09 Apr 2024","26450.90","26482.45","26216.45","26279.15"
"NIFTY MNC","08 Apr 2024","26437.75","26480.50","26333.65","26420.60"
"NIFTY MNC","05 Apr 2024","26285.95","26362.90","26236.70","26339.10"
"NIFTY MNC","04 Apr 2024","26414.60","26451.35","26163.40","26271.75"
"NIFTY MNC","03 Apr 2024","26286.90","26382.10","26220.90","26290.45"
"NIFTY MNC","02 Apr 2024","26178.20","26365.70","26091.45","26347.65"
"NIFTY MNC","01 Apr 2024","25972.15","26158.85","25972.15","26113.45"
"NIFTY MNC","28 Mar 2024","25735.30","25968.15","25623.25","25873.65"
"NIFTY MNC","27 Mar 2024","25615.75","25781.35","25605.00","25652.00"
"NIFTY MNC","26 Mar 2024","25296.95","25586.50","25295.60","25516.65"
"NIFTY MNC","22 Mar 2024","25184.85","25490.50","25133.30","25455.60"
"NIFTY MNC","21 Mar 2024","25060.10","25251.55","25029.10","25214.15"
"NIFTY MNC","20 Mar 2024","24836.85","25016.70","24714.40","24934.70"
"NIFTY MNC","19 Mar 2024","25171.15","25199.00","24736.75","24775.05"
"NIFTY MNC","18 Mar 2024","25101.35","25236.25","24962.85","25212.80"
"NIFTY MNC","15 Mar 2024","24988.70","25163.65","24854.20","25108.90"
"NIFTY MNC","14 Mar 2024","24468.10","25027.35","24352.95","24985.85"
"NIFTY MNC","13 Mar 2024","25069.15","25163.25","24338.95","24482.95"
"NIFTY MNC","12 Mar 2024","25189.00","25221.85","24969.30","25028.05"
"NIFTY MNC","11 Mar 2024","25267.95","25365.65","25150.35","25171.50"
"NIFTY MNC","07 Mar 2024","25174.85","25272.95","25127.55","25187.55"
"NIFTY MNC","06 Mar 2024","25205.90","25229.35","24879.50","25134.30"
"NIFTY MNC","05 Mar 2024","25271.70","25295.40","25144.65","25193.50"
