"Index Name","Date","Open","High","Low","Close"
"NIFTY NON-CYCLICAL CONSUMER","01 Jul 2024","-","-","-","15508.89"
"NIFTY NON-CYCLICAL CONSUMER","28 Jun 2024","-","-","-","15402.79"
"NIFTY NON-CYCLICAL CONSUMER","27 Jun 2024","-","-","-","15404.34"
"NIFTY NON-CYCLICAL CONSUMER","26 Jun 2024","-","-","-","15365.21"
"NIFTY NON-CYCLICAL CONSUMER","25 Jun 2024","-","-","-","15316.92"
"NIFTY NON-CYCLICAL CONSUMER","24 Jun 2024","-","-","-","15359.25"
"NIFTY NON-CYCLICAL CONSUMER","21 Jun 2024","-","-","-","15223.98"
"NIFTY NON-CYCLICAL CONSUMER","20 Jun 2024","-","-","-","15287.51"
"NIFTY NON-CYCLICAL CONSUMER","19 Jun 2024","-","-","-","15284.92"
"NIFTY NON-CYCLICAL CONSUMER","18 Jun 2024","-","-","-","15438.39"
"NIFTY NON-CYCLICAL CONSUMER","14 Jun 2024","-","-","-","15336.72"
"NIFTY NON-CYCLICAL CONSUMER","13 Jun 2024","-","-","-","15224.74"
"NIFTY NON-CYCLICAL CONSUMER","12 Jun 2024","-","-","-","15218.98"
"NIFTY NON-CYCLICAL CONSUMER","11 Jun 2024","-","-","-","15252.55"
"NIFTY NON-CYCLICAL CONSUMER","10 Jun 2024","-","-","-","15299.61"
"NIFTY NON-CYCLICAL CONSUMER","07 Jun 2024","-","-","-","15258.02"
"NIFTY NON-CYCLICAL CONSUMER","06 Jun 2024","-","-","-","15043.19"
"NIFTY NON-CYCLICAL CONSUMER","05 Jun 2024","-","-","-","15045.40"
"NIFTY NON-CYCLICAL CONSUMER","04 Jun 2024","-","-","-","14365.09"
"NIFTY NON-CYCLICAL CONSUMER","03 Jun 2024","-","-","-","14555.26"
"NIFTY NON-CYCLICAL CONSUMER","31 May 2024","-","-","-","14411.67"
"NIFTY NON-CYCLICAL CONSUMER","30 May 2024","-","-","-","14492.46"
"NIFTY NON-CYCLICAL CONSUMER","29 May 2024","-","-","-","14633.54"
"NIFTY NON-CYCLICAL CONSUMER","28 May 2024","-","-","-","14704.05"
"NIFTY NON-CYCLICAL CONSUMER","27 May 2024","-","-","-","14753.89"
"NIFTY NON-CYCLICAL CONSUMER","24 May 2024","-","-","-","14782.41"
"NIFTY NON-CYCLICAL CONSUMER","23 May 2024","-","-","-","14875.91"
"NIFTY NON-CYCLICAL CONSUMER","22 May 2024","-","-","-","14785.97"
"NIFTY NON-CYCLICAL CONSUMER","21 May 2024","-","-","-","14667.37"
"NIFTY NON-CYCLICAL CONSUMER","18 May 2024","-","-","-","14674.12"
"NIFTY NON-CYCLICAL CONSUMER","17 May 2024","-","-","-","14636.65"
"NIFTY NON-CYCLICAL CONSUMER","16 May 2024","-","-","-","14540.07"
"NIFTY NON-CYCLICAL CONSUMER","15 May 2024","-","-","-","14383.88"
"NIFTY NON-CYCLICAL CONSUMER","14 May 2024","-","-","-","14404.05"
"NIFTY NON-CYCLICAL CONSUMER","13 May 2024","-","-","-","14435.87"
"NIFTY NON-CYCLICAL CONSUMER","10 May 2024","-","-","-","14438.75"
"NIFTY NON-CYCLICAL CONSUMER","09 May 2024","-","-","-","14266.51"
"NIFTY NON-CYCLICAL CONSUMER","08 May 2024","-","-","-","14529.44"
"NIFTY NON-CYCLICAL CONSUMER","07 May 2024","-","-","-","14463.68"
"NIFTY NON-CYCLICAL CONSUMER","06 May 2024","-","-","-","14373.08"
"NIFTY NON-CYCLICAL CONSUMER","03 May 2024","-","-","-","14412.59"
"NIFTY NON-CYCLICAL CONSUMER","02 May 2024","-","-","-","14519.88"
"NIFTY NON-CYCLICAL CONSUMER","30 Apr 2024","-","-","-","14419.96"
"NIFTY NON-CYCLICAL CONSUMER","29 Apr 2024","-","-","-","14406.29"
"NIFTY NON-CYCLICAL CONSUMER","26 Apr 2024","-","-","-","14345.05"
"NIFTY NON-CYCLICAL CONSUMER","25 Apr 2024","-","-","-","14323.06"
"NIFTY NON-CYCLICAL CONSUMER","24 Apr 2024","-","-","-","14315.48"
"NIFTY NON-CYCLICAL CONSUMER","23 Apr 2024","-","-","-","14308.48"
"NIFTY NON-CYCLICAL CONSUMER","22 Apr 2024","-","-","-","14186.52"
"NIFTY NON-CYCLICAL CONSUMER","19 Apr 2024","-","-","-","14021.62"
"NIFTY NON-CYCLICAL CONSUMER","18 Apr 2024","-","-","-","13940.62"
"NIFTY NON-CYCLICAL CONSUMER","16 Apr 2024","-","-","-","13990.58"
"NIFTY NON-CYCLICAL CONSUMER","15 Apr 2024","-","-","-","13996.45"
"NIFTY NON-CYCLICAL CONSUMER","12 Apr 2024","-","-","-","14157.60"
"NIFTY NON-CYCLICAL CONSUMER","10 Apr 2024","-","-","-","14294.38"
"NIFTY NON-CYCLICAL CONSUMER","09 Apr 2024","-","-","-","14120.41"
"NIFTY NON-CYCLICAL CONSUMER","08 Apr 2024","-","-","-","14189.90"
"NIFTY NON-CYCLICAL CONSUMER","05 Apr 2024","-","-","-","14100.16"
"NIFTY NON-CYCLICAL CONSUMER","04 Apr 2024","-","-","-","14102.55"
"NIFTY NON-CYCLICAL CONSUMER","03 Apr 2024","-","-","-","14048.83"
"NIFTY NON-CYCLICAL CONSUMER","02 Apr 2024","-","-","-","14085.41"
"NIFTY NON-CYCLICAL CONSUMER","01 Apr 2024","-","-","-","14027.86"
"NIFTY NON-CYCLICAL CONSUMER","28 Mar 2024","-","-","-","14015.21"
"NIFTY NON-CYCLICAL CONSUMER","27 Mar 2024","-","-","-","13894.56"
"NIFTY NON-CYCLICAL CONSUMER","26 Mar 2024","-","-","-","13863.16"
"NIFTY NON-CYCLICAL CONSUMER","22 Mar 2024","-","-","-","13830.29"
"NIFTY NON-CYCLICAL CONSUMER","21 Mar 2024","-","-","-","13722.43"
"NIFTY NON-CYCLICAL CONSUMER","20 Mar 2024","-","-","-","13594.00"
"NIFTY NON-CYCLICAL CONSUMER","19 Mar 2024","-","-","-","13537.78"
"NIFTY NON-CYCLICAL CONSUMER","18 Mar 2024","-","-","-","13733.90"
"NIFTY NON-CYCLICAL CONSUMER","15 Mar 2024","-","-","-","13774.17"
"NIFTY NON-CYCLICAL CONSUMER","14 Mar 2024","-","-","-","13734.21"
"NIFTY NON-CYCLICAL CONSUMER","13 Mar 2024","-","-","-","13515.33"
"NIFTY NON-CYCLICAL CONSUMER","12 Mar 2024","-","-","-","13773.63"
"NIFTY NON-CYCLICAL CONSUMER","11 Mar 2024","-","-","-","13822.40"
"NIFTY NON-CYCLICAL CONSUMER","07 Mar 2024","-","-","-","13875.22"
"NIFTY NON-CYCLICAL CONSUMER","06 Mar 2024","-","-","-","13765.68"
"NIFTY NON-CYCLICAL CONSUMER","05 Mar 2024","-","-","-","13718.09"
"NIFTY NON-CYCLICAL CONSUMER","04 Mar 2024","-","-","-","13783.29"
"NIFTY NON-CYCLICAL CONSUMER","02 Mar 2024","-","-","-","13812.22"
"NIFTY NON-CYCLICAL CONSUMER","01 Mar 2024","-","-","-","13755.93"
"NIFTY NON-CYCLICAL CONSUMER","29 Feb 2024","-","-","-","13671.78"
"NIFTY NON-CYCLICAL CONSUMER","28 Feb 2024","-","-","-","13589.99"
"NIFTY NON-CYCLICAL CONSUMER","27 Feb 2024","-","-","-","13727.88"
"NIFTY NON-CYCLICAL CONSUMER","26 Feb 2024","-","-","-","13679.76"
"NIFTY NON-CYCLICAL CONSUMER","23 Feb 2024","-","-","-","13775.22"
"NIFTY NON-CYCLICAL CONSUMER","22 Feb 2024","-","-","-","13766.01"
"NIFTY NON-CYCLICAL CONSUMER","21 Feb 2024","-","-","-","13662.00"
"NIFTY NON-CYCLICAL CONSUMER","20 Feb 2024","-","-","-","13720.55"
"NIFTY NON-CYCLICAL CONSUMER","19 Feb 2024","-","-","-","13681.14"
"NIFTY NON-CYCLICAL CONSUMER","16 Feb 2024","-","-","-","13564.67"
"NIFTY NON-CYCLICAL CONSUMER","15 Feb 2024","-","-","-","13493.47"
"NIFTY NON-CYCLICAL CONSUMER","14 Feb 2024","-","-","-","13509.44"
"NIFTY NON-CYCLICAL CONSUMER","13 Feb 2024","-","-","-","13437.61"
"NIFTY NON-CYCLICAL CONSUMER","12 Feb 2024","-","-","-","13397.65"
"NIFTY NON-CYCLICAL CONSUMER","09 Feb 2024","-","-","-","13473.69"
"NIFTY NON-CYCLICAL CONSUMER","08 Feb 2024","-","-","-","13443.45"
"NIFTY NON-CYCLICAL CONSUMER","07 Feb 2024","-","-","-","13496.19"
"NIFTY NON-CYCLICAL CONSUMER","06 Feb 2024","-","-","-","13350.56"
"NIFTY NON-CYCLICAL CONSUMER","05 Feb 2024","-","-","-","13311.12"
"NIFTY NON-CYCLICAL CONSUMER","02 Feb 2024","-","-","-","13471.92"
"NIFTY NON-CYCLICAL CONSUMER","01 Feb 2024","-","-","-","13441.02"
"NIFTY NON-CYCLICAL CONSUMER","31 Jan 2024","-","-","-","13471.67"
"NIFTY NON-CYCLICAL CONSUMER","30 Jan 2024","-","-","-","13347.30"
"NIFTY NON-CYCLICAL CONSUMER","29 Jan 2024","-","-","-","13493.12"
"NIFTY NON-CYCLICAL CONSUMER","25 Jan 2024","-","-","-","13411.92"
"NIFTY NON-CYCLICAL CONSUMER","24 Jan 2024","-","-","-","13557.18"
"NIFTY NON-CYCLICAL CONSUMER","23 Jan 2024","-","-","-","13353.44"
"NIFTY NON-CYCLICAL CONSUMER","20 Jan 2024","-","-","-","13598.81"
"NIFTY NON-CYCLICAL CONSUMER","19 Jan 2024","-","-","-","13716.72"
"NIFTY NON-CYCLICAL CONSUMER","18 Jan 2024","-","-","-","13523.32"
"NIFTY NON-CYCLICAL CONSUMER","17 Jan 2024","-","-","-","13623.22"
"NIFTY NON-CYCLICAL CONSUMER","16 Jan 2024","-","-","-","13756.94"
"NIFTY NON-CYCLICAL CONSUMER","15 Jan 2024","-","-","-","13771.67"
"NIFTY NON-CYCLICAL CONSUMER","12 Jan 2024","-","-","-","13728.25"
"NIFTY NON-CYCLICAL CONSUMER","11 Jan 2024","-","-","-","13655.19"
"NIFTY NON-CYCLICAL CONSUMER","10 Jan 2024","-","-","-","13642.50"
"NIFTY NON-CYCLICAL CONSUMER","09 Jan 2024","-","-","-","13617.53"
"NIFTY NON-CYCLICAL CONSUMER","08 Jan 2024","-","-","-","13597.66"
"NIFTY NON-CYCLICAL CONSUMER","05 Jan 2024","-","-","-","13765.72"
"NIFTY NON-CYCLICAL CONSUMER","04 Jan 2024","-","-","-","13776.00"
"NIFTY NON-CYCLICAL CONSUMER","03 Jan 2024","-","-","-","13654.86"
"NIFTY NON-CYCLICAL CONSUMER","02 Jan 2024","-","-","-","13651.59"
"NIFTY NON-CYCLICAL CONSUMER","01 Jan 2024","-","-","-","13635.31"
"NIFTY NON-CYCLICAL CONSUMER","29 Dec 2023","-","-","-","13640.74"
"NIFTY NON-CYCLICAL CONSUMER","28 Dec 2023","-","-","-","13565.31"
"NIFTY NON-CYCLICAL CONSUMER","27 Dec 2023","-","-","-","13462.13"
"NIFTY NON-CYCLICAL CONSUMER","26 Dec 2023","-","-","-","13361.92"
"NIFTY NON-CYCLICAL CONSUMER","22 Dec 2023","-","-","-","13284.75"
