"Index Name","Date","Open","High","Low","Close"
"NIFTY OIL & GAS","01 Jul 2024","12247.2","12288.95","12215.25","12270.35"
"NIFTY OIL & GAS","28 Jun 2024","12055.7","12298.3","12055.7","12223.35"
"NIFTY OIL & GAS","27 Jun 2024","11935.4","12051.75","11896.95","12021.55"
"NIFTY OIL & GAS","26 Jun 2024","11745.55","11934.65","11705.35","11918.60"
"NIFTY OIL & GAS","25 Jun 2024","11832.8","11877.85","11734.2","11755.60"
"NIFTY OIL & GAS","24 Jun 2024","11837.25","11882.25","11719.05","11808.15"
"NIFTY OIL & GAS","21 Jun 2024","12022.6","12028.05","11821.05","11860.45"
"NIFTY OIL & GAS","20 Jun 2024","11908.7","12041.15","11827.3","11989.10"
"NIFTY OIL & GAS","19 Jun 2024","12126.7","12130.95","11869.35","11879.30"
"NIFTY OIL & GAS","18 Jun 2024","12194.5","12194.5","12041.8","12089.20"
"NIFTY OIL & GAS","14 Jun 2024","12056.05","12133.2","11993.4","12095.25"
"NIFTY OIL & GAS","13 Jun 2024","12027.65","12036.25","11914.25","12023.25"
"NIFTY OIL & GAS","12 Jun 2024","11944.95","12039.2","11895.5","11940.30"
"NIFTY OIL & GAS","11 Jun 2024","11762.1","11896.25","11658.45","11842.00"
"NIFTY OIL & GAS","10 Jun 2024","11786","11844.55","11662.1","11686.85"
"NIFTY OIL & GAS","07 Jun 2024","11475.15","11713.25","11427.45","11696.65"
"NIFTY OIL & GAS","06 Jun 2024","11403.05","11633.05","11342.3","11456.30"
"NIFTY OIL & GAS","05 Jun 2024","11235.65","11237","10680.4","11191.45"
"NIFTY OIL & GAS","04 Jun 2024","12407.3","12407.3","10503.35","10952.30"
"NIFTY OIL & GAS","03 Jun 2024","12238.25","12437.75","12031.8","12417.10"
"NIFTY OIL & GAS","31 May 2024","11608.05","11671.45","11506.2","11625.00"
"NIFTY OIL & GAS","30 May 2024","11684.35","11716","11509.45","11539.05"
"NIFTY OIL & GAS","29 May 2024","11736.55","11791.4","11669.5","11684.85"
"NIFTY OIL & GAS","28 May 2024","11957.85","11972.05","11778.65","11804.65"
"NIFTY OIL & GAS","27 May 2024","12031.75","12046.4","11843.85","11926.15"
"NIFTY OIL & GAS","24 May 2024","11931.65","12062.3","11885.15","11992.15"
"NIFTY OIL & GAS","23 May 2024","11821.1","11949.2","11809.75","11930.80"
"NIFTY OIL & GAS","22 May 2024","11845.5","11857","11690.95","11789.70"
"NIFTY OIL & GAS","21 May 2024","11704.25","11825.8","11682.55","11767.75"
"NIFTY OIL & GAS","18 May 2024","11691.2","11717.95","11683.5","11699.00"
"NIFTY OIL & GAS","17 May 2024","11551.85","11657.8","11521.5","11644.40"
"NIFTY OIL & GAS","16 May 2024","11577.15","11607.2","11412.8","11533.00"
"NIFTY OIL & GAS","15 May 2024","11485.95","11552.9","11453","11507.25"
"NIFTY OIL & GAS","14 May 2024","11289.65","11457.4","11260.15","11439.20"
"NIFTY OIL & GAS","13 May 2024","11374.25","11384.75","11048.25","11263.90"
"NIFTY OIL & GAS","10 May 2024","11309.7","11379.45","11181.25","11348.70"
"NIFTY OIL & GAS","09 May 2024","11585.2","11606.65","11180.35","11212.35"
"NIFTY OIL & GAS","08 May 2024","11396.75","11669.5","11373.85","11577.05"
"NIFTY OIL & GAS","07 May 2024","11661.4","11677.2","11352.8","11383.10"
"NIFTY OIL & GAS","06 May 2024","11866.4","11874.4","11544.6","11601.20"
"NIFTY OIL & GAS","03 May 2024","11993.85","12035","11698.3","11807.65"
"NIFTY OIL & GAS","02 May 2024","11892.15","11966.5","11811.6","11925.00"
"NIFTY OIL & GAS","30 Apr 2024","11959.25","12020.9","11811.55","11826.50"
"NIFTY OIL & GAS","29 Apr 2024","11830.7","11932.5","11814.4","11899.05"
"NIFTY OIL & GAS","26 Apr 2024","11774","11862.75","11740.35","11785.15"
"NIFTY OIL & GAS","25 Apr 2024","11640.75","11767.15","11629.85","11741.90"
"NIFTY OIL & GAS","24 Apr 2024","11638.35","11709.85","11588.65","11658.60"
"NIFTY OIL & GAS","23 Apr 2024","11715.2","11755","11564.4","11581.55"
"NIFTY OIL & GAS","22 Apr 2024","11682.45","11695.9","11612.3","11666.90"
"NIFTY OIL & GAS","19 Apr 2024","11544.55","11667.6","11446.85","11609.85"
