"Index Name","Date","Open","High","Low","Close"
"NIFTY PHARMA","01 Jul 2024","19794.85","19823.35","19660.95","19758.25"
"NIFTY PHARMA","28 Jun 2024","19557.65","19797.9","19555.65","19731.55"
"NIFTY PHARMA","27 Jun 2024","19549.05","19631.15","19414.9","19514.80"
"NIFTY PHARMA","26 Jun 2024","19528.85","19601.4","19433.35","19545.35"
"NIFTY PHARMA","25 Jun 2024","19579.9","19630.6","19455.85","19532.30"
"NIFTY PHARMA","24 Jun 2024","19511.85","19627.15","19442.45","19521.15"
"NIFTY PHARMA","21 Jun 2024","19593.75","19757.75","19491.5","19528.40"
"NIFTY PHARMA","20 Jun 2024","19594.75","19606.85","19477.7","19544.55"
"NIFTY PHARMA","19 Jun 2024","19894.65","19904.5","19618.25","19644.50"
"NIFTY PHARMA","18 Jun 2024","19907.5","19927.9","19710.9","19826.65"
"NIFTY PHARMA","14 Jun 2024","19860.25","19918.65","19821.4","19895.65"
"NIFTY PHARMA","13 Jun 2024","19842.55","19878.25","19706.55","19838.50"
"NIFTY PHARMA","12 Jun 2024","19763.15","19794.05","19658.05","19739.10"
"NIFTY PHARMA","11 Jun 2024","19853.65","19868.45","19666.15","19689.70"
"NIFTY PHARMA","10 Jun 2024","19696.55","19809.9","19629.85","19774.70"
"NIFTY PHARMA","07 Jun 2024","19297.95","19596.7","19270.1","19578.00"
"NIFTY PHARMA","06 Jun 2024","19365.55","19365.6","19056.75","19232.10"
"NIFTY PHARMA","05 Jun 2024","18789.75","19354.8","18655.9","19281.25"
"NIFTY PHARMA","04 Jun 2024","18942.4","18977.8","17904.75","18603.15"
"NIFTY PHARMA","03 Jun 2024","19206.9","19213","18831.05","18864.15"
"NIFTY PHARMA","31 May 2024","19015.5","19067.15","18732.35","18796.30"
"NIFTY PHARMA","30 May 2024","19274.35","19287.75","18910.8","18971.00"
"NIFTY PHARMA","29 May 2024","19208.5","19415","19150.2","19321.35"
"NIFTY PHARMA","28 May 2024","19171.3","19341.8","19131.2","19215.75"
"NIFTY PHARMA","27 May 2024","19258.15","19313.4","19070.05","19111.95"
"NIFTY PHARMA","24 May 2024","19252.15","19256.85","19094.35","19119.50"
"NIFTY PHARMA","23 May 2024","19285.45","19285.45","18994.3","19216.35"
"NIFTY PHARMA","22 May 2024","19305.9","19422.2","19051.55","19317.40"
"NIFTY PHARMA","21 May 2024","19080.5","19280.55","19021.55","19205.20"
"NIFTY PHARMA","18 May 2024","19057.45","19155.4","19054.5","19108.00"
"NIFTY PHARMA","17 May 2024","19028.5","19039.65","18933.55","18981.60"
"NIFTY PHARMA","16 May 2024","18961.4","19024.35","18727.25","18996.15"
"NIFTY PHARMA","15 May 2024","18952","19032.85","18857.55","18886.55"
"NIFTY PHARMA","14 May 2024","18956.75","18978.75","18795.15","18860.85"
"NIFTY PHARMA","13 May 2024","18680.1","18971.75","18638.6","18939.00"
"NIFTY PHARMA","10 May 2024","18469.6","18699.85","18449.7","18609.45"
"NIFTY PHARMA","09 May 2024","18870.15","18920.3","18406.65","18437.05"
"NIFTY PHARMA","08 May 2024","18739.95","18885.55","18613.45","18850.85"
"NIFTY PHARMA","07 May 2024","19264.95","19270","18703.85","18846.30"
"NIFTY PHARMA","06 May 2024","19193.9","19228.3","18969.5","19203.30"
"NIFTY PHARMA","03 May 2024","19203.85","19267.15","19057.3","19133.40"
"NIFTY PHARMA","02 May 2024","18991.55","19182.4","18990.45","19124.45"
"NIFTY PHARMA","30 Apr 2024","19168.8","19222.3","18938.85","18970.60"
"NIFTY PHARMA","29 Apr 2024","19096.7","19153.2","18998.05","19096.90"
"NIFTY PHARMA","26 Apr 2024","18937.55","19056.7","18891.5","18994.65"
"NIFTY PHARMA","25 Apr 2024","18631.85","18907.45","18605.1","18878.15"
"NIFTY PHARMA","24 Apr 2024","18508.9","18643.15","18490.5","18586.20"
"NIFTY PHARMA","23 Apr 2024","18781.75","18788.6","18444.9","18463.75"
"NIFTY PHARMA","22 Apr 2024","18512.45","18691.65","18500.1","18643.00"
"NIFTY PHARMA","19 Apr 2024","18413.5","18470.45","18298.25","18404.60"
"NIFTY PHARMA","18 Apr 2024","18790.4","18815.6","18479.2","18525.75"
"NIFTY PHARMA","16 Apr 2024","18571.9","18726.75","18525.8","18695.60"
"NIFTY PHARMA","15 Apr 2024","18613.75","18685.4","18545.55","18617.65"
"NIFTY PHARMA","12 Apr 2024","19068.2","19113.55","18765.8","18788.65"
"NIFTY PHARMA","10 Apr 2024","19210.20","19225.40","19070.25","19117.00"
"NIFTY PHARMA","09 Apr 2024","19275.85","19286.00","19138.20","19182.30"
"NIFTY PHARMA","08 Apr 2024","19246.50","19288.45","19138.20","19218.85"
"NIFTY PHARMA","05 Apr 2024","19084.20","19395.55","19076.60","19160.75"
"NIFTY PHARMA","04 Apr 2024","19220.70","19222.00","18952.65","19125.20"
"NIFTY PHARMA","03 Apr 2024","19172.70","19272.65","19058.40","19153.05"
"NIFTY PHARMA","02 Apr 2024","19235.15","19237.75","19124.55","19185.15"
"NIFTY PHARMA","01 Apr 2024","19147.50","19234.20","19091.55","19207.90"
"NIFTY PHARMA","28 Mar 2024","18824.20","19082.05","18773.95","18996.15"
"NIFTY PHARMA","27 Mar 2024","18880.95","18913.15","18729.75","18768.40"
"NIFTY PHARMA","26 Mar 2024","18690.10","18890.30","18684.80","18809.45"
"NIFTY PHARMA","22 Mar 2024","18594.75","18881.25","18583.75","18815.60"
"NIFTY PHARMA","21 Mar 2024","18494.00","18611.55","18366.85","18582.60"
"NIFTY PHARMA","20 Mar 2024","18463.10","18497.65","18189.95","18361.40"
"NIFTY PHARMA","19 Mar 2024","18820.85","18833.35","18370.30","18405.65"
"NIFTY PHARMA","18 Mar 2024","18713.40","18851.70","18637.35","18814.35"
"NIFTY PHARMA","15 Mar 2024","18876.80","18916.20","18588.85","18718.45"
"NIFTY PHARMA","14 Mar 2024","18632.05","18919.60","18517.60","18897.10"
"NIFTY PHARMA","13 Mar 2024","18961.20","19022.20","18495.00","18635.70"
"NIFTY PHARMA","12 Mar 2024","19219.30","19322.55","18910.65","18958.70"
"NIFTY PHARMA","11 Mar 2024","19313.20","19397.25","19173.80","19202.05"
"NIFTY PHARMA","07 Mar 2024","19158.15","19277.70","19123.10","19194.10"
"NIFTY PHARMA","06 Mar 2024","19022.90","19172.35","18811.30","19140.00"
"NIFTY PHARMA","05 Mar 2024","18965.25","19033.00","18833.85","19018.50"
"NIFTY PHARMA","04 Mar 2024","18933.90","19158.70","18933.70","18960.20"
"NIFTY PHARMA","02 Mar 2024","18946.60","18984.90","18836.00","18905.55"
"NIFTY PHARMA","01 Mar 2024","19058.00","19060.45","18796.90","18822.30"
"NIFTY PHARMA","29 Feb 2024","18930.65","19056.45","18761.25","19003.15"
"NIFTY PHARMA","28 Feb 2024","19094.40","19112.05","18874.55","18942.55"
"NIFTY PHARMA","27 Feb 2024","18946.45","19075.85","18897.45","19064.20"
"NIFTY PHARMA","26 Feb 2024","19065.05","19119.30","18797.25","18956.45"
"NIFTY PHARMA","23 Feb 2024","18984.95","19134.80","18957.75","19048.40"
"NIFTY PHARMA","22 Feb 2024","18999.85","19002.85","18755.65","18969.45"
"NIFTY PHARMA","21 Feb 2024","19015.75","19061.35","18830.10","18916.45"
"NIFTY PHARMA","20 Feb 2024","19059.55","19076.80","18802.20","18993.00"
"NIFTY PHARMA","19 Feb 2024","18938.70","19079.30","18897.20","19037.70"
"NIFTY PHARMA","16 Feb 2024","18648.50","18958.85","18621.00","18870.80"
"NIFTY PHARMA","15 Feb 2024","18627.70","18694.25","18516.25","18567.70"
"NIFTY PHARMA","14 Feb 2024","18714.45","18715.70","18398.30","18584.35"
"NIFTY PHARMA","13 Feb 2024","18705.15","18780.05","18619.35","18753.95"
"NIFTY PHARMA","12 Feb 2024","18685.65","18850.30","18605.20","18669.55"
"NIFTY PHARMA","09 Feb 2024","18569.15","18666.20","18391.20","18617.10"
"NIFTY PHARMA","08 Feb 2024","18716.75","18729.65","18493.55","18520.30"
"NIFTY PHARMA","07 Feb 2024","18597.85","18640.80","18440.65","18564.85"
"NIFTY PHARMA","06 Feb 2024","18301.30","18533.70","18286.90","18488.05"
"NIFTY PHARMA","05 Feb 2024","18034.20","18379.80","17979.55","18292.95"
"NIFTY PHARMA","02 Feb 2024","17885.35","18084.70","17884.70","17972.10"
"NIFTY PHARMA","01 Feb 2024","18004.60","18053.10","17734.75","17839.20"
"NIFTY PHARMA","31 Jan 2024","17463.30","18003.15","17451.25","17938.65"
"NIFTY PHARMA","30 Jan 2024","17674.00","17750.50","17452.70","17470.15"
"NIFTY PHARMA","29 Jan 2024","17511.35","17676.90","17432.45","17623.60"
"NIFTY PHARMA","25 Jan 2024","17721.05","17738.90","17438.90","17532.55"
"NIFTY PHARMA","24 Jan 2024","17557.05","17796.00","17431.60","17763.70"
"NIFTY PHARMA","23 Jan 2024","17361.95","17689.95","17347.35","17520.30"
"NIFTY PHARMA","20 Jan 2024","17454.30","17481.65","17212.75","17233.80"
"NIFTY PHARMA","19 Jan 2024","17416.45","17460.55","17308.10","17388.00"
"NIFTY PHARMA","18 Jan 2024","17128.35","17382.35","16818.70","17331.25"
"NIFTY PHARMA","17 Jan 2024","17285.35","17319.70","17130.45","17154.00"
"NIFTY PHARMA","16 Jan 2024","17526.95","17531.85","17235.70","17320.15"
"NIFTY PHARMA","15 Jan 2024","17423.25","17603.85","17334.15","17520.45"
"NIFTY PHARMA","12 Jan 2024","17427.00","17430.15","17271.40","17347.45"
"NIFTY PHARMA","11 Jan 2024","17449.40","17470.75","17331.15","17380.55"
"NIFTY PHARMA","10 Jan 2024","17401.05","17476.00","17271.65","17401.90"
"NIFTY PHARMA","09 Jan 2024","17319.25","17414.80","17240.35","17346.30"
"NIFTY PHARMA","08 Jan 2024","17435.80","17438.45","17162.00","17195.95"
"NIFTY PHARMA","05 Jan 2024","17483.50","17484.60","17241.10","17358.60"
"NIFTY PHARMA","04 Jan 2024","17426.50","17529.85","17326.75","17413.20"
"NIFTY PHARMA","03 Jan 2024","17311.85","17423.45","17241.05","17379.80"
"NIFTY PHARMA","02 Jan 2024","16903.95","17301.40","16878.50","17274.30"
"NIFTY PHARMA","01 Jan 2024","16859.50","16914.10","16819.00","16858.75"
"NIFTY PHARMA","29 Dec 2023","16878.95","16909.10","16769.50","16831.80"
"NIFTY PHARMA","28 Dec 2023","16698.10","16894.10","16617.35","16860.85"
"NIFTY PHARMA","27 Dec 2023","16609.00","16690.90","16530.45","16655.95"
"NIFTY PHARMA","26 Dec 2023","16418.60","16580.65","16385.70","16562.60"
"NIFTY PHARMA","22 Dec 2023","16312.50","16500.90","16281.45","16394.35"
"NIFTY PHARMA","21 Dec 2023","16048.40","16278.20","15868.15","16238.15"
"NIFTY PHARMA","20 Dec 2023","16461.75","16467.80","16086.00","16121.25"
"NIFTY PHARMA","19 Dec 2023","16407.80","16433.80","16228.30","16391.25"
"NIFTY PHARMA","18 Dec 2023","16196.40","16438.75","16161.60","16332.15"
"NIFTY PHARMA","15 Dec 2023","16250.90","16258.30","16150.50","16179.80"
"NIFTY PHARMA","14 Dec 2023","16202.30","16210.70","16089.75","16155.70"
"NIFTY PHARMA","13 Dec 2023","15986.85","16168.55","15938.75","16142.40"
"NIFTY PHARMA","12 Dec 2023","16109.80","16167.95","15914.30","15963.50"
"NIFTY PHARMA","11 Dec 2023","16077.90","16089.95","15909.55","16039.90"
"NIFTY PHARMA","08 Dec 2023","16311.05","16365.60","16079.30","16163.15"
"NIFTY PHARMA","07 Dec 2023","16163.30","16305.90","16137.50","16294.20"
"NIFTY PHARMA","06 Dec 2023","16297.40","16356.65","16106.95","16169.55"
"NIFTY PHARMA","05 Dec 2023","16248.20","16304.80","16174.15","16229.65"
"NIFTY PHARMA","04 Dec 2023","16372.05","16389.10","16183.05","16228.40"
"NIFTY PHARMA","01 Dec 2023","16298.95","16385.35","16222.85","16257.05"
"NIFTY PHARMA","30 Nov 2023","15973.20","16279.10","15971.75","16238.90"
"NIFTY PHARMA","29 Nov 2023","15952.50","16016.60","15903.75","15990.10"
"NIFTY PHARMA","28 Nov 2023","15980.80","16006.50","15884.35","15900.30"
"NIFTY PHARMA","24 Nov 2023","15884.70","16046.75","15880.90","15954.50"
"NIFTY PHARMA","23 Nov 2023","16092.45","16094.55","15792.00","15817.45"
"NIFTY PHARMA","22 Nov 2023","16008.90","16175.25","15987.10","16069.80"
"NIFTY PHARMA","21 Nov 2023","15849.95","15997.60","15814.65","15968.90"
"NIFTY PHARMA","20 Nov 2023","15809.45","15950.80","15782.95","15806.75"
"NIFTY PHARMA","17 Nov 2023","15671.70","15821.25","15658.70","15804.50"
"NIFTY PHARMA","16 Nov 2023","15535.45","15715.25","15518.60","15651.10"
"NIFTY PHARMA","15 Nov 2023","15596.10","15600.75","15472.55","15516.25"
"NIFTY PHARMA","13 Nov 2023","15533.90","15607.85","15430.40","15497.15"
"NIFTY PHARMA","12 Nov 2023","15576.45","15599.75","15539.85","15562.65"
"NIFTY PHARMA","10 Nov 2023","15491.70","15529.10","15386.30","15516.50"
"NIFTY PHARMA","09 Nov 2023","15558.65","15574.95","15444.60","15491.85"
"NIFTY PHARMA","08 Nov 2023","15335.85","15561.85","15314.40","15497.25"
"NIFTY PHARMA","07 Nov 2023","15078.80","15295.80","15045.40","15271.75"
"NIFTY PHARMA","06 Nov 2023","14934.45","15088.80","14929.85","15072.30"
"NIFTY PHARMA","03 Nov 2023","14921.65","14960.05","14864.85","14882.35"
"NIFTY PHARMA","02 Nov 2023","14820.95","14894.90","14803.85","14834.45"
"NIFTY PHARMA","01 Nov 2023","14727.15","14785.95","14642.60","14735.25"
"NIFTY PHARMA","31 Oct 2023","14826.75","14871.25","14629.20","14683.65"
"NIFTY PHARMA","30 Oct 2023","14786.65","14827.65","14687.40","14775.60"
"NIFTY PHARMA","27 Oct 2023","14706.50","14818.95","14667.95","14738.50"
"NIFTY PHARMA","26 Oct 2023","14751.50","14761.20","14544.25","14648.55"
"NIFTY PHARMA","25 Oct 2023","14969.35","14990.60","14754.80","14800.15"
"NIFTY PHARMA","23 Oct 2023","15060.70","15218.00","14882.05","14911.65"
"NIFTY PHARMA","20 Oct 2023","15239.15","15243.45","15070.05","15107.15"
"NIFTY PHARMA","19 Oct 2023","15296.30","15310.85","15191.95","15273.40"
"NIFTY PHARMA","18 Oct 2023","15231.90","15394.15","15212.65","15331.30"
"NIFTY PHARMA","17 Oct 2023","15222.60","15293.20","15162.50","15211.95"
"NIFTY PHARMA","16 Oct 2023","15230.00","15249.95","15147.15","15164.75"
"NIFTY PHARMA","13 Oct 2023","15106.45","15244.95","15093.80","15235.05"
"NIFTY PHARMA","12 Oct 2023","15243.80","15269.65","15137.05","15186.20"
"NIFTY PHARMA","11 Oct 2023","15136.75","15257.85","15136.45","15176.60"
"NIFTY PHARMA","10 Oct 2023","15114.25","15142.05","15055.30","15106.70"
"NIFTY PHARMA","09 Oct 2023","15002.70","15186.60","14993.05","15103.85"
"NIFTY PHARMA","06 Oct 2023","15086.80","15161.65","15082.05","15128.45"
"NIFTY PHARMA","05 Oct 2023","15097.20","15132.75","14988.75","15021.40"
"NIFTY PHARMA","04 Oct 2023","15243.45","15260.70","14985.00","15067.15"
"NIFTY PHARMA","03 Oct 2023","15425.65","15441.05","15260.65","15281.30"
"NIFTY PHARMA","29 Sep 2023","15112.10","15513.65","15108.55","15422.75"
"NIFTY PHARMA","28 Sep 2023","15195.70","15217.65","14983.35","15023.15"
"NIFTY PHARMA","27 Sep 2023","15038.40","15185.50","15001.35","15159.80"
"NIFTY PHARMA","26 Sep 2023","15032.90","15078.60","14964.40","14981.65"
"NIFTY PHARMA","25 Sep 2023","15049.40","15130.35","14986.05","15017.40"
"NIFTY PHARMA","22 Sep 2023","15279.35","15312.65","14980.45","15069.10"
"NIFTY PHARMA","21 Sep 2023","15432.85","15525.45","15282.00","15306.70"
"NIFTY PHARMA","20 Sep 2023","15498.75","15514.25","15426.10","15460.20"
"NIFTY PHARMA","18 Sep 2023","15593.80","15667.45","15482.00","15503.45"
"NIFTY PHARMA","15 Sep 2023","15525.55","15601.05","15513.85","15583.55"
"NIFTY PHARMA","14 Sep 2023","15484.35","15530.10","15413.10","15489.30"
"NIFTY PHARMA","13 Sep 2023","15368.00","15466.35","15321.60","15448.95"
"NIFTY PHARMA","12 Sep 2023","15358.00","15536.10","15275.55","15328.65"
"NIFTY PHARMA","11 Sep 2023","15265.35","15351.95","15248.15","15309.95"
"NIFTY PHARMA","08 Sep 2023","15327.30","15345.45","15206.00","15250.55"
"NIFTY PHARMA","07 Sep 2023","15372.75","15405.40","15283.60","15306.15"
"NIFTY PHARMA","06 Sep 2023","15279.70","15426.00","15218.25","15355.30"
"NIFTY PHARMA","05 Sep 2023","15099.35","15267.15","15052.60","15218.25"
"NIFTY PHARMA","04 Sep 2023","15063.30","15093.85","15007.00","15052.60"
"NIFTY PHARMA","01 Sep 2023","15125.00","15151.20","14991.60","15011.80"
"NIFTY PHARMA","31 Aug 2023","15162.20","15184.90","15034.25","15095.90"
"NIFTY PHARMA","30 Aug 2023","15178.90","15239.40","15102.60","15125.50"
"NIFTY PHARMA","29 Aug 2023","15208.65","15256.55","15100.20","15121.10"
"NIFTY PHARMA","28 Aug 2023","15052.80","15196.35","15024.10","15161.80"
"NIFTY PHARMA","25 Aug 2023","15173.20","15182.70","15000.05","15025.20"
"NIFTY PHARMA","24 Aug 2023","15326.95","15374.90","15171.65","15193.15"
"NIFTY PHARMA","23 Aug 2023","15344.60","15359.25","15266.20","15282.50"
"NIFTY PHARMA","22 Aug 2023","15334.55","15378.20","15262.25","15302.60"
"NIFTY PHARMA","21 Aug 2023","15262.55","15375.25","15241.05","15333.35"
"NIFTY PHARMA","18 Aug 2023","15363.55","15450.60","15229.50","15271.50"
"NIFTY PHARMA","17 Aug 2023","15406.30","15445.35","15324.70","15358.45"
"NIFTY PHARMA","16 Aug 2023","15289.50","15416.00","15192.25","15398.80"
"NIFTY PHARMA","14 Aug 2023","15349.80","15365.40","15207.00","15305.40"
"NIFTY PHARMA","11 Aug 2023","15591.45","15598.60","15340.45","15355.50"
"NIFTY PHARMA","10 Aug 2023","15711.40","15750.50","15513.65","15580.70"
"NIFTY PHARMA","09 Aug 2023","15631.55","15733.15","15594.95","15696.85"
"NIFTY PHARMA","08 Aug 2023","15555.30","15640.25","15478.35","15578.50"
"NIFTY PHARMA","07 Aug 2023","15276.05","15498.10","15214.85","15479.25"
"NIFTY PHARMA","04 Aug 2023","15098.55","15302.25","15079.25","15241.00"
"NIFTY PHARMA","03 Aug 2023","14925.85","15253.20","14922.35","15099.20"
"NIFTY PHARMA","02 Aug 2023","14997.90","15012.20","14831.90","14943.40"
"NIFTY PHARMA","01 Aug 2023","15016.85","15110.95","14961.80","15001.30"
"NIFTY PHARMA","31 Jul 2023","14935.60","15017.35","14918.25","14992.15"
"NIFTY PHARMA","28 Jul 2023","14908.95","15046.70","14883.45","14962.55"
"NIFTY PHARMA","27 Jul 2023","14658.70","15105.65","14601.05","14919.95"
"NIFTY PHARMA","26 Jul 2023","14423.30","14505.45","14378.45","14478.35"
"NIFTY PHARMA","25 Jul 2023","14406.80","14425.35","14345.95","14383.25"
"NIFTY PHARMA","24 Jul 2023","14261.25","14405.15","14236.20","14332.05"
"NIFTY PHARMA","21 Jul 2023","14295.60","14363.90","14229.85","14274.00"
"NIFTY PHARMA","20 Jul 2023","14137.85","14329.70","14111.40","14299.05"
"NIFTY PHARMA","19 Jul 2023","14026.35","14150.80","14000.60","14092.60"
"NIFTY PHARMA","18 Jul 2023","14063.60","14076.45","13926.80","14017.15"
"NIFTY PHARMA","17 Jul 2023","13979.40","14076.90","13973.95","14053.70"
"NIFTY PHARMA","14 Jul 2023","13931.75","13961.20","13852.90","13945.65"
"NIFTY PHARMA","13 Jul 2023","13979.40","13980.05","13841.45","13876.55"
"NIFTY PHARMA","12 Jul 2023","13918.20","13970.30","13873.75","13936.70"
"NIFTY PHARMA","11 Jul 2023","13795.55","13915.50","13780.45","13895.40"
"NIFTY PHARMA","10 Jul 2023","13811.15","13821.00","13705.35","13751.80"
"NIFTY PHARMA","07 Jul 2023","13800.40","13917.55","13730.35","13769.00"
"NIFTY PHARMA","06 Jul 2023","13769.40","13904.65","13759.75","13871.60"
"NIFTY PHARMA","05 Jul 2023","13726.25","13788.65","13682.85","13772.00"
"NIFTY PHARMA","04 Jul 2023","13683.15","13713.95","13578.35","13675.45"
"NIFTY PHARMA","03 Jul 2023","13796.55","13811.70","13597.40","13614.00"
"NIFTY PHARMA","30 Jun 2023","13640.80","13805.05","13634.70","13767.50"
"NIFTY PHARMA","28 Jun 2023","13409.20","13651.65","13407.25","13622.75"
"NIFTY PHARMA","27 Jun 2023","13421.65","13449.65","13359.60","13426.90"
"NIFTY PHARMA","26 Jun 2023","13193.70","13406.00","13176.20","13388.60"
"NIFTY PHARMA","23 Jun 2023","13168.90","13230.35","13077.45","13186.30"
"NIFTY PHARMA","22 Jun 2023","13224.15","13258.90","13151.30","13166.85"
"NIFTY PHARMA","21 Jun 2023","13252.85","13307.80","13178.25","13247.70"
"NIFTY PHARMA","20 Jun 2023","13302.55","13316.40","13206.00","13238.85"
"NIFTY PHARMA","19 Jun 2023","13272.90","13347.55","13254.85","13264.65"
"NIFTY PHARMA","16 Jun 2023","13219.90","13278.50","13203.40","13241.95"
"NIFTY PHARMA","15 Jun 2023","13004.30","13191.80","12999.70","13160.60"
"NIFTY PHARMA","14 Jun 2023","13031.80","13036.50","12942.00","12976.80"
"NIFTY PHARMA","13 Jun 2023","12898.20","13021.60","12879.75","12993.75"
"NIFTY PHARMA","12 Jun 2023","12850.45","12900.60","12796.05","12856.05"
"NIFTY PHARMA","09 Jun 2023","12917.80","12949.55","12849.85","12861.05"
"NIFTY PHARMA","08 Jun 2023","13068.35","13087.60","12888.60","12911.35"
"NIFTY PHARMA","07 Jun 2023","13047.20","13085.70","13019.05","13045.65"
"NIFTY PHARMA","06 Jun 2023","12945.60","13028.40","12891.65","13012.90"
"NIFTY PHARMA","05 Jun 2023","12958.50","12985.40","12888.75","12934.50"
"NIFTY PHARMA","02 Jun 2023","12823.45","12925.35","12776.35","12900.60"
"NIFTY PHARMA","01 Jun 2023","12708.70","12827.65","12690.60","12812.80"
"NIFTY PHARMA","31 May 2023","12616.70","12748.80","12602.50","12678.40"
"NIFTY PHARMA","30 May 2023","12632.25","12657.15","12561.60","12604.70"
"NIFTY PHARMA","29 May 2023","12634.75","12644.20","12487.00","12624.20"
"NIFTY PHARMA","26 May 2023","12447.55","12628.15","12414.40","12601.55"
"NIFTY PHARMA","25 May 2023","12441.00","12475.10","12403.20","12455.50"
"NIFTY PHARMA","24 May 2023","12335.05","12449.90","12325.80","12440.45"
"NIFTY PHARMA","23 May 2023","12253.15","12371.40","12246.60","12314.20"
"NIFTY PHARMA","22 May 2023","12063.50","12258.65","12040.65","12244.20"
"NIFTY PHARMA","19 May 2023","12223.35","12250.50","12101.15","12124.25"
"NIFTY PHARMA","18 May 2023","12451.25","12451.25","12220.95","12241.35"
"NIFTY PHARMA","17 May 2023","12459.55","12498.25","12341.20","12398.55"
"NIFTY PHARMA","16 May 2023","12512.15","12609.00","12435.45","12454.50"
"NIFTY PHARMA","15 May 2023","12485.05","12498.40","12391.30","12487.40"
"NIFTY PHARMA","12 May 2023","12564.35","12591.65","12435.25","12486.70"
"NIFTY PHARMA","11 May 2023","12659.25","12671.10","12464.85","12557.05"
"NIFTY PHARMA","10 May 2023","12755.10","12760.90","12646.20","12716.90"
"NIFTY PHARMA","09 May 2023","12686.55","12728.05","12623.15","12716.70"
"NIFTY PHARMA","08 May 2023","12598.35","12671.55","12580.40","12663.10"
"NIFTY PHARMA","05 May 2023","12665.80","12677.40","12590.15","12608.35"
"NIFTY PHARMA","04 May 2023","12610.20","12671.50","12589.45","12654.65"
"NIFTY PHARMA","03 May 2023","12581.60","12634.80","12549.20","12586.80"
