"Index Name","Date","Open","High","Low","Close"
"NIFTY PSU BANK","01 Jul 2024","7370.65","7376.6","7300.65","7310.25"
"NIFTY PSU BANK","28 Jun 2024","7327.4","7508.75","7325.8","7365.95"
"NIFTY PSU BANK","27 Jun 2024","7354","7377.7","7246.45","7301.40"
"NIFTY PSU BANK","26 Jun 2024","7344.85","7408.6","7307.3","7368.85"
"NIFTY PSU BANK","25 Jun 2024","7366.4","7388.35","7307.05","7344.60"
"NIFTY PSU BANK","24 Jun 2024","7332.6","7385.5","7246.8","7335.30"
"NIFTY PSU BANK","21 Jun 2024","7476.3","7487.15","7346.5","7384.25"
"NIFTY PSU BANK","20 Jun 2024","7499.25","7535.15","7459.2","7469.60"
"NIFTY PSU BANK","19 Jun 2024","7497.2","7569.25","7427.45","7489.95"
"NIFTY PSU BANK","18 Jun 2024","7493.65","7522.2","7469.65","7482.90"
"NIFTY PSU BANK","14 Jun 2024","7442.75","7481.7","7407.55","7464.15"
"NIFTY PSU BANK","13 Jun 2024","7489.15","7496.7","7390.8","7424.60"
"NIFTY PSU BANK","12 Jun 2024","7362.75","7455.2","7341.75","7429.55"
"NIFTY PSU BANK","11 Jun 2024","7366.25","7400.7","7312","7344.60"
"NIFTY PSU BANK","10 Jun 2024","7332.2","7445.9","7322.95","7333.85"
"NIFTY PSU BANK","07 Jun 2024","7231.75","7287.1","7166.9","7281.90"
"NIFTY PSU BANK","06 Jun 2024","7092.75","7324.45","7067.4","7193.70"
"NIFTY PSU BANK","05 Jun 2024","6977.3","7017.55","6524","6989.75"
"NIFTY PSU BANK","04 Jun 2024","7947.9","7947.9","6443.85","6794.25"
"NIFTY PSU BANK","03 Jun 2024","7756.35","8053.3","7670.95","8006.15"
"NIFTY PSU BANK","31 May 2024","7336.35","7410.55","7225.6","7386.00"
"NIFTY PSU BANK","30 May 2024","7310.45","7406.05","7274.05","7292.40"
"NIFTY PSU BANK","29 May 2024","7328","7404.4","7303.25","7325.30"
"NIFTY PSU BANK","28 May 2024","7475.15","7520.7","7303.8","7361.10"
"NIFTY PSU BANK","27 May 2024","7387.55","7514.5","7324.7","7456.75"
"NIFTY PSU BANK","24 May 2024","7358.8","7433.85","7344.55","7359.05"
"NIFTY PSU BANK","23 May 2024","7289.45","7428.7","7281.2","7364.95"
"NIFTY PSU BANK","22 May 2024","7280.35","7300.15","7185.3","7240.30"
"NIFTY PSU BANK","21 May 2024","7162.1","7286.1","7126.2","7264.75"
"NIFTY PSU BANK","18 May 2024","7143.85","7162.25","7133.5","7156.80"
"NIFTY PSU BANK","17 May 2024","7117.2","7154.6","7084.3","7109.25"
"NIFTY PSU BANK","16 May 2024","7201.75","7205.95","6993.9","7097.55"
"NIFTY PSU BANK","15 May 2024","7115.4","7207.8","7110.8","7160.75"
"NIFTY PSU BANK","14 May 2024","7028.5","7078.9","6981.95","7060.15"
"NIFTY PSU BANK","13 May 2024","7065.8","7072.5","6838.2","6987.30"
"NIFTY PSU BANK","10 May 2024","7162.85","7178.2","7017","7074.35"
"NIFTY PSU BANK","09 May 2024","7211.3","7251.15","7079.35","7095.20"
"NIFTY PSU BANK","08 May 2024","7098.65","7270.1","7088.9","7147.60"
"NIFTY PSU BANK","07 May 2024","7296.95","7300.2","7032.8","7085.45"
"NIFTY PSU BANK","06 May 2024","7565.35","7567.05","7202.4","7252.85"
"NIFTY PSU BANK","03 May 2024","7640.3","7640.3","7459.1","7528.70"
"NIFTY PSU BANK","02 May 2024","7622.05","7657.8","7574.3","7586.15"
"NIFTY PSU BANK","30 Apr 2024","7589.8","7685.95","7526.4","7605.60"
"NIFTY PSU BANK","29 Apr 2024","7432.15","7589.8","7364.8","7569.05"
"NIFTY PSU BANK","26 Apr 2024","7436.6","7470.65","7364.3","7380.05"
"NIFTY PSU BANK","25 Apr 2024","7128.75","7421.2","7123.55","7403.15"
"NIFTY PSU BANK","24 Apr 2024","7187.3","7193.9","7121.55","7133.90"
"NIFTY PSU BANK","23 Apr 2024","7200.9","7208","7134.25","7150.00"
"NIFTY PSU BANK","22 Apr 2024","7007.1","7166.15","7000.95","7146.15"
"NIFTY PSU BANK","19 Apr 2024","6862.75","6958.3","6768.75","6933.25"
"NIFTY PSU BANK","18 Apr 2024","6999.75","7087.15","6931.85","6953.35"
"NIFTY PSU BANK","16 Apr 2024","7002","7050.65","6941.25","6966.25"
"NIFTY PSU BANK","15 Apr 2024","7078.55","7152.3","6963","7056.10"
"NIFTY PSU BANK","12 Apr 2024","7264.3","7322.45","7188.75","7198.70"
"NIFTY PSU BANK","10 Apr 2024","7198.40","7315.65","7169.30","7290.35"
"NIFTY PSU BANK","09 Apr 2024","7263.75","7285.55","7137.40","7180.75"
"NIFTY PSU BANK","08 Apr 2024","7325.65","7337.10","7234.70","7241.25"
"NIFTY PSU BANK","05 Apr 2024","7253.65","7330.80","7215.60","7306.35"
"NIFTY PSU BANK","04 Apr 2024","7371.80","7375.40","7219.95","7252.90"
"NIFTY PSU BANK","03 Apr 2024","7164.85","7329.00","7117.90","7303.85"
"NIFTY PSU BANK","02 Apr 2024","7117.50","7185.50","7086.85","7176.05"
"NIFTY PSU BANK","01 Apr 2024","7049.70","7125.00","7040.35","7113.25"
"NIFTY PSU BANK","28 Mar 2024","6862.95","7059.45","6862.85","7007.25"
"NIFTY PSU BANK","27 Mar 2024","6909.90","6935.45","6807.15","6828.55"
"NIFTY PSU BANK","26 Mar 2024","6873.95","6921.40","6845.55","6895.65"
"NIFTY PSU BANK","22 Mar 2024","6831.05","6909.95","6810.60","6888.50"
"NIFTY PSU BANK","21 Mar 2024","6770.70","6868.15","6765.95","6822.65"
"NIFTY PSU BANK","20 Mar 2024","6698.65","6738.45","6561.40","6679.70"
"NIFTY PSU BANK","19 Mar 2024","6779.10","6815.40","6660.50","6676.50"
"NIFTY PSU BANK","18 Mar 2024","6753.40","6829.00","6699.45","6782.55"
"NIFTY PSU BANK","15 Mar 2024","6779.80","6855.20","6574.40","6761.00"
"NIFTY PSU BANK","14 Mar 2024","6709.20","6847.10","6641.25","6784.65"
"NIFTY PSU BANK","13 Mar 2024","7054.55","7088.25","6683.15","6737.45"
"NIFTY PSU BANK","12 Mar 2024","7216.10","7252.55","7017.65","7039.00"
"NIFTY PSU BANK","11 Mar 2024","7369.15","7418.75","7205.00","7225.00"
"NIFTY PSU BANK","07 Mar 2024","7349.70","7409.00","7304.95","7341.25"
"NIFTY PSU BANK","06 Mar 2024","7323.10","7369.85","7154.25","7324.80"
"NIFTY PSU BANK","05 Mar 2024","7125.10","7333.10","7113.40","7321.95"
"NIFTY PSU BANK","04 Mar 2024","7153.65","7166.70","7090.45","7139.50"
"NIFTY PSU BANK","02 Mar 2024","7101.80","7139.45","7086.60","7120.85"
"NIFTY PSU BANK","01 Mar 2024","6978.85","7090.35","6952.35","7080.75"
"NIFTY PSU BANK","29 Feb 2024","6845.65","6981.75","6759.10","6929.85"
"NIFTY PSU BANK","28 Feb 2024","7002.40","7026.00","6790.25","6840.60"
"NIFTY PSU BANK","27 Feb 2024","7054.45","7079.80","6944.05","7001.40"
"NIFTY PSU BANK","26 Feb 2024","7063.90","7110.40","7021.25","7040.65"
"NIFTY PSU BANK","23 Feb 2024","7183.00","7245.95","7059.10","7076.05"
"NIFTY PSU BANK","22 Feb 2024","7174.40","7177.80","7035.85","7158.60"
"NIFTY PSU BANK","21 Feb 2024","7135.10","7253.05","7129.05","7143.75"
"NIFTY PSU BANK","20 Feb 2024","7110.50","7150.40","7081.85","7101.20"
"NIFTY PSU BANK","19 Feb 2024","7165.35","7185.15","7090.35","7101.40"
"NIFTY PSU BANK","16 Feb 2024","7202.65","7281.75","7118.15","7135.00"
"NIFTY PSU BANK","15 Feb 2024","6987.85","7169.60","6958.15","7160.80"
"NIFTY PSU BANK","14 Feb 2024","6620.05","6959.05","6602.65","6934.15"
