"Index Name","Date","Open","High","Low","Close"
"NIFTY QUALITY LOW-VOLATILITY 30","01 Jul 2024","-","-","-","17313.60"
"NIFTY QUALITY LOW-VOLATILITY 30","28 Jun 2024","-","-","-","17190.01"
"NIFTY QUALITY LOW-VOLATILITY 30","27 Jun 2024","-","-","-","17177.23"
"NIFTY QUALITY LOW-VOLATILITY 30","26 Jun 2024","-","-","-","17085.88"
"NIFTY QUALITY LOW-VOLATILITY 30","25 Jun 2024","-","-","-","17100.32"
"NIFTY QUALITY LOW-VOLATILITY 30","24 Jun 2024","-","-","-","17091.05"
"NIFTY QUALITY LOW-VOLATILITY 30","21 Jun 2024","-","-","-","17050.59"
"NIFTY QUALITY LOW-VOLATILITY 30","20 Jun 2024","-","-","-","17087.42"
"NIFTY QUALITY LOW-VOLATILITY 30","19 Jun 2024","-","-","-","17082.31"
"NIFTY QUALITY LOW-VOLATILITY 30","18 Jun 2024","-","-","-","17188.66"
"NIFTY QUALITY LOW-VOLATILITY 30","14 Jun 2024","-","-","-","17176.98"
"NIFTY QUALITY LOW-VOLATILITY 30","13 Jun 2024","-","-","-","17180.29"
"NIFTY QUALITY LOW-VOLATILITY 30","12 Jun 2024","-","-","-","17138.29"
"NIFTY QUALITY LOW-VOLATILITY 30","11 Jun 2024","-","-","-","17141.69"
"NIFTY QUALITY LOW-VOLATILITY 30","10 Jun 2024","-","-","-","17112.18"
"NIFTY QUALITY LOW-VOLATILITY 30","07 Jun 2024","-","-","-","17081.54"
"NIFTY QUALITY LOW-VOLATILITY 30","06 Jun 2024","-","-","-","16854.92"
"NIFTY QUALITY LOW-VOLATILITY 30","05 Jun 2024","-","-","-","16754.74"
"NIFTY QUALITY LOW-VOLATILITY 30","04 Jun 2024","-","-","-","16184.31"
"NIFTY QUALITY LOW-VOLATILITY 30","03 Jun 2024","-","-","-","16389.20"
"NIFTY QUALITY LOW-VOLATILITY 30","31 May 2024","-","-","-","16232.94"
"NIFTY QUALITY LOW-VOLATILITY 30","30 May 2024","-","-","-","16317.50"
"NIFTY QUALITY LOW-VOLATILITY 30","29 May 2024","-","-","-","16538.65"
"NIFTY QUALITY LOW-VOLATILITY 30","28 May 2024","-","-","-","16609.35"
"NIFTY QUALITY LOW-VOLATILITY 30","27 May 2024","-","-","-","16597.85"
"NIFTY QUALITY LOW-VOLATILITY 30","24 May 2024","-","-","-","16605.99"
"NIFTY QUALITY LOW-VOLATILITY 30","23 May 2024","-","-","-","16658.81"
"NIFTY QUALITY LOW-VOLATILITY 30","22 May 2024","-","-","-","16541.33"
"NIFTY QUALITY LOW-VOLATILITY 30","21 May 2024","-","-","-","16422.31"
"NIFTY QUALITY LOW-VOLATILITY 30","18 May 2024","-","-","-","16418.84"
"NIFTY QUALITY LOW-VOLATILITY 30","17 May 2024","-","-","-","16363.51"
"NIFTY QUALITY LOW-VOLATILITY 30","16 May 2024","-","-","-","16371.07"
"NIFTY QUALITY LOW-VOLATILITY 30","15 May 2024","-","-","-","16267.84"
"NIFTY QUALITY LOW-VOLATILITY 30","14 May 2024","-","-","-","16343.06"
"NIFTY QUALITY LOW-VOLATILITY 30","13 May 2024","-","-","-","16286.75"
"NIFTY QUALITY LOW-VOLATILITY 30","10 May 2024","-","-","-","16162.41"
"NIFTY QUALITY LOW-VOLATILITY 30","09 May 2024","-","-","-","16042.47"
"NIFTY QUALITY LOW-VOLATILITY 30","08 May 2024","-","-","-","16270.84"
"NIFTY QUALITY LOW-VOLATILITY 30","07 May 2024","-","-","-","16275.98"
"NIFTY QUALITY LOW-VOLATILITY 30","06 May 2024","-","-","-","16203.30"
"NIFTY QUALITY LOW-VOLATILITY 30","03 May 2024","-","-","-","16122.00"
"NIFTY QUALITY LOW-VOLATILITY 30","02 May 2024","-","-","-","16188.25"
"NIFTY QUALITY LOW-VOLATILITY 30","30 Apr 2024","-","-","-","16092.85"
"NIFTY QUALITY LOW-VOLATILITY 30","29 Apr 2024","-","-","-","16088.79"
"NIFTY QUALITY LOW-VOLATILITY 30","26 Apr 2024","-","-","-","16099.61"
"NIFTY QUALITY LOW-VOLATILITY 30","25 Apr 2024","-","-","-","16055.97"
"NIFTY QUALITY LOW-VOLATILITY 30","24 Apr 2024","-","-","-","16028.30"
"NIFTY QUALITY LOW-VOLATILITY 30","23 Apr 2024","-","-","-","15982.90"
"NIFTY QUALITY LOW-VOLATILITY 30","22 Apr 2024","-","-","-","15916.62"
"NIFTY QUALITY LOW-VOLATILITY 30","19 Apr 2024","-","-","-","15784.58"
"NIFTY QUALITY LOW-VOLATILITY 30","18 Apr 2024","-","-","-","15805.12"
"NIFTY QUALITY LOW-VOLATILITY 30","16 Apr 2024","-","-","-","15966.64"
"NIFTY QUALITY LOW-VOLATILITY 30","15 Apr 2024","-","-","-","16017.98"
"NIFTY QUALITY LOW-VOLATILITY 30","12 Apr 2024","-","-","-","16170.18"
"NIFTY QUALITY LOW-VOLATILITY 30","10 Apr 2024","-","-","-","16298.00"
"NIFTY QUALITY LOW-VOLATILITY 30","09 Apr 2024","-","-","-","16202.69"
"NIFTY QUALITY LOW-VOLATILITY 30","08 Apr 2024","-","-","-","16290.25"
"NIFTY QUALITY LOW-VOLATILITY 30","05 Apr 2024","-","-","-","16252.92"
"NIFTY QUALITY LOW-VOLATILITY 30","04 Apr 2024","-","-","-","16230.10"
"NIFTY QUALITY LOW-VOLATILITY 30","03 Apr 2024","-","-","-","16255.30"
"NIFTY QUALITY LOW-VOLATILITY 30","02 Apr 2024","-","-","-","16318.70"
"NIFTY QUALITY LOW-VOLATILITY 30","01 Apr 2024","-","-","-","16290.58"
"NIFTY QUALITY LOW-VOLATILITY 30","28 Mar 2024","-","-","-","16202.79"
"NIFTY QUALITY LOW-VOLATILITY 30","27 Mar 2024","-","-","-","16078.37"
"NIFTY QUALITY LOW-VOLATILITY 30","26 Mar 2024","-","-","-","16121.10"
"NIFTY QUALITY LOW-VOLATILITY 30","22 Mar 2024","-","-","-","16088.41"
"NIFTY QUALITY LOW-VOLATILITY 30","21 Mar 2024","-","-","-","16024.40"
"NIFTY QUALITY LOW-VOLATILITY 30","20 Mar 2024","-","-","-","15894.61"
"NIFTY QUALITY LOW-VOLATILITY 30","19 Mar 2024","-","-","-","15885.94"
"NIFTY QUALITY LOW-VOLATILITY 30","18 Mar 2024","-","-","-","16182.33"
"NIFTY QUALITY LOW-VOLATILITY 30","15 Mar 2024","-","-","-","16176.44"
"NIFTY QUALITY LOW-VOLATILITY 30","14 Mar 2024","-","-","-","16224.02"
"NIFTY QUALITY LOW-VOLATILITY 30","13 Mar 2024","-","-","-","15963.71"
"NIFTY QUALITY LOW-VOLATILITY 30","12 Mar 2024","-","-","-","16174.21"
"NIFTY QUALITY LOW-VOLATILITY 30","11 Mar 2024","-","-","-","16277.02"
"NIFTY QUALITY LOW-VOLATILITY 30","07 Mar 2024","-","-","-","16301.13"
"NIFTY QUALITY LOW-VOLATILITY 30","06 Mar 2024","-","-","-","16218.58"
"NIFTY QUALITY LOW-VOLATILITY 30","05 Mar 2024","-","-","-","16125.73"
"NIFTY QUALITY LOW-VOLATILITY 30","04 Mar 2024","-","-","-","16191.15"
"NIFTY QUALITY LOW-VOLATILITY 30","02 Mar 2024","-","-","-","16194.79"
"NIFTY QUALITY LOW-VOLATILITY 30","01 Mar 2024","-","-","-","16147.56"
"NIFTY QUALITY LOW-VOLATILITY 30","29 Feb 2024","-","-","-","16078.71"
"NIFTY QUALITY LOW-VOLATILITY 30","28 Feb 2024","-","-","-","16010.73"
"NIFTY QUALITY LOW-VOLATILITY 30","27 Feb 2024","-","-","-","16176.76"
"NIFTY QUALITY LOW-VOLATILITY 30","26 Feb 2024","-","-","-","16142.55"
"NIFTY QUALITY LOW-VOLATILITY 30","23 Feb 2024","-","-","-","16252.92"
"NIFTY QUALITY LOW-VOLATILITY 30","22 Feb 2024","-","-","-","16266.05"
"NIFTY QUALITY LOW-VOLATILITY 30","21 Feb 2024","-","-","-","16137.29"
"NIFTY QUALITY LOW-VOLATILITY 30","20 Feb 2024","-","-","-","16244.27"
"NIFTY QUALITY LOW-VOLATILITY 30","19 Feb 2024","-","-","-","16303.85"
"NIFTY QUALITY LOW-VOLATILITY 30","16 Feb 2024","-","-","-","16264.37"
"NIFTY QUALITY LOW-VOLATILITY 30","15 Feb 2024","-","-","-","16106.66"
"NIFTY QUALITY LOW-VOLATILITY 30","14 Feb 2024","-","-","-","16083.75"
"NIFTY QUALITY LOW-VOLATILITY 30","13 Feb 2024","-","-","-","15978.48"
"NIFTY QUALITY LOW-VOLATILITY 30","12 Feb 2024","-","-","-","15799.35"
"NIFTY QUALITY LOW-VOLATILITY 30","09 Feb 2024","-","-","-","15916.69"
"NIFTY QUALITY LOW-VOLATILITY 30","08 Feb 2024","-","-","-","15856.52"
"NIFTY QUALITY LOW-VOLATILITY 30","07 Feb 2024","-","-","-","16004.74"
"NIFTY QUALITY LOW-VOLATILITY 30","06 Feb 2024","-","-","-","15962.24"
"NIFTY QUALITY LOW-VOLATILITY 30","05 Feb 2024","-","-","-","15770.52"
"NIFTY QUALITY LOW-VOLATILITY 30","02 Feb 2024","-","-","-","15799.13"
"NIFTY QUALITY LOW-VOLATILITY 30","01 Feb 2024","-","-","-","15674.93"
"NIFTY QUALITY LOW-VOLATILITY 30","31 Jan 2024","-","-","-","15694.74"
"NIFTY QUALITY LOW-VOLATILITY 30","30 Jan 2024","-","-","-","15527.75"
"NIFTY QUALITY LOW-VOLATILITY 30","29 Jan 2024","-","-","-","15606.22"
"NIFTY QUALITY LOW-VOLATILITY 30","25 Jan 2024","-","-","-","15486.70"
"NIFTY QUALITY LOW-VOLATILITY 30","24 Jan 2024","-","-","-","15578.86"
"NIFTY QUALITY LOW-VOLATILITY 30","23 Jan 2024","-","-","-","15343.18"
"NIFTY QUALITY LOW-VOLATILITY 30","20 Jan 2024","-","-","-","15634.54"
"NIFTY QUALITY LOW-VOLATILITY 30","19 Jan 2024","-","-","-","15694.91"
"NIFTY QUALITY LOW-VOLATILITY 30","18 Jan 2024","-","-","-","15573.43"
"NIFTY QUALITY LOW-VOLATILITY 30","17 Jan 2024","-","-","-","15635.30"
"NIFTY QUALITY LOW-VOLATILITY 30","16 Jan 2024","-","-","-","15812.00"
"NIFTY QUALITY LOW-VOLATILITY 30","15 Jan 2024","-","-","-","15842.88"
"NIFTY QUALITY LOW-VOLATILITY 30","12 Jan 2024","-","-","-","15655.91"
"NIFTY QUALITY LOW-VOLATILITY 30","11 Jan 2024","-","-","-","15533.90"
