"Index Name","Date","Open","High","Low","Close"
"NIFTY REALTY","01 Jul 2024","1112.5","1113.65","1097.1","1101.05"
"NIFTY REALTY","28 Jun 2024","1099.25","1113.6","1090.65","1104.75"
"NIFTY REALTY","27 Jun 2024","1097.4","1107.95","1088.35","1098.95"
"NIFTY REALTY","26 Jun 2024","1116.75","1118.85","1097.15","1099.50"
"NIFTY REALTY","25 Jun 2024","1140.15","1141.35","1105.6","1115.50"
"NIFTY REALTY","24 Jun 2024","1129.1","1138","1115.7","1135.35"
"NIFTY REALTY","21 Jun 2024","1140.5","1148.1","1126.8","1131.90"
"NIFTY REALTY","20 Jun 2024","1124.65","1145.6","1119.45","1140.30"
"NIFTY REALTY","19 Jun 2024","1149.25","1149.9","1111","1117.70"
"NIFTY REALTY","18 Jun 2024","1130.35","1157.35","1128.15","1150.30"
"NIFTY REALTY","14 Jun 2024","1126.75","1134.9","1121.55","1129.10"
"NIFTY REALTY","13 Jun 2024","1107.05","1122.15","1102.35","1119.90"
"NIFTY REALTY","12 Jun 2024","1095.1","1099.45","1087.4","1095.40"
"NIFTY REALTY","11 Jun 2024","1093.35","1104.2","1090.8","1095.85"
"NIFTY REALTY","10 Jun 2024","1077.05","1089.85","1075.65","1083.65"
"NIFTY REALTY","07 Jun 2024","1054.75","1072.45","1050.5","1069.50"
"NIFTY REALTY","06 Jun 2024","1011.35","1053.8","1011.35","1047.75"
"NIFTY REALTY","05 Jun 2024","986.3","1008.2","936.95","1000.80"
"NIFTY REALTY","04 Jun 2024","1085.6","1085.6","930.9","976.10"
"NIFTY REALTY","03 Jun 2024","1059.6","1082.45","1049.8","1080.05"
"NIFTY REALTY","31 May 2024","1011.75","1032.85","1005.25","1019.40"
"NIFTY REALTY","30 May 2024","998.95","1002.4","992.3","996.05"
"NIFTY REALTY","29 May 2024","1007.8","1012.95","998.65","1000.95"
"NIFTY REALTY","28 May 2024","1034.35","1035.25","1005.65","1010.00"
"NIFTY REALTY","27 May 2024","1029","1040.75","1026.95","1032.35"
"NIFTY REALTY","24 May 2024","1028.7","1032","1020.7","1023.65"
"NIFTY REALTY","23 May 2024","1028.1","1033.05","1015.3","1030.40"
"NIFTY REALTY","22 May 2024","1010.05","1023.25","1008.3","1018.90"
"NIFTY REALTY","21 May 2024","1006.65","1007.45","992.55","1004.70"
"NIFTY REALTY","18 May 2024","1001.95","1009.95","999.75","1004.85"
"NIFTY REALTY","17 May 2024","986.4","999","980.05","997.10"
"NIFTY REALTY","16 May 2024","972.45","984.35","968.9","980.75"
"NIFTY REALTY","15 May 2024","957.15","978.75","948.8","965.00"
"NIFTY REALTY","14 May 2024","949.7","962.8","946.7","955.25"
"NIFTY REALTY","13 May 2024","934.8","949","914.35","946.90"
"NIFTY REALTY","10 May 2024","943.55","949.15","922.1","935.35"
"NIFTY REALTY","09 May 2024","965.15","967.6","936.25","939.45"
"NIFTY REALTY","08 May 2024","955.2","964.8","939.6","960.85"
"NIFTY REALTY","07 May 2024","989.95","994.35","946","954.70"
"NIFTY REALTY","06 May 2024","973.4","990.75","961.65","989.20"
"NIFTY REALTY","03 May 2024","979.9","980.65","957.1","962.65"
"NIFTY REALTY","02 May 2024","972.6","973.95","956.9","972.65"
"NIFTY REALTY","30 Apr 2024","962.65","983.1","962.35","973.25"
"NIFTY REALTY","29 Apr 2024","969.6","973.45","952.05","959.35"
"NIFTY REALTY","26 Apr 2024","966.5","971.55","956.95","969.05"
"NIFTY REALTY","25 Apr 2024","970.8","972.2","950.8","963.35"
"NIFTY REALTY","24 Apr 2024","963.85","970.4","961.6","965.75"
"NIFTY REALTY","23 Apr 2024","941.4","962.25","939.4","957.20"
"NIFTY REALTY","22 Apr 2024","935.8","941.35","931.15","933.10"
"NIFTY REALTY","19 Apr 2024","920.2","928.65","909.7","926.25"
"NIFTY REALTY","18 Apr 2024","942.5","952.05","928.9","932.75"
"NIFTY REALTY","16 Apr 2024","935.2","942","930.15","937.75"
"NIFTY REALTY","15 Apr 2024","930","950.95","925","942.05"
"NIFTY REALTY","12 Apr 2024","962.55","970.85","950.85","952.40"
"NIFTY REALTY","10 Apr 2024","959.80","968.95","958.85","960.90"
"NIFTY REALTY","09 Apr 2024","959.20","970.20","951.35","955.30"
"NIFTY REALTY","08 Apr 2024","948.20","963.80","947.05","950.25"
"NIFTY REALTY","05 Apr 2024","928.05","941.30","926.20","937.75"
"NIFTY REALTY","04 Apr 2024","930.60","931.45","919.05","924.50"
"NIFTY REALTY","03 Apr 2024","946.20","946.25","923.00","924.85"
"NIFTY REALTY","02 Apr 2024","942.75","959.10","940.05","949.35"
"NIFTY REALTY","01 Apr 2024","904.40","943.30","903.15","939.90"
"NIFTY REALTY","28 Mar 2024","900.60","905.40","889.15","900.65"
"NIFTY REALTY","27 Mar 2024","893.90","900.50","892.40","895.75"
"NIFTY REALTY","26 Mar 2024","871.90","890.70","868.65","888.20"
"NIFTY REALTY","22 Mar 2024","863.50","876.80","860.40","874.50"
"NIFTY REALTY","21 Mar 2024","845.35","861.05","840.35","859.40"
"NIFTY REALTY","20 Mar 2024","833.00","840.65","819.75","834.35"
"NIFTY REALTY","19 Mar 2024","838.75","839.70","821.15","829.20"
"NIFTY REALTY","18 Mar 2024","829.80","842.40","821.00","834.05"
"NIFTY REALTY","15 Mar 2024","833.45","846.65","818.65","830.15"
"NIFTY REALTY","14 Mar 2024","815.85","836.50","808.45","831.55"
"NIFTY REALTY","13 Mar 2024","871.10","882.80","814.70","826.50"
"NIFTY REALTY","12 Mar 2024","911.90","913.35","870.20","872.90"
"NIFTY REALTY","11 Mar 2024","921.90","935.15","903.60","906.55"
"NIFTY REALTY","07 Mar 2024","920.55","925.25","912.60","916.50"
"NIFTY REALTY","06 Mar 2024","929.70","930.20","901.75","917.85"
"NIFTY REALTY","05 Mar 2024","927.85","936.30","925.20","930.35"
"NIFTY REALTY","04 Mar 2024","929.85","936.00","923.75","927.45"
"NIFTY REALTY","02 Mar 2024","922.05","926.90","919.45","925.95"
"NIFTY REALTY","01 Mar 2024","913.20","919.65","907.25","917.10"
"NIFTY REALTY","29 Feb 2024","909.20","915.45","894.45","910.55"
"NIFTY REALTY","28 Feb 2024","929.40","932.10","899.50","909.50"
"NIFTY REALTY","27 Feb 2024","920.15","931.55","917.95","929.15"
"NIFTY REALTY","26 Feb 2024","919.70","925.15","907.25","919.35"
"NIFTY REALTY","23 Feb 2024","916.55","925.25","912.85","918.75"
"NIFTY REALTY","22 Feb 2024","910.05","911.50","898.55","909.65"
"NIFTY REALTY","21 Feb 2024","889.65","913.40","888.75","904.75"
"NIFTY REALTY","20 Feb 2024","879.90","894.45","879.90","887.00"
"NIFTY REALTY","19 Feb 2024","885.30","886.40","872.00","876.80"
"NIFTY REALTY","16 Feb 2024","875.65","885.35","867.00","882.70"
"NIFTY REALTY","15 Feb 2024","866.75","877.75","863.45","869.40"
"NIFTY REALTY","14 Feb 2024","838.20","865.90","836.30","861.00"
"NIFTY REALTY","13 Feb 2024","850.25","852.85","833.85","850.40"
"NIFTY REALTY","12 Feb 2024","876.45","878.55","847.05","849.95"
"NIFTY REALTY","09 Feb 2024","877.80","878.75","855.65","875.95"
"NIFTY REALTY","08 Feb 2024","882.10","883.45","873.35","876.05"
"NIFTY REALTY","07 Feb 2024","876.85","892.80","874.95","882.15"
"NIFTY REALTY","06 Feb 2024","867.55","868.90","855.30","866.25"
"NIFTY REALTY","05 Feb 2024","854.20","871.70","853.90","862.75"
"NIFTY REALTY","02 Feb 2024","853.00","868.35","849.35","856.20"
"NIFTY REALTY","01 Feb 2024","856.35","857.35","841.80","848.15"
"NIFTY REALTY","31 Jan 2024","838.55","858.55","835.25","856.20"
"NIFTY REALTY","30 Jan 2024","840.05","847.60","831.60","837.10"
"NIFTY REALTY","29 Jan 2024","825.05","837.30","819.45","833.90"
"NIFTY REALTY","25 Jan 2024","827.10","831.10","810.85","823.55"
"NIFTY REALTY","24 Jan 2024","815.95","822.20","794.50","818.10"
"NIFTY REALTY","23 Jan 2024","867.35","867.60","811.55","816.15"
"NIFTY REALTY","20 Jan 2024","870.90","875.30","859.95","861.95"
"NIFTY REALTY","19 Jan 2024","869.75","871.80","862.85","868.50"
"NIFTY REALTY","18 Jan 2024","852.00","863.45","830.10","862.50"
"NIFTY REALTY","17 Jan 2024","855.45","861.95","848.05","856.30"
"NIFTY REALTY","16 Jan 2024","885.10","885.10","860.55","868.60"
"NIFTY REALTY","15 Jan 2024","886.55","894.40","880.05","883.30"
"NIFTY REALTY","12 Jan 2024","871.45","885.25","868.20","881.05"
"NIFTY REALTY","11 Jan 2024","867.80","870.95","862.05","865.45"
"NIFTY REALTY","10 Jan 2024","868.65","868.65","853.15","865.80"
"NIFTY REALTY","09 Jan 2024","852.65","869.25","850.50","866.75"
"NIFTY REALTY","08 Jan 2024","846.35","855.75","841.30","845.45"
"NIFTY REALTY","05 Jan 2024","842.75","863.00","839.85","844.35"
"NIFTY REALTY","04 Jan 2024","791.40","844.40","789.95","841.30"
"NIFTY REALTY","03 Jan 2024","778.45","790.50","773.75","788.00"
"NIFTY REALTY","02 Jan 2024","788.45","790.75","774.30","778.45"
"NIFTY REALTY","01 Jan 2024","781.45","789.00","779.40","786.60"
