"Index Name","Date","Open","High","Low","Close"
"NIFTY REITS & INVITS","01 Jul 2024","-","-","-","1089.12"
"NIFTY REITS & INVITS","28 Jun 2024","-","-","-","1082.58"
"NIFTY REITS & INVITS","27 Jun 2024","-","-","-","1081.89"
"NIFTY REITS & INVITS","26 Jun 2024","-","-","-","1083.21"
"NIFTY REITS & INVITS","25 Jun 2024","-","-","-","1081.67"
"NIFTY REITS & INVITS","24 Jun 2024","-","-","-","1074.89"
"NIFTY REITS & INVITS","21 Jun 2024","-","-","-","1085.06"
"NIFTY REITS & INVITS","20 Jun 2024","-","-","-","1084.12"
"NIFTY REITS & INVITS","19 Jun 2024","-","-","-","1080.49"
"NIFTY REITS & INVITS","18 Jun 2024","-","-","-","1080.99"
"NIFTY REITS & INVITS","14 Jun 2024","-","-","-","1082.85"
"NIFTY REITS & INVITS","13 Jun 2024","-","-","-","1080.82"
"NIFTY REITS & INVITS","12 Jun 2024","-","-","-","1073.30"
"NIFTY REITS & INVITS","11 Jun 2024","-","-","-","1067.28"
"NIFTY REITS & INVITS","10 Jun 2024","-","-","-","1062.68"
"NIFTY REITS & INVITS","07 Jun 2024","-","-","-","1067.18"
"NIFTY REITS & INVITS","06 Jun 2024","-","-","-","1063.25"
"NIFTY REITS & INVITS","05 Jun 2024","-","-","-","1057.16"
"NIFTY REITS & INVITS","04 Jun 2024","-","-","-","1053.80"
"NIFTY REITS & INVITS","03 Jun 2024","-","-","-","1065.98"
"NIFTY REITS & INVITS","31 May 2024","-","-","-","1058.37"
"NIFTY REITS & INVITS","30 May 2024","-","-","-","1054.13"
"NIFTY REITS & INVITS","29 May 2024","-","-","-","1051.36"
"NIFTY REITS & INVITS","28 May 2024","-","-","-","1043.79"
"NIFTY REITS & INVITS","27 May 2024","-","-","-","1046.19"
"NIFTY REITS & INVITS","24 May 2024","-","-","-","1048.76"
"NIFTY REITS & INVITS","23 May 2024","-","-","-","1042.51"
"NIFTY REITS & INVITS","22 May 2024","-","-","-","1039.65"
"NIFTY REITS & INVITS","21 May 2024","-","-","-","1057.10"
"NIFTY REITS & INVITS","18 May 2024","-","-","-","1069.08"
"NIFTY REITS & INVITS","17 May 2024","-","-","-","1052.29"
"NIFTY REITS & INVITS","16 May 2024","-","-","-","1059.69"
"NIFTY REITS & INVITS","15 May 2024","-","-","-","1058.85"
"NIFTY REITS & INVITS","14 May 2024","-","-","-","1059.91"
"NIFTY REITS & INVITS","13 May 2024","-","-","-","1059.43"
"NIFTY REITS & INVITS","10 May 2024","-","-","-","1069.19"
"NIFTY REITS & INVITS","09 May 2024","-","-","-","1065.14"
"NIFTY REITS & INVITS","08 May 2024","-","-","-","1065.15"
"NIFTY REITS & INVITS","07 May 2024","-","-","-","1059.90"
"NIFTY REITS & INVITS","06 May 2024","-","-","-","1053.16"
"NIFTY REITS & INVITS","03 May 2024","-","-","-","1073.25"
"NIFTY REITS & INVITS","02 May 2024","-","-","-","1074.07"
"NIFTY REITS & INVITS","30 Apr 2024","-","-","-","1077.76"
"NIFTY REITS & INVITS","29 Apr 2024","-","-","-","1072.96"
"NIFTY REITS & INVITS","26 Apr 2024","-","-","-","1078.36"
"NIFTY REITS & INVITS","25 Apr 2024","-","-","-","1086.27"
"NIFTY REITS & INVITS","24 Apr 2024","-","-","-","1078.60"
"NIFTY REITS & INVITS","23 Apr 2024","-","-","-","1077.51"
"NIFTY REITS & INVITS","22 Apr 2024","-","-","-","1073.15"
"NIFTY REITS & INVITS","19 Apr 2024","-","-","-","1074.05"
"NIFTY REITS & INVITS","18 Apr 2024","-","-","-","1072.83"
"NIFTY REITS & INVITS","16 Apr 2024","-","-","-","1062.20"
"NIFTY REITS & INVITS","15 Apr 2024","-","-","-","1066.48"
"NIFTY REITS & INVITS","12 Apr 2024","-","-","-","1067.22"
"NIFTY REITS & INVITS","10 Apr 2024","-","-","-","1078.70"
"NIFTY REITS & INVITS","09 Apr 2024","-","-","-","1083.76"
"NIFTY REITS & INVITS","08 Apr 2024","-","-","-","1083.20"
"NIFTY REITS & INVITS","05 Apr 2024","-","-","-","1085.66"
"NIFTY REITS & INVITS","04 Apr 2024","-","-","-","1087.89"
"NIFTY REITS & INVITS","03 Apr 2024","-","-","-","1079.91"
"NIFTY REITS & INVITS","02 Apr 2024","-","-","-","1079.14"
"NIFTY REITS & INVITS","01 Apr 2024","-","-","-","1072.23"
"NIFTY REITS & INVITS","28 Mar 2024","-","-","-","1065.90"
"NIFTY REITS & INVITS","27 Mar 2024","-","-","-","1067.64"
"NIFTY REITS & INVITS","26 Mar 2024","-","-","-","1065.67"
"NIFTY REITS & INVITS","22 Mar 2024","-","-","-","1069.20"
"NIFTY REITS & INVITS","21 Mar 2024","-","-","-","1067.33"
"NIFTY REITS & INVITS","20 Mar 2024","-","-","-","1057.54"
"NIFTY REITS & INVITS","19 Mar 2024","-","-","-","1074.92"
"NIFTY REITS & INVITS","18 Mar 2024","-","-","-","1076.07"
"NIFTY REITS & INVITS","15 Mar 2024","-","-","-","1080.25"
"NIFTY REITS & INVITS","14 Mar 2024","-","-","-","1065.93"
"NIFTY REITS & INVITS","13 Mar 2024","-","-","-","1065.56"
"NIFTY REITS & INVITS","12 Mar 2024","-","-","-","1064.91"
"NIFTY REITS & INVITS","11 Mar 2024","-","-","-","1074.31"
"NIFTY REITS & INVITS","07 Mar 2024","-","-","-","1072.21"
"NIFTY REITS & INVITS","06 Mar 2024","-","-","-","1067.66"
"NIFTY REITS & INVITS","05 Mar 2024","-","-","-","1081.80"
"NIFTY REITS & INVITS","04 Mar 2024","-","-","-","1069.78"
"NIFTY REITS & INVITS","02 Mar 2024","-","-","-","1072.77"
"NIFTY REITS & INVITS","01 Mar 2024","-","-","-","1075.53"
"NIFTY REITS & INVITS","29 Feb 2024","-","-","-","1068.12"
"NIFTY REITS & INVITS","28 Feb 2024","-","-","-","1064.55"
"NIFTY REITS & INVITS","27 Feb 2024","-","-","-","1064.28"
"NIFTY REITS & INVITS","26 Feb 2024","-","-","-","1069.31"
"NIFTY REITS & INVITS","23 Feb 2024","-","-","-","1064.46"
"NIFTY REITS & INVITS","22 Feb 2024","-","-","-","1052.85"
"NIFTY REITS & INVITS","21 Feb 2024","-","-","-","1057.50"
"NIFTY REITS & INVITS","20 Feb 2024","-","-","-","1068.87"
"NIFTY REITS & INVITS","19 Feb 2024","-","-","-","1070.35"
"NIFTY REITS & INVITS","16 Feb 2024","-","-","-","1066.32"
"NIFTY REITS & INVITS","15 Feb 2024","-","-","-","1065.30"
"NIFTY REITS & INVITS","14 Feb 2024","-","-","-","1067.30"
"NIFTY REITS & INVITS","13 Feb 2024","-","-","-","1057.21"
"NIFTY REITS & INVITS","12 Feb 2024","-","-","-","1048.02"
"NIFTY REITS & INVITS","09 Feb 2024","-","-","-","1057.31"
"NIFTY REITS & INVITS","08 Feb 2024","-","-","-","1061.08"
"NIFTY REITS & INVITS","07 Feb 2024","-","-","-","1061.69"
"NIFTY REITS & INVITS","06 Feb 2024","-","-","-","1062.13"
"NIFTY REITS & INVITS","05 Feb 2024","-","-","-","1059.98"
"NIFTY REITS & INVITS","02 Feb 2024","-","-","-","1063.16"
"NIFTY REITS & INVITS","01 Feb 2024","-","-","-","1060.75"
"NIFTY REITS & INVITS","31 Jan 2024","-","-","-","1051.10"
"NIFTY REITS & INVITS","30 Jan 2024","-","-","-","1041.94"
