"Index Name","Date","Open","High","Low","Close"
"NIFTY SERVICES SECTOR","01 Jul 2024","30417.2","30685.5","30367.3","30655.80"
"NIFTY SERVICES SECTOR","28 Jun 2024","30752.95","30789.75","30379.7","30428.05"
"NIFTY SERVICES SECTOR","27 Jun 2024","30443","30723.1","30309.45","30658.90"
"NIFTY SERVICES SECTOR","26 Jun 2024","30307","30455.65","30181.85","30413.30"
"NIFTY SERVICES SECTOR","25 Jun 2024","29984.65","30360.2","29976.05","30299.60"
"NIFTY SERVICES SECTOR","24 Jun 2024","29685.55","29955.75","29654","29926.95"
"NIFTY SERVICES SECTOR","21 Jun 2024","30015.15","30034.25","29733.05","29881.75"
"NIFTY SERVICES SECTOR","20 Jun 2024","29888.55","29888.55","29646","29838.10"
"NIFTY SERVICES SECTOR","19 Jun 2024","29592.9","29949.2","29448.5","29748.20"
"NIFTY SERVICES SECTOR","18 Jun 2024","29394.5","29538.4","29304","29496.25"
"NIFTY SERVICES SECTOR","14 Jun 2024","29334.25","29334.25","29139.4","29272.05"
"NIFTY SERVICES SECTOR","13 Jun 2024","29355.45","29368.8","29205.7","29229.85"
"NIFTY SERVICES SECTOR","12 Jun 2024","29174.85","29322.55","29109.5","29149.10"
"NIFTY SERVICES SECTOR","11 Jun 2024","29049.2","29195.4","28949.3","29039.15"
"NIFTY SERVICES SECTOR","10 Jun 2024","29195.8","29302.4","28976.75","29041.40"
"NIFTY SERVICES SECTOR","07 Jun 2024","28670.55","29193.75","28607.75","29154.50"
"NIFTY SERVICES SECTOR","06 Jun 2024","28523.15","28692.55","28357.65","28617.35"
"NIFTY SERVICES SECTOR","05 Jun 2024","27526.1","28338.1","27098.7","28259.85"
"NIFTY SERVICES SECTOR","04 Jun 2024","29000.85","29000.85","26535.15","27222.65"
"NIFTY SERVICES SECTOR","03 Jun 2024","29282.2","29296.35","28829.4","29087.30"
"NIFTY SERVICES SECTOR","31 May 2024","28215.3","28303.95","28035.4","28178.35"
"NIFTY SERVICES SECTOR","30 May 2024","28198.05","28366.85","28051.05","28140.80"
"NIFTY SERVICES SECTOR","29 May 2024","28465.1","28538.75","28282.85","28312.35"
"NIFTY SERVICES SECTOR","28 May 2024","28795.5","28807.2","28579.1","28624.45"
"NIFTY SERVICES SECTOR","27 May 2024","28786.85","28940.65","28640.2","28725.75"
"NIFTY SERVICES SECTOR","24 May 2024","28610.35","28738.15","28587.5","28677.55"
"NIFTY SERVICES SECTOR","23 May 2024","28250.9","28685.85","28214.05","28655.00"
"NIFTY SERVICES SECTOR","22 May 2024","28285.65","28285.65","28105.65","28206.20"
"NIFTY SERVICES SECTOR","21 May 2024","28130.05","28336","28130.05","28234.60"
"NIFTY SERVICES SECTOR","18 May 2024","28281.7","28308.3","28241.9","28289.45"
"NIFTY SERVICES SECTOR","17 May 2024","28194.75","28284.55","28093.1","28225.80"
"NIFTY SERVICES SECTOR","16 May 2024","28094.75","28244.75","27845.55","28212.25"
"NIFTY SERVICES SECTOR","15 May 2024","27942.6","27996.6","27831.25","27923.35"
"NIFTY SERVICES SECTOR","14 May 2024","27862.85","27978.25","27770.15","27905.15"
"NIFTY SERVICES SECTOR","13 May 2024","27743.95","27903.3","27493.55","27848.20"
"NIFTY SERVICES SECTOR","10 May 2024","27760.9","27902.55","27667.95","27768.10"
"NIFTY SERVICES SECTOR","09 May 2024","28031.7","28152.3","27715.85","27744.50"
"NIFTY SERVICES SECTOR","08 May 2024","28059","28165.8","28005.5","28080.95"
"NIFTY SERVICES SECTOR","07 May 2024","28405.75","28429.05","28042.9","28167.10"
