"Index Name","Date","Open","High","Low","Close"
"NIFTY SHARIAH 25","01 Jul 2024","-","-","-","8514.13"
"NIFTY SHARIAH 25","28 Jun 2024","-","-","-","8434.38"
"NIFTY SHARIAH 25","27 Jun 2024","-","-","-","8400.74"
"NIFTY SHARIAH 25","26 Jun 2024","-","-","-","8312.75"
"NIFTY SHARIAH 25","25 Jun 2024","-","-","-","8298.86"
"NIFTY SHARIAH 25","24 Jun 2024","-","-","-","8303.10"
"NIFTY SHARIAH 25","21 Jun 2024","-","-","-","8278.54"
"NIFTY SHARIAH 25","20 Jun 2024","-","-","-","8325.20"
"NIFTY SHARIAH 25","19 Jun 2024","-","-","-","8317.76"
"NIFTY SHARIAH 25","18 Jun 2024","-","-","-","8383.71"
"NIFTY SHARIAH 25","14 Jun 2024","-","-","-","8369.28"
"NIFTY SHARIAH 25","13 Jun 2024","-","-","-","8357.05"
"NIFTY SHARIAH 25","12 Jun 2024","-","-","-","8306.92"
"NIFTY SHARIAH 25","11 Jun 2024","-","-","-","8285.32"
"NIFTY SHARIAH 25","10 Jun 2024","-","-","-","8262.71"
"NIFTY SHARIAH 25","07 Jun 2024","-","-","-","8270.67"
"NIFTY SHARIAH 25","06 Jun 2024","-","-","-","8096.83"
"NIFTY SHARIAH 25","05 Jun 2024","-","-","-","8000.76"
"NIFTY SHARIAH 25","04 Jun 2024","-","-","-","7766.44"
"NIFTY SHARIAH 25","03 Jun 2024","-","-","-","8042.51"
"NIFTY SHARIAH 25","31 May 2024","-","-","-","7874.10"
"NIFTY SHARIAH 25","30 May 2024","-","-","-","7911.44"
"NIFTY SHARIAH 25","29 May 2024","-","-","-","8028.57"
"NIFTY SHARIAH 25","28 May 2024","-","-","-","8072.26"
"NIFTY SHARIAH 25","27 May 2024","-","-","-","8072.29"
"NIFTY SHARIAH 25","24 May 2024","-","-","-","8092.61"
"NIFTY SHARIAH 25","23 May 2024","-","-","-","8112.76"
"NIFTY SHARIAH 25","22 May 2024","-","-","-","8013.65"
"NIFTY SHARIAH 25","21 May 2024","-","-","-","7943.42"
"NIFTY SHARIAH 25","18 May 2024","-","-","-","7903.30"
"NIFTY SHARIAH 25","17 May 2024","-","-","-","7863.41"
"NIFTY SHARIAH 25","16 May 2024","-","-","-","7862.76"
"NIFTY SHARIAH 25","15 May 2024","-","-","-","7797.31"
"NIFTY SHARIAH 25","14 May 2024","-","-","-","7778.79"
"NIFTY SHARIAH 25","13 May 2024","-","-","-","7750.03"
"NIFTY SHARIAH 25","10 May 2024","-","-","-","7682.96"
"NIFTY SHARIAH 25","09 May 2024","-","-","-","7643.60"
"NIFTY SHARIAH 25","08 May 2024","-","-","-","7762.54"
"NIFTY SHARIAH 25","07 May 2024","-","-","-","7776.84"
"NIFTY SHARIAH 25","06 May 2024","-","-","-","7763.88"
"NIFTY SHARIAH 25","03 May 2024","-","-","-","7764.05"
"NIFTY SHARIAH 25","02 May 2024","-","-","-","7777.47"
"NIFTY SHARIAH 25","30 Apr 2024","-","-","-","7759.28"
"NIFTY SHARIAH 25","29 Apr 2024","-","-","-","7783.19"
"NIFTY SHARIAH 25","26 Apr 2024","-","-","-","7780.80"
"NIFTY SHARIAH 25","25 Apr 2024","-","-","-","7778.14"
"NIFTY SHARIAH 25","24 Apr 2024","-","-","-","7721.68"
"NIFTY SHARIAH 25","23 Apr 2024","-","-","-","7725.21"
"NIFTY SHARIAH 25","22 Apr 2024","-","-","-","7682.15"
"NIFTY SHARIAH 25","19 Apr 2024","-","-","-","7591.35"
"NIFTY SHARIAH 25","18 Apr 2024","-","-","-","7602.59"
"NIFTY SHARIAH 25","16 Apr 2024","-","-","-","7680.90"
"NIFTY SHARIAH 25","15 Apr 2024","-","-","-","7726.44"
"NIFTY SHARIAH 25","12 Apr 2024","-","-","-","7792.41"
"NIFTY SHARIAH 25","10 Apr 2024","-","-","-","7857.87"
"NIFTY SHARIAH 25","09 Apr 2024","-","-","-","7814.38"
"NIFTY SHARIAH 25","08 Apr 2024","-","-","-","7837.98"
"NIFTY SHARIAH 25","05 Apr 2024","-","-","-","7811.19"
"NIFTY SHARIAH 25","04 Apr 2024","-","-","-","7827.05"
"NIFTY SHARIAH 25","03 Apr 2024","-","-","-","7817.55"
"NIFTY SHARIAH 25","02 Apr 2024","-","-","-","7813.69"
"NIFTY SHARIAH 25","01 Apr 2024","-","-","-","7796.84"
"NIFTY SHARIAH 25","28 Mar 2024","-","-","-","7731.52"
"NIFTY SHARIAH 25","27 Mar 2024","-","-","-","7635.07"
"NIFTY SHARIAH 25","26 Mar 2024","-","-","-","7675.47"
"NIFTY SHARIAH 25","22 Mar 2024","-","-","-","7685.50"
"NIFTY SHARIAH 25","21 Mar 2024","-","-","-","7700.68"
"NIFTY SHARIAH 25","20 Mar 2024","-","-","-","7635.38"
"NIFTY SHARIAH 25","19 Mar 2024","-","-","-","7641.99"
"NIFTY SHARIAH 25","18 Mar 2024","-","-","-","7815.81"
"NIFTY SHARIAH 25","15 Mar 2024","-","-","-","7854.45"
"NIFTY SHARIAH 25","14 Mar 2024","-","-","-","7907.40"
"NIFTY SHARIAH 25","13 Mar 2024","-","-","-","7745.58"
"NIFTY SHARIAH 25","12 Mar 2024","-","-","-","7918.17"
"NIFTY SHARIAH 25","11 Mar 2024","-","-","-","7967.55"
"NIFTY SHARIAH 25","07 Mar 2024","-","-","-","7990.10"
"NIFTY SHARIAH 25","06 Mar 2024","-","-","-","7947.16"
"NIFTY SHARIAH 25","05 Mar 2024","-","-","-","7934.35"
"NIFTY SHARIAH 25","04 Mar 2024","-","-","-","7981.86"
"NIFTY SHARIAH 25","02 Mar 2024","-","-","-","7988.22"
"NIFTY SHARIAH 25","01 Mar 2024","-","-","-","7959.52"
"NIFTY SHARIAH 25","29 Feb 2024","-","-","-","7937.62"
"NIFTY SHARIAH 25","28 Feb 2024","-","-","-","7908.01"
"NIFTY SHARIAH 25","27 Feb 2024","-","-","-","7952.80"
"NIFTY SHARIAH 25","26 Feb 2024","-","-","-","7924.86"
"NIFTY SHARIAH 25","23 Feb 2024","-","-","-","7971.21"
"NIFTY SHARIAH 25","22 Feb 2024","-","-","-","7974.29"
"NIFTY SHARIAH 25","21 Feb 2024","-","-","-","7887.96"
"NIFTY SHARIAH 25","20 Feb 2024","-","-","-","7951.66"
"NIFTY SHARIAH 25","19 Feb 2024","-","-","-","7978.27"
"NIFTY SHARIAH 25","16 Feb 2024","-","-","-","7964.97"
"NIFTY SHARIAH 25","15 Feb 2024","-","-","-","7901.65"
"NIFTY SHARIAH 25","14 Feb 2024","-","-","-","7876.58"
"NIFTY SHARIAH 25","13 Feb 2024","-","-","-","7861.87"
"NIFTY SHARIAH 25","12 Feb 2024","-","-","-","7821.63"
"NIFTY SHARIAH 25","09 Feb 2024","-","-","-","7868.23"
"NIFTY SHARIAH 25","08 Feb 2024","-","-","-","7866.66"
"NIFTY SHARIAH 25","07 Feb 2024","-","-","-","7903.03"
"NIFTY SHARIAH 25","06 Feb 2024","-","-","-","7903.87"
"NIFTY SHARIAH 25","05 Feb 2024","-","-","-","7771.38"
"NIFTY SHARIAH 25","02 Feb 2024","-","-","-","7790.11"
"NIFTY SHARIAH 25","01 Feb 2024","-","-","-","7689.08"
"NIFTY SHARIAH 25","31 Jan 2024","-","-","-","7718.94"
"NIFTY SHARIAH 25","30 Jan 2024","-","-","-","7648.92"
"NIFTY SHARIAH 25","29 Jan 2024","-","-","-","7695.65"
"NIFTY SHARIAH 25","25 Jan 2024","-","-","-","7596.19"
"NIFTY SHARIAH 25","24 Jan 2024","-","-","-","7656.84"
"NIFTY SHARIAH 25","23 Jan 2024","-","-","-","7543.00"
"NIFTY SHARIAH 25","20 Jan 2024","-","-","-","7673.16"
"NIFTY SHARIAH 25","19 Jan 2024","-","-","-","7736.57"
"NIFTY SHARIAH 25","18 Jan 2024","-","-","-","7656.98"
"NIFTY SHARIAH 25","17 Jan 2024","-","-","-","7676.09"
"NIFTY SHARIAH 25","16 Jan 2024","-","-","-","7715.20"
"NIFTY SHARIAH 25","15 Jan 2024","-","-","-","7758.42"
"NIFTY SHARIAH 25","12 Jan 2024","-","-","-","7670.14"
"NIFTY SHARIAH 25","11 Jan 2024","-","-","-","7529.74"
"NIFTY SHARIAH 25","10 Jan 2024","-","-","-","7534.08"
"NIFTY SHARIAH 25","09 Jan 2024","-","-","-","7518.06"
"NIFTY SHARIAH 25","08 Jan 2024","-","-","-","7491.04"
"NIFTY SHARIAH 25","05 Jan 2024","-","-","-","7575.95"
"NIFTY SHARIAH 25","04 Jan 2024","-","-","-","7554.04"
"NIFTY SHARIAH 25","03 Jan 2024","-","-","-","7532.00"
"NIFTY SHARIAH 25","02 Jan 2024","-","-","-","7609.19"
"NIFTY SHARIAH 25","01 Jan 2024","-","-","-","7631.75"
"NIFTY SHARIAH 25","29 Dec 2023","-","-","-","7591.14"
"NIFTY SHARIAH 25","28 Dec 2023","-","-","-","7583.93"
"NIFTY SHARIAH 25","27 Dec 2023","-","-","-","7529.68"
"NIFTY SHARIAH 25","26 Dec 2023","-","-","-","7473.78"
"NIFTY SHARIAH 25","22 Dec 2023","-","-","-","7423.00"
"NIFTY SHARIAH 25","21 Dec 2023","-","-","-","7331.30"
"NIFTY SHARIAH 25","20 Dec 2023","-","-","-","7313.58"
"NIFTY SHARIAH 25","19 Dec 2023","-","-","-","7449.67"
"NIFTY SHARIAH 25","18 Dec 2023","-","-","-","7427.62"
"NIFTY SHARIAH 25","15 Dec 2023","-","-","-","7423.16"
"NIFTY SHARIAH 25","14 Dec 2023","-","-","-","7267.56"
