"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP250 QUALITY 50","01 Jul 2024","-","-","-","28279.11"
"NIFTY SMALLCAP250 QUALITY 50","28 Jun 2024","-","-","-","27652.01"
"NIFTY SMALLCAP250 QUALITY 50","27 Jun 2024","-","-","-","27305.26"
"NIFTY SMALLCAP250 QUALITY 50","26 Jun 2024","-","-","-","27458.47"
"NIFTY SMALLCAP250 QUALITY 50","25 Jun 2024","-","-","-","27489.27"
"NIFTY SMALLCAP250 QUALITY 50","24 Jun 2024","-","-","-","27384.50"
"NIFTY SMALLCAP250 QUALITY 50","21 Jun 2024","-","-","-","27442.37"
"NIFTY SMALLCAP250 QUALITY 50","20 Jun 2024","-","-","-","27409.70"
"NIFTY SMALLCAP250 QUALITY 50","19 Jun 2024","-","-","-","27096.73"
"NIFTY SMALLCAP250 QUALITY 50","18 Jun 2024","-","-","-","27133.49"
"NIFTY SMALLCAP250 QUALITY 50","14 Jun 2024","-","-","-","26984.80"
"NIFTY SMALLCAP250 QUALITY 50","13 Jun 2024","-","-","-","26858.65"
"NIFTY SMALLCAP250 QUALITY 50","12 Jun 2024","-","-","-","26594.71"
"NIFTY SMALLCAP250 QUALITY 50","11 Jun 2024","-","-","-","26318.27"
"NIFTY SMALLCAP250 QUALITY 50","10 Jun 2024","-","-","-","26147.96"
"NIFTY SMALLCAP250 QUALITY 50","07 Jun 2024","-","-","-","25621.29"
"NIFTY SMALLCAP250 QUALITY 50","06 Jun 2024","-","-","-","24947.64"
"NIFTY SMALLCAP250 QUALITY 50","05 Jun 2024","-","-","-","24267.30"
"NIFTY SMALLCAP250 QUALITY 50","04 Jun 2024","-","-","-","23485.18"
"NIFTY SMALLCAP250 QUALITY 50","03 Jun 2024","-","-","-","25071.55"
"NIFTY SMALLCAP250 QUALITY 50","31 May 2024","-","-","-","24642.25"
"NIFTY SMALLCAP250 QUALITY 50","30 May 2024","-","-","-","24571.40"
"NIFTY SMALLCAP250 QUALITY 50","29 May 2024","-","-","-","24873.40"
