"Index Name","Date","Open","High","Low","Close"
"NIFTY SME EMERGE","01 Jul 2024","-","-","-","14525.51"
"NIFTY SME EMERGE","28 Jun 2024","-","-","-","14295.93"
"NIFTY SME EMERGE","27 Jun 2024","-","-","-","14240.55"
"NIFTY SME EMERGE","26 Jun 2024","-","-","-","14393.58"
"NIFTY SME EMERGE","25 Jun 2024","-","-","-","14460.51"
"NIFTY SME EMERGE","24 Jun 2024","-","-","-","14315.89"
"NIFTY SME EMERGE","21 Jun 2024","-","-","-","14122.57"
"NIFTY SME EMERGE","20 Jun 2024","-","-","-","14153.90"
"NIFTY SME EMERGE","19 Jun 2024","-","-","-","13974.28"
"NIFTY SME EMERGE","18 Jun 2024","-","-","-","13983.41"
"NIFTY SME EMERGE","14 Jun 2024","-","-","-","14002.29"
"NIFTY SME EMERGE","13 Jun 2024","-","-","-","13960.53"
"NIFTY SME EMERGE","12 Jun 2024","-","-","-","13760.24"
"NIFTY SME EMERGE","11 Jun 2024","-","-","-","13581.79"
"NIFTY SME EMERGE","10 Jun 2024","-","-","-","13351.46"
"NIFTY SME EMERGE","07 Jun 2024","-","-","-","13121.40"
"NIFTY SME EMERGE","06 Jun 2024","-","-","-","12821.64"
"NIFTY SME EMERGE","05 Jun 2024","-","-","-","12594.32"
"NIFTY SME EMERGE","04 Jun 2024","-","-","-","12347.18"
"NIFTY SME EMERGE","03 Jun 2024","-","-","-","13001.60"
"NIFTY SME EMERGE","31 May 2024","-","-","-","12855.38"
"NIFTY SME EMERGE","30 May 2024","-","-","-","12945.69"
"NIFTY SME EMERGE","29 May 2024","-","-","-","12983.67"
"NIFTY SME EMERGE","28 May 2024","-","-","-","12936.28"
"NIFTY SME EMERGE","27 May 2024","-","-","-","13185.53"
"NIFTY SME EMERGE","24 May 2024","-","-","-","13292.03"
"NIFTY SME EMERGE","23 May 2024","-","-","-","13390.44"
"NIFTY SME EMERGE","22 May 2024","-","-","-","13494.47"
"NIFTY SME EMERGE","21 May 2024","-","-","-","13455.43"
"NIFTY SME EMERGE","18 May 2024","-","-","-","13378.31"
"NIFTY SME EMERGE","17 May 2024","-","-","-","13245.21"
"NIFTY SME EMERGE","16 May 2024","-","-","-","13201.98"
"NIFTY SME EMERGE","15 May 2024","-","-","-","13130.62"
"NIFTY SME EMERGE","14 May 2024","-","-","-","13024.88"
"NIFTY SME EMERGE","13 May 2024","-","-","-","12940.12"
"NIFTY SME EMERGE","10 May 2024","-","-","-","12948.54"
"NIFTY SME EMERGE","09 May 2024","-","-","-","12919.41"
"NIFTY SME EMERGE","08 May 2024","-","-","-","13067.40"
"NIFTY SME EMERGE","07 May 2024","-","-","-","12951.89"
"NIFTY SME EMERGE","06 May 2024","-","-","-","13037.04"
"NIFTY SME EMERGE","03 May 2024","-","-","-","13093.72"
"NIFTY SME EMERGE","02 May 2024","-","-","-","12912.33"
"NIFTY SME EMERGE","30 Apr 2024","-","-","-","12818.20"
"NIFTY SME EMERGE","29 Apr 2024","-","-","-","12760.85"
"NIFTY SME EMERGE","26 Apr 2024","-","-","-","12642.48"
"NIFTY SME EMERGE","25 Apr 2024","-","-","-","12537.11"
"NIFTY SME EMERGE","24 Apr 2024","-","-","-","12463.91"
"NIFTY SME EMERGE","23 Apr 2024","-","-","-","12347.29"
"NIFTY SME EMERGE","22 Apr 2024","-","-","-","12299.53"
"NIFTY SME EMERGE","19 Apr 2024","-","-","-","12126.01"
"NIFTY SME EMERGE","18 Apr 2024","-","-","-","12063.90"
"NIFTY SME EMERGE","16 Apr 2024","-","-","-","11903.82"
"NIFTY SME EMERGE","15 Apr 2024","-","-","-","11773.22"
"NIFTY SME EMERGE","12 Apr 2024","-","-","-","11903.04"
"NIFTY SME EMERGE","10 Apr 2024","-","-","-","11897.56"
"NIFTY SME EMERGE","09 Apr 2024","-","-","-","11829.54"
"NIFTY SME EMERGE","08 Apr 2024","-","-","-","11825.15"
"NIFTY SME EMERGE","05 Apr 2024","-","-","-","11739.59"
"NIFTY SME EMERGE","04 Apr 2024","-","-","-","11733.98"
