"Index Name","Date","Open","High","Low","Close"
"NIFTY TOP 10 EQUAL WEIGHT","01 Jul 2024","-","-","-","9182.10"
"NIFTY TOP 10 EQUAL WEIGHT","28 Jun 2024","-","-","-","9117.72"
"NIFTY TOP 10 EQUAL WEIGHT","27 Jun 2024","-","-","-","9161.27"
"NIFTY TOP 10 EQUAL WEIGHT","26 Jun 2024","-","-","-","9098.08"
"NIFTY TOP 10 EQUAL WEIGHT","24 Jun 2024","-","-","-","8907.21"
"NIFTY TOP 10 EQUAL WEIGHT","21 Jun 2024","-","-","-","8905.50"
"NIFTY TOP 10 EQUAL WEIGHT","20 Jun 2024","-","-","-","8935.98"
"NIFTY TOP 10 EQUAL WEIGHT","19 Jun 2024","-","-","-","8881.91"
"NIFTY TOP 10 EQUAL WEIGHT","18 Jun 2024","-","-","-","8846.30"
"NIFTY TOP 10 EQUAL WEIGHT","14 Jun 2024","-","-","-","8814.83"
"NIFTY TOP 10 EQUAL WEIGHT","13 Jun 2024","-","-","-","8816.80"
"NIFTY TOP 10 EQUAL WEIGHT","12 Jun 2024","-","-","-","8814.51"
"NIFTY TOP 10 EQUAL WEIGHT","11 Jun 2024","-","-","-","8826.86"
"NIFTY TOP 10 EQUAL WEIGHT","10 Jun 2024","-","-","-","8856.68"
"NIFTY TOP 10 EQUAL WEIGHT","07 Jun 2024","-","-","-","8888.48"
"NIFTY TOP 10 EQUAL WEIGHT","06 Jun 2024","-","-","-","8748.31"
"NIFTY TOP 10 EQUAL WEIGHT","05 Jun 2024","-","-","-","8689.24"
"NIFTY TOP 10 EQUAL WEIGHT","04 Jun 2024","-","-","-","8423.94"
"NIFTY TOP 10 EQUAL WEIGHT","03 Jun 2024","-","-","-","8819.86"
"NIFTY TOP 10 EQUAL WEIGHT","31 May 2024","-","-","-","8574.02"
"NIFTY TOP 10 EQUAL WEIGHT","30 May 2024","-","-","-","8586.20"
"NIFTY TOP 10 EQUAL WEIGHT","29 May 2024","-","-","-","8625.62"
"NIFTY TOP 10 EQUAL WEIGHT","28 May 2024","-","-","-","8721.50"
"NIFTY TOP 10 EQUAL WEIGHT","27 May 2024","-","-","-","8737.56"
"NIFTY TOP 10 EQUAL WEIGHT","24 May 2024","-","-","-","8721.28"
"NIFTY TOP 10 EQUAL WEIGHT","23 May 2024","-","-","-","8727.67"
"NIFTY TOP 10 EQUAL WEIGHT","22 May 2024","-","-","-","8577.10"
"NIFTY TOP 10 EQUAL WEIGHT","21 May 2024","-","-","-","8528.71"
"NIFTY TOP 10 EQUAL WEIGHT","18 May 2024","-","-","-","8572.06"
"NIFTY TOP 10 EQUAL WEIGHT","17 May 2024","-","-","-","8559.19"
"NIFTY TOP 10 EQUAL WEIGHT","16 May 2024","-","-","-","8559.33"
"NIFTY TOP 10 EQUAL WEIGHT","15 May 2024","-","-","-","8466.58"
"NIFTY TOP 10 EQUAL WEIGHT","14 May 2024","-","-","-","8486.53"
"NIFTY TOP 10 EQUAL WEIGHT","13 May 2024","-","-","-","8482.47"
"NIFTY TOP 10 EQUAL WEIGHT","10 May 2024","-","-","-","8437.63"
"NIFTY TOP 10 EQUAL WEIGHT","09 May 2024","-","-","-","8431.89"
"NIFTY TOP 10 EQUAL WEIGHT","08 May 2024","-","-","-","8568.55"
"NIFTY TOP 10 EQUAL WEIGHT","07 May 2024","-","-","-","8584.83"
"NIFTY TOP 10 EQUAL WEIGHT","06 May 2024","-","-","-","8548.28"
"NIFTY TOP 10 EQUAL WEIGHT","03 May 2024","-","-","-","8486.40"
"NIFTY TOP 10 EQUAL WEIGHT","02 May 2024","-","-","-","8566.15"
"NIFTY TOP 10 EQUAL WEIGHT","30 Apr 2024","-","-","-","8591.82"
"NIFTY TOP 10 EQUAL WEIGHT","29 Apr 2024","-","-","-","8638.31"
"NIFTY TOP 10 EQUAL WEIGHT","26 Apr 2024","-","-","-","8521.58"
"NIFTY TOP 10 EQUAL WEIGHT","25 Apr 2024","-","-","-","8565.34"
"NIFTY TOP 10 EQUAL WEIGHT","24 Apr 2024","-","-","-","8572.35"
"NIFTY TOP 10 EQUAL WEIGHT","23 Apr 2024","-","-","-","8561.90"
"NIFTY TOP 10 EQUAL WEIGHT","22 Apr 2024","-","-","-","8547.48"
"NIFTY TOP 10 EQUAL WEIGHT","19 Apr 2024","-","-","-","8461.92"
"NIFTY TOP 10 EQUAL WEIGHT","18 Apr 2024","-","-","-","8422.51"
"NIFTY TOP 10 EQUAL WEIGHT","16 Apr 2024","-","-","-","8480.83"
"NIFTY TOP 10 EQUAL WEIGHT","15 Apr 2024","-","-","-","8537.31"
"NIFTY TOP 10 EQUAL WEIGHT","12 Apr 2024","-","-","-","8657.30"
"NIFTY TOP 10 EQUAL WEIGHT","10 Apr 2024","-","-","-","8747.12"
"NIFTY TOP 10 EQUAL WEIGHT","09 Apr 2024","-","-","-","8687.35"
"NIFTY TOP 10 EQUAL WEIGHT","08 Apr 2024","-","-","-","8691.70"
"NIFTY TOP 10 EQUAL WEIGHT","05 Apr 2024","-","-","-","8644.46"
"NIFTY TOP 10 EQUAL WEIGHT","04 Apr 2024","-","-","-","8627.27"
"NIFTY TOP 10 EQUAL WEIGHT","03 Apr 2024","-","-","-","8581.15"
"NIFTY TOP 10 EQUAL WEIGHT","02 Apr 2024","-","-","-","8593.81"
"NIFTY TOP 10 EQUAL WEIGHT","01 Apr 2024","-","-","-","8645.23"
"NIFTY TOP 10 EQUAL WEIGHT","28 Mar 2024","-","-","-","8590.64"
"NIFTY TOP 10 EQUAL WEIGHT","27 Mar 2024","-","-","-","8543.27"
"NIFTY TOP 10 EQUAL WEIGHT","26 Mar 2024","-","-","-","8484.80"
"NIFTY TOP 10 EQUAL WEIGHT","22 Mar 2024","-","-","-","8524.33"
"NIFTY TOP 10 EQUAL WEIGHT","21 Mar 2024","-","-","-","8522.59"
"NIFTY TOP 10 EQUAL WEIGHT","20 Mar 2024","-","-","-","8485.22"
"NIFTY TOP 10 EQUAL WEIGHT","19 Mar 2024","-","-","-","8487.05"
"NIFTY TOP 10 EQUAL WEIGHT","18 Mar 2024","-","-","-","8599.97"
"NIFTY TOP 10 EQUAL WEIGHT","15 Mar 2024","-","-","-","8616.05"
"NIFTY TOP 10 EQUAL WEIGHT","14 Mar 2024","-","-","-","8669.76"
"NIFTY TOP 10 EQUAL WEIGHT","13 Mar 2024","-","-","-","8628.26"
"NIFTY TOP 10 EQUAL WEIGHT","12 Mar 2024","-","-","-","8679.13"
"NIFTY TOP 10 EQUAL WEIGHT","11 Mar 2024","-","-","-","8664.02"
"NIFTY TOP 10 EQUAL WEIGHT","07 Mar 2024","-","-","-","8735.83"
"NIFTY TOP 10 EQUAL WEIGHT","06 Mar 2024","-","-","-","8739.00"
"NIFTY TOP 10 EQUAL WEIGHT","05 Mar 2024","-","-","-","8659.80"
"NIFTY TOP 10 EQUAL WEIGHT","04 Mar 2024","-","-","-","8728.21"
"NIFTY TOP 10 EQUAL WEIGHT","02 Mar 2024","-","-","-","8723.09"
"NIFTY TOP 10 EQUAL WEIGHT","01 Mar 2024","-","-","-","8713.34"
"NIFTY TOP 10 EQUAL WEIGHT","29 Feb 2024","-","-","-","8578.08"
"NIFTY TOP 10 EQUAL WEIGHT","28 Feb 2024","-","-","-","8578.11"
"NIFTY TOP 10 EQUAL WEIGHT","27 Feb 2024","-","-","-","8631.89"
"NIFTY TOP 10 EQUAL WEIGHT","26 Feb 2024","-","-","-","8594.64"
"NIFTY TOP 10 EQUAL WEIGHT","23 Feb 2024","-","-","-","8622.94"
"NIFTY TOP 10 EQUAL WEIGHT","22 Feb 2024","-","-","-","8627.55"
"NIFTY TOP 10 EQUAL WEIGHT","21 Feb 2024","-","-","-","8547.24"
"NIFTY TOP 10 EQUAL WEIGHT","20 Feb 2024","-","-","-","8610.48"
"NIFTY TOP 10 EQUAL WEIGHT","19 Feb 2024","-","-","-","8575.56"
"NIFTY TOP 10 EQUAL WEIGHT","16 Feb 2024","-","-","-","8562.09"
"NIFTY TOP 10 EQUAL WEIGHT","15 Feb 2024","-","-","-","8513.58"
"NIFTY TOP 10 EQUAL WEIGHT","14 Feb 2024","-","-","-","8557.24"
"NIFTY TOP 10 EQUAL WEIGHT","13 Feb 2024","-","-","-","8540.79"
"NIFTY TOP 10 EQUAL WEIGHT","12 Feb 2024","-","-","-","8460.31"
"NIFTY TOP 10 EQUAL WEIGHT","09 Feb 2024","-","-","-","8536.89"
"NIFTY TOP 10 EQUAL WEIGHT","08 Feb 2024","-","-","-","8504.10"
"NIFTY TOP 10 EQUAL WEIGHT","07 Feb 2024","-","-","-","8635.74"
"NIFTY TOP 10 EQUAL WEIGHT","06 Feb 2024","-","-","-","8658.54"
"NIFTY TOP 10 EQUAL WEIGHT","05 Feb 2024","-","-","-","8611.16"
"NIFTY TOP 10 EQUAL WEIGHT","02 Feb 2024","-","-","-","8661.24"
"NIFTY TOP 10 EQUAL WEIGHT","01 Feb 2024","-","-","-","8636.72"
"NIFTY TOP 10 EQUAL WEIGHT","31 Jan 2024","-","-","-","8639.27"
"NIFTY TOP 10 EQUAL WEIGHT","30 Jan 2024","-","-","-","8610.87"
"NIFTY TOP 10 EQUAL WEIGHT","29 Jan 2024","-","-","-","8687.48"
"NIFTY TOP 10 EQUAL WEIGHT","25 Jan 2024","-","-","-","8553.98"
"NIFTY TOP 10 EQUAL WEIGHT","24 Jan 2024","-","-","-","8601.09"
"NIFTY TOP 10 EQUAL WEIGHT","23 Jan 2024","-","-","-","8569.52"
"NIFTY TOP 10 EQUAL WEIGHT","20 Jan 2024","-","-","-","8706.06"
"NIFTY TOP 10 EQUAL WEIGHT","19 Jan 2024","-","-","-","8743.64"
"NIFTY TOP 10 EQUAL WEIGHT","18 Jan 2024","-","-","-","8683.25"
"NIFTY TOP 10 EQUAL WEIGHT","17 Jan 2024","-","-","-","8685.72"
"NIFTY TOP 10 EQUAL WEIGHT","16 Jan 2024","-","-","-","8854.94"
"NIFTY TOP 10 EQUAL WEIGHT","15 Jan 2024","-","-","-","8873.67"
"NIFTY TOP 10 EQUAL WEIGHT","12 Jan 2024","-","-","-","8796.44"
"NIFTY TOP 10 EQUAL WEIGHT","11 Jan 2024","-","-","-","8655.03"
"NIFTY TOP 10 EQUAL WEIGHT","10 Jan 2024","-","-","-","8655.34"
"NIFTY TOP 10 EQUAL WEIGHT","09 Jan 2024","-","-","-","8633.40"
"NIFTY TOP 10 EQUAL WEIGHT","08 Jan 2024","-","-","-","8629.68"
"NIFTY TOP 10 EQUAL WEIGHT","05 Jan 2024","-","-","-","8732.45"
"NIFTY TOP 10 EQUAL WEIGHT","04 Jan 2024","-","-","-","8676.14"
"NIFTY TOP 10 EQUAL WEIGHT","03 Jan 2024","-","-","-","8635.79"
"NIFTY TOP 10 EQUAL WEIGHT","02 Jan 2024","-","-","-","8687.54"
