"Index Name","Date","Open","High","Low","Close"
"NIFTY TRANSPORTATION & LOGISTICS","01 Jul 2024","-","-","-","24089.35"
"NIFTY TRANSPORTATION & LOGISTICS","28 Jun 2024","-","-","-","23961.00"
"NIFTY TRANSPORTATION & LOGISTICS","27 Jun 2024","-","-","-","23954.46"
"NIFTY TRANSPORTATION & LOGISTICS","26 Jun 2024","-","-","-","23803.34"
"NIFTY TRANSPORTATION & LOGISTICS","25 Jun 2024","-","-","-","23976.21"
"NIFTY TRANSPORTATION & LOGISTICS","24 Jun 2024","-","-","-","24032.17"
"NIFTY TRANSPORTATION & LOGISTICS","21 Jun 2024","-","-","-","23852.11"
"NIFTY TRANSPORTATION & LOGISTICS","20 Jun 2024","-","-","-","24001.16"
"NIFTY TRANSPORTATION & LOGISTICS","19 Jun 2024","-","-","-","24093.16"
"NIFTY TRANSPORTATION & LOGISTICS","18 Jun 2024","-","-","-","24266.56"
"NIFTY TRANSPORTATION & LOGISTICS","14 Jun 2024","-","-","-","24200.31"
"NIFTY TRANSPORTATION & LOGISTICS","13 Jun 2024","-","-","-","23870.49"
"NIFTY TRANSPORTATION & LOGISTICS","12 Jun 2024","-","-","-","23671.25"
"NIFTY TRANSPORTATION & LOGISTICS","11 Jun 2024","-","-","-","23685.00"
"NIFTY TRANSPORTATION & LOGISTICS","10 Jun 2024","-","-","-","23479.17"
"NIFTY TRANSPORTATION & LOGISTICS","07 Jun 2024","-","-","-","23443.73"
"NIFTY TRANSPORTATION & LOGISTICS","06 Jun 2024","-","-","-","22966.05"
"NIFTY TRANSPORTATION & LOGISTICS","05 Jun 2024","-","-","-","22788.50"
"NIFTY TRANSPORTATION & LOGISTICS","04 Jun 2024","-","-","-","21758.83"
"NIFTY TRANSPORTATION & LOGISTICS","03 Jun 2024","-","-","-","22968.23"
"NIFTY TRANSPORTATION & LOGISTICS","31 May 2024","-","-","-","22307.14"
"NIFTY TRANSPORTATION & LOGISTICS","30 May 2024","-","-","-","22297.61"
"NIFTY TRANSPORTATION & LOGISTICS","29 May 2024","-","-","-","22561.19"
"NIFTY TRANSPORTATION & LOGISTICS","28 May 2024","-","-","-","22631.88"
"NIFTY TRANSPORTATION & LOGISTICS","27 May 2024","-","-","-","22763.41"
"NIFTY TRANSPORTATION & LOGISTICS","24 May 2024","-","-","-","22761.01"
"NIFTY TRANSPORTATION & LOGISTICS","23 May 2024","-","-","-","22823.60"
"NIFTY TRANSPORTATION & LOGISTICS","22 May 2024","-","-","-","22354.20"
"NIFTY TRANSPORTATION & LOGISTICS","21 May 2024","-","-","-","22373.72"
"NIFTY TRANSPORTATION & LOGISTICS","18 May 2024","-","-","-","22420.63"
"NIFTY TRANSPORTATION & LOGISTICS","17 May 2024","-","-","-","22375.37"
"NIFTY TRANSPORTATION & LOGISTICS","16 May 2024","-","-","-","22011.49"
"NIFTY TRANSPORTATION & LOGISTICS","15 May 2024","-","-","-","21855.51"
"NIFTY TRANSPORTATION & LOGISTICS","14 May 2024","-","-","-","21808.87"
"NIFTY TRANSPORTATION & LOGISTICS","13 May 2024","-","-","-","21554.95"
"NIFTY TRANSPORTATION & LOGISTICS","10 May 2024","-","-","-","21820.29"
"NIFTY TRANSPORTATION & LOGISTICS","09 May 2024","-","-","-","21590.35"
"NIFTY TRANSPORTATION & LOGISTICS","08 May 2024","-","-","-","21558.79"
"NIFTY TRANSPORTATION & LOGISTICS","07 May 2024","-","-","-","21265.11"
"NIFTY TRANSPORTATION & LOGISTICS","06 May 2024","-","-","-","21624.05"
"NIFTY TRANSPORTATION & LOGISTICS","03 May 2024","-","-","-","21667.93"
"NIFTY TRANSPORTATION & LOGISTICS","02 May 2024","-","-","-","21825.61"
"NIFTY TRANSPORTATION & LOGISTICS","30 Apr 2024","-","-","-","21561.71"
"NIFTY TRANSPORTATION & LOGISTICS","29 Apr 2024","-","-","-","21291.12"
