"Index Name","Date","Open","High","Low","Close"
"NIFTY100 ENHANCED ESG","01 Jul 2024","-","-","-","4818.63"
"NIFTY100 ENHANCED ESG","28 Jun 2024","-","-","-","4782.15"
"NIFTY100 ENHANCED ESG","27 Jun 2024","-","-","-","4788.22"
"NIFTY100 ENHANCED ESG","26 Jun 2024","-","-","-","4751.63"
"NIFTY100 ENHANCED ESG","25 Jun 2024","-","-","-","4739.55"
"NIFTY100 ENHANCED ESG","24 Jun 2024","-","-","-","4718.62"
"NIFTY100 ENHANCED ESG","21 Jun 2024","-","-","-","4707.48"
"NIFTY100 ENHANCED ESG","20 Jun 2024","-","-","-","4719.36"
"NIFTY100 ENHANCED ESG","19 Jun 2024","-","-","-","4713.75"
"NIFTY100 ENHANCED ESG","18 Jun 2024","-","-","-","4725.19"
"NIFTY100 ENHANCED ESG","14 Jun 2024","-","-","-","4708.71"
"NIFTY100 ENHANCED ESG","13 Jun 2024","-","-","-","4688.17"
"NIFTY100 ENHANCED ESG","12 Jun 2024","-","-","-","4663.36"
"NIFTY100 ENHANCED ESG","11 Jun 2024","-","-","-","4651.41"
"NIFTY100 ENHANCED ESG","10 Jun 2024","-","-","-","4652.18"
"NIFTY100 ENHANCED ESG","07 Jun 2024","-","-","-","4651.13"
"NIFTY100 ENHANCED ESG","06 Jun 2024","-","-","-","4557.97"
"NIFTY100 ENHANCED ESG","05 Jun 2024","-","-","-","4513.04"
"NIFTY100 ENHANCED ESG","04 Jun 2024","-","-","-","4344.92"
"NIFTY100 ENHANCED ESG","03 Jun 2024","-","-","-","4580.53"
"NIFTY100 ENHANCED ESG","31 May 2024","-","-","-","4455.49"
"NIFTY100 ENHANCED ESG","30 May 2024","-","-","-","4451.02"
"NIFTY100 ENHANCED ESG","29 May 2024","-","-","-","4501.72"
"NIFTY100 ENHANCED ESG","28 May 2024","-","-","-","4540.21"
"NIFTY100 ENHANCED ESG","27 May 2024","-","-","-","4549.67"
"NIFTY100 ENHANCED ESG","24 May 2024","-","-","-","4549.01"
"NIFTY100 ENHANCED ESG","23 May 2024","-","-","-","4557.67"
"NIFTY100 ENHANCED ESG","22 May 2024","-","-","-","4492.65"
"NIFTY100 ENHANCED ESG","21 May 2024","-","-","-","4484.08"
"NIFTY100 ENHANCED ESG","18 May 2024","-","-","-","4479.51"
"NIFTY100 ENHANCED ESG","17 May 2024","-","-","-","4468.22"
"NIFTY100 ENHANCED ESG","16 May 2024","-","-","-","4454.11"
"NIFTY100 ENHANCED ESG","15 May 2024","-","-","-","4415.23"
"NIFTY100 ENHANCED ESG","14 May 2024","-","-","-","4416.77"
"NIFTY100 ENHANCED ESG","13 May 2024","-","-","-","4392.20"
"NIFTY100 ENHANCED ESG","10 May 2024","-","-","-","4379.63"
"NIFTY100 ENHANCED ESG","09 May 2024","-","-","-","4357.02"
"NIFTY100 ENHANCED ESG","08 May 2024","-","-","-","4418.69"
"NIFTY100 ENHANCED ESG","07 May 2024","-","-","-","4415.77"
"NIFTY100 ENHANCED ESG","06 May 2024","-","-","-","4438.26"
"NIFTY100 ENHANCED ESG","03 May 2024","-","-","-","4443.05"
"NIFTY100 ENHANCED ESG","02 May 2024","-","-","-","4470.99"
