"Index Name","Date","Open","High","Low","Close"
"NIFTY100 EQUAL WEIGHT","01 Jul 2024","32603.25","32780.2","32574.95","32767.50"
"NIFTY100 EQUAL WEIGHT","28 Jun 2024","32611","32734.65","32545.65","32576.30"
"NIFTY100 EQUAL WEIGHT","27 Jun 2024","32367.95","32596.1","32275.7","32543.50"
"NIFTY100 EQUAL WEIGHT","26 Jun 2024","32373.1","32463.55","32256.85","32361.80"
"NIFTY100 EQUAL WEIGHT","25 Jun 2024","32505.7","32538.8","32317.2","32381.00"
"NIFTY100 EQUAL WEIGHT","24 Jun 2024","32178.4","32434.9","31998","32417.75"
"NIFTY100 EQUAL WEIGHT","21 Jun 2024","32529.15","32546.15","32214.05","32276.15"
"NIFTY100 EQUAL WEIGHT","20 Jun 2024","32446.75","32477.55","32238.2","32424.30"
"NIFTY100 EQUAL WEIGHT","19 Jun 2024","32775.5","32780.4","32297.55","32377.70"
"NIFTY100 EQUAL WEIGHT","18 Jun 2024","32697.9","32728.55","32614.5","32674.95"
"NIFTY100 EQUAL WEIGHT","14 Jun 2024","32387.35","32572.2","32280.4","32546.10"
"NIFTY100 EQUAL WEIGHT","13 Jun 2024","32316.7","32317.3","32097.65","32266.85"
"NIFTY100 EQUAL WEIGHT","12 Jun 2024","32060.35","32160","32012.05","32080.30"
"NIFTY100 EQUAL WEIGHT","11 Jun 2024","32010.35","32113.25","31892.4","31930.45"
"NIFTY100 EQUAL WEIGHT","10 Jun 2024","31953.45","32059.1","31769.7","31918.00"
"NIFTY100 EQUAL WEIGHT","07 Jun 2024","31271.1","31798.75","31167.25","31775.65"
"NIFTY100 EQUAL WEIGHT","06 Jun 2024","31118.45","31430","31029.35","31242.05"
"NIFTY100 EQUAL WEIGHT","05 Jun 2024","30079.5","30885.65","29268.35","30831.50"
"NIFTY100 EQUAL WEIGHT","04 Jun 2024","31928.6","31928.6","28438.7","29676.00"
"NIFTY100 EQUAL WEIGHT","03 Jun 2024","32197.2","32197.45","31699.7","31970.10"
"NIFTY100 EQUAL WEIGHT","31 May 2024","30932.85","30974.75","30674.85","30854.45"
"NIFTY100 EQUAL WEIGHT","30 May 2024","31062.6","31140.7","30665.45","30762.60"
"NIFTY100 EQUAL WEIGHT","29 May 2024","31185.8","31269.75","31081.25","31130.15"
"NIFTY100 EQUAL WEIGHT","28 May 2024","31557.65","31578.45","31192.45","31326.45"
"NIFTY100 EQUAL WEIGHT","27 May 2024","31662.25","31699.6","31350.45","31467.00"
"NIFTY100 EQUAL WEIGHT","24 May 2024","31547.05","31658.15","31448.3","31492.85"
"NIFTY100 EQUAL WEIGHT","23 May 2024","31254.75","31552.05","31138.3","31528.35"
"NIFTY100 EQUAL WEIGHT","22 May 2024","31267.25","31267.25","30964.3","31190.90"
"NIFTY100 EQUAL WEIGHT","21 May 2024","30911.9","31160.45","30853.4","31132.45"
