"Index Name","Date","Open","High","Low","Close"
"NIFTY100 ESG SECTOR LEADERS","01 Jul 2024","3994.2","4025.6","3994.1","4023.05"
"NIFTY100 ESG SECTOR LEADERS","28 Jun 2024","4010.6","4023","3993.55","3997.35"
"NIFTY100 ESG SECTOR LEADERS","27 Jun 2024","3974.25","4010.05","3962.95","4002.85"
"NIFTY100 ESG SECTOR LEADERS","26 Jun 2024","3945.15","3973.85","3936.9","3970.45"
"NIFTY100 ESG SECTOR LEADERS","25 Jun 2024","3927.6","3949.35","3920.1","3943.80"
"NIFTY100 ESG SECTOR LEADERS","24 Jun 2024","3891.9","3921.75","3883.95","3919.60"
"NIFTY100 ESG SECTOR LEADERS","21 Jun 2024","3939.75","3940.9","3896.85","3910.45"
"NIFTY100 ESG SECTOR LEADERS","20 Jun 2024","3926.45","3929.55","3904.9","3923.30"
"NIFTY100 ESG SECTOR LEADERS","19 Jun 2024","3937.35","3938.55","3900.4","3915.20"
"NIFTY100 ESG SECTOR LEADERS","18 Jun 2024","3925.9","3927.6","3911.95","3924.60"
"NIFTY100 ESG SECTOR LEADERS","14 Jun 2024","3903.9","3911.55","3884.5","3908.15"
"NIFTY100 ESG SECTOR LEADERS","13 Jun 2024","3904","3904.1","3884.25","3891.70"
"NIFTY100 ESG SECTOR LEADERS","12 Jun 2024","3883.25","3896.2","3872.75","3876.90"
"NIFTY100 ESG SECTOR LEADERS","11 Jun 2024","3875.05","3890.7","3861.85","3869.30"
"NIFTY100 ESG SECTOR LEADERS","10 Jun 2024","3878.95","3893.95","3864.7","3872.25"
"NIFTY100 ESG SECTOR LEADERS","07 Jun 2024","3795.1","3877.35","3789.85","3872.75"
"NIFTY100 ESG SECTOR LEADERS","06 Jun 2024","3790.5","3805.6","3765.3","3793.55"
"NIFTY100 ESG SECTOR LEADERS","05 Jun 2024","3676.45","3769.8","3617.75","3762.35"
"NIFTY100 ESG SECTOR LEADERS","04 Jun 2024","3841.7","3841.7","3523.45","3633.40"
"NIFTY100 ESG SECTOR LEADERS","03 Jun 2024","3869.75","3870.05","3820.35","3850.00"
"NIFTY100 ESG SECTOR LEADERS","31 May 2024","3740.45","3754.3","3723.45","3731.80"
"NIFTY100 ESG SECTOR LEADERS","30 May 2024","3751","3763.45","3716.2","3728.65"
"NIFTY100 ESG SECTOR LEADERS","29 May 2024","3778.1","3787.35","3762.8","3765.15"
"NIFTY100 ESG SECTOR LEADERS","28 May 2024","3817.55","3820.1","3793.5","3798.65"
"NIFTY100 ESG SECTOR LEADERS","27 May 2024","3826.95","3835.55","3800.4","3809.80"
"NIFTY100 ESG SECTOR LEADERS","24 May 2024","3814","3825.1","3807.5","3813.75"
"NIFTY100 ESG SECTOR LEADERS","23 May 2024","3761.7","3821.75","3756.95","3817.75"
"NIFTY100 ESG SECTOR LEADERS","22 May 2024","3755.35","3763.7","3738.55","3758.90"
"NIFTY100 ESG SECTOR LEADERS","21 May 2024","3731","3757.15","3731","3746.40"
"NIFTY100 ESG SECTOR LEADERS","18 May 2024","3744.75","3748.1","3743","3746.30"
"NIFTY100 ESG SECTOR LEADERS","17 May 2024","3729.55","3744.35","3718.75","3739.50"
"NIFTY100 ESG SECTOR LEADERS","16 May 2024","3710.75","3731.1","3673.25","3726.50"
"NIFTY100 ESG SECTOR LEADERS","15 May 2024","3701.05","3706.5","3682.15","3691.95"
"NIFTY100 ESG SECTOR LEADERS","14 May 2024","3674.5","3701.25","3668.25","3692.70"
"NIFTY100 ESG SECTOR LEADERS","13 May 2024","3656.2","3678.65","3621.5","3673.65"
"NIFTY100 ESG SECTOR LEADERS","10 May 2024","3646.55","3665.05","3638.3","3659.10"
"NIFTY100 ESG SECTOR LEADERS","09 May 2024","3683.85","3696.55","3636.9","3641.05"
"NIFTY100 ESG SECTOR LEADERS","08 May 2024","3680.95","3704.15","3671","3696.85"
