"Index Name","Date","Open","High","Low","Close"
"NIFTY100 ESG","01 Jul 2024","4746.8","4786.2","4746.55","4783.30"
"NIFTY100 ESG","28 Jun 2024","4762.5","4773.75","4742.25","4747.10"
"NIFTY100 ESG","27 Jun 2024","4719.25","4761.85","4706.75","4753.20"
"NIFTY100 ESG","26 Jun 2024","4707.85","4724.1","4692.25","4716.80"
"NIFTY100 ESG","25 Jun 2024","4694.05","4709.8","4679.55","4704.80"
"NIFTY100 ESG","24 Jun 2024","4653.55","4686.35","4637.9","4684.05"
"NIFTY100 ESG","21 Jun 2024","4705.55","4709.1","4660.8","4673.15"
"NIFTY100 ESG","20 Jun 2024","4693.45","4693.6","4666.95","4685.05"
"NIFTY100 ESG","19 Jun 2024","4704.65","4706.05","4658.85","4679.25"
"NIFTY100 ESG","18 Jun 2024","4693.45","4697.3","4681.3","4690.55"
"NIFTY100 ESG","14 Jun 2024","4668.5","4678.6","4648.6","4674.15"
"NIFTY100 ESG","13 Jun 2024","4662.9","4663","4639.3","4653.75"
"NIFTY100 ESG","12 Jun 2024","4637.75","4647.7","4625.15","4629.05"
"NIFTY100 ESG","11 Jun 2024","4624.35","4640.85","4607.35","4617.10"
"NIFTY100 ESG","10 Jun 2024","4627.95","4641.35","4602.95","4617.95"
"NIFTY100 ESG","07 Jun 2024","4531.55","4621.75","4526.05","4616.80"
"NIFTY100 ESG","06 Jun 2024","4512.25","4535.35","4488.65","4524.40"
"NIFTY100 ESG","05 Jun 2024","4360.85","4488.35","4297.85","4479.90"
"NIFTY100 ESG","04 Jun 2024","4543.25","4543.25","4169.8","4312.95"
"NIFTY100 ESG","03 Jun 2024","4576.9","4577.1","4521.65","4546.75"
"NIFTY100 ESG","31 May 2024","4433.9","4444.3","4412.4","4422.65"
"NIFTY100 ESG","30 May 2024","4454.1","4470.65","4404","4418.20"
"NIFTY100 ESG","29 May 2024","4487.95","4492.85","4465.3","4468.50"
"NIFTY100 ESG","28 May 2024","4526.2","4527.5","4499.45","4506.80"
"NIFTY100 ESG","27 May 2024","4533.7","4541.4","4507.1","4516.25"
"NIFTY100 ESG","24 May 2024","4522.1","4533.3","4510.5","4515.50"
"NIFTY100 ESG","23 May 2024","4468.05","4528.25","4461.9","4524.15"
"NIFTY100 ESG","22 May 2024","4463.15","4464.3","4435.5","4459.65"
"NIFTY100 ESG","21 May 2024","4433.95","4460.4","4431.75","4451.15"
"NIFTY100 ESG","18 May 2024","4445.6","4448.8","4443.15","4446.60"
"NIFTY100 ESG","17 May 2024","4426.95","4439.85","4416.35","4435.45"
"NIFTY100 ESG","16 May 2024","4406.35","4426.8","4361.2","4421.40"
"NIFTY100 ESG","15 May 2024","4396.8","4403.5","4373.35","4382.95"
"NIFTY100 ESG","14 May 2024","4365.45","4394.7","4355.05","4384.45"
