"Index Name","Date","Open","High","Low","Close"
"NIFTY100 LIQUID 15","01 Jul 2024","6890.2","6912.7","6880.4","6899.60"
"NIFTY100 LIQUID 15","28 Jun 2024","6937.2","6952.25","6874.35","6885.30"
"NIFTY100 LIQUID 15","27 Jun 2024","6879.25","6914","6840.75","6897.85"
"NIFTY100 LIQUID 15","26 Jun 2024","6785.4","6871.3","6760.7","6860.95"
"NIFTY100 LIQUID 15","25 Jun 2024","6771.6","6792.05","6738.95","6785.55"
"NIFTY100 LIQUID 15","24 Jun 2024","6737.35","6758.35","6700.35","6746.85"
"NIFTY100 LIQUID 15","21 Jun 2024","6805.9","6814.85","6739.65","6778.30"
"NIFTY100 LIQUID 15","20 Jun 2024","6804.9","6817.95","6758.5","6791.10"
"NIFTY100 LIQUID 15","19 Jun 2024","6853.7","6854.4","6759.45","6782.95"
"NIFTY100 LIQUID 15","18 Jun 2024","6863.9","6864.05","6819.25","6834.15"
"NIFTY100 LIQUID 15","14 Jun 2024","6804","6821.7","6767.9","6814.50"
"NIFTY100 LIQUID 15","13 Jun 2024","6821.3","6821.4","6754.6","6783.15"
"NIFTY100 LIQUID 15","12 Jun 2024","6753.4","6804.25","6743.55","6766.55"
"NIFTY100 LIQUID 15","11 Jun 2024","6742.8","6778.4","6702.15","6742.70"
"NIFTY100 LIQUID 15","10 Jun 2024","6748","6794.3","6721.25","6733.50"
"NIFTY100 LIQUID 15","07 Jun 2024","6571.75","6733.1","6546.95","6727.00"
"NIFTY100 LIQUID 15","06 Jun 2024","6552.45","6625.85","6511","6567.70"
"NIFTY100 LIQUID 15","05 Jun 2024","6353.4","6506.25","6174.8","6492.55"
"NIFTY100 LIQUID 15","04 Jun 2024","6817.95","6818.25","6050.6","6258.45"
"NIFTY100 LIQUID 15","03 Jun 2024","6805.5","6867.15","6749.2","6846.65"
"NIFTY100 LIQUID 15","31 May 2024","6548.9","6571","6502.5","6551.45"
"NIFTY100 LIQUID 15","30 May 2024","6576.05","6602.6","6494.4","6512.60"
"NIFTY100 LIQUID 15","29 May 2024","6604.25","6641.4","6587.55","6594.35"
"NIFTY100 LIQUID 15","28 May 2024","6688.75","6698.3","6626.3","6635.30"
"NIFTY100 LIQUID 15","27 May 2024","6708.95","6722.75","6647.85","6677.65"
"NIFTY100 LIQUID 15","24 May 2024","6670.5","6714.3","6662.95","6679.00"
"NIFTY100 LIQUID 15","23 May 2024","6545.65","6687.7","6540.3","6678.50"
"NIFTY100 LIQUID 15","22 May 2024","6540.2","6541.7","6501.65","6532.65"
"NIFTY100 LIQUID 15","21 May 2024","6493.25","6562.05","6493.25","6532.95"
"NIFTY100 LIQUID 15","18 May 2024","6503.1","6506.3","6485.65","6498.40"
"NIFTY100 LIQUID 15","17 May 2024","6462.55","6497.65","6436.55","6486.95"
"NIFTY100 LIQUID 15","16 May 2024","6466.35","6467.1","6347.9","6456.95"
"NIFTY100 LIQUID 15","15 May 2024","6418.45","6451.65","6401.45","6427.45"
"NIFTY100 LIQUID 15","14 May 2024","6374.7","6424.25","6357.1","6406.75"
"NIFTY100 LIQUID 15","13 May 2024","6387.75","6392.35","6276.2","6362.20"
"NIFTY100 LIQUID 15","10 May 2024","6374.6","6418.55","6369.65","6404.65"
"NIFTY100 LIQUID 15","09 May 2024","6414.05","6446.7","6337.75","6345.80"
"NIFTY100 LIQUID 15","08 May 2024","6382.3","6458.35","6370.5","6423.60"
"NIFTY100 LIQUID 15","07 May 2024","6474.85","6477.25","6362.4","6389.80"
"NIFTY100 LIQUID 15","06 May 2024","6548.5","6553","6443.05","6457.85"
"NIFTY100 LIQUID 15","03 May 2024","6648.2","6649.5","6483.45","6532.85"
"NIFTY100 LIQUID 15","02 May 2024","6598.35","6623.2","6583","6589.85"
"NIFTY100 LIQUID 15","30 Apr 2024","6594.25","6645.25","6584.7","6599.30"
"NIFTY100 LIQUID 15","29 Apr 2024","6547.45","6589.65","6520.35","6584.40"
"NIFTY100 LIQUID 15","26 Apr 2024","6601.15","6603.65","6509.4","6520.80"
"NIFTY100 LIQUID 15","25 Apr 2024","6506.95","6610.65","6496.15","6602.20"
"NIFTY100 LIQUID 15","24 Apr 2024","6506.85","6516.9","6485.45","6493.10"
"NIFTY100 LIQUID 15","23 Apr 2024","6475.85","6502.2","6462.55","6481.55"
"NIFTY100 LIQUID 15","22 Apr 2024","6417.65","6462.6","6405.2","6448.75"
"NIFTY100 LIQUID 15","19 Apr 2024","6284.1","6379.3","6231.95","6370.60"
"NIFTY100 LIQUID 15","18 Apr 2024","6365.75","6415.85","6296.95","6309.40"
"NIFTY100 LIQUID 15","16 Apr 2024","6349","6389.35","6331.7","6359.65"
"NIFTY100 LIQUID 15","15 Apr 2024","6391","6430.75","6349.6","6390.40"
"NIFTY100 LIQUID 15","12 Apr 2024","6499.05","6514.4","6447.9","6453.75"
"NIFTY100 LIQUID 15","10 Apr 2024","6491.95","6523.80","6487.40","6517.95"
"NIFTY100 LIQUID 15","09 Apr 2024","6521.95","6523.95","6451.75","6464.45"
"NIFTY100 LIQUID 15","08 Apr 2024","6458.40","6497.25","6447.45","6488.90"
"NIFTY100 LIQUID 15","05 Apr 2024","6444.85","6445.45","6413.30","6429.15"
"NIFTY100 LIQUID 15","04 Apr 2024","6518.05","6519.70","6416.60","6452.45"
"NIFTY100 LIQUID 15","03 Apr 2024","6439.60","6493.40","6427.95","6477.70"
"NIFTY100 LIQUID 15","02 Apr 2024","6459.40","6478.45","6427.70","6462.75"
"NIFTY100 LIQUID 15","01 Apr 2024","6447.85","6470.60","6438.25","6446.20"
"NIFTY100 LIQUID 15","28 Mar 2024","6368.35","6467.45","6360.35","6417.50"
"NIFTY100 LIQUID 15","27 Mar 2024","6314.50","6375.80","6314.50","6356.20"
"NIFTY100 LIQUID 15","26 Mar 2024","6277.35","6320.75","6277.35","6294.75"
"NIFTY100 LIQUID 15","22 Mar 2024","6245.15","6326.00","6228.10","6304.40"
"NIFTY100 LIQUID 15","21 Mar 2024","6258.40","6289.50","6238.15","6255.85"
"NIFTY100 LIQUID 15","20 Mar 2024","6206.35","6242.60","6171.30","6209.40"
"NIFTY100 LIQUID 15","19 Mar 2024","6220.85","6240.70","6181.35","6192.35"
"NIFTY100 LIQUID 15","18 Mar 2024","6183.10","6251.45","6167.85","6244.85"
"NIFTY100 LIQUID 15","15 Mar 2024","6200.05","6223.45","6155.30","6195.15"
"NIFTY100 LIQUID 15","14 Mar 2024","6191.80","6242.15","6157.85","6210.15"
"NIFTY100 LIQUID 15","13 Mar 2024","6364.80","6370.95","6155.65","6190.65"
"NIFTY100 LIQUID 15","12 Mar 2024","6375.85","6409.75","6344.70","6352.40"
"NIFTY100 LIQUID 15","11 Mar 2024","6439.90","6449.70","6366.45","6374.45"
"NIFTY100 LIQUID 15","07 Mar 2024","6443.95","6444.90","6409.80","6421.00"
"NIFTY100 LIQUID 15","06 Mar 2024","6381.85","6422.05","6335.75","6416.90"
"NIFTY100 LIQUID 15","05 Mar 2024","6375.65","6403.90","6357.05","6383.00"
"NIFTY100 LIQUID 15","04 Mar 2024","6368.80","6379.80","6344.80","6366.95"
"NIFTY100 LIQUID 15","02 Mar 2024","6358.75","6371.70","6345.70","6360.55"
"NIFTY100 LIQUID 15","01 Mar 2024","6241.85","6342.00","6241.10","6337.90"
"NIFTY100 LIQUID 15","29 Feb 2024","6198.00","6244.35","6176.05","6215.20"
"NIFTY100 LIQUID 15","28 Feb 2024","6289.25","6305.70","6190.05","6199.15"
"NIFTY100 LIQUID 15","27 Feb 2024","6265.80","6296.05","6249.75","6283.70"
"NIFTY100 LIQUID 15","26 Feb 2024","6304.60","6310.85","6257.90","6270.70"
"NIFTY100 LIQUID 15","23 Feb 2024","6332.80","6339.45","6305.65","6316.50"
"NIFTY100 LIQUID 15","22 Feb 2024","6298.35","6335.20","6230.55","6323.45"
"NIFTY100 LIQUID 15","21 Feb 2024","6305.90","6328.70","6260.05","6281.60"
"NIFTY100 LIQUID 15","20 Feb 2024","6276.55","6298.20","6249.45","6291.25"
"NIFTY100 LIQUID 15","19 Feb 2024","6258.80","6294.10","6239.05","6278.05"
"NIFTY100 LIQUID 15","16 Feb 2024","6247.50","6267.75","6233.65","6242.70"
"NIFTY100 LIQUID 15","15 Feb 2024","6249.10","6249.65","6197.90","6223.05"
"NIFTY100 LIQUID 15","14 Feb 2024","6101.45","6234.75","6092.10","6228.75"
"NIFTY100 LIQUID 15","13 Feb 2024","6114.90","6152.35","6072.45","6144.15"
"NIFTY100 LIQUID 15","12 Feb 2024","6154.80","6163.25","6093.35","6104.90"
"NIFTY100 LIQUID 15","09 Feb 2024","6121.25","6149.60","6078.90","6144.55"
"NIFTY100 LIQUID 15","08 Feb 2024","6154.50","6155.00","6075.50","6102.55"
"NIFTY100 LIQUID 15","07 Feb 2024","6109.25","6135.70","6086.60","6121.60"
"NIFTY100 LIQUID 15","06 Feb 2024","6054.40","6080.70","6028.05","6071.30"
"NIFTY100 LIQUID 15","05 Feb 2024","6115.10","6132.35","6015.50","6025.45"
"NIFTY100 LIQUID 15","02 Feb 2024","6072.80","6164.55","6069.90","6082.65"
"NIFTY100 LIQUID 15","01 Feb 2024","6065.85","6067.70","6017.85","6046.40"
"NIFTY100 LIQUID 15","31 Jan 2024","5967.00","6051.90","5961.80","6045.25"
"NIFTY100 LIQUID 15","30 Jan 2024","6042.40","6054.15","5960.80","5967.75"
"NIFTY100 LIQUID 15","29 Jan 2024","5906.00","6045.95","5901.85","6037.75"
"NIFTY100 LIQUID 15","25 Jan 2024","5920.10","5924.90","5851.05","5885.90"
"NIFTY100 LIQUID 15","24 Jan 2024","5832.00","5929.60","5795.85","5920.35"
"NIFTY100 LIQUID 15","23 Jan 2024","6015.35","6030.85","5847.85","5859.10"
"NIFTY100 LIQUID 15","20 Jan 2024","6000.00","6014.10","5965.15","5975.80"
"NIFTY100 LIQUID 15","19 Jan 2024","5969.70","5993.10","5962.60","5983.50"
"NIFTY100 LIQUID 15","18 Jan 2024","5907.95","5952.55","5880.85","5931.00"
"NIFTY100 LIQUID 15","17 Jan 2024","5952.15","6021.85","5946.55","5954.40"
"NIFTY100 LIQUID 15","16 Jan 2024","6055.80","6078.30","6026.60","6037.00"
"NIFTY100 LIQUID 15","15 Jan 2024","6055.30","6064.70","6018.00","6059.15"
"NIFTY100 LIQUID 15","12 Jan 2024","5978.10","6022.00","5951.95","6013.15"
"NIFTY100 LIQUID 15","11 Jan 2024","5950.15","5974.80","5944.25","5964.15"
"NIFTY100 LIQUID 15","10 Jan 2024","5901.00","5933.10","5861.85","5927.70"
"NIFTY100 LIQUID 15","09 Jan 2024","5909.05","5933.85","5884.30","5892.55"
"NIFTY100 LIQUID 15","08 Jan 2024","5921.40","5935.70","5859.90","5867.20"
"NIFTY100 LIQUID 15","05 Jan 2024","5904.80","5924.70","5877.35","5904.10"
"NIFTY100 LIQUID 15","04 Jan 2024","5856.55","5897.40","5843.55","5886.50"
"NIFTY100 LIQUID 15","03 Jan 2024","5853.25","5855.40","5820.50","5827.25"
"NIFTY100 LIQUID 15","02 Jan 2024","5835.40","5845.05","5783.80","5838.45"
