"Index Name","Date","Open","High","Low","Close"
"NIFTY100 LOW VOLATILITY 30","01 Jul 2024","19076.95","19199.45","19076.55","19177.60"
"NIFTY100 LOW VOLATILITY 30","28 Jun 2024","19078.65","19164.75","19056.1","19077.45"
"NIFTY100 LOW VOLATILITY 30","27 Jun 2024","18882.05","19079.3","18873.75","19032.95"
"NIFTY100 LOW VOLATILITY 30","26 Jun 2024","18820.9","18917.5","18780.85","18877.00"
"NIFTY100 LOW VOLATILITY 30","25 Jun 2024","18793.25","18828.8","18751.55","18813.35"
"NIFTY100 LOW VOLATILITY 30","24 Jun 2024","18627.85","18783.15","18590.75","18764.00"
"NIFTY100 LOW VOLATILITY 30","21 Jun 2024","18841.05","18851.1","18645.2","18679.50"
"NIFTY100 LOW VOLATILITY 30","20 Jun 2024","18847.35","18853.1","18729.7","18793.60"
"NIFTY100 LOW VOLATILITY 30","19 Jun 2024","19008.5","19012.95","18794.8","18815.05"
"NIFTY100 LOW VOLATILITY 30","18 Jun 2024","18949.95","18984.05","18916.1","18956.30"
"NIFTY100 LOW VOLATILITY 30","14 Jun 2024","18891","18910.65","18839.95","18891.05"
"NIFTY100 LOW VOLATILITY 30","13 Jun 2024","18928.8","18929.8","18784.25","18854.35"
"NIFTY100 LOW VOLATILITY 30","12 Jun 2024","18884.75","18885.55","18813.9","18839.05"
"NIFTY100 LOW VOLATILITY 30","11 Jun 2024","18859.85","18912.15","18790.75","18813.45"
"NIFTY100 LOW VOLATILITY 30","10 Jun 2024","18788.4","18907","18721.55","18832.95"
"NIFTY100 LOW VOLATILITY 30","07 Jun 2024","18431.6","18764.85","18426.1","18745.50"
"NIFTY100 LOW VOLATILITY 30","06 Jun 2024","18487.85","18487.85","18293.3","18439.10"
"NIFTY100 LOW VOLATILITY 30","05 Jun 2024","17962.55","18491.95","17893.4","18413.25"
"NIFTY100 LOW VOLATILITY 30","04 Jun 2024","18193.2","18196.9","17217.7","17821.55"
"NIFTY100 LOW VOLATILITY 30","03 Jun 2024","18365","18376.65","18158.9","18179.80"
"NIFTY100 LOW VOLATILITY 30","31 May 2024","17980.4","18015.3","17810.05","17865.50"
"NIFTY100 LOW VOLATILITY 30","30 May 2024","18089.5","18132.9","17841.5","17907.70"
"NIFTY100 LOW VOLATILITY 30","29 May 2024","18170.4","18227.5","18132.1","18154.55"
"NIFTY100 LOW VOLATILITY 30","28 May 2024","18228.9","18261.5","18189.85","18238.05"
"NIFTY100 LOW VOLATILITY 30","27 May 2024","18301.8","18306.65","18151.55","18187.05"
"NIFTY100 LOW VOLATILITY 30","24 May 2024","18276.5","18281.45","18181.9","18201.45"
"NIFTY100 LOW VOLATILITY 30","23 May 2024","18139.1","18296.3","18071","18281.85"
"NIFTY100 LOW VOLATILITY 30","22 May 2024","18090.35","18153.75","18033.4","18131.30"
"NIFTY100 LOW VOLATILITY 30","21 May 2024","17930.55","18040.15","17930.55","18023.50"
"NIFTY100 LOW VOLATILITY 30","18 May 2024","18020","18035.25","18010.75","18021.10"
"NIFTY100 LOW VOLATILITY 30","17 May 2024","18019.25","18026.4","17909","17966.35"
"NIFTY100 LOW VOLATILITY 30","16 May 2024","17934.2","18021.95","17742.5","18000.95"
"NIFTY100 LOW VOLATILITY 30","15 May 2024","18006.1","18022.5","17857.55","17870.05"
"NIFTY100 LOW VOLATILITY 30","14 May 2024","17905.25","18020.35","17843.1","17966.70"
"NIFTY100 LOW VOLATILITY 30","13 May 2024","17798.55","17919.35","17679.55","17897.35"
"NIFTY100 LOW VOLATILITY 30","10 May 2024","17656.3","17806.05","17606.05","17773.35"
"NIFTY100 LOW VOLATILITY 30","09 May 2024","17867.95","17905.95","17601.4","17621.80"
"NIFTY100 LOW VOLATILITY 30","08 May 2024","17883.4","17933.3","17793.5","17902.25"
"NIFTY100 LOW VOLATILITY 30","07 May 2024","18005.3","18083.8","17891.75","17949.60"
"NIFTY100 LOW VOLATILITY 30","06 May 2024","17974.2","17983.5","17832.35","17917.05"
"NIFTY100 LOW VOLATILITY 30","03 May 2024","18083.45","18093.7","17808.3","17889.25"
"NIFTY100 LOW VOLATILITY 30","02 May 2024","17854","18047.4","17854","18009.10"
"NIFTY100 LOW VOLATILITY 30","30 Apr 2024","17946.65","18012.05","17858.45","17882.95"
"NIFTY100 LOW VOLATILITY 30","29 Apr 2024","17869.85","17914.4","17833.95","17906.70"
