"Index Name","Date","Open","High","Low","Close"
"NIFTY100 QUALITY 30","01 Jul 2024","5641.45","5698.2","5640.7","5693.35"
"NIFTY100 QUALITY 30","28 Jun 2024","5646.85","5664.65","5634","5642.25"
"NIFTY100 QUALITY 30","27 Jun 2024","5611.15","5644.8","5585.75","5634.85"
"NIFTY100 QUALITY 30","26 Jun 2024","5625.15","5642","5600","5617.55"
"NIFTY100 QUALITY 30","25 Jun 2024","5623.4","5635.55","5612.35","5622.20"
"NIFTY100 QUALITY 30","24 Jun 2024","5577.05","5620.1","5550.5","5615.55"
"NIFTY100 QUALITY 30","21 Jun 2024","5640","5647.2","5578","5588.55"
"NIFTY100 QUALITY 30","20 Jun 2024","5622.45","5630.8","5574.25","5615.00"
"NIFTY100 QUALITY 30","19 Jun 2024","5688.75","5689.8","5606.2","5613.55"
"NIFTY100 QUALITY 30","18 Jun 2024","5668.65","5686.2","5663.05","5671.60"
"NIFTY100 QUALITY 30","14 Jun 2024","5646.55","5651.4","5629.45","5642.10"
"NIFTY100 QUALITY 30","13 Jun 2024","5636.2","5636.35","5600.8","5631.20"
"NIFTY100 QUALITY 30","12 Jun 2024","5626.35","5630.4","5602","5605.80"
"NIFTY100 QUALITY 30","11 Jun 2024","5599.2","5625.4","5587.6","5594.70"
"NIFTY100 QUALITY 30","10 Jun 2024","5610.35","5623.4","5561.85","5585.40"
"NIFTY100 QUALITY 30","07 Jun 2024","5507.65","5598.3","5501.6","5593.15"
"NIFTY100 QUALITY 30","06 Jun 2024","5475.95","5512.15","5445","5503.50"
"NIFTY100 QUALITY 30","05 Jun 2024","5312.85","5471.25","5264.85","5440.00"
"NIFTY100 QUALITY 30","04 Jun 2024","5426.7","5427.2","5050.9","5265.40"
"NIFTY100 QUALITY 30","03 Jun 2024","5519.6","5519.6","5423.25","5429.15"
"NIFTY100 QUALITY 30","31 May 2024","5383.65","5386.7","5331.45","5352.00"
"NIFTY100 QUALITY 30","30 May 2024","5419.55","5437.6","5345.65","5363.85"
"NIFTY100 QUALITY 30","29 May 2024","5436.2","5461.75","5424.95","5438.95"
"NIFTY100 QUALITY 30","28 May 2024","5475.95","5477.5","5444.15","5462.25"
"NIFTY100 QUALITY 30","27 May 2024","5494.95","5497.5","5447.25","5465.75"
"NIFTY100 QUALITY 30","24 May 2024","5460.3","5490.5","5441.6","5468.60"
"NIFTY100 QUALITY 30","23 May 2024","5427.05","5469.9","5406.55","5464.80"
"NIFTY100 QUALITY 30","22 May 2024","5378.15","5417.85","5359.25","5413.15"
"NIFTY100 QUALITY 30","21 May 2024","5331.1","5365.65","5329.65","5361.85"
"NIFTY100 QUALITY 30","18 May 2024","5336.35","5340.4","5330.25","5333.50"
"NIFTY100 QUALITY 30","17 May 2024","5310.9","5314.35","5273.7","5299.20"
"NIFTY100 QUALITY 30","16 May 2024","5262.85","5308.9","5205.3","5300.80"
"NIFTY100 QUALITY 30","15 May 2024","5267.15","5273.75","5230.65","5239.25"
"NIFTY100 QUALITY 30","14 May 2024","5235.85","5272.55","5224.1","5259.95"
"NIFTY100 QUALITY 30","13 May 2024","5207.15","5233.5","5151.2","5227.80"
"NIFTY100 QUALITY 30","10 May 2024","5175.25","5209.7","5152.65","5201.20"
"NIFTY100 QUALITY 30","09 May 2024","5236.6","5254.5","5157","5165.05"
"NIFTY100 QUALITY 30","08 May 2024","5216.75","5254.5","5189.65","5239.30"
"NIFTY100 QUALITY 30","07 May 2024","5226.9","5265.8","5202.45","5227.25"
"NIFTY100 QUALITY 30","06 May 2024","5221.6","5228.45","5173.75","5205.70"
"NIFTY100 QUALITY 30","03 May 2024","5238.05","5239.2","5159.8","5196.85"
"NIFTY100 QUALITY 30","02 May 2024","5189.7","5225.4","5189.7","5214.30"
"NIFTY100 QUALITY 30","30 Apr 2024","5204.7","5226.7","5183.75","5189.30"
"NIFTY100 QUALITY 30","29 Apr 2024","5221.9","5227.2","5186.75","5195.50"
"NIFTY100 QUALITY 30","26 Apr 2024","5203.55","5240.2","5201.95","5209.25"
"NIFTY100 QUALITY 30","25 Apr 2024","5152.45","5188.1","5135.45","5184.55"
"NIFTY100 QUALITY 30","24 Apr 2024","5152.45","5169.4","5147.4","5152.60"
"NIFTY100 QUALITY 30","23 Apr 2024","5127.85","5148.2","5113.6","5137.15"
"NIFTY100 QUALITY 30","22 Apr 2024","5098.6","5114.65","5076.3","5106.80"
"NIFTY100 QUALITY 30","19 Apr 2024","5028.65","5074.45","4991.35","5061.25"
"NIFTY100 QUALITY 30","18 Apr 2024","5126.9","5136","5049.8","5061.45"
"NIFTY100 QUALITY 30","16 Apr 2024","5097.85","5133.75","5084","5108.95"
"NIFTY100 QUALITY 30","15 Apr 2024","5136.6","5153.85","5105.8","5127.05"
"NIFTY100 QUALITY 30","12 Apr 2024","5194.7","5210","5172.35","5175.55"
"NIFTY100 QUALITY 30","10 Apr 2024","5189.20","5205.35","5168.20","5198.75"
"NIFTY100 QUALITY 30","09 Apr 2024","5214.05","5215.60","5154.45","5170.90"
"NIFTY100 QUALITY 30","08 Apr 2024","5199.45","5211.95","5186.85","5197.00"
"NIFTY100 QUALITY 30","05 Apr 2024","5172.05","5184.30","5157.85","5180.20"
"NIFTY100 QUALITY 30","04 Apr 2024","5191.55","5195.75","5136.35","5172.35"
"NIFTY100 QUALITY 30","03 Apr 2024","5158.90","5180.10","5140.80","5163.30"
"NIFTY100 QUALITY 30","02 Apr 2024","5150.70","5170.45","5139.05","5166.65"
"NIFTY100 QUALITY 30","01 Apr 2024","5140.95","5164.65","5132.10","5142.00"
"NIFTY100 QUALITY 30","28 Mar 2024","5080.30","5142.05","5066.00","5112.25"
"NIFTY100 QUALITY 30","27 Mar 2024","5093.80","5099.85","5063.05","5068.20"
"NIFTY100 QUALITY 30","26 Mar 2024","5052.70","5087.95","5052.40","5081.05"
"NIFTY100 QUALITY 30","22 Mar 2024","5043.20","5092.90","5016.10","5077.30"
"NIFTY100 QUALITY 30","21 Mar 2024","5040.35","5078.35","5037.20","5071.45"
"NIFTY100 QUALITY 30","20 Mar 2024","5007.50","5030.80","4981.60","5011.75"
"NIFTY100 QUALITY 30","19 Mar 2024","5067.15","5069.75","4992.80","4997.15"
"NIFTY100 QUALITY 30","18 Mar 2024","5088.80","5104.25","5068.00","5086.45"
"NIFTY100 QUALITY 30","15 Mar 2024","5118.55","5125.35","5047.90","5089.25"
"NIFTY100 QUALITY 30","14 Mar 2024","5031.45","5131.70","5005.80","5126.95"
"NIFTY100 QUALITY 30","13 Mar 2024","5151.85","5167.80","5002.80","5038.30"
"NIFTY100 QUALITY 30","12 Mar 2024","5153.40","5161.50","5118.20","5129.20"
"NIFTY100 QUALITY 30","11 Mar 2024","5180.80","5185.50","5148.50","5156.60"
"NIFTY100 QUALITY 30","07 Mar 2024","5135.35","5176.85","5130.75","5164.50"
"NIFTY100 QUALITY 30","06 Mar 2024","5108.80","5136.30","5054.40","5129.95"
"NIFTY100 QUALITY 30","05 Mar 2024","5121.05","5134.35","5091.20","5107.00"
"NIFTY100 QUALITY 30","04 Mar 2024","5137.85","5146.95","5110.75","5125.20"
"NIFTY100 QUALITY 30","02 Mar 2024","5132.45","5144.00","5117.00","5129.90"
"NIFTY100 QUALITY 30","01 Mar 2024","5101.00","5122.80","5099.60","5113.20"
"NIFTY100 QUALITY 30","29 Feb 2024","5073.05","5105.65","5042.20","5088.90"
"NIFTY100 QUALITY 30","28 Feb 2024","5132.20","5137.30","5065.85","5078.60"
"NIFTY100 QUALITY 30","27 Feb 2024","5108.45","5134.55","5105.00","5126.85"
"NIFTY100 QUALITY 30","26 Feb 2024","5135.85","5138.65","5103.35","5111.35"
"NIFTY100 QUALITY 30","23 Feb 2024","5164.85","5166.10","5137.95","5144.45"
"NIFTY100 QUALITY 30","22 Feb 2024","5095.70","5152.00","5058.90","5144.80"
"NIFTY100 QUALITY 30","21 Feb 2024","5129.75","5130.60","5064.25","5077.75"
"NIFTY100 QUALITY 30","20 Feb 2024","5137.85","5140.50","5099.05","5123.20"
"NIFTY100 QUALITY 30","19 Feb 2024","5167.15","5179.70","5141.60","5147.35"
"NIFTY100 QUALITY 30","16 Feb 2024","5132.15","5159.10","5126.60","5153.65"
"NIFTY100 QUALITY 30","15 Feb 2024","5109.45","5123.15","5087.40","5106.60"
"NIFTY100 QUALITY 30","14 Feb 2024","5021.00","5099.40","5002.15","5089.80"
"NIFTY100 QUALITY 30","13 Feb 2024","5026.10","5059.10","4995.00","5053.70"
"NIFTY100 QUALITY 30","12 Feb 2024","5053.95","5066.60","4999.25","5008.85"
"NIFTY100 QUALITY 30","09 Feb 2024","5049.45","5054.60","4990.55","5045.85"
"NIFTY100 QUALITY 30","08 Feb 2024","5093.20","5095.20","5030.80","5041.60"
"NIFTY100 QUALITY 30","07 Feb 2024","5109.00","5110.70","5056.90","5080.05"
"NIFTY100 QUALITY 30","06 Feb 2024","5030.45","5083.00","5019.05","5079.50"
"NIFTY100 QUALITY 30","05 Feb 2024","5053.05","5063.40","5005.90","5017.15"
"NIFTY100 QUALITY 30","02 Feb 2024","5020.45","5072.30","5016.75","5034.15"
"NIFTY100 QUALITY 30","01 Feb 2024","5012.50","5056.20","4993.45","4999.35"
"NIFTY100 QUALITY 30","31 Jan 2024","4959.15","5000.45","4946.35","4997.20"
"NIFTY100 QUALITY 30","30 Jan 2024","4994.50","5010.95","4945.65","4950.70"
"NIFTY100 QUALITY 30","29 Jan 2024","4938.90","4981.80","4938.55","4976.65"
"NIFTY100 QUALITY 30","25 Jan 2024","4979.70","4979.70","4920.45","4936.65"
"NIFTY100 QUALITY 30","24 Jan 2024","4908.65","4977.90","4881.55","4972.85"
"NIFTY100 QUALITY 30","23 Jan 2024","5022.55","5028.70","4886.40","4897.25"
"NIFTY100 QUALITY 30","20 Jan 2024","5049.90","5051.40","5009.50","5012.25"
"NIFTY100 QUALITY 30","19 Jan 2024","5014.75","5037.95","5006.35","5030.85"
"NIFTY100 QUALITY 30","18 Jan 2024","5008.40","5016.30","4914.50","4980.50"
"NIFTY100 QUALITY 30","17 Jan 2024","5030.25","5067.35","5025.50","5033.40"
"NIFTY100 QUALITY 30","16 Jan 2024","5106.40","5106.80","5058.20","5082.45"
"NIFTY100 QUALITY 30","15 Jan 2024","5108.75","5120.40","5089.65","5108.45"
"NIFTY100 QUALITY 30","12 Jan 2024","5034.30","5063.95","5021.10","5055.20"
"NIFTY100 QUALITY 30","11 Jan 2024","4998.70","5017.60","4991.35","5000.45"
"NIFTY100 QUALITY 30","10 Jan 2024","4985.00","4992.90","4951.60","4981.85"
"NIFTY100 QUALITY 30","09 Jan 2024","5014.30","5022.70","4977.95","4983.05"
"NIFTY100 QUALITY 30","08 Jan 2024","5038.95","5039.00","4970.50","4974.35"
"NIFTY100 QUALITY 30","05 Jan 2024","5041.80","5051.70","5022.05","5033.15"
"NIFTY100 QUALITY 30","04 Jan 2024","5020.35","5030.95","5002.60","5023.35"
"NIFTY100 QUALITY 30","03 Jan 2024","5029.40","5034.45","4997.75","5004.10"
"NIFTY100 QUALITY 30","02 Jan 2024","5062.65","5065.15","5000.35","5040.15"
"NIFTY100 QUALITY 30","01 Jan 2024","5049.60","5074.40","5039.90","5056.50"
