"Index Name","Date","Open","High","Low","Close"
"NIFTY200 ALPHA 30","01 Jul 2024","27433.3","27706.2","27341.95","27679.75"
"NIFTY200 ALPHA 30","28 Jun 2024","27375.45","27469.4","27237.4","27316.75"
"NIFTY200 ALPHA 30","27 Jun 2024","27151.95","27320.15","26960.6","27244.00"
"NIFTY200 ALPHA 30","26 Jun 2024","27293.2","27314.9","27119.95","27148.15"
"NIFTY200 ALPHA 30","25 Jun 2024","27478.6","27549.2","27168.75","27273.10"
"NIFTY200 ALPHA 30","24 Jun 2024","27180.9","27453.1","26951","27377.85"
"NIFTY200 ALPHA 30","21 Jun 2024","27454.35","27563.65","27215.8","27259.45"
"NIFTY200 ALPHA 30","20 Jun 2024","27402.55","27441.6","27076.7","27367.20"
"NIFTY200 ALPHA 30","19 Jun 2024","27859.75","27865.4","27255.95","27351.55"
"NIFTY200 ALPHA 30","18 Jun 2024","27812.15","27814.15","27557.05","27757.05"
"NIFTY200 ALPHA 30","14 Jun 2024","27246.4","27616.15","27151.9","27586.95"
"NIFTY200 ALPHA 30","13 Jun 2024","26961.05","27186.65","26766.25","27146.55"
"NIFTY200 ALPHA 30","12 Jun 2024","26572.35","26772.2","26512.55","26703.30"
"NIFTY200 ALPHA 30","11 Jun 2024","26372.35","26558.55","26271.5","26430.10"
"NIFTY200 ALPHA 30","10 Jun 2024","26387.75","26456.3","26099.7","26256.75"
"NIFTY200 ALPHA 30","07 Jun 2024","25713.55","26202","25541.85","26170.55"
"NIFTY200 ALPHA 30","06 Jun 2024","25301.75","26044.5","25287.5","25653.95"
"NIFTY200 ALPHA 30","05 Jun 2024","24379.15","25019.65","23215.1","24952.70"
"NIFTY200 ALPHA 30","04 Jun 2024","27000.95","27000.95","22705.15","23866.90"
"NIFTY200 ALPHA 30","03 Jun 2024","27018.05","27168.65","26593.15","27106.30"
"NIFTY200 ALPHA 30","31 May 2024","25776.25","25855.25","25393.85","25716.65"
"NIFTY200 ALPHA 30","30 May 2024","26067.75","26076","25533.55","25592.75"
"NIFTY200 ALPHA 30","29 May 2024","25943.4","26153.35","25806.75","26054.00"
"NIFTY200 ALPHA 30","28 May 2024","26376.1","26419.5","25819.45","26062.10"
"NIFTY200 ALPHA 30","27 May 2024","26418.25","26481.15","26049.3","26310.10"
"NIFTY200 ALPHA 30","24 May 2024","26023.95","26426.35","25926.65","26213.35"
"NIFTY200 ALPHA 30","23 May 2024","25957.75","26014.9","25777.35","25991.15"
"NIFTY200 ALPHA 30","22 May 2024","25965.9","25992.75","25546.15","25867.90"
"NIFTY200 ALPHA 30","21 May 2024","25800.25","25970","25649.45","25921.60"
"NIFTY200 ALPHA 30","18 May 2024","25670.9","25707.25","25650.8","25678.85"
"NIFTY200 ALPHA 30","17 May 2024","25143.9","25436.85","25094.4","25405.65"
"NIFTY200 ALPHA 30","16 May 2024","24836.5","25103.7","24642.75","25057.80"
"NIFTY200 ALPHA 30","15 May 2024","24630.8","24779.25","24571.7","24694.85"
"NIFTY200 ALPHA 30","14 May 2024","24397.7","24556.75","24270.8","24539.40"
"NIFTY200 ALPHA 30","13 May 2024","24173.4","24348.85","23620.95","24312.60"
"NIFTY200 ALPHA 30","10 May 2024","24049.35","24199.8","23713.25","24123.45"
"NIFTY200 ALPHA 30","09 May 2024","24562.5","24605.8","23859.25","23901.05"
"NIFTY200 ALPHA 30","08 May 2024","24097.6","24652.35","23985.45","24481.40"
"NIFTY200 ALPHA 30","07 May 2024","24808.6","24812.15","23870.85","24083.05"
"NIFTY200 ALPHA 30","06 May 2024","25164.15","25192.05","24359.25","24695.50"
"NIFTY200 ALPHA 30","03 May 2024","25294.5","25446.15","25005.3","25179.05"
"NIFTY200 ALPHA 30","02 May 2024","24676.9","25164.85","24643.45","25122.55"
"NIFTY200 ALPHA 30","30 Apr 2024","24520.8","24742.35","24479.35","24538.40"
"NIFTY200 ALPHA 30","29 Apr 2024","24479.2","24487","24252.9","24355.05"
"NIFTY200 ALPHA 30","26 Apr 2024","24120.65","24363.1","24089.15","24311.05"
"NIFTY200 ALPHA 30","25 Apr 2024","23680.5","24057.3","23667.55","24025.75"
"NIFTY200 ALPHA 30","24 Apr 2024","23628.7","23805.3","23580.15","23726.40"
"NIFTY200 ALPHA 30","23 Apr 2024","23649.75","23653.55","23519.45","23543.10"
"NIFTY200 ALPHA 30","22 Apr 2024","23434.4","23547.15","23361.95","23500.65"
"NIFTY200 ALPHA 30","19 Apr 2024","23049.9","23275.7","22765.2","23193.20"
"NIFTY200 ALPHA 30","18 Apr 2024","23570.3","23774.25","23197.8","23289.55"
"NIFTY200 ALPHA 30","16 Apr 2024","23320.55","23564.65","23177.85","23438.85"
"NIFTY200 ALPHA 30","15 Apr 2024","23486.9","23712.35","23259.1","23449.65"
"NIFTY200 ALPHA 30","12 Apr 2024","23910.8","24075.5","23806.4","23840.15"
"NIFTY200 ALPHA 30","10 Apr 2024","23753.05","24007.80","23737.55","23940.95"
"NIFTY200 ALPHA 30","09 Apr 2024","23941.45","23957.60","23567.55","23668.25"
"NIFTY200 ALPHA 30","08 Apr 2024","23993.30","23997.60","23728.15","23823.70"
"NIFTY200 ALPHA 30","05 Apr 2024","23778.75","23884.00","23667.35","23864.45"
"NIFTY200 ALPHA 30","04 Apr 2024","24082.45","24103.70","23638.75","23781.90"
"NIFTY200 ALPHA 30","03 Apr 2024","23803.65","23938.55","23708.40","23915.05"
"NIFTY200 ALPHA 30","02 Apr 2024","23691.25","23857.70","23607.00","23839.70"
"NIFTY200 ALPHA 30","01 Apr 2024","23470.20","23682.45","23445.95","23629.05"
"NIFTY200 ALPHA 30","28 Mar 2024","23113.20","23338.90","23043.95","23238.60"
"NIFTY200 ALPHA 30","27 Mar 2024","23081.60","23186.30","22970.25","22998.20"
"NIFTY200 ALPHA 30","26 Mar 2024","22650.85","23026.15","22649.25","22971.95"
"NIFTY200 ALPHA 30","22 Mar 2024","22572.60","22835.35","22464.50","22737.20"
"NIFTY200 ALPHA 30","21 Mar 2024","22194.70","22672.95","22188.25","22645.45"
"NIFTY200 ALPHA 30","20 Mar 2024","22005.60","22123.65","21590.75","21966.40"
"NIFTY200 ALPHA 30","19 Mar 2024","22257.50","22284.25","21861.35","21902.50"
"NIFTY200 ALPHA 30","18 Mar 2024","22242.35","22420.15","22052.75","22271.15"
"NIFTY200 ALPHA 30","15 Mar 2024","22586.45","22669.10","21844.90","22261.05"
"NIFTY200 ALPHA 30","14 Mar 2024","22172.60","22663.75","22028.85","22612.10"
"NIFTY200 ALPHA 30","13 Mar 2024","23302.55","23361.15","22056.40","22260.20"
"NIFTY200 ALPHA 30","12 Mar 2024","23684.45","23730.20","23187.30","23278.55"
"NIFTY200 ALPHA 30","11 Mar 2024","23863.25","23893.95","23624.85","23662.35"
"NIFTY200 ALPHA 30","07 Mar 2024","23623.00","23860.90","23594.65","23727.55"
"NIFTY200 ALPHA 30","06 Mar 2024","23746.30","23755.35","23147.85","23548.15"
"NIFTY200 ALPHA 30","05 Mar 2024","23653.40","23724.80","23534.75","23677.50"
