"Index Name","Date","Open","High","Low","Close"
"NIFTY50 DIVIDEND POINTS","01 Jul 2024","-","-","-","122.96"
"NIFTY50 DIVIDEND POINTS","28 Jun 2024","-","-","-","122.96"
"NIFTY50 DIVIDEND POINTS","27 Jun 2024","-","-","-","120.49"
"NIFTY50 DIVIDEND POINTS","26 Jun 2024","-","-","-","119.45"
"NIFTY50 DIVIDEND POINTS","25 Jun 2024","-","-","-","119.45"
"NIFTY50 DIVIDEND POINTS","24 Jun 2024","-","-","-","119.45"
"NIFTY50 DIVIDEND POINTS","21 Jun 2024","-","-","-","119.45"
"NIFTY50 DIVIDEND POINTS","20 Jun 2024","-","-","-","116.57"
"NIFTY50 DIVIDEND POINTS","19 Jun 2024","-","-","-","109.06"
"NIFTY50 DIVIDEND POINTS","18 Jun 2024","-","-","-","108.12"
"NIFTY50 DIVIDEND POINTS","14 Jun 2024","-","-","-","108.12"
"NIFTY50 DIVIDEND POINTS","13 Jun 2024","-","-","-","100.12"
"NIFTY50 DIVIDEND POINTS","12 Jun 2024","-","-","-","100.12"
"NIFTY50 DIVIDEND POINTS","11 Jun 2024","-","-","-","100.12"
"NIFTY50 DIVIDEND POINTS","10 Jun 2024","-","-","-","94.85"
"NIFTY50 DIVIDEND POINTS","07 Jun 2024","-","-","-","94.85"
"NIFTY50 DIVIDEND POINTS","06 Jun 2024","-","-","-","94.85"
"NIFTY50 DIVIDEND POINTS","05 Jun 2024","-","-","-","94.85"
"NIFTY50 DIVIDEND POINTS","04 Jun 2024","-","-","-","94.85"
"NIFTY50 DIVIDEND POINTS","03 Jun 2024","-","-","-","79.76"
"NIFTY50 DIVIDEND POINTS","31 May 2024","-","-","-","79.76"
"NIFTY50 DIVIDEND POINTS","30 May 2024","-","-","-","57.08"
"NIFTY50 DIVIDEND POINTS","29 May 2024","-","-","-","57.08"
"NIFTY50 DIVIDEND POINTS","28 May 2024","-","-","-","57.08"
"NIFTY50 DIVIDEND POINTS","27 May 2024","-","-","-","57.08"
"NIFTY50 DIVIDEND POINTS","24 May 2024","-","-","-","57.08"
"NIFTY50 DIVIDEND POINTS","23 May 2024","-","-","-","55.97"
"NIFTY50 DIVIDEND POINTS","22 May 2024","-","-","-","55.97"
"NIFTY50 DIVIDEND POINTS","21 May 2024","-","-","-","44.04"
"NIFTY50 DIVIDEND POINTS","18 May 2024","-","-","-","44.04"
