"Index Name","Date","Open","High","Low","Close"
"NIFTY50 PR 1X INVERSE","01 Jul 2024","203.5","203.5","202.05","202.25"
"NIFTY50 PR 1X INVERSE","28 Jun 2024","202.6","203.45","201.85","203.25"
"NIFTY50 PR 1X INVERSE","27 Jun 2024","204.3","204.95","202.55","202.90"
"NIFTY50 PR 1X INVERSE","26 Jun 2024","205.65","206.1","204.2","204.40"
"NIFTY50 PR 1X INVERSE","25 Jun 2024","206.9","207","205.35","205.60"
"NIFTY50 PR 1X INVERSE","24 Jun 2024","208.6","208.85","207.05","207.20"
"NIFTY50 PR 1X INVERSE","21 Jun 2024","206","208.3","205.95","207.40"
"NIFTY50 PR 1X INVERSE","20 Jun 2024","206.6","207.9","206.3","206.80"
"NIFTY50 PR 1X INVERSE","19 Jun 2024","206.2","208.1","205.9","207.20"
"NIFTY50 PR 1X INVERSE","18 Jun 2024","206.65","207.3","206.6","206.80"
"NIFTY50 PR 1X INVERSE","14 Jun 2024","207.45","208.6","207.25","207.45"
"NIFTY50 PR 1X INVERSE","13 Jun 2024","207.25","208.4","207.25","208.00"
"NIFTY50 PR 1X INVERSE","12 Jun 2024","208.45","208.9","207.6","208.65"
"NIFTY50 PR 1X INVERSE","11 Jun 2024","208.95","209.65","208","209.15"
"NIFTY50 PR 1X INVERSE","10 Jun 2024","208.6","209.4","207.8","209.15"
"NIFTY50 PR 1X INVERSE","07 Jun 2024","213.1","213.4","208.5","208.75"
"NIFTY50 PR 1X INVERSE","06 Jun 2024","213.3","214.75","212.25","213.10"
"NIFTY50 PR 1X INVERSE","05 Jun 2024","219.95","223.4","214.45","214.95"
"NIFTY50 PR 1X INVERSE","04 Jun 2024","210.7","227.85","210.7","222.40"
"NIFTY50 PR 1X INVERSE","03 Jun 2024","209.2","211.85","209.2","209.90"
"NIFTY50 PR 1X INVERSE","31 May 2024","216.5","217.5","215.7","216.85"
"NIFTY50 PR 1X INVERSE","30 May 2024","216","217.9","215.2","217.25"
"NIFTY50 PR 1X INVERSE","29 May 2024","214.6","215.3","214","215.15"
"NIFTY50 PR 1X INVERSE","28 May 2024","212.55","213.65","212.35","213.40"
"NIFTY50 PR 1X INVERSE","27 May 2024","211.95","213.5","211.3","212.95"
