"Index Name","Date","Open","High","Low","Close"
"NIFTY50 PR 2X LEVERAGE","01 Jul 2024","13845.45","14042.4","13845.45","14017.70"
"NIFTY50 PR 2X LEVERAGE","28 Jun 2024","13960.55","14060.7","13845.05","13873.40"
"NIFTY50 PR 2X LEVERAGE","27 Jun 2024","13727.95","13963.3","13641.25","13915.20"
"NIFTY50 PR 2X LEVERAGE","26 Jun 2024","13549.3","13739.6","13490.2","13715.80"
"NIFTY50 PR 2X LEVERAGE","25 Jun 2024","13386.2","13586.25","13369.3","13549.70"
"NIFTY50 PR 2X LEVERAGE","24 Jun 2024","13167.95","13366.75","13131.4","13344.20"
"NIFTY50 PR 2X LEVERAGE","21 Jun 2024","13491.85","13496.15","13194.6","13310.00"
"NIFTY50 PR 2X LEVERAGE","20 Jun 2024","13409","13451.9","13246.35","13387.30"
"NIFTY50 PR 2X LEVERAGE","19 Jun 2024","13461.25","13499.6","13215.1","13331.90"
"NIFTY50 PR 2X LEVERAGE","18 Jun 2024","13396.6","13404.75","13316.85","13382.00"
"NIFTY50 PR 2X LEVERAGE","14 Jun 2024","13286.6","13315","13140","13287.35"
"NIFTY50 PR 2X LEVERAGE","13 Jun 2024","13306.75","13306.75","13163.7","13214.35"
"NIFTY50 PR 2X LEVERAGE","12 Jun 2024","13155.3","13264.55","13101.9","13131.15"
"NIFTY50 PR 2X LEVERAGE","11 Jun 2024","13089.45","13207.95","13003.5","13068.25"
"NIFTY50 PR 2X LEVERAGE","10 Jun 2024","13131.7","13234.85","13029.2","13064.25"
"NIFTY50 PR 2X LEVERAGE","07 Jun 2024","12589.3","13137.5","12555","13106.10"
"NIFTY50 PR 2X LEVERAGE","06 Jun 2024","12566.1","12687.85","12397.2","12591.05"
"NIFTY50 PR 2X LEVERAGE","05 Jun 2024","11851.9","12426.05","11495.75","12373.30"
"NIFTY50 PR 2X LEVERAGE","04 Jun 2024","13060.45","13060.45","10914.7","11595.55"
"NIFTY50 PR 2X LEVERAGE","03 Jun 2024","13239.5","13239.5","12937.85","13158.30"
"NIFTY50 PR 2X LEVERAGE","31 May 2024","12401.3","12494.1","12289.4","12360.35"
"NIFTY50 PR 2X LEVERAGE","30 May 2024","12458.95","12555.6","12238.1","12316.45"
"NIFTY50 PR 2X LEVERAGE","29 May 2024","12622.45","12692.45","12536.85","12557.70"
