"Index Name","Date","Open","High","Low","Close"
"NIFTY50 TR 1X INVERSE","01 Jul 2024","169.35","169.35","168.15","168.30"
"NIFTY50 TR 1X INVERSE","28 Jun 2024","168.6","169.3","168","169.15"
"NIFTY50 TR 1X INVERSE","27 Jun 2024","170.05","170.6","168.6","168.90"
"NIFTY50 TR 1X INVERSE","26 Jun 2024","171.15","171.55","169.95","170.10"
"NIFTY50 TR 1X INVERSE","25 Jun 2024","172.2","172.3","170.9","171.15"
"NIFTY50 TR 1X INVERSE","24 Jun 2024","173.6","173.85","172.3","172.45"
"NIFTY50 TR 1X INVERSE","21 Jun 2024","171.45","173.35","171.45","172.65"
"NIFTY50 TR 1X INVERSE","20 Jun 2024","172","173.05","171.7","172.15"
"NIFTY50 TR 1X INVERSE","19 Jun 2024","171.7","173.3","171.45","172.55"
"NIFTY50 TR 1X INVERSE","18 Jun 2024","172.1","172.65","172.05","172.20"
"NIFTY50 TR 1X INVERSE","14 Jun 2024","172.75","173.7","172.6","172.75"
"NIFTY50 TR 1X INVERSE","13 Jun 2024","172.65","173.6","172.65","173.30"
"NIFTY50 TR 1X INVERSE","12 Jun 2024","173.65","174","172.9","173.80"
"NIFTY50 TR 1X INVERSE","11 Jun 2024","174.05","174.65","173.3","174.20"
"NIFTY50 TR 1X INVERSE","10 Jun 2024","173.8","174.5","173.15","174.25"
"NIFTY50 TR 1X INVERSE","07 Jun 2024","177.6","177.85","173.7","173.95"
"NIFTY50 TR 1X INVERSE","06 Jun 2024","177.75","178.95","176.85","177.55"
"NIFTY50 TR 1X INVERSE","05 Jun 2024","183.3","186.15","178.7","179.10"
"NIFTY50 TR 1X INVERSE","04 Jun 2024","175.55","189.85","175.55","185.30"
"NIFTY50 TR 1X INVERSE","03 Jun 2024","174.45","176.65","174.45","175.00"
"NIFTY50 TR 1X INVERSE","31 May 2024","180.5","181.35","179.85","180.80"
"NIFTY50 TR 1X INVERSE","30 May 2024","180.3","181.85","179.6","181.30"
"NIFTY50 TR 1X INVERSE","29 May 2024","179.1","179.7","178.6","179.55"
"NIFTY50 TR 1X INVERSE","28 May 2024","177.4","178.3","177.25","178.10"
"NIFTY50 TR 1X INVERSE","27 May 2024","176.9","178.2","176.35","177.70"
"NIFTY50 TR 1X INVERSE","24 May 2024","177.65","177.8","176.9","177.45"
"NIFTY50 TR 1X INVERSE","23 May 2024","180.15","180.45","177.1","177.30"
"NIFTY50 TR 1X INVERSE","22 May 2024","180.4","181.15","180","180.25"
"NIFTY50 TR 1X INVERSE","21 May 2024","181.85","181.85","180.35","180.85"
"NIFTY50 TR 1X INVERSE","18 May 2024","180.9","181.1","180.9","180.95"
"NIFTY50 TR 1X INVERSE","17 May 2024","181.65","182.2","180.95","181.25"
"NIFTY50 TR 1X INVERSE","16 May 2024","182.4","184.6","181.5","181.70"
"NIFTY50 TR 1X INVERSE","15 May 2024","182.95","183.8","182.6","183.40"
"NIFTY50 TR 1X INVERSE","14 May 2024","184.1","184.35","182.8","183.20"
"NIFTY50 TR 1X INVERSE","13 May 2024","184.75","186.5","183.9","184.15"
"NIFTY50 TR 1X INVERSE","10 May 2024","185","185.3","183.8","184.45"
"NIFTY50 TR 1X INVERSE","09 May 2024","183.3","185.7","182.65","185.50"
"NIFTY50 TR 1X INVERSE","08 May 2024","183.25","183.6","182.1","182.65"
"NIFTY50 TR 1X INVERSE","07 May 2024","181.1","183.2","181.1","182.60"
"NIFTY50 TR 1X INVERSE","06 May 2024","180.55","181.75","180.3","181.50"
"NIFTY50 TR 1X INVERSE","03 May 2024","178.8","182.15","178.6","181.15"
"NIFTY50 TR 1X INVERSE","02 May 2024","180.35","180.35","179.25","179.75"
"NIFTY50 TR 1X INVERSE","30 Apr 2024","179.4","180.3","178.6","180.00"
"NIFTY50 TR 1X INVERSE","29 Apr 2024","181.05","181.3","179.55","179.65"
"NIFTY50 TR 1X INVERSE","26 Apr 2024","179.8","181.65","179.8","181.40"
"NIFTY50 TR 1X INVERSE","25 Apr 2024","182.2","182.3","179.7","180.15"
"NIFTY50 TR 1X INVERSE","24 Apr 2024","181.35","181.65","180.9","181.50"
"NIFTY50 TR 1X INVERSE","23 Apr 2024","181.1","181.85","181.1","181.75"
"NIFTY50 TR 1X INVERSE","22 Apr 2024","181.95","183.1","181.65","181.95"
"NIFTY50 TR 1X INVERSE","19 Apr 2024","185.8","186.5","183.15","183.40"
"NIFTY50 TR 1X INVERSE","18 Apr 2024","182.85","184.95","181.95","184.65"
"NIFTY50 TR 1X INVERSE","16 Apr 2024","183.55","183.9","182.8","183.35"
"NIFTY50 TR 1X INVERSE","15 Apr 2024","181.75","182.4","181.05","182.30"
"NIFTY50 TR 1X INVERSE","12 Apr 2024","179","180.35","178.6","180.20"
"NIFTY50 TR 1X INVERSE","10 Apr 2024","178.6","178.95","178.15","178.30"
"NIFTY50 TR 1X INVERSE","09 Apr 2024","178.2","179.4","178.2","179.15"
"NIFTY50 TR 1X INVERSE","08 Apr 2024","179.65","179.9","178.7","178.95"
"NIFTY50 TR 1X INVERSE","05 Apr 2024","180.3","180.75","179.9","180.10"
"NIFTY50 TR 1X INVERSE","04 Apr 2024","179.4","181.7","179.3","180.05"
"NIFTY50 TR 1X INVERSE","03 Apr 2024","181.05","181.35","179.95","180.65"
"NIFTY50 TR 1X INVERSE","02 Apr 2024","180.45","181","180.1","180.45"
"NIFTY50 TR 1X INVERSE","01 Apr 2024","180.4","180.65","179.8","180.35"
"NIFTY50 TR 1X INVERSE","28 Mar 2024","182.7","182.7","179.8","181.35"
"NIFTY50 TR 1X INVERSE","27 Mar 2024","183.55","183.55","182.4","183.00"
"NIFTY50 TR 1X INVERSE","26 Mar 2024","184.4","184.4","183.4","183.95"
"NIFTY50 TR 1X INVERSE","22 Mar 2024","184.4","184.8","182.35","183.05"
"NIFTY50 TR 1X INVERSE","21 Mar 2024","183.9","184.3","183.1","183.70"
"NIFTY50 TR 1X INVERSE","20 Mar 2024","185.1","186.25","184.35","185.15"
"NIFTY50 TR 1X INVERSE","19 Mar 2024","184.2","185.5","183.95","185.30"
"NIFTY50 TR 1X INVERSE","18 Mar 2024","183.85","184.45","182.7","183.30"
"NIFTY50 TR 1X INVERSE","15 Mar 2024","183.1","184.2","182.65","183.45"
"NIFTY50 TR 1X INVERSE","14 Mar 2024","183.75","184.3","181.9","182.40"
"NIFTY50 TR 1X INVERSE","13 Mar 2024","180.1","184.35","180.05","183.60"
"NIFTY50 TR 1X INVERSE","12 Mar 2024","180.85","181.5","179.9","180.85"
"NIFTY50 TR 1X INVERSE","11 Mar 2024","179.35","181","179.35","180.85"
"NIFTY50 TR 1X INVERSE","07 Mar 2024","179.3","179.9","179.15","179.40"
"NIFTY50 TR 1X INVERSE","06 Mar 2024","180.7","181.55","179.4","179.55"
"NIFTY50 TR 1X INVERSE","05 Mar 2024","180.35","181.15","179.95","180.45"
"NIFTY50 TR 1X INVERSE","04 Mar 2024","180.05","180.4","179.75","180.00"
"NIFTY50 TR 1X INVERSE","02 Mar 2024","179.95","180.25","179.9","180.20"
"NIFTY50 TR 1X INVERSE","01 Mar 2024","182.9","182.9","180.35","180.45"
"NIFTY50 TR 1X INVERSE","29 Feb 2024","183.8","184.4","182.75","183.40"
"NIFTY50 TR 1X INVERSE","28 Feb 2024","181.5","183.9","181.4","183.65"
"NIFTY50 TR 1X INVERSE","27 Feb 2024","182.5","182.5","181.45","181.60"
"NIFTY50 TR 1X INVERSE","26 Feb 2024","181.8","182.55","181.55","182.20"
"NIFTY50 TR 1X INVERSE","23 Feb 2024","180.7","181.55","180.65","181.35"
"NIFTY50 TR 1X INVERSE","22 Feb 2024","182.4","184.1","181","181.25"
"NIFTY50 TR 1X INVERSE","21 Feb 2024","181","183.05","181","182.60"
"NIFTY50 TR 1X INVERSE","20 Feb 2024","182.2","182.65","181.25","181.40"
"NIFTY50 TR 1X INVERSE","19 Feb 2024","182.15","182.85","181.45","182.00"
"NIFTY50 TR 1X INVERSE","16 Feb 2024","182.75","183.2","182.35","182.60"
"NIFTY50 TR 1X INVERSE","15 Feb 2024","183.7","184.65","183.3","183.65"
"NIFTY50 TR 1X INVERSE","14 Feb 2024","186.5","186.9","184","184.30"
"NIFTY50 TR 1X INVERSE","13 Feb 2024","185.75","186.8","184.85","185.05"
"NIFTY50 TR 1X INVERSE","12 Feb 2024","184.55","186.5","184.3","186.15"
"NIFTY50 TR 1X INVERSE","09 Feb 2024","185.1","185.9","184.45","184.60"
"NIFTY50 TR 1X INVERSE","08 Feb 2024","182.7","185.6","182.7","185.15"
"NIFTY50 TR 1X INVERSE","07 Feb 2024","182.5","184.05","182.45","183.45"
"NIFTY50 TR 1X INVERSE","06 Feb 2024","184.3","185.05","183.25","183.45"
"NIFTY50 TR 1X INVERSE","05 Feb 2024","183.5","185.15","183.15","184.75"
"NIFTY50 TR 1X INVERSE","02 Feb 2024","184.35","184.4","181.65","184.00"
"NIFTY50 TR 1X INVERSE","01 Feb 2024","184.55","185.6","184.1","185.30"
"NIFTY50 TR 1X INVERSE","31 Jan 2024","187.05","187.4","184.9","185.00"
"NIFTY50 TR 1X INVERSE","30 Jan 2024","184.55","186.9","184.25","186.75"
"NIFTY50 TR 1X INVERSE","29 Jan 2024","187.55","187.55","184.65","184.85"
"NIFTY50 TR 1X INVERSE","25 Jan 2024","187.2","189","187.2","188.10"
"NIFTY50 TR 1X INVERSE","24 Jan 2024","189.6","190","186.95","187.20"
"NIFTY50 TR 1X INVERSE","23 Jan 2024","184.95","189.45","184.65","189.05"
"NIFTY50 TR 1X INVERSE","20 Jan 2024","184.95","186.35","184.85","186.10"
"NIFTY50 TR 1X INVERSE","19 Jan 2024","185.7","186","185.2","185.60"
"NIFTY50 TR 1X INVERSE","18 Jan 2024","187.5","188.6","186.4","187.05"
"NIFTY50 TR 1X INVERSE","17 Jan 2024","185.45","186.25","183.75","186.10"
"NIFTY50 TR 1X INVERSE","16 Jan 2024","181.85","182.75","181.5","182.25"
"NIFTY50 TR 1X INVERSE","15 Jan 2024","182.05","182.8","181.55","181.65"
