"Index Name","Date","Open","High","Low","Close"
"NIFTY50 TR 2X LEVERAGE","01 Jul 2024","20030.25","20315.15","20030.25","20279.40"
"NIFTY50 TR 2X LEVERAGE","28 Jun 2024","20196.65","20341.6","20029.6","20070.65"
"NIFTY50 TR 2X LEVERAGE","27 Jun 2024","19856.15","20196.55","19730.75","20126.95"
"NIFTY50 TR 2X LEVERAGE","26 Jun 2024","19596.05","19871.3","19510.6","19836.85"
"NIFTY50 TR 2X LEVERAGE","25 Jun 2024","19360.15","19649.45","19335.75","19596.65"
"NIFTY50 TR 2X LEVERAGE","24 Jun 2024","19044.5","19332","18991.65","19299.40"
"NIFTY50 TR 2X LEVERAGE","21 Jun 2024","19512.9","19519.15","19083.1","19249.95"
"NIFTY50 TR 2X LEVERAGE","20 Jun 2024","19388.35","19450.3","19153.35","19357.00"
"NIFTY50 TR 2X LEVERAGE","19 Jun 2024","19451.5","19506.95","19095.85","19264.60"
"NIFTY50 TR 2X LEVERAGE","18 Jun 2024","19356.55","19368.3","19241.35","19335.45"
"NIFTY50 TR 2X LEVERAGE","14 Jun 2024","19197.6","19238.65","18985.95","19198.70"
"NIFTY50 TR 2X LEVERAGE","13 Jun 2024","19213.7","19213.7","19007.1","19080.25"
"NIFTY50 TR 2X LEVERAGE","12 Jun 2024","18995","19152.75","18917.9","18960.15"
"NIFTY50 TR 2X LEVERAGE","11 Jun 2024","18899.95","19070.95","18775.85","18869.30"
"NIFTY50 TR 2X LEVERAGE","10 Jun 2024","18952.35","19101.2","18804.4","18854.95"
"NIFTY50 TR 2X LEVERAGE","07 Jun 2024","18169.5","18960.7","18120","18915.35"
"NIFTY50 TR 2X LEVERAGE","06 Jun 2024","18136.05","18311.75","17892.25","18172.00"
"NIFTY50 TR 2X LEVERAGE","05 Jun 2024","17105.25","17933.9","16591.25","17857.75"
"NIFTY50 TR 2X LEVERAGE","04 Jun 2024","18846.4","18846.4","15754.1","16735.25"
"NIFTY50 TR 2X LEVERAGE","03 Jun 2024","19079.8","19079.8","18645.1","18962.80"
"NIFTY50 TR 2X LEVERAGE","31 May 2024","17871.75","18005.2","17710.8","17812.85"
"NIFTY50 TR 2X LEVERAGE","30 May 2024","17918.9","18057.95","17601.3","17713.95"
"NIFTY50 TR 2X LEVERAGE","29 May 2024","18154.05","18254.75","18031","18060.95"
"NIFTY50 TR 2X LEVERAGE","28 May 2024","18501.6","18535.55","18311.45","18358.50"
"NIFTY50 TR 2X LEVERAGE","27 May 2024","18604.5","18720","18335.1","18433.10"
"NIFTY50 TR 2X LEVERAGE","24 May 2024","18440.5","18592.6","18404.3","18482.95"
"NIFTY50 TR 2X LEVERAGE","23 May 2024","17940.9","18542.4","17882.8","18501.55"
"NIFTY50 TR 2X LEVERAGE","22 May 2024","17884.9","17964.95","17737.7","17918.35"
"NIFTY50 TR 2X LEVERAGE","21 May 2024","17597.7","17891.6","17597.7","17794.20"
"NIFTY50 TR 2X LEVERAGE","18 May 2024","17778.55","17778.55","17738.45","17761.45"
"NIFTY50 TR 2X LEVERAGE","17 May 2024","17628.15","17763.45","17519.5","17708.20"
"NIFTY50 TR 2X LEVERAGE","16 May 2024","17481.45","17655.3","17069.8","17613.30"
"NIFTY50 TR 2X LEVERAGE","15 May 2024","17375.45","17440.85","17214.5","17289.70"
"NIFTY50 TR 2X LEVERAGE","14 May 2024","17156.9","17400.65","17108.6","17319.75"
"NIFTY50 TR 2X LEVERAGE","13 May 2024","17028.5","17188.55","16708.35","17146.45"
"NIFTY50 TR 2X LEVERAGE","10 May 2024","16981.5","17196.85","16922.6","17080.30"
"NIFTY50 TR 2X LEVERAGE","09 May 2024","17299.7","17428.9","16843.95","16882.05"
"NIFTY50 TR 2X LEVERAGE","08 May 2024","17312.85","17526.65","17241.7","17424.30"
"NIFTY50 TR 2X LEVERAGE","07 May 2024","17721.9","17727.65","17316.95","17427.50"
"NIFTY50 TR 2X LEVERAGE","06 May 2024","17831.6","17874.45","17592.8","17644.30"
"NIFTY50 TR 2X LEVERAGE","03 May 2024","18166.9","18211.1","17503.8","17705.65"
"NIFTY50 TR 2X LEVERAGE","02 May 2024","17855.1","18081.05","17855.1","17982.50"
"NIFTY50 TR 2X LEVERAGE","30 Apr 2024","18039.2","18203.35","17863.35","17920.40"
"NIFTY50 TR 2X LEVERAGE","29 Apr 2024","17720.85","18004.3","17668.1","17984.95"
"NIFTY50 TR 2X LEVERAGE","26 Apr 2024","17960.85","17960.85","17589.3","17643.15"
"NIFTY50 TR 2X LEVERAGE","25 Apr 2024","17486.05","17970.4","17472.5","17884.85"
"NIFTY50 TR 2X LEVERAGE","24 Apr 2024","17653.95","17739.4","17596.2","17623.85"
"NIFTY50 TR 2X LEVERAGE","23 Apr 2024","17697.15","17697.15","17545.05","17573.05"
"NIFTY50 TR 2X LEVERAGE","22 Apr 2024","17527.45","17587.2","17311.7","17526.70"
"NIFTY50 TR 2X LEVERAGE","19 Apr 2024","16799.4","17290.9","16671.05","17240.95"
"NIFTY50 TR 2X LEVERAGE","18 Apr 2024","17347.45","17525","16957.4","17010.20"
"NIFTY50 TR 2X LEVERAGE","16 Apr 2024","17217.7","17355.9","17146.2","17253.15"
"NIFTY50 TR 2X LEVERAGE","15 Apr 2024","17557","17695.75","17431.8","17451.50"
"NIFTY50 TR 2X LEVERAGE","12 Apr 2024","18105.9","18184.1","17827.8","17852.70"
"NIFTY50 TR 2X LEVERAGE","10 Apr 2024","18181.55","18269.95","18108.6","18235.05"
"NIFTY50 TR 2X LEVERAGE","09 Apr 2024","18256.6","18261.75","18013.85","18061.15"
"NIFTY50 TR 2X LEVERAGE","08 Apr 2024","17962.4","18150.7","17917.95","18102.05"
