"Index Name","Date","Open","High","Low","Close"
"NIFTY50 VALUE 20","01 Jul 2024","13053.45","13148","13038.7","13131.60"
"NIFTY50 VALUE 20","28 Jun 2024","13088.05","13142.7","13032.1","13047.75"
"NIFTY50 VALUE 20","27 Jun 2024","12922.25","13086","12875.8","13061.80"
"NIFTY50 VALUE 20","26 Jun 2024","12899.05","12938.15","12850","12921.35"
"NIFTY50 VALUE 20","25 Jun 2024","12839.45","12911.05","12810.1","12892.75"
"NIFTY50 VALUE 20","24 Jun 2024","12735.55","12831.5","12703.75","12821.90"
"NIFTY50 VALUE 20","21 Jun 2024","12865.75","12912.7","12744.05","12790.40"
"NIFTY50 VALUE 20","20 Jun 2024","12798.9","12800.75","12695.2","12776.10"
"NIFTY50 VALUE 20","19 Jun 2024","12813.6","12839.95","12715.3","12763.85"
"NIFTY50 VALUE 20","18 Jun 2024","12775.75","12796.95","12749.8","12771.30"
"NIFTY50 VALUE 20","14 Jun 2024","12806.75","12807.7","12703.1","12724.20"
"NIFTY50 VALUE 20","13 Jun 2024","12825.55","12825.8","12734.8","12763.00"
"NIFTY50 VALUE 20","12 Jun 2024","12779","12811.9","12735.25","12743.35"
"NIFTY50 VALUE 20","11 Jun 2024","12727","12788.3","12689.15","12714.90"
"NIFTY50 VALUE 20","10 Jun 2024","12763.1","12793.65","12676.8","12703.60"
"NIFTY50 VALUE 20","07 Jun 2024","12488.5","12766.4","12469.45","12741.80"
"NIFTY50 VALUE 20","06 Jun 2024","12400.85","12506.3","12343.85","12478.15"
"NIFTY50 VALUE 20","05 Jun 2024","12024.3","12309.25","11816.4","12281.45"
"NIFTY50 VALUE 20","04 Jun 2024","12633.45","12633.45","11543.45","11905.40"
"NIFTY50 VALUE 20","03 Jun 2024","12704.5","12714.6","12540.2","12665.20"
"NIFTY50 VALUE 20","31 May 2024","12329.4","12378.1","12254.15","12287.10"
"NIFTY50 VALUE 20","30 May 2024","12405.9","12465.35","12257.6","12300.15"
"NIFTY50 VALUE 20","29 May 2024","12494","12516.75","12446.7","12460.70"
"NIFTY50 VALUE 20","28 May 2024","12608.4","12612.05","12515.55","12540.45"
"NIFTY50 VALUE 20","27 May 2024","12655.1","12661.9","12540.5","12573.15"
"NIFTY50 VALUE 20","24 May 2024","12633.95","12669.3","12580.15","12597.80"
"NIFTY50 VALUE 20","23 May 2024","12549.2","12670.95","12495","12657.40"
"NIFTY50 VALUE 20","22 May 2024","12551.4","12551.4","12470","12528.50"
"NIFTY50 VALUE 20","21 May 2024","12410.95","12541.9","12410.95","12510.25"
"NIFTY50 VALUE 20","18 May 2024","12472","12479.4","12451","12464.55"
"NIFTY50 VALUE 20","17 May 2024","12469.55","12473.2","12399.4","12433.00"
"NIFTY50 VALUE 20","16 May 2024","12440.45","12472.95","12246.3","12442.05"
"NIFTY50 VALUE 20","15 May 2024","12363.1","12408.65","12327.3","12362.25"
"NIFTY50 VALUE 20","14 May 2024","12321.85","12374.05","12278.05","12338.10"
"NIFTY50 VALUE 20","13 May 2024","12292.05","12324.85","12142.65","12308.00"
"NIFTY50 VALUE 20","10 May 2024","12283.05","12353.65","12235.25","12290.95"
"NIFTY50 VALUE 20","09 May 2024","12383.6","12426.7","12237.5","12253.35"
"NIFTY50 VALUE 20","08 May 2024","12334.6","12431.15","12312.8","12386.25"
"NIFTY50 VALUE 20","07 May 2024","12473.25","12483.65","12301.95","12374.85"
"NIFTY50 VALUE 20","06 May 2024","12503.35","12512.75","12415.75","12442.90"
"NIFTY50 VALUE 20","03 May 2024","12520.7","12559.25","12377.45","12456.50"
"NIFTY50 VALUE 20","02 May 2024","12376.6","12501.25","12373.4","12458.65"
"NIFTY50 VALUE 20","30 Apr 2024","12487.6","12515.45","12394.9","12414.35"
"NIFTY50 VALUE 20","29 Apr 2024","12365.3","12478.35","12335.15","12467.80"
"NIFTY50 VALUE 20","26 Apr 2024","12418.25","12448.55","12314.2","12337.35"
"NIFTY50 VALUE 20","25 Apr 2024","12156.4","12406.55","12151.55","12377.70"
"NIFTY50 VALUE 20","24 Apr 2024","12201.25","12210.85","12163.95","12181.95"
"NIFTY50 VALUE 20","23 Apr 2024","12175.45","12193.35","12121.85","12167.30"
"NIFTY50 VALUE 20","22 Apr 2024","12070","12131.05","12015.25","12106.35"
"NIFTY50 VALUE 20","19 Apr 2024","11863.75","12019.4","11826.25","11989.10"
"NIFTY50 VALUE 20","18 Apr 2024","12120.55","12160.45","11941.75","11963.25"
"NIFTY50 VALUE 20","16 Apr 2024","12114.85","12162.15","12027.75","12055.15"
"NIFTY50 VALUE 20","15 Apr 2024","12273.95","12291.9","12197.35","12204.90"
"NIFTY50 VALUE 20","12 Apr 2024","12421.15","12458.15","12322.6","12330.55"
"NIFTY50 VALUE 20","10 Apr 2024","12389.80","12467.05","12360.95","12449.90"
"NIFTY50 VALUE 20","09 Apr 2024","12372.50","12429.90","12323.65","12341.90"
"NIFTY50 VALUE 20","08 Apr 2024","12303.85","12342.70","12292.25","12322.50"
"NIFTY50 VALUE 20","05 Apr 2024","12243.25","12285.80","12202.75","12271.60"
"NIFTY50 VALUE 20","04 Apr 2024","12347.00","12355.45","12172.25","12275.10"
"NIFTY50 VALUE 20","03 Apr 2024","12216.30","12310.40","12195.85","12266.25"
"NIFTY50 VALUE 20","02 Apr 2024","12265.75","12277.20","12216.60","12244.55"
"NIFTY50 VALUE 20","01 Apr 2024","12298.90","12321.55","12261.95","12285.85"
"NIFTY50 VALUE 20","28 Mar 2024","12106.00","12310.20","12106.00","12211.75"
