"Index Name","Date","Open","High","Low","Close"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","01 Jul 2024","-","-","-","17583.37"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","28 Jun 2024","-","-","-","17406.94"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","27 Jun 2024","-","-","-","17343.48"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","26 Jun 2024","-","-","-","17331.40"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","25 Jun 2024","-","-","-","17310.30"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","24 Jun 2024","-","-","-","17288.48"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","21 Jun 2024","-","-","-","17259.02"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","20 Jun 2024","-","-","-","17292.68"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","19 Jun 2024","-","-","-","17191.81"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","18 Jun 2024","-","-","-","17294.61"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","14 Jun 2024","-","-","-","17181.60"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","13 Jun 2024","-","-","-","17043.60"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","12 Jun 2024","-","-","-","16928.45"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","11 Jun 2024","-","-","-","16800.12"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","10 Jun 2024","-","-","-","16719.21"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","07 Jun 2024","-","-","-","16622.70"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","06 Jun 2024","-","-","-","16319.73"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","05 Jun 2024","-","-","-","15970.17"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","04 Jun 2024","-","-","-","15420.54"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","03 Jun 2024","-","-","-","16587.08"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","31 May 2024","-","-","-","16127.95"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","30 May 2024","-","-","-","16060.08"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","29 May 2024","-","-","-","16254.34"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","28 May 2024","-","-","-","16304.93"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","27 May 2024","-","-","-","16423.51"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","24 May 2024","-","-","-","16383.12"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","23 May 2024","-","-","-","16393.00"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","22 May 2024","-","-","-","16275.94"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","21 May 2024","-","-","-","16253.55"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","18 May 2024","-","-","-","16246.75"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","17 May 2024","-","-","-","16153.39"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","16 May 2024","-","-","-","15987.98"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","15 May 2024","-","-","-","15848.63"
