"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MOMENTUM 50","01 Jul 2024","-","-","-","61305.37"
"NIFTY500 MOMENTUM 50","28 Jun 2024","-","-","-","60871.18"
"NIFTY500 MOMENTUM 50","27 Jun 2024","-","-","-","60783.89"
"NIFTY500 MOMENTUM 50","26 Jun 2024","-","-","-","60916.89"
"NIFTY500 MOMENTUM 50","25 Jun 2024","-","-","-","61147.59"
"NIFTY500 MOMENTUM 50","24 Jun 2024","-","-","-","61414.68"
"NIFTY500 MOMENTUM 50","21 Jun 2024","-","-","-","61100.68"
"NIFTY500 MOMENTUM 50","20 Jun 2024","-","-","-","61065.64"
"NIFTY500 MOMENTUM 50","19 Jun 2024","-","-","-","60975.79"
"NIFTY500 MOMENTUM 50","18 Jun 2024","-","-","-","61841.22"
"NIFTY500 MOMENTUM 50","14 Jun 2024","-","-","-","61016.84"
"NIFTY500 MOMENTUM 50","13 Jun 2024","-","-","-","60288.43"
"NIFTY500 MOMENTUM 50","12 Jun 2024","-","-","-","59688.27"
"NIFTY500 MOMENTUM 50","11 Jun 2024","-","-","-","59302.53"
"NIFTY500 MOMENTUM 50","10 Jun 2024","-","-","-","58728.54"
"NIFTY500 MOMENTUM 50","07 Jun 2024","-","-","-","58346.89"
"NIFTY500 MOMENTUM 50","06 Jun 2024","-","-","-","57305.67"
"NIFTY500 MOMENTUM 50","05 Jun 2024","-","-","-","55367.55"
"NIFTY500 MOMENTUM 50","04 Jun 2024","-","-","-","53425.67"
"NIFTY500 MOMENTUM 50","03 Jun 2024","-","-","-","59909.73"
"NIFTY500 MOMENTUM 50","31 May 2024","-","-","-","57604.94"
"NIFTY500 MOMENTUM 50","30 May 2024","-","-","-","57368.02"
"NIFTY500 MOMENTUM 50","29 May 2024","-","-","-","58198.36"
"NIFTY500 MOMENTUM 50","28 May 2024","-","-","-","58242.77"
"NIFTY500 MOMENTUM 50","27 May 2024","-","-","-","58990.31"
"NIFTY500 MOMENTUM 50","24 May 2024","-","-","-","58767.19"
"NIFTY500 MOMENTUM 50","23 May 2024","-","-","-","58580.29"
"NIFTY500 MOMENTUM 50","22 May 2024","-","-","-","57913.13"
"NIFTY500 MOMENTUM 50","21 May 2024","-","-","-","58131.00"
"NIFTY500 MOMENTUM 50","18 May 2024","-","-","-","57655.79"
"NIFTY500 MOMENTUM 50","17 May 2024","-","-","-","57002.46"
"NIFTY500 MOMENTUM 50","16 May 2024","-","-","-","56136.92"
"NIFTY500 MOMENTUM 50","15 May 2024","-","-","-","55329.06"
"NIFTY500 MOMENTUM 50","14 May 2024","-","-","-","54503.36"
"NIFTY500 MOMENTUM 50","13 May 2024","-","-","-","53323.11"
"NIFTY500 MOMENTUM 50","10 May 2024","-","-","-","53322.61"
"NIFTY500 MOMENTUM 50","09 May 2024","-","-","-","53018.54"
"NIFTY500 MOMENTUM 50","08 May 2024","-","-","-","54372.32"
"NIFTY500 MOMENTUM 50","07 May 2024","-","-","-","53700.66"
"NIFTY500 MOMENTUM 50","06 May 2024","-","-","-","54962.87"
"NIFTY500 MOMENTUM 50","03 May 2024","-","-","-","55851.31"
"NIFTY500 MOMENTUM 50","02 May 2024","-","-","-","55860.90"
"NIFTY500 MOMENTUM 50","30 Apr 2024","-","-","-","55087.85"
"NIFTY500 MOMENTUM 50","29 Apr 2024","-","-","-","54732.72"
"NIFTY500 MOMENTUM 50","26 Apr 2024","-","-","-","54628.93"
"NIFTY500 MOMENTUM 50","25 Apr 2024","-","-","-","54112.77"
"NIFTY500 MOMENTUM 50","24 Apr 2024","-","-","-","53367.43"
"NIFTY500 MOMENTUM 50","23 Apr 2024","-","-","-","52891.22"
"NIFTY500 MOMENTUM 50","22 Apr 2024","-","-","-","52021.96"
"NIFTY500 MOMENTUM 50","19 Apr 2024","-","-","-","51251.33"
"NIFTY500 MOMENTUM 50","18 Apr 2024","-","-","-","51507.40"
"NIFTY500 MOMENTUM 50","16 Apr 2024","-","-","-","51515.43"
"NIFTY500 MOMENTUM 50","15 Apr 2024","-","-","-","51274.24"
"NIFTY500 MOMENTUM 50","12 Apr 2024","-","-","-","52258.67"
"NIFTY500 MOMENTUM 50","10 Apr 2024","-","-","-","52432.85"
"NIFTY500 MOMENTUM 50","09 Apr 2024","-","-","-","52041.05"
"NIFTY500 MOMENTUM 50","08 Apr 2024","-","-","-","52441.35"
"NIFTY500 MOMENTUM 50","05 Apr 2024","-","-","-","52781.85"
"NIFTY500 MOMENTUM 50","04 Apr 2024","-","-","-","52559.42"
"NIFTY500 MOMENTUM 50","03 Apr 2024","-","-","-","52575.09"
"NIFTY500 MOMENTUM 50","02 Apr 2024","-","-","-","51825.72"
"NIFTY500 MOMENTUM 50","01 Apr 2024","-","-","-","51296.30"
"NIFTY500 MOMENTUM 50","28 Mar 2024","-","-","-","50009.36"
"NIFTY500 MOMENTUM 50","27 Mar 2024","-","-","-","49637.05"
"NIFTY500 MOMENTUM 50","26 Mar 2024","-","-","-","49262.55"
"NIFTY500 MOMENTUM 50","22 Mar 2024","-","-","-","48628.32"
"NIFTY500 MOMENTUM 50","21 Mar 2024","-","-","-","48140.79"
"NIFTY500 MOMENTUM 50","20 Mar 2024","-","-","-","46611.44"
"NIFTY500 MOMENTUM 50","19 Mar 2024","-","-","-","46624.61"
"NIFTY500 MOMENTUM 50","18 Mar 2024","-","-","-","47370.78"
"NIFTY500 MOMENTUM 50","15 Mar 2024","-","-","-","47800.25"
"NIFTY500 MOMENTUM 50","14 Mar 2024","-","-","-","48068.54"
"NIFTY500 MOMENTUM 50","13 Mar 2024","-","-","-","46359.07"
"NIFTY500 MOMENTUM 50","12 Mar 2024","-","-","-","49056.80"
