"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MULTICAP 50:25:25","01 Jul 2024","15777.95","15898.25","15770.5","15891.25"
"NIFTY500 MULTICAP 50:25:25","28 Jun 2024","15754.45","15815.95","15730.65","15748.25"
"NIFTY500 MULTICAP 50:25:25","27 Jun 2024","15700.35","15765.25","15613.45","15708.25"
"NIFTY500 MULTICAP 50:25:25","26 Jun 2024","15659.35","15704.75","15604.7","15675.20"
"NIFTY500 MULTICAP 50:25:25","25 Jun 2024","15664.05","15701.4","15611.35","15644.30"
"NIFTY500 MULTICAP 50:25:25","24 Jun 2024","15529.55","15633.25","15457.2","15610.30"
"NIFTY500 MULTICAP 50:25:25","21 Jun 2024","15678.4","15690.6","15548.95","15580.45"
"NIFTY500 MULTICAP 50:25:25","20 Jun 2024","15592.65","15632.55","15513.85","15616.80"
"NIFTY500 MULTICAP 50:25:25","19 Jun 2024","15683.65","15683.65","15464.35","15540.45"
"NIFTY500 MULTICAP 50:25:25","18 Jun 2024","15611.05","15632.5","15560.1","15624.25"
"NIFTY500 MULTICAP 50:25:25","14 Jun 2024","15469.1","15539.8","15410.65","15529.45"
"NIFTY500 MULTICAP 50:25:25","13 Jun 2024","15430.8","15430.85","15345.25","15415.00"
"NIFTY500 MULTICAP 50:25:25","12 Jun 2024","15281.8","15350.9","15267.8","15321.10"
"NIFTY500 MULTICAP 50:25:25","11 Jun 2024","15208.3","15292.05","15155.9","15220.80"
"NIFTY500 MULTICAP 50:25:25","10 Jun 2024","15172.2","15236.85","15115.4","15164.30"
"NIFTY500 MULTICAP 50:25:25","07 Jun 2024","14851.85","15105.85","14807.45","15097.20"
"NIFTY500 MULTICAP 50:25:25","06 Jun 2024","14690.65","14884.35","14669.5","14819.15"
"NIFTY500 MULTICAP 50:25:25","05 Jun 2024","14200.25","14565.1","13857.65","14540.15"
"NIFTY500 MULTICAP 50:25:25","04 Jun 2024","15068.45","15068.45","13524.75","14037.80"
"NIFTY500 MULTICAP 50:25:25","03 Jun 2024","15212.1","15212.1","14979.1","15085.25"
"NIFTY500 MULTICAP 50:25:25","31 May 2024","14653.2","14685.5","14551.3","14644.75"
"NIFTY500 MULTICAP 50:25:25","30 May 2024","14726.9","14759.8","14558.05","14589.05"
"NIFTY500 MULTICAP 50:25:25","29 May 2024","14761.85","14817.5","14723.95","14756.40"
"NIFTY500 MULTICAP 50:25:25","28 May 2024","14951.45","14961.9","14780.7","14819.80"
"NIFTY500 MULTICAP 50:25:25","27 May 2024","14956.2","14990.3","14858.5","14914.55"
"NIFTY500 MULTICAP 50:25:25","24 May 2024","14900.1","14958.6","14870.4","14889.50"
"NIFTY500 MULTICAP 50:25:25","23 May 2024","14803.55","14907.6","14763.7","14896.90"
"NIFTY500 MULTICAP 50:25:25","22 May 2024","14792.3","14797.45","14660.75","14764.30"
"NIFTY500 MULTICAP 50:25:25","21 May 2024","14719.9","14759.95","14649.6","14739.05"
"NIFTY500 MULTICAP 50:25:25","18 May 2024","14705.45","14733.55","14701.75","14725.05"
"NIFTY500 MULTICAP 50:25:25","17 May 2024","14560.8","14658.65","14539.9","14651.00"
"NIFTY500 MULTICAP 50:25:25","16 May 2024","14464.95","14534.35","14376.1","14521.65"
"NIFTY500 MULTICAP 50:25:25","15 May 2024","14376","14437.2","14346.95","14394.80"
"NIFTY500 MULTICAP 50:25:25","14 May 2024","14215","14337.45","14191.4","14327.80"
"NIFTY500 MULTICAP 50:25:25","13 May 2024","14168.95","14202.35","13936.3","14181.10"
"NIFTY500 MULTICAP 50:25:25","10 May 2024","14107.55","14171.55","13995.15","14161.65"
"NIFTY500 MULTICAP 50:25:25","09 May 2024","14340.6","14372.05","14046.9","14067.15"
"NIFTY500 MULTICAP 50:25:25","08 May 2024","14256.6","14389.55","14194.75","14342.45"
"NIFTY500 MULTICAP 50:25:25","07 May 2024","14512.1","14514.9","14216.75","14286.45"
"NIFTY500 MULTICAP 50:25:25","06 May 2024","14635.45","14637.85","14426.25","14480.50"
"NIFTY500 MULTICAP 50:25:25","03 May 2024","14715.4","14720.8","14476.5","14565.65"
