"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","01 Jul 2024","15034.25","15106.85","15031.95","15094.80"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","28 Jun 2024","14951.35","15081.6","14951.35","15014.10"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","27 Jun 2024","14920.2","14965.95","14820.75","14937.80"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","26 Jun 2024","14917.05","14957.55","14846.5","14899.85"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","25 Jun 2024","14963.65","15043.6","14879.35","14913.40"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","24 Jun 2024","14798","14935.5","14716.75","14912.30"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","21 Jun 2024","14942.4","14958.1","14823.1","14848.00"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","20 Jun 2024","14828.3","14931.95","14745.15","14899.80"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","19 Jun 2024","15039.05","15039.85","14792.8","14804.00"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","18 Jun 2024","14995","15003.05","14933.15","14973.90"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","14 Jun 2024","14826.85","14943.5","14777.65","14931.75"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","13 Jun 2024","14756.65","14792.2","14651.95","14780.55"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","12 Jun 2024","14635.4","14700.65","14620.3","14654.35"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","11 Jun 2024","14568.3","14655.1","14520.75","14588.65"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","10 Jun 2024","14531.45","14587.5","14470.85","14533.95"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","07 Jun 2024","14154.1","14461.15","14107.75","14455.00"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","06 Jun 2024","14092.4","14242.7","14053","14150.25"
